file	sampid	group
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832979_rap2.6l_air_rep1_peaks.narrowPeak	1	rap2.6l_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832980_rap2.6l_air_rep2_peaks.narrowPeak	2	rap2.6l_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832981_rap2.6l_air_rep3_peaks.narrowPeak	3	rap2.6l_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832982_rap2.6l_eth_rep1_peaks.narrowPeak	4	rap2.6l_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832983_rap2.6l_eth_rep2_peaks.narrowPeak	5	rap2.6l_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832984_myc3_air_rep1_peaks.narrowPeak	6	myc3_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832985_myc3_air_rep2_peaks.narrowPeak	7	myc3_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832986_myc3_air_rep3_peaks.narrowPeak	8	myc3_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832987_myc3_eth_rep1_peaks.narrowPeak	9	myc3_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832988_myc3_eth_rep2_peaks.narrowPeak	10	myc3_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832989_myc3_eth_rep3_peaks.narrowPeak	11	myc3_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832990_edf1_air_rep1_peaks.narrowPeak	12	edf1_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832991_edf1_eth_rep1_peaks.narrowPeak	13	edf1_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832992_edf1_eth_rep2_peaks.narrowPeak	14	edf1_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832993_edf3_air_rep1_peaks.narrowPeak	15	edf3_air
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832994_edf3_eth_rep1_peaks.narrowPeak	16	edf3_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832995_edf3_eth_rep2_peaks.narrowPeak	17	edf3_eth
/scratch/yz8868/RMD_chip/resources/chip-seq/GSM6832996_edf3_eth_rep3_peaks.narrowPeak	18	edf3_eth
