Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:21110	10	1	10	10	1	1	1	-0.4	0
chr1:21110	10	1	10	10	1	1	1	-0.4	0
chr1:78413	10	1	10	10	1	1	1	-0.4	0
chr1:120679	10	1	10	10	1	1	1	-0.4	0
chr1:120679	10	1	10	10	1	1	1	-0.4	0
chr1:178944	10	1	10	10	1	1	1	-0.4	0
chr1:183598	10	1	10	10	1	1	1	-0.4	0
chr1:199450	10	1	10	10	1	1	1	-0.4	0
chr1:199450	10	1	10	10	1	1	1	-0.4	0
chr1:270947	10	1	10	10	1	1	1	-0.4	0
chr1:426645	10	1	10	10	1	1	1	-0.4	0
chr1:437024	10	1	10	10	1	1	1	-0.4	0
chr1:473451	10	1	10	10	1	1	1	-0.4	0
chr1:485724	10	1	10	10	1	1	1	-0.4	0
chr1:485724	10	1	10	10	1	1	1	-0.4	0
chr1:786416	10	1	10	10	1	1	1	-0.4	0
chr1:868269	10	1	10	10	1	1	1	-0.4	0
chr1:979022	10	1	10	10	1	1	1	-0.4	0
chr1:1028407	10	1	10	10	1	1	1	-0.4	0
chr1:1096744	10	1	10	10	1	1	1	-0.4	0
chr1:1426623	10	1	10	10	1	1	1	-0.4	0
chr1:1879415	10	1	10	10	1	1	1	-0.4	0
chr1:1882741	10	1	10	10	1	1	1	-0.4	0
chr1:2103380	10	1	10	10	1	1	1	-0.4	0
chr1:2188430	10	1	10	10	1	1	1	-0.4	0
chr1:2197268	10	1	10	10	1	1	1	-0.4	0
chr1:2224437	10	1	10	10	1	1	1	-0.4	0
chr1:2348914	10	1	10	10	1	1	1	-0.4	0
chr1:2348914	10	1	10	10	1	1	1	-0.4	0
chr1:2368716	10	1	10	10	1	1	1	-0.4	0
chr1:2949422	10	1	10	10	1	1	1	-0.4	0
chr1:3240287	10	1	10	10	1	1	1	-0.4	0
chr1:3248021	10	1	10	10	1	1	1	-0.4	0
chr1:3252305	10	1	10	10	1	1	1	-0.4	0
chr1:3272653	10	1	10	10	1	1	1	-0.4	0
chr1:3553882	10	1	10	10	1	1	1	-0.4	0
chr1:3681780	10	1	10	10	1	1	1	-0.4	0
chr1:3909864	10	1	10	10	1	1	1	-0.4	0
chr1:4102714	10	1	10	10	1	1	1	-0.4	0
chr1:4243324	10	1	10	10	1	1	1	-0.4	0
chr1:4265196	10	1	10	10	1	1	1	-0.4	0
