Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:10959929	10	1	10	10	-1	114.44	1	-0.4	0
chr1:2586167	10	1	10	10	-1	113.81	1	-0.4	0
chr5:15631351	10	1	10	10	-1	111.93	1	-0.4	0
chr5:26394463	10	1	10	10	-1	111.57	1	-0.4	0
chr2:15831845	10	1	10	10	-1	109.79	1	-0.4	0
chr2:12872028	10	1	10	10	-1	108.58	1	-0.4	0
chr1:24486921	10	1	10	10	-1	108.2	1	-0.4	0
chr1:26694857	10	1	10	10	-1	108.2	1	-0.4	0
chr3:388862	10	1	10	10	-1	108.2	1	-0.4	0
chr4:13091882	10	1	10	10	-1	106.96	1	-0.4	0
chr1:23172752	10	1	10	10	-1	106.35	1	-0.4	0
chr3:23167739	10	1	10	10	-1	106.35	1	-0.4	0
chr3:21095448	10	1	10	10	-1	105.73	1	-0.4	0
chr2:14065842	10	1	10	10	-1	105.12	1	-0.4	0
chr5:3857187	10	1	10	10	-1	105.12	1	-0.4	0
chr5:6713712	10	1	10	10	-1	104.51	1	-0.4	0
chr3:7640262	10	1	10	10	-1	104.18	1	-0.4	0
chr1:8079351	10	1	10	10	-1	103.7	1	-0.4	0
chr1:20199042	10	1	10	10	-1	103.55	1	-0.4	0
chr2:15419330	10	1	10	10	-1	103.55	1	-0.4	0
chr3:11386905	10	1	10	10	-1	102.68	1	-0.4	0
chr5:8589118	10	1	10	10	-1	102.56	1	-0.4	0
chr2:12091256	10	1	10	10	-1	102.07	1	-0.4	0
chr3:22221297	10	1	10	10	-1	102.07	1	-0.4	0
chr1:19986083	10	1	10	10	-1	101.65	1	-0.4	0
chr1:25228033	10	1	10	10	-1	101.46	1	-0.4	0
chr1:9339985	10	1	10	10	-1	101.46	1	-0.4	0
chr2:13393399	10	1	10	10	-1	101	1	-0.4	0
chr1:19991346	10	1	10	10	-1	100.86	1	-0.4	0
chr2:19643957	10	1	10	10	-1	100.86	1	-0.4	0
chr3:9806970	10	1	10	10	-1	100.86	1	-0.4	0
chr5:871549	10	1	10	10	-1	100.35	1	-0.4	0
chr4:17282974	10	1	10	10	-1	100.25	1	-0.4	0
chr1:29121243	10	1	10	10	-1	100.18	1	-0.4	0
chr4:13864462	10	1	10	10	-1	99.93	1	-0.4	0
chr1:173579	10	1	10	10	-1	99.65	1	-0.4	0
chr4:9920440	10	1	10	10	-1	99.65	1	-0.4	0
chr5:15632570	10	1	10	10	-1	99.65	1	-0.4	0
chr5:19542518	10	1	10	10	-1	99.65	1	-0.4	0
chr4:11860268	10	1	10	10	-1	99.52	1	-0.4	0
chr2:220941	10	1	10	10	-1	99.4	1	-0.4	0
chr4:9948267	10	1	10	10	-1	99.05	1	-0.4	0
chr5:26901188	10	1	10	10	-1	99.05	1	-0.4	0
chr1:12547722	10	1	10	10	-1	98.89	1	-0.4	0
chr1:29359186	10	1	10	10	-1	98.74	1	-0.4	0
chr1:3255871	10	1	10	10	-1	98.71	1	-0.4	0
chr1:10294528	10	1	10	10	-1	98.45	1	-0.4	0
chr1:420144	10	1	10	10	-1	98.45	1	-0.4	0
chr2:17360441	10	1	10	10	-1	98.45	1	-0.4	0
chr3:23356321	10	1	10	10	-1	98.45	1	-0.4	0
chr5:23896791	10	1	10	10	-1	98.45	1	-0.4	0
chr1:8321723	10	1	10	10	-1	98.41	1	-0.4	0
chr1:27361009	10	1	10	10	-1	97.94	1	-0.4	0
chr3:8734716	10	1	10	10	-1	97.92	1	-0.4	0
chr1:22880939	10	1	10	10	-1	97.85	1	-0.4	0
chr2:13437944	10	1	10	10	-1	97.85	1	-0.4	0
chr4:11155421	10	1	10	10	-1	97.85	1	-0.4	0
chr5:18215736	10	1	10	10	-1	97.85	1	-0.4	0
chr1:28098539	10	1	10	10	-1	97.59	1	-0.4	0
chr4:12079870	10	1	10	10	-1	97.54	1	-0.4	0
chr5:6556330	10	1	10	10	-1	97.42	1	-0.4	0
chr1:621498	10	1	10	10	-1	97.25	1	-0.4	0
chr5:1374733	10	1	10	10	-1	97.25	1	-0.4	0
chr5:23354563	10	1	10	10	-1	97.25	1	-0.4	0
chr4:13278666	10	1	10	10	-1	97.07	1	-0.4	0
chr1:5127770	10	1	10	10	-1	96.66	1	-0.4	0
chr4:15293248	10	1	10	10	-1	96.66	1	-0.4	0
chr4:189331	10	1	10	10	-1	96.66	1	-0.4	0
chr4:995020	10	1	10	10	-1	96.66	1	-0.4	0
chr2:8657379	10	1	10	10	-1	96.6	1	-0.4	0
chr4:15992203	10	1	10	10	-1	96.49	1	-0.4	0
chr5:26933241	10	1	10	10	-1	96.46	1	-0.4	0
chr1:17983552	10	1	10	10	-1	96.34	1	-0.4	0
chr3:21414533	10	1	10	10	-1	96.06	1	-0.4	0
chr3:6270052	10	1	10	10	-1	96.06	1	-0.4	0
chr3:18837611	10	1	10	10	-1	95.69	1	-0.4	0
chr1:10143820	10	1	10	10	-1	95.47	1	-0.4	0
chr1:7349235	10	1	10	10	-1	95.47	1	-0.4	0
chr4:17952854	10	1	10	10	-1	95.47	1	-0.4	0
chr5:22280445	10	1	10	10	-1	95.47	1	-0.4	0
chr5:4441675	10	1	10	10	-1	95.47	1	-0.4	0
chr1:9880543	10	1	10	10	-1	95.36	1	-0.4	0
chr4:13939469	10	1	10	10	-1	95.26	1	-0.4	0
chr4:15903405	10	1	10	10	-1	95.22	1	-0.4	0
chr1:2280681	10	1	10	10	-1	94.87	1	-0.4	0
chr2:10906195	10	1	10	10	-1	94.87	1	-0.4	0
chr2:18642687	10	1	10	10	-1	94.87	1	-0.4	0
chr5:16199225	10	1	10	10	-1	94.87	1	-0.4	0
chr3:17191107	10	1	10	10	-1	94.32	1	-0.4	0
chr1:1469296	10	1	10	10	-1	94.28	1	-0.4	0
chr3:22917510	10	1	10	10	-1	94.28	1	-0.4	0
chr3:2998468	10	1	10	10	-1	94.28	1	-0.4	0
chr5:2983042	10	1	10	10	-1	94.28	1	-0.4	0
chr5:8777558	10	1	10	10	-1	94.28	1	-0.4	0
chr2:10138440	10	1	10	10	-1	94.17	1	-0.4	0
chr4:17875367	10	1	10	10	-1	93.73	1	-0.4	0
chr1:19771248	10	1	10	10	-1	93.69	1	-0.4	0
chr4:4072270	10	1	10	10	-1	93.69	1	-0.4	0
chr4:525344	10	1	10	10	-1	93.69	1	-0.4	0
chr1:4970470	10	1	10	10	-1	93.61	1	-0.4	0
chr3:15985719	10	1	10	10	-1	93.58	1	-0.4	0
chr2:760926	10	1	10	10	-1	93.56	1	-0.4	0
chr1:4794689	10	1	10	10	-1	93.52	1	-0.4	0
chr5:4286762	10	1	10	10	-1	93.35	1	-0.4	0
chr4:12461445	10	1	10	10	-1	93.22	1	-0.4	0
chr1:68662	10	1	10	10	-1	93.08	1	-0.4	0
chr1:7734538	10	1	10	10	-1	93.01	1	-0.4	0
chr5:16290402	10	1	10	10	-1	93.01	1	-0.4	0
chr3:5796959	10	1	10	10	-1	92.72	1	-0.4	0
chr4:16344852	10	1	10	10	-1	92.57	1	-0.4	0
chr1:19744541	10	1	10	10	-1	92.52	1	-0.4	0
chr2:12624549	10	1	10	10	-1	92.52	1	-0.4	0
chr4:8911260	10	1	10	10	-1	92.52	1	-0.4	0
chr5:5115127	10	1	10	10	-1	92.52	1	-0.4	0
chr5:4272645	10	1	10	10	-1	92.38	1	-0.4	0
chr1:22761955	10	1	10	10	-1	92.3	1	-0.4	0
chr2:17368980	10	1	10	10	-1	92.27	1	-0.4	0
chr4:1299438	10	1	10	10	-1	92.14	1	-0.4	0
chr1:7609462	10	1	10	10	-1	91.93	1	-0.4	0
chr3:538442	10	1	10	10	-1	91.85	1	-0.4	0
chr1:7339746	10	1	10	10	-1	91.68	1	-0.4	0
chr4:16960303	10	1	10	10	-1	91.58	1	-0.4	0
chr1:2013653	10	1	10	10	-1	91.5	1	-0.4	0
chr5:5995189	10	1	10	10	-1	91.36	1	-0.4	0
chr1:23637588	10	1	10	10	-1	91.34	1	-0.4	0
chr4:11553281	10	1	10	10	-1	91.34	1	-0.4	0
chr1:24631237	10	1	10	10	-1	91.27	1	-0.4	0
chr1:2339758	10	1	10	10	-1	91.13	1	-0.4	0
chr2:11980932	10	1	10	10	-1	91.1	1	-0.4	0
chr5:26423030	10	1	10	10	-1	91.07	1	-0.4	0
chr3:2146077	10	1	10	10	-1	90.77	1	-0.4	0
chr3:7632534	10	1	10	10	-1	90.76	1	-0.4	0
chr4:9993731	10	1	10	10	-1	90.76	1	-0.4	0
