Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:3112	10	1	10	10	1	1	1	-0.4	0
chr1:3112	10	1	10	10	1	1	1	-0.4	0
chr1:8692	10	1	10	10	1	1	1	-0.4	0
chr1:15414	10	1	10	10	1	1	1	-0.4	0
chr1:16776	10	1	10	10	1	1	1	-0.4	0
chr1:20981	10	1	10	10	1	1	1	-0.4	0
chr1:20981	10	1	10	10	1	1	1	-0.4	0
chr1:20981	10	1	10	10	1	1	1	-0.4	0
chr1:22926	10	1	10	10	1	1	1	-0.4	0
chr1:33516	10	1	10	10	1	1	1	-0.4	0
chr1:33516	10	1	10	10	1	1	1	-0.4	0
chr1:38038	10	1	10	10	1	1	1	-0.4	0
chr1:38038	10	1	10	10	1	1	1	-0.4	0
chr1:38038	10	1	10	10	1	1	1	-0.4	0
chr1:40094	10	1	10	10	1	1	1	-0.4	0
chr1:40094	10	1	10	10	1	1	1	-0.4	0
chr1:40094	10	1	10	10	1	1	1	-0.4	0
chr1:41789	10	1	10	10	1	1	1	-0.4	0
chr1:41789	10	1	10	10	1	1	1	-0.4	0
chr1:41789	10	1	10	10	1	1	1	-0.4	0
chr1:46864	10	1	10	10	1	1	1	-0.4	0
chr1:46864	10	1	10	10	1	1	1	-0.4	0
chr1:49887	10	1	10	10	1	1	1	-0.4	0
chr1:51297	10	1	10	10	1	1	1	-0.4	0
chr1:51297	10	1	10	10	1	1	1	-0.4	0
chr1:51836	10	1	10	10	1	1	1	-0.4	0
chr1:55441	10	1	10	10	1	1	1	-0.4	0
chr1:55441	10	1	10	10	1	1	1	-0.4	0
chr1:57159	10	1	10	10	1	1	1	-0.4	0
chr1:57159	10	1	10	10	1	1	1	-0.4	0
chr1:57159	10	1	10	10	1	1	1	-0.4	0
chr1:58705	10	1	10	10	1	1	1	-0.4	0
chr1:58705	10	1	10	10	1	1	1	-0.4	0
chr1:59474	10	1	10	10	1	1	1	-0.4	0
chr1:59969	10	1	10	10	1	1	1	-0.4	0
chr1:60614	10	1	10	10	1	1	1	-0.4	0
chr1:64110	10	1	10	10	1	1	1	-0.4	0
chr1:64110	10	1	10	10	1	1	1	-0.4	0
chr1:68292	10	1	10	10	1	1	1	-0.4	0
chr1:68292	10	1	10	10	1	1	1	-0.4	0
chr1:68292	10	1	10	10	1	1	1	-0.4	0
chr1:68538	10	1	10	10	1	1	1	-0.4	0
chr1:68538	10	1	10	10	1	1	1	-0.4	0
chr1:68538	10	1	10	10	1	1	1	-0.4	0
chr1:72294	10	1	10	10	1	1	1	-0.4	0
chr1:76084	10	1	10	10	1	1	1	-0.4	0
chr1:76084	10	1	10	10	1	1	1	-0.4	0
chr1:76084	10	1	10	10	1	1	1	-0.4	0
chr1:77740	10	1	10	10	1	1	1	-0.4	0
chr1:77740	10	1	10	10	1	1	1	-0.4	0
chr1:79448	10	1	10	10	1	1	1	-0.4	0
chr1:79448	10	1	10	10	1	1	1	-0.4	0
chr1:81070	10	1	10	10	1	1	1	-0.4	0
chr1:82236	10	1	10	10	1	1	1	-0.4	0
chr1:82236	10	1	10	10	1	1	1	-0.4	0
chr1:82236	10	1	10	10	1	1	1	-0.4	0
chr1:82406	10	1	10	10	1	1	1	-0.4	0
chr1:82406	10	1	10	10	1	1	1	-0.4	0
chr1:82406	10	1	10	10	1	1	1	-0.4	0
chr1:85346	10	1	10	10	1	1	1	-0.4	0
chr1:87072	10	1	10	10	1	1	1	-0.4	0
chr1:87072	10	1	10	10	1	1	1	-0.4	0
chr1:91390	10	1	10	10	1	1	1	-0.4	0
chr1:91390	10	1	10	10	1	1	1	-0.4	0
chr1:95694	10	1	10	10	1	1	1	-0.4	0
chr1:95694	10	1	10	10	1	1	1	-0.4	0
chr1:95694	10	1	10	10	1	1	1	-0.4	0
chr1:99826	10	1	10	10	1	1	1	-0.4	0
chr1:99826	10	1	10	10	1	1	1	-0.4	0
chr1:99826	10	1	10	10	1	1	1	-0.4	0
chr1:102011	10	1	10	10	1	1	1	-0.4	0
chr1:107029	10	1	10	10	1	1	1	-0.4	0
chr1:107886	10	1	10	10	1	1	1	-0.4	0
chr1:107886	10	1	10	10	1	1	1	-0.4	0
chr1:108753	10	1	10	10	1	1	1	-0.4	0
chr1:108753	10	1	10	10	1	1	1	-0.4	0
