Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr2:6922146	10	1	10	10	-1	94.75	1	-0.4	0
chr1:6308629	10	1	10	10	-1	93.37	1	-0.4	0
chr3:9737588	10	1	10	10	-1	93.37	1	-0.4	0
chr4:446917	10	1	10	10	-1	88.84	1	-0.4	0
chr2:19641134	10	1	10	10	-1	88.34	1	-0.4	0
chr4:2352030	10	1	10	10	-1	88.28	1	-0.4	0
chr2:7074047	10	1	10	10	-1	87.72	1	-0.4	0
chr5:24003825	10	1	10	10	-1	87.72	1	-0.4	0
chr3:6565327	10	1	10	10	-1	87.5	1	-0.4	0
chr1:15880433	10	1	10	10	-1	87.17	1	-0.4	0
chr3:8623306	10	1	10	10	-1	87.03	1	-0.4	0
chr4:14859940	10	1	10	10	-1	86.95	1	-0.4	0
chr5:24478895	10	1	10	10	-1	86.86	1	-0.4	0
chr1:3075583	10	1	10	10	-1	86.62	1	-0.4	0
chr5:23507521	10	1	10	10	-1	86.61	1	-0.4	0
chr5:1378008	10	1	10	10	-1	85.95	1	-0.4	0
chr2:10430210	10	1	10	10	-1	85.9	1	-0.4	0
chr1:4855383	10	1	10	10	-1	85.78	1	-0.4	0
chr1:10365258	10	1	10	10	-1	85.58	1	-0.4	0
chr1:29638709	10	1	10	10	-1	85.18	1	-0.4	0
chr3:20865799	10	1	10	10	-1	84.87	1	-0.4	0
chr5:23359618	10	1	10	10	-1	84.79	1	-0.4	0
chr2:15444755	10	1	10	10	-1	84.6	1	-0.4	0
chr1:8311405	10	1	10	10	-1	84.43	1	-0.4	0
chr1:28739224	10	1	10	10	-1	84.06	1	-0.4	0
chr1:559867	10	1	10	10	-1	83.97	1	-0.4	0
chr4:17185755	10	1	10	10	-1	83.47	1	-0.4	0
chr5:24873298	10	1	10	10	-1	83.31	1	-0.4	0
chr1:2013718	10	1	10	10	-1	83.26	1	-0.4	0
chr1:26592892	10	1	10	10	-1	83.26	1	-0.4	0
chr4:7354403	10	1	10	10	-1	83.19	1	-0.4	0
chr2:11752382	10	1	10	10	-1	83.18	1	-0.4	0
chr5:426224	10	1	10	10	-1	83.03	1	-0.4	0
chr1:20948436	10	1	10	10	-1	82.75	1	-0.4	0
chr3:2156267	10	1	10	10	-1	82.75	1	-0.4	0
chr3:5547436	10	1	10	10	-1	82.63	1	-0.4	0
chr1:10001615	10	1	10	10	-1	82.56	1	-0.4	0
chr1:9481368	10	1	10	10	-1	82.49	1	-0.4	0
chr1:22829803	10	1	10	10	-1	82.46	1	-0.4	0
chr4:17998792	10	1	10	10	-1	82.31	1	-0.4	0
chr5:4432148	10	1	10	10	-1	82.24	1	-0.4	0
chr2:5541431	10	1	10	10	-1	82.2	1	-0.4	0
chr1:22185813	10	1	10	10	-1	82.19	1	-0.4	0
chr1:9286365	10	1	10	10	-1	81.91	1	-0.4	0
chr1:19993340	10	1	10	10	-1	81.82	1	-0.4	0
chr3:5339929	10	1	10	10	-1	81.67	1	-0.4	0
chr2:14999195	10	1	10	10	-1	81.66	1	-0.4	0
chr4:17774604	10	1	10	10	-1	81.36	1	-0.4	0
chr5:23451104	10	1	10	10	-1	81.03	1	-0.4	0
chr4:14026404	10	1	10	10	-1	80.9	1	-0.4	0
chr1:19052588	10	1	10	10	-1	80.88	1	-0.4	0
chr4:10474069	10	1	10	10	-1	80.57	1	-0.4	0
chr5:26500352	10	1	10	10	-1	80.57	1	-0.4	0
chr1:25877688	10	1	10	10	-1	80.46	1	-0.4	0
chr1:27786745	10	1	10	10	-1	80.32	1	-0.4	0
chr2:18790532	10	1	10	10	-1	80.07	1	-0.4	0
chr3:19121094	10	1	10	10	-1	80.02	1	-0.4	0
chr1:25559116	10	1	10	10	-1	80	1	-0.4	0
chr3:22328145	10	1	10	10	-1	79.96	1	-0.4	0
chr3:3879010	10	1	10	10	-1	79.86	1	-0.4	0
chr4:7787404	10	1	10	10	-1	79.63	1	-0.4	0
chr4:14654914	10	1	10	10	-1	79.51	1	-0.4	0
chr3:22917504	10	1	10	10	-1	79.5	1	-0.4	0
chr5:6202430	10	1	10	10	-1	79.35	1	-0.4	0
chr3:4506892	10	1	10	10	-1	79.31	1	-0.4	0
chr5:21095812	10	1	10	10	-1	79.18	1	-0.4	0
chr1:28218819	10	1	10	10	-1	79.14	1	-0.4	0
chr4:17875144	10	1	10	10	-1	79.08	1	-0.4	0
chr5:1608499	10	1	10	10	-1	79.01	1	-0.4	0
chr4:15974847	10	1	10	10	-1	78.94	1	-0.4	0
chr5:16390685	10	1	10	10	-1	78.87	1	-0.4	0
chr2:12224413	10	1	10	10	-1	78.77	1	-0.4	0
chr5:8725834	10	1	10	10	-1	78.68	1	-0.4	0
chr2:17577725	10	1	10	10	-1	78.57	1	-0.4	0
chr3:8209360	10	1	10	10	-1	78.5	1	-0.4	0
chr4:549932	10	1	10	10	-1	78.49	1	-0.4	0
chr1:2861972	10	1	10	10	-1	78.35	1	-0.4	0
chr2:18345365	10	1	10	10	-1	78.21	1	-0.4	0
chr4:13674866	10	1	10	10	-1	78.14	1	-0.4	0
chr2:14310875	10	1	10	10	-1	78.13	1	-0.4	0
chr3:21830668	10	1	10	10	-1	78.13	1	-0.4	0
chr5:5358628	10	1	10	10	-1	78.09	1	-0.4	0
chr3:4359679	10	1	10	10	-1	78.04	1	-0.4	0
chr1:754307	10	1	10	10	-1	77.97	1	-0.4	0
chr1:28876148	10	1	10	10	-1	77.9	1	-0.4	0
chr2:15139801	10	1	10	10	-1	77.86	1	-0.4	0
chr2:10667273	10	1	10	10	-1	77.85	1	-0.4	0
chr3:5297916	10	1	10	10	-1	77.84	1	-0.4	0
chr5:25484638	10	1	10	10	-1	77.79	1	-0.4	0
chr4:12781699	10	1	10	10	-1	77.74	1	-0.4	0
chr3:5255360	10	1	10	10	-1	77.73	1	-0.4	0
chr5:24908425	10	1	10	10	-1	77.73	1	-0.4	0
chr3:23265234	10	1	10	10	-1	77.6	1	-0.4	0
chr5:24480318	10	1	10	10	-1	77.58	1	-0.4	0
chr1:26164770	10	1	10	10	-1	77.54	1	-0.4	0
chr1:3776166	10	1	10	10	-1	77.5	1	-0.4	0
chr5:7664397	10	1	10	10	-1	77.46	1	-0.4	0
chr1:24898755	10	1	10	10	-1	77.44	1	-0.4	0
chr3:3692317	10	1	10	10	-1	77.44	1	-0.4	0
chr1:25765546	10	1	10	10	-1	77.43	1	-0.4	0
