Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:1469264	10	1	10	10	-1	107.42	1	-0.4	0
chr1:24711734	10	1	10	10	-1	106.81	1	-0.4	0
chr5:4432098	10	1	10	10	-1	103.59	1	-0.4	0
chr1:27484040	10	1	10	10	-1	103.38	1	-0.4	0
chr1:20948377	10	1	10	10	-1	103.19	1	-0.4	0
chr4:6649711	10	1	10	10	-1	103.19	1	-0.4	0
chr3:6565292	10	1	10	10	-1	103.1	1	-0.4	0
chr4:446908	10	1	10	10	-1	102.59	1	-0.4	0
chr2:97855	10	1	10	10	-1	102.5	1	-0.4	0
chr4:285459	10	1	10	10	-1	101.99	1	-0.4	0
chr1:5525389	10	1	10	10	-1	100.9	1	-0.4	0
chr1:25877632	10	1	10	10	-1	100.31	1	-0.4	0
chr3:17739898	10	1	10	10	-1	100.21	1	-0.4	0
chr4:9753869	10	1	10	10	-1	99.98	1	-0.4	0
chr3:9595417	10	1	10	10	-1	99.61	1	-0.4	0
chr2:19349340	10	1	10	10	-1	99.3	1	-0.4	0
chr3:4462162	10	1	10	10	-1	99.2	1	-0.4	0
chr2:6922150	10	1	10	10	-1	99.02	1	-0.4	0
chr4:85059	10	1	10	10	-1	99.02	1	-0.4	0
chr2:12495961	10	1	10	10	-1	98.93	1	-0.4	0
chr1:30249396	10	1	10	10	-1	98.43	1	-0.4	0
chr3:22328154	10	1	10	10	-1	98.24	1	-0.4	0
chr5:15966522	10	1	10	10	-1	98.11	1	-0.4	0
chr5:16290606	10	1	10	10	-1	97.96	1	-0.4	0
chr2:19641038	10	1	10	10	-1	97.81	1	-0.4	0
chr4:6444942	10	1	10	10	-1	97.81	1	-0.4	0
chr4:9448935	10	1	10	10	-1	97.61	1	-0.4	0
chr2:15616280	10	1	10	10	-1	97.44	1	-0.4	0
chr4:12243659	10	1	10	10	-1	97.42	1	-0.4	0
chr1:5535671	10	1	10	10	-1	97.25	1	-0.4	0
chr5:26822228	10	1	10	10	-1	97.14	1	-0.4	0
chr5:26394710	10	1	10	10	-1	97.08	1	-0.4	0
chr1:6308650	10	1	10	10	-1	96.79	1	-0.4	0
chr4:12571687	10	1	10	10	-1	96.78	1	-0.4	0
chr1:3075559	10	1	10	10	-1	96.68	1	-0.4	0
chr5:7497984	10	1	10	10	-1	96.66	1	-0.4	0
chr1:6015211	10	1	10	10	-1	96.43	1	-0.4	0
chr2:15100087	10	1	10	10	-1	96.34	1	-0.4	0
chr4:14958083	10	1	10	10	-1	96.34	1	-0.4	0
chr5:20263163	10	1	10	10	-1	96.27	1	-0.4	0
chr3:17690876	10	1	10	10	-1	96.04	1	-0.4	0
chr1:2754675	10	1	10	10	-1	96	1	-0.4	0
chr5:25816790	10	1	10	10	-1	95.86	1	-0.4	0
chr2:17901056	10	1	10	10	-1	95.75	1	-0.4	0
chr2:12004544	10	1	10	10	-1	95.72	1	-0.4	0
chr4:16154908	10	1	10	10	-1	95.7	1	-0.4	0
chr1:26118028	10	1	10	10	-1	95.66	1	-0.4	0
chr5:2985551	10	1	10	10	-1	95.61	1	-0.4	0
chr3:7214042	10	1	10	10	-1	95.55	1	-0.4	0
chr5:26249285	10	1	10	10	-1	95.45	1	-0.4	0
chr5:5181579	10	1	10	10	-1	95.37	1	-0.4	0
chr5:24766610	10	1	10	10	-1	95.23	1	-0.4	0
chr3:1039985	10	1	10	10	-1	95.1	1	-0.4	0
chr3:23195998	10	1	10	10	-1	95.1	1	-0.4	0
chr1:17816515	10	1	10	10	-1	94.91	1	-0.4	0
chr1:7396993	10	1	10	10	-1	94.91	1	-0.4	0
chr3:17138004	10	1	10	10	-1	94.83	1	-0.4	0
chr3:18137227	10	1	10	10	-1	94.81	1	-0.4	0
chr1:183439	10	1	10	10	-1	94.55	1	-0.4	0
chr3:21057064	10	1	10	10	-1	94.52	1	-0.4	0
chr3:21059690	10	1	10	10	-1	94.51	1	-0.4	0
chr3:19453276	10	1	10	10	-1	94.49	1	-0.4	0
chr3:22248772	10	1	10	10	-1	94.42	1	-0.4	0
chr1:498951	10	1	10	10	-1	94.36	1	-0.4	0
chr3:4933048	10	1	10	10	-1	94	1	-0.4	0
chr4:17290191	10	1	10	10	-1	94	1	-0.4	0
chr4:2572548	10	1	10	10	-1	93.89	1	-0.4	0
chr1:29549032	10	1	10	10	-1	93.87	1	-0.4	0
chr3:4035727	10	1	10	10	-1	93.86	1	-0.4	0
chr5:2433894	10	1	10	10	-1	93.85	1	-0.4	0
chr1:5532076	10	1	10	10	-1	93.74	1	-0.4	0
chr3:3692361	10	1	10	10	-1	93.74	1	-0.4	0
chr1:23898987	10	1	10	10	-1	93.62	1	-0.4	0
chr2:14180379	10	1	10	10	-1	93.47	1	-0.4	0
chr2:18060554	10	1	10	10	-1	93.38	1	-0.4	0
chr1:4463795	10	1	10	10	-1	93.37	1	-0.4	0
chr5:25437030	10	1	10	10	-1	93.3	1	-0.4	0
chr1:2013641	10	1	10	10	-1	93.26	1	-0.4	0
chr2:9370668	10	1	10	10	-1	93.26	1	-0.4	0
chr4:9759101	10	1	10	10	-1	93.23	1	-0.4	0
chr1:22645347	10	1	10	10	-1	93.2	1	-0.4	0
chr3:7280323	10	1	10	10	-1	93.13	1	-0.4	0
chr1:25997144	10	1	10	10	-1	93.09	1	-0.4	0
chr5:24908362	10	1	10	10	-1	93.02	1	-0.4	0
chr1:4527775	10	1	10	10	-1	92.98	1	-0.4	0
chr3:6120578	10	1	10	10	-1	92.96	1	-0.4	0
chr5:16158991	10	1	10	10	-1	92.96	1	-0.4	0
chr1:26685002	10	1	10	10	-1	92.88	1	-0.4	0
