Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:82309	10	1	10	10	1	1	1	-0.4	0
chr1:173743	10	1	10	10	1	1	1	-0.4	0
chr1:179209	10	1	10	10	1	1	1	-0.4	0
chr1:182491	10	1	10	10	1	1	1	-0.4	0
chr1:270051	10	1	10	10	1	1	1	-0.4	0
chr1:364263	10	1	10	10	1	1	1	-0.4	0
chr1:428406	10	1	10	10	1	1	1	-0.4	0
chr1:434634	10	1	10	10	1	1	1	-0.4	0
chr1:445785	10	1	10	10	1	1	1	-0.4	0
chr1:473780	10	1	10	10	1	1	1	-0.4	0
chr1:479351	10	1	10	10	1	1	1	-0.4	0
chr1:488379	10	1	10	10	1	1	1	-0.4	0
chr1:496202	10	1	10	10	1	1	1	-0.4	0
chr1:497627	10	1	10	10	1	1	1	-0.4	0
chr1:499006	10	1	10	10	1	1	1	-0.4	0
chr1:618176	10	1	10	10	1	1	1	-0.4	0
chr1:636220	10	1	10	10	1	1	1	-0.4	0
chr1:658493	10	1	10	10	1	1	1	-0.4	0
chr1:786974	10	1	10	10	1	1	1	-0.4	0
chr1:865262	10	1	10	10	1	1	1	-0.4	0
chr1:933628	10	1	10	10	1	1	1	-0.4	0
chr1:978211	10	1	10	10	1	1	1	-0.4	0
chr1:978924	10	1	10	10	1	1	1	-0.4	0
chr1:983476	10	1	10	10	1	1	1	-0.4	0
chr1:1049991	10	1	10	10	1	1	1	-0.4	0
chr1:1170744	10	1	10	10	1	1	1	-0.4	0
chr1:1172871	10	1	10	10	1	1	1	-0.4	0
chr1:1191335	10	1	10	10	1	1	1	-0.4	0
chr1:1275560	10	1	10	10	1	1	1	-0.4	0
chr1:1424099	10	1	10	10	1	1	1	-0.4	0
chr1:1425575	10	1	10	10	1	1	1	-0.4	0
chr1:1426670	10	1	10	10	1	1	1	-0.4	0
chr1:1548515	10	1	10	10	1	1	1	-0.4	0
chr1:1714305	10	1	10	10	1	1	1	-0.4	0
chr1:1829957	10	1	10	10	1	1	1	-0.4	0
chr1:2199865	10	1	10	10	1	1	1	-0.4	0
chr1:2312981	10	1	10	10	1	1	1	-0.4	0
chr1:2342174	10	1	10	10	1	1	1	-0.4	0
chr1:2348993	10	1	10	10	1	1	1	-0.4	0
chr1:2432636	10	1	10	10	1	1	1	-0.4	0
chr1:2530445	10	1	10	10	1	1	1	-0.4	0
chr1:2628022	10	1	10	10	1	1	1	-0.4	0
chr1:2755478	10	1	10	10	1	1	1	-0.4	0
chr1:2848293	10	1	10	10	1	1	1	-0.4	0
chr1:3094847	10	1	10	10	1	1	1	-0.4	0
chr1:3241545	10	1	10	10	1	1	1	-0.4	0
chr1:3250035	10	1	10	10	1	1	1	-0.4	0
chr1:3251792	10	1	10	10	1	1	1	-0.4	0
chr1:3272918	10	1	10	10	1	1	1	-0.4	0
chr1:3324012	10	1	10	10	1	1	1	-0.4	0
chr1:3545636	10	1	10	10	1	1	1	-0.4	0
