Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr3:5620943	10	1	10	10	-1	94.31	1	-0.4	0
chr3:9595398	10	1	10	10	-1	93.3	1	-0.4	0
chr3:18837564	10	1	10	10	-1	92.74	1	-0.4	0
chr5:19978148	10	1	10	10	-1	92.48	1	-0.4	0
chr1:26827024	10	1	10	10	-1	91.47	1	-0.4	0
chr5:21945782	10	1	10	10	-1	91.19	1	-0.4	0
chr5:26394446	10	1	10	10	-1	90.88	1	-0.4	0
chr5:4517706	10	1	10	10	-1	90.34	1	-0.4	0
chr2:12682635	10	1	10	10	-1	89.83	1	-0.4	0
chr1:17031384	10	1	10	10	-1	89.67	1	-0.4	0
chr4:7641474	10	1	10	10	-1	89.61	1	-0.4	0
chr1:1647244	10	1	10	10	-1	89.46	1	-0.4	0
chr5:19381572	10	1	10	10	-1	89.38	1	-0.4	0
chr4:285361	10	1	10	10	-1	89.05	1	-0.4	0
chr2:14180442	10	1	10	10	-1	88.54	1	-0.4	0
chr1:2013618	10	1	10	10	-1	88.51	1	-0.4	0
chr1:21936342	10	1	10	10	-1	87.74	1	-0.4	0
chr1:28551736	10	1	10	10	-1	87.54	1	-0.4	0
chr3:10458728	10	1	10	10	-1	86.97	1	-0.4	0
chr1:20911697	10	1	10	10	-1	86.8	1	-0.4	0
chr2:16770500	10	1	10	10	-1	86.59	1	-0.4	0
chr2:15021637	10	1	10	10	-1	86.21	1	-0.4	0
chr2:16090544	10	1	10	10	-1	85.64	1	-0.4	0
chr1:2586173	10	1	10	10	-1	85.4	1	-0.4	0
chr5:4722465	10	1	10	10	-1	85.3	1	-0.4	0
chr4:15992226	10	1	10	10	-1	84.91	1	-0.4	0
chr1:23126568	10	1	10	10	-1	84.86	1	-0.4	0
chr4:17039741	10	1	10	10	-1	84.81	1	-0.4	0
chr2:981787	10	1	10	10	-1	84.8	1	-0.4	0
chr2:15099523	10	1	10	10	-1	84.65	1	-0.4	0
chr1:20270153	10	1	10	10	-1	84.58	1	-0.4	0
chr5:16389714	10	1	10	10	-1	84.57	1	-0.4	0
chr3:15207412	10	1	10	10	-1	84.49	1	-0.4	0
chr5:26249338	10	1	10	10	-1	84.26	1	-0.4	0
chr2:15416841	10	1	10	10	-1	83.68	1	-0.4	0
chr4:995015	10	1	10	10	-1	83.62	1	-0.4	0
chr5:3857158	10	1	10	10	-1	83.42	1	-0.4	0
chr5:15631323	10	1	10	10	-1	83.39	1	-0.4	0
chr5:2132321	10	1	10	10	-1	83.09	1	-0.4	0
chr5:3368362	10	1	10	10	-1	83.09	1	-0.4	0
chr1:8911464	10	1	10	10	-1	82.76	1	-0.4	0
chr1:8079356	10	1	10	10	-1	82.57	1	-0.4	0
chr4:9391754	10	1	10	10	-1	82.48	1	-0.4	0
chr2:10429311	10	1	10	10	-1	82.47	1	-0.4	0
chr1:9331762	10	1	10	10	-1	82.32	1	-0.4	0
chr4:2330195	10	1	10	10	-1	82.14	1	-0.4	0
chr5:22972735	10	1	10	10	-1	82.08	1	-0.4	0
chr1:10959912	10	1	10	10	-1	81.72	1	-0.4	0
chr2:7513054	10	1	10	10	-1	81.66	1	-0.4	0
chr3:4912434	10	1	10	10	-1	81.59	1	-0.4	0
chr4:11988975	10	1	10	10	-1	81.57	1	-0.4	0
chr1:431088	10	1	10	10	-1	81.54	1	-0.4	0
chr3:5617843	10	1	10	10	-1	81.53	1	-0.4	0
chr5:1998725	10	1	10	10	-1	81.51	1	-0.4	0
chr1:24486953	10	1	10	10	-1	81.34	1	-0.4	0
chr4:7004087	10	1	10	10	-1	81.28	1	-0.4	0
chr5:6145026	10	1	10	10	-1	81.25	1	-0.4	0
chr2:18833055	10	1	10	10	-1	81.22	1	-0.4	0
chr5:8734926	10	1	10	10	-1	81.13	1	-0.4	0
chr3:17478701	10	1	10	10	-1	80.94	1	-0.4	0
chr3:18522352	10	1	10	10	-1	80.75	1	-0.4	0
chr5:26933251	10	1	10	10	-1	80.6	1	-0.4	0
chr1:21539958	10	1	10	10	-1	80.41	1	-0.4	0
chr5:24318043	10	1	10	10	-1	80.25	1	-0.4	0
chr2:11752403	10	1	10	10	-1	80.21	1	-0.4	0
chr5:2935656	10	1	10	10	-1	80.19	1	-0.4	0
chr2:6651553	10	1	10	10	-1	80.17	1	-0.4	0
chr4:9993723	10	1	10	10	-1	80.12	1	-0.4	0
chr5:26901204	10	1	10	10	-1	80.1	1	-0.4	0
chr5:6202481	10	1	10	10	-1	80.09	1	-0.4	0
chr1:24748085	10	1	10	10	-1	80.04	1	-0.4	0
chr2:15150405	10	1	10	10	-1	79.93	1	-0.4	0
chr5:3304780	10	1	10	10	-1	79.75	1	-0.4	0
chr1:621479	10	1	10	10	-1	79.67	1	-0.4	0
chr4:8100219	10	1	10	10	-1	79.56	1	-0.4	0
chr4:189305	10	1	10	10	-1	79.52	1	-0.4	0
chr1:27048317	10	1	10	10	-1	79.48	1	-0.4	0
chr1:27739091	10	1	10	10	-1	79.48	1	-0.4	0
chr2:16293144	10	1	10	10	-1	79.31	1	-0.4	0
chr3:6089045	10	1	10	10	-1	79.28	1	-0.4	0
chr3:7374733	10	1	10	10	-1	79.28	1	-0.4	0
chr3:10043831	10	1	10	10	-1	79.25	1	-0.4	0
chr1:5386716	10	1	10	10	-1	79.14	1	-0.4	0
chr5:15641137	10	1	10	10	-1	79.14	1	-0.4	0
chr1:12478263	10	1	10	10	-1	79.11	1	-0.4	0
chr5:25438156	10	1	10	10	-1	79.03	1	-0.4	0
chr2:15831825	10	1	10	10	-1	78.97	1	-0.4	0
chr3:6380781	10	1	10	10	-1	78.97	1	-0.4	0
chr5:20720931	10	1	10	10	-1	78.81	1	-0.4	0
chr5:23989977	10	1	10	10	-1	78.76	1	-0.4	0
chr1:30194810	10	1	10	10	-1	78.74	1	-0.4	0
chr2:19377378	10	1	10	10	-1	78.74	1	-0.4	0
chr5:2284772	10	1	10	10	-1	78.55	1	-0.4	0
chr5:1374728	10	1	10	10	-1	78.39	1	-0.4	0
chr3:22917474	10	1	10	10	-1	78.32	1	-0.4	0
chr5:5535433	10	1	10	10	-1	78.25	1	-0.4	0
chr3:20244347	10	1	10	10	-1	78.17	1	-0.4	0
