Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:11264	10	1	10	10	1	1	1	-0.4	0
chr1:11264	10	1	10	10	1	1	1	-0.4	0
chr1:13726	10	1	10	10	1	1	1	-0.4	0
chr1:13726	10	1	10	10	1	1	1	-0.4	0
chr1:14894	10	1	10	10	1	1	1	-0.4	0
chr1:14894	10	1	10	10	1	1	1	-0.4	0
chr1:16070	10	1	10	10	1	1	1	-0.4	0
chr1:16722	10	1	10	10	1	1	1	-0.4	0
chr1:16722	10	1	10	10	1	1	1	-0.4	0
chr1:16722	10	1	10	10	1	1	1	-0.4	0
chr1:20632	10	1	10	10	1	1	1	-0.4	0
chr1:20632	10	1	10	10	1	1	1	-0.4	0
chr1:38052	10	1	10	10	1	1	1	-0.4	0
chr1:38052	10	1	10	10	1	1	1	-0.4	0
chr1:51429	10	1	10	10	1	1	1	-0.4	0
chr1:68390	10	1	10	10	1	1	1	-0.4	0
chr1:83376	10	1	10	10	1	1	1	-0.4	0
chr1:99690	10	1	10	10	1	1	1	-0.4	0
chr1:99690	10	1	10	10	1	1	1	-0.4	0
chr1:104185	10	1	10	10	1	1	1	-0.4	0
chr1:106435	10	1	10	10	1	1	1	-0.4	0
chr1:106435	10	1	10	10	1	1	1	-0.4	0
chr1:107897	10	1	10	10	1	1	1	-0.4	0
chr1:107897	10	1	10	10	1	1	1	-0.4	0
chr1:116246	10	1	10	10	1	1	1	-0.4	0
chr1:116246	10	1	10	10	1	1	1	-0.4	0
chr1:120842	10	1	10	10	1	1	1	-0.4	0
chr1:120842	10	1	10	10	1	1	1	-0.4	0
chr1:131246	10	1	10	10	1	1	1	-0.4	0
chr1:131246	10	1	10	10	1	1	1	-0.4	0
chr1:146283	10	1	10	10	1	1	1	-0.4	0
chr1:146283	10	1	10	10	1	1	1	-0.4	0
chr1:146283	10	1	10	10	1	1	1	-0.4	0
chr1:149953	10	1	10	10	1	1	1	-0.4	0
chr1:149953	10	1	10	10	1	1	1	-0.4	0
chr1:156567	10	1	10	10	1	1	1	-0.4	0
chr1:156567	10	1	10	10	1	1	1	-0.4	0
chr1:167624	10	1	10	10	1	1	1	-0.4	0
chr1:182574	10	1	10	10	1	1	1	-0.4	0
chr1:183459	10	1	10	10	1	1	1	-0.4	0
chr1:198625	10	1	10	10	1	1	1	-0.4	0
chr1:198625	10	1	10	10	1	1	1	-0.4	0
chr1:200982	10	1	10	10	1	1	1	-0.4	0
chr1:206827	10	1	10	10	1	1	1	-0.4	0
chr1:206827	10	1	10	10	1	1	1	-0.4	0
chr1:206827	10	1	10	10	1	1	1	-0.4	0
chr1:212756	10	1	10	10	1	1	1	-0.4	0
chr1:226279	10	1	10	10	1	1	1	-0.4	0
chr1:228372	10	1	10	10	1	1	1	-0.4	0
chr1:228372	10	1	10	10	1	1	1	-0.4	0
chr1:229079	10	1	10	10	1	1	1	-0.4	0
chr1:269197	10	1	10	10	1	1	1	-0.4	0
chr1:282502	10	1	10	10	1	1	1	-0.4	0
chr1:291645	10	1	10	10	1	1	1	-0.4	0
chr1:291645	10	1	10	10	1	1	1	-0.4	0
chr1:291645	10	1	10	10	1	1	1	-0.4	0
chr1:310081	10	1	10	10	1	1	1	-0.4	0
chr1:325136	10	1	10	10	1	1	1	-0.4	0
chr1:325136	10	1	10	10	1	1	1	-0.4	0
chr1:364318	10	1	10	10	1	1	1	-0.4	0
chr1:364318	10	1	10	10	1	1	1	-0.4	0
chr1:368261	10	1	10	10	1	1	1	-0.4	0
