Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr3:1799942	10	1	10	10	-1	96.44	1	-0.4	0
chr3:22303853	10	1	10	10	-1	95.82	1	-0.4	0
chr5:4722298	10	1	10	10	-1	95.12	1	-0.4	0
chr2:7398926	10	1	10	10	-1	93.82	1	-0.4	0
chr4:8344458	10	1	10	10	-1	92.7	1	-0.4	0
chr4:16330326	10	1	10	10	-1	92.59	1	-0.4	0
chr4:506660	10	1	10	10	-1	92.45	1	-0.4	0
chr2:9173447	10	1	10	10	-1	91.78	1	-0.4	0
chr1:8130510	10	1	10	10	-1	91.36	1	-0.4	0
chr2:16950495	10	1	10	10	-1	90.94	1	-0.4	0
chr3:18883403	10	1	10	10	-1	90.77	1	-0.4	0
chr2:2082017	10	1	10	10	-1	90.75	1	-0.4	0
chr1:15936065	10	1	10	10	-1	90.21	1	-0.4	0
chr3:6220550	10	1	10	10	-1	89.77	1	-0.4	0
chr2:7935001	10	1	10	10	-1	89.61	1	-0.4	0
chr2:12004532	10	1	10	10	-1	89.3	1	-0.4	0
chr5:19835091	10	1	10	10	-1	89.18	1	-0.4	0
chr4:7646634	10	1	10	10	-1	89.01	1	-0.4	0
chr5:5185694	10	1	10	10	-1	88.86	1	-0.4	0
chr4:13571685	10	1	10	10	-1	88.72	1	-0.4	0
chr1:29496068	10	1	10	10	-1	88.62	1	-0.4	0
chr5:24476914	10	1	10	10	-1	88.21	1	-0.4	0
chr1:9408711	10	1	10	10	-1	88.18	1	-0.4	0
chr4:9816315	10	1	10	10	-1	88.06	1	-0.4	0
chr1:27670435	10	1	10	10	-1	87.95	1	-0.4	0
chr1:10078189	10	1	10	10	-1	87.69	1	-0.4	0
chr5:2184020	10	1	10	10	-1	87.58	1	-0.4	0
chr5:58194	10	1	10	10	-1	87.39	1	-0.4	0
chr2:15644570	10	1	10	10	-1	86.88	1	-0.4	0
chr1:10073525	10	1	10	10	-1	86.7	1	-0.4	0
chr1:18693094	10	1	10	10	-1	86.52	1	-0.4	0
chr3:7950971	10	1	10	10	-1	86.5	1	-0.4	0
chr1:9352115	10	1	10	10	-1	86.45	1	-0.4	0
chr5:19308927	10	1	10	10	-1	86.33	1	-0.4	0
chr5:6362163	10	1	10	10	-1	85.95	1	-0.4	0
chr5:8655041	10	1	10	10	-1	85.68	1	-0.4	0
chr3:2901077	10	1	10	10	-1	85.64	1	-0.4	0
chr1:22598459	10	1	10	10	-1	85.53	1	-0.4	0
chr2:14085618	10	1	10	10	-1	85.41	1	-0.4	0
chr4:880935	10	1	10	10	-1	85.39	1	-0.4	0
chr2:12676157	10	1	10	10	-1	85.35	1	-0.4	0
chr4:12568972	10	1	10	10	-1	85.2	1	-0.4	0
chr3:9940935	10	1	10	10	-1	85.17	1	-0.4	0
chr5:575306	10	1	10	10	-1	85.13	1	-0.4	0
chr4:7591310	10	1	10	10	-1	85.09	1	-0.4	0
chr4:841018	10	1	10	10	-1	84.97	1	-0.4	0
chr4:18472355	10	1	10	10	-1	84.94	1	-0.4	0
chr5:1792646	10	1	10	10	-1	84.84	1	-0.4	0
chr5:19255941	10	1	10	10	-1	84.76	1	-0.4	0
chr5:10349230	10	1	10	10	-1	84.48	1	-0.4	0
chr4:16927732	10	1	10	10	-1	84.39	1	-0.4	0
chr2:2272402	10	1	10	10	-1	84.33	1	-0.4	0
chr4:14002264	10	1	10	10	-1	84.33	1	-0.4	0
chr1:6868071	10	1	10	10	-1	84.29	1	-0.4	0
chr2:10427622	10	1	10	10	-1	84.27	1	-0.4	0
chr1:27478825	10	1	10	10	-1	84.26	1	-0.4	0
chr4:17699190	10	1	10	10	-1	84.18	1	-0.4	0
chr1:30241417	10	1	10	10	-1	83.92	1	-0.4	0
chr1:27646860	10	1	10	10	-1	83.91	1	-0.4	0
chr5:26853534	10	1	10	10	-1	83.88	1	-0.4	0
chr1:3517139	10	1	10	10	-1	83.78	1	-0.4	0
chr3:19393669	10	1	10	10	-1	83.72	1	-0.4	0
chr3:8209301	10	1	10	10	-1	83.58	1	-0.4	0
chr5:17585245	10	1	10	10	-1	83.46	1	-0.4	0
chr5:5875153	10	1	10	10	-1	83.23	1	-0.4	0
chr3:545760	10	1	10	10	-1	83.15	1	-0.4	0
chr1:6601848	10	1	10	10	-1	83.11	1	-0.4	0
chr4:16862557	10	1	10	10	-1	83.11	1	-0.4	0
chr1:17911181	10	1	10	10	-1	83	1	-0.4	0
chr5:23966366	10	1	10	10	-1	83	1	-0.4	0
chr5:2112748	10	1	10	10	-1	82.94	1	-0.4	0
chr4:16900321	10	1	10	10	-1	82.89	1	-0.4	0
chr4:18453865	10	1	10	10	-1	82.89	1	-0.4	0
chr2:7260428	10	1	10	10	-1	82.85	1	-0.4	0
chr3:16189470	10	1	10	10	-1	82.67	1	-0.4	0
chr4:13036592	10	1	10	10	-1	82.64	1	-0.4	0
chr5:571443	10	1	10	10	-1	82.58	1	-0.4	0
chr1:4606199	10	1	10	10	-1	82.55	1	-0.4	0
chr1:19825543	10	1	10	10	-1	82.51	1	-0.4	0
chr4:14630995	10	1	10	10	-1	82.24	1	-0.4	0
chr3:19930766	10	1	10	10	-1	81.97	1	-0.4	0
chr4:16574569	10	1	10	10	-1	81.94	1	-0.4	0
chr1:28813030	10	1	10	10	-1	81.76	1	-0.4	0
chr2:15104617	10	1	10	10	-1	81.76	1	-0.4	0
chr1:1274270	10	1	10	10	-1	81.56	1	-0.4	0
chr3:18560866	10	1	10	10	-1	81.38	1	-0.4	0
