Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr2:6922154	10	1	10	10	-1	107.2	1	-0.4	0
chr2:6185052	10	1	10	10	-1	105.54	1	-0.4	0
chr4:1062303	10	1	10	10	-1	105.38	1	-0.4	0
chr1:11354015	10	1	10	10	-1	104.84	1	-0.4	0
chr3:6565338	10	1	10	10	-1	104.82	1	-0.4	0
chr2:9162532	10	1	10	10	-1	104.43	1	-0.4	0
chr5:16290544	10	1	10	10	-1	104.03	1	-0.4	0
chr1:22768591	10	1	10	10	-1	103.24	1	-0.4	0
chr3:22328178	10	1	10	10	-1	103.16	1	-0.4	0
chr5:6275103	10	1	10	10	-1	103.15	1	-0.4	0
chr5:22609040	10	1	10	10	-1	102.55	1	-0.4	0
chr1:17816475	10	1	10	10	-1	102.39	1	-0.4	0
chr4:57100	10	1	10	10	-1	101.8	1	-0.4	0
chr1:26213003	10	1	10	10	-1	101.72	1	-0.4	0
chr4:9448978	10	1	10	10	-1	101.72	1	-0.4	0
chr2:13798882	10	1	10	10	-1	101.52	1	-0.4	0
chr1:5296915	10	1	10	10	-1	101.48	1	-0.4	0
chr2:19282084	10	1	10	10	-1	101.21	1	-0.4	0
chr2:243469	10	1	10	10	-1	101.2	1	-0.4	0
chr1:12167821	10	1	10	10	-1	101.07	1	-0.4	0
chr4:8387991	10	1	10	10	-1	101.04	1	-0.4	0
chr3:4425011	10	1	10	10	-1	100.64	1	-0.4	0
chr2:14336964	10	1	10	10	-1	100.61	1	-0.4	0
chr1:8911431	10	1	10	10	-1	100.58	1	-0.4	0
chr4:10291468	10	1	10	10	-1	100.4	1	-0.4	0
chr3:6704368	10	1	10	10	-1	100.21	1	-0.4	0
chr4:11033331	10	1	10	10	-1	100.02	1	-0.4	0
chr4:16635568	10	1	10	10	-1	100	1	-0.4	0
chr4:851067	10	1	10	10	-1	99.99	1	-0.4	0
chr5:7085092	10	1	10	10	-1	99.99	1	-0.4	0
chr1:18927785	10	1	10	10	-1	99.97	1	-0.4	0
chr1:21256088	10	1	10	10	-1	99.92	1	-0.4	0
chr2:1669463	10	1	10	10	-1	99.89	1	-0.4	0
chr1:29549035	10	1	10	10	-1	99.87	1	-0.4	0
chr4:17119760	10	1	10	10	-1	99.83	1	-0.4	0
chr3:16458778	10	1	10	10	-1	99.61	1	-0.4	0
chr1:28876080	10	1	10	10	-1	99.35	1	-0.4	0
chr1:19993361	10	1	10	10	-1	99.25	1	-0.4	0
chr5:5181578	10	1	10	10	-1	99.23	1	-0.4	0
chr1:21732580	10	1	10	10	-1	98.95	1	-0.4	0
chr4:9446016	10	1	10	10	-1	98.84	1	-0.4	0
chr1:21911583	10	1	10	10	-1	98.77	1	-0.4	0
chr2:13137405	10	1	10	10	-1	98.76	1	-0.4	0
chr2:14653775	10	1	10	10	-1	98.75	1	-0.4	0
chr5:2075746	10	1	10	10	-1	98.62	1	-0.4	0
chr5:8747356	10	1	10	10	-1	98.6	1	-0.4	0
chr1:8533285	10	1	10	10	-1	98.58	1	-0.4	0
chr3:21829986	10	1	10	10	-1	98.54	1	-0.4	0
chr1:9887890	10	1	10	10	-1	98.37	1	-0.4	0
chr3:20890118	10	1	10	10	-1	98.32	1	-0.4	0
chr5:26394540	10	1	10	10	-1	98.31	1	-0.4	0
chr3:4751680	10	1	10	10	-1	98.27	1	-0.4	0
chr5:16390781	10	1	10	10	-1	98.27	1	-0.4	0
chr1:27571793	10	1	10	10	-1	98.1	1	-0.4	0
chr5:9645261	10	1	10	10	-1	98.03	1	-0.4	0
chr2:9214350	10	1	10	10	-1	97.97	1	-0.4	0
chr5:24057303	10	1	10	10	-1	97.72	1	-0.4	0
chr5:8768095	10	1	10	10	-1	97.66	1	-0.4	0
chr1:17945363	10	1	10	10	-1	97.64	1	-0.4	0
chr1:3302506	10	1	10	10	-1	97.59	1	-0.4	0
chr2:18730476	10	1	10	10	-1	97.57	1	-0.4	0
chr3:10023825	10	1	10	10	-1	97.53	1	-0.4	0
chr3:8531201	10	1	10	10	-1	97.41	1	-0.4	0
chr1:6687378	10	1	10	10	-1	97.18	1	-0.4	0
chr3:8213969	10	1	10	10	-1	97.18	1	-0.4	0
chr1:28740478	10	1	10	10	-1	97.1	1	-0.4	0
chr4:6217263	10	1	10	10	-1	97.09	1	-0.4	0
chr3:7280353	10	1	10	10	-1	97.07	1	-0.4	0
chr3:23389171	10	1	10	10	-1	96.96	1	-0.4	0
chr5:22028069	10	1	10	10	-1	96.87	1	-0.4	0
chr1:21008041	10	1	10	10	-1	96.85	1	-0.4	0
chr5:8049232	10	1	10	10	-1	96.71	1	-0.4	0
chr1:21440808	10	1	10	10	-1	96.56	1	-0.4	0
chr2:15099688	10	1	10	10	-1	96.55	1	-0.4	0
chr2:9326528	10	1	10	10	-1	96.55	1	-0.4	0
chr1:23898924	10	1	10	10	-1	96.5	1	-0.4	0
chr4:17874922	10	1	10	10	-1	96.5	1	-0.4	0
chr1:23994517	10	1	10	10	-1	96.44	1	-0.4	0
chr4:8506769	10	1	10	10	-1	96.39	1	-0.4	0
chr3:4660884	10	1	10	10	-1	96.35	1	-0.4	0
chr2:17570358	10	1	10	10	-1	96.32	1	-0.4	0
chr4:7641414	10	1	10	10	-1	96.29	1	-0.4	0
chr5:16300170	10	1	10	10	-1	96.11	1	-0.4	0
chr1:431180	10	1	10	10	-1	96.09	1	-0.4	0
chr1:1344032	10	1	10	10	-1	96.05	1	-0.4	0
chr1:11570901	10	1	10	10	-1	95.93	1	-0.4	0
chr2:12677442	10	1	10	10	-1	95.88	1	-0.4	0
chr5:26822235	10	1	10	10	-1	95.79	1	-0.4	0
chr1:30387870	10	1	10	10	-1	95.67	1	-0.4	0
chr1:27514756	10	1	10	10	-1	95.65	1	-0.4	0
chr2:11754699	10	1	10	10	-1	95.55	1	-0.4	0
chr1:29385294	10	1	10	10	-1	95.51	1	-0.4	0
chr3:4462178	10	1	10	10	-1	95.48	1	-0.4	0
chr3:10309613	10	1	10	10	-1	95.42	1	-0.4	0
chr3:23195957	10	1	10	10	-1	95.42	1	-0.4	0
chr1:29445834	10	1	10	10	-1	95.39	1	-0.4	0
chr1:7962658	10	1	10	10	-1	95.27	1	-0.4	0
chr4:17187362	10	1	10	10	-1	95.23	1	-0.4	0
chr5:7174704	10	1	10	10	-1	95.22	1	-0.4	0
chr5:21178405	10	1	10	10	-1	95.14	1	-0.4	0
chr5:5236001	10	1	10	10	-1	95	1	-0.4	0
chr4:9415372	10	1	10	10	-1	94.92	1	-0.4	0
chr1:7968757	10	1	10	10	-1	94.74	1	-0.4	0
chr3:9740709	10	1	10	10	-1	94.7	1	-0.4	0
chr1:20044425	10	1	10	10	-1	94.67	1	-0.4	0
chr1:27530113	10	1	10	10	-1	94.58	1	-0.4	0
chr5:21898731	10	1	10	10	-1	94.54	1	-0.4	0
chr1:9286340	10	1	10	10	-1	94.39	1	-0.4	0
chr4:8372341	10	1	10	10	-1	94.38	1	-0.4	0
chr3:4827994	10	1	10	10	-1	94.35	1	-0.4	0
chr2:19100920	10	1	10	10	-1	94.34	1	-0.4	0
chr1:5766436	10	1	10	10	-1	94.3	1	-0.4	0
chr1:11622961	10	1	10	10	-1	94.29	1	-0.4	0
chr5:19036094	10	1	10	10	-1	94.26	1	-0.4	0
chr3:20379015	10	1	10	10	-1	94.25	1	-0.4	0
chr1:5344574	10	1	10	10	-1	94.24	1	-0.4	0
chr4:9978564	10	1	10	10	-1	94.15	1	-0.4	0
chr4:8285309	10	1	10	10	-1	93.98	1	-0.4	0
chr5:2074486	10	1	10	10	-1	93.95	1	-0.4	0
chr3:6153779	10	1	10	10	-1	93.89	1	-0.4	0
chr4:15231386	10	1	10	10	-1	93.86	1	-0.4	0
chr3:5445379	10	1	10	10	-1	93.85	1	-0.4	0
chr2:11284732	10	1	10	10	-1	93.8	1	-0.4	0
chr5:6287813	10	1	10	10	-1	93.8	1	-0.4	0
chr1:26451673	10	1	10	10	-1	93.79	1	-0.4	0
chr2:13523871	10	1	10	10	-1	93.74	1	-0.4	0
chr2:13222782	10	1	10	10	-1	93.71	1	-0.4	0
chr5:22506181	10	1	10	10	-1	93.68	1	-0.4	0
chr5:7179444	10	1	10	10	-1	93.68	1	-0.4	0
chr3:7384586	10	1	10	10	-1	93.63	1	-0.4	0
chr3:18798870	10	1	10	10	-1	93.56	1	-0.4	0
chr1:29566445	10	1	10	10	-1	93.54	1	-0.4	0
chr4:9253934	10	1	10	10	-1	93.51	1	-0.4	0
chr1:10127308	10	1	10	10	-1	93.45	1	-0.4	0
chr5:6231777	10	1	10	10	-1	93.38	1	-0.4	0
chr3:22916012	10	1	10	10	-1	93.33	1	-0.4	0
chr4:1200141	10	1	10	10	-1	93.28	1	-0.4	0
chr4:15897896	10	1	10	10	-1	93.27	1	-0.4	0
chr4:18175486	10	1	10	10	-1	93.23	1	-0.4	0
