Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:57698	10	1	10	10	1	1	1	-0.4	0
chr1:58367	10	1	10	10	1	1	1	-0.4	0
chr1:68553	10	1	10	10	1	1	1	-0.4	0
chr1:95954	10	1	10	10	1	1	1	-0.4	0
chr1:116177	10	1	10	10	1	1	1	-0.4	0
chr1:118477	10	1	10	10	1	1	1	-0.4	0
chr1:146280	10	1	10	10	1	1	1	-0.4	0
chr1:173609	10	1	10	10	1	1	1	-0.4	0
chr1:182405	10	1	10	10	1	1	1	-0.4	0
chr1:183356	10	1	10	10	1	1	1	-0.4	0
chr1:184965	10	1	10	10	1	1	1	-0.4	0
chr1:199623	10	1	10	10	1	1	1	-0.4	0
chr1:207807	10	1	10	10	1	1	1	-0.4	0
chr1:218873	10	1	10	10	1	1	1	-0.4	0
chr1:268201	10	1	10	10	1	1	1	-0.4	0
chr1:270370	10	1	10	10	1	1	1	-0.4	0
chr1:282746	10	1	10	10	1	1	1	-0.4	0
chr1:364259	10	1	10	10	1	1	1	-0.4	0
chr1:420122	10	1	10	10	1	1	1	-0.4	0
chr1:426627	10	1	10	10	1	1	1	-0.4	0
chr1:428464	10	1	10	10	1	1	1	-0.4	0
chr1:468886	10	1	10	10	1	1	1	-0.4	0
chr1:471646	10	1	10	10	1	1	1	-0.4	0
chr1:472110	10	1	10	10	1	1	1	-0.4	0
chr1:485130	10	1	10	10	1	1	1	-0.4	0
chr1:488660	10	1	10	10	1	1	1	-0.4	0
chr1:567412	10	1	10	10	1	1	1	-0.4	0
chr1:574290	10	1	10	10	1	1	1	-0.4	0
chr1:575595	10	1	10	10	1	1	1	-0.4	0
chr1:865121	10	1	10	10	1	1	1	-0.4	0
chr1:898019	10	1	10	10	1	1	1	-0.4	0
chr1:899989	10	1	10	10	1	1	1	-0.4	0
chr1:933094	10	1	10	10	1	1	1	-0.4	0
chr1:957056	10	1	10	10	1	1	1	-0.4	0
chr1:979032	10	1	10	10	1	1	1	-0.4	0
chr1:1024520	10	1	10	10	1	1	1	-0.4	0
chr1:1028484	10	1	10	10	1	1	1	-0.4	0
chr1:1114624	10	1	10	10	1	1	1	-0.4	0
chr1:1129583	10	1	10	10	1	1	1	-0.4	0
chr1:1312319	10	1	10	10	1	1	1	-0.4	0
chr1:1477929	10	1	10	10	1	1	1	-0.4	0
chr1:1479011	10	1	10	10	1	1	1	-0.4	0
chr1:1548540	10	1	10	10	1	1	1	-0.4	0
chr1:1660894	10	1	10	10	1	1	1	-0.4	0
