Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:1749	10	1	10	10	1	1	1	-0.4	0
chr1:1749	10	1	10	10	1	1	1	-0.4	0
chr1:3131	10	1	10	10	1	1	1	-0.4	0
chr1:3624	10	1	10	10	1	1	1	-0.4	0
chr1:3624	10	1	10	10	1	1	1	-0.4	0
chr1:8699	10	1	10	10	1	1	1	-0.4	0
chr1:15492	10	1	10	10	1	1	1	-0.4	0
chr1:15492	10	1	10	10	1	1	1	-0.4	0
chr1:20867	10	1	10	10	1	1	1	-0.4	0
chr1:20867	10	1	10	10	1	1	1	-0.4	0
chr1:33666	10	1	10	10	1	1	1	-0.4	0
chr1:33666	10	1	10	10	1	1	1	-0.4	0
chr1:38084	10	1	10	10	1	1	1	-0.4	0
chr1:38084	10	1	10	10	1	1	1	-0.4	0
chr1:40280	10	1	10	10	1	1	1	-0.4	0
chr1:40280	10	1	10	10	1	1	1	-0.4	0
chr1:46902	10	1	10	10	1	1	1	-0.4	0
chr1:46902	10	1	10	10	1	1	1	-0.4	0
chr1:48419	10	1	10	10	1	1	1	-0.4	0
chr1:49888	10	1	10	10	1	1	1	-0.4	0
chr1:51345	10	1	10	10	1	1	1	-0.4	0
chr1:52671	10	1	10	10	1	1	1	-0.4	0
chr1:52671	10	1	10	10	1	1	1	-0.4	0
chr1:55502	10	1	10	10	1	1	1	-0.4	0
chr1:55502	10	1	10	10	1	1	1	-0.4	0
chr1:57205	10	1	10	10	1	1	1	-0.4	0
chr1:57205	10	1	10	10	1	1	1	-0.4	0
chr1:58413	10	1	10	10	1	1	1	-0.4	0
chr1:60717	10	1	10	10	1	1	1	-0.4	0
chr1:61607	10	1	10	10	1	1	1	-0.4	0
chr1:63963	10	1	10	10	1	1	1	-0.4	0
chr1:64678	10	1	10	10	1	1	1	-0.4	0
chr1:68136	10	1	10	10	1	1	1	-0.4	0
chr1:68136	10	1	10	10	1	1	1	-0.4	0
chr1:68640	10	1	10	10	1	1	1	-0.4	0
chr1:68640	10	1	10	10	1	1	1	-0.4	0
chr1:75440	10	1	10	10	1	1	1	-0.4	0
chr1:75440	10	1	10	10	1	1	1	-0.4	0
chr1:76224	10	1	10	10	1	1	1	-0.4	0
chr1:76224	10	1	10	10	1	1	1	-0.4	0
chr1:77654	10	1	10	10	1	1	1	-0.4	0
chr1:78282	10	1	10	10	1	1	1	-0.4	0
chr1:78282	10	1	10	10	1	1	1	-0.4	0
chr1:79205	10	1	10	10	1	1	1	-0.4	0
chr1:79205	10	1	10	10	1	1	1	-0.4	0
chr1:81066	10	1	10	10	1	1	1	-0.4	0
chr1:81066	10	1	10	10	1	1	1	-0.4	0
chr1:82150	10	1	10	10	1	1	1	-0.4	0
chr1:82150	10	1	10	10	1	1	1	-0.4	0
chr1:82438	10	1	10	10	1	1	1	-0.4	0
chr1:82438	10	1	10	10	1	1	1	-0.4	0
chr1:82438	10	1	10	10	1	1	1	-0.4	0
chr1:85388	10	1	10	10	1	1	1	-0.4	0
chr1:85388	10	1	10	10	1	1	1	-0.4	0
chr1:86791	10	1	10	10	1	1	1	-0.4	0
chr1:95959	10	1	10	10	1	1	1	-0.4	0
chr1:95959	10	1	10	10	1	1	1	-0.4	0
chr1:97409	10	1	10	10	1	1	1	-0.4	0
chr1:99452	10	1	10	10	1	1	1	-0.4	0
chr1:99452	10	1	10	10	1	1	1	-0.4	0
chr1:103809	10	1	10	10	1	1	1	-0.4	0
chr1:104909	10	1	10	10	1	1	1	-0.4	0
chr1:105865	10	1	10	10	1	1	1	-0.4	0
chr1:107374	10	1	10	10	1	1	1	-0.4	0
chr1:107374	10	1	10	10	1	1	1	-0.4	0
chr1:107818	10	1	10	10	1	1	1	-0.4	0
chr1:107818	10	1	10	10	1	1	1	-0.4	0
chr1:113304	10	1	10	10	1	1	1	-0.4	0
chr1:113304	10	1	10	10	1	1	1	-0.4	0
chr1:114122	10	1	10	10	1	1	1	-0.4	0
chr1:116626	10	1	10	10	1	1	1	-0.4	0
chr1:116626	10	1	10	10	1	1	1	-0.4	0
chr1:118478	10	1	10	10	1	1	1	-0.4	0
chr1:118478	10	1	10	10	1	1	1	-0.4	0
chr1:120540	10	1	10	10	1	1	1	-0.4	0
chr1:128394	10	1	10	10	1	1	1	-0.4	0
chr1:128394	10	1	10	10	1	1	1	-0.4	0
chr1:128851	10	1	10	10	1	1	1	-0.4	0
chr1:128851	10	1	10	10	1	1	1	-0.4	0
chr1:130827	10	1	10	10	1	1	1	-0.4	0
chr1:136066	10	1	10	10	1	1	1	-0.4	0
chr1:140464	10	1	10	10	1	1	1	-0.4	0
chr1:140464	10	1	10	10	1	1	1	-0.4	0
chr1:141779	10	1	10	10	1	1	1	-0.4	0
chr1:146589	10	1	10	10	1	1	1	-0.4	0
chr1:146589	10	1	10	10	1	1	1	-0.4	0
chr1:149404	10	1	10	10	1	1	1	-0.4	0
chr1:151419	10	1	10	10	1	1	1	-0.4	0
chr1:153242	10	1	10	10	1	1	1	-0.4	0
chr1:155277	10	1	10	10	1	1	1	-0.4	0
chr1:156647	10	1	10	10	1	1	1	-0.4	0
chr1:156647	10	1	10	10	1	1	1	-0.4	0
chr1:159538	10	1	10	10	1	1	1	-0.4	0
chr1:160008	10	1	10	10	1	1	1	-0.4	0
chr1:163384	10	1	10	10	1	1	1	-0.4	0
chr1:163384	10	1	10	10	1	1	1	-0.4	0
chr1:167798	10	1	10	10	1	1	1	-0.4	0
chr1:167798	10	1	10	10	1	1	1	-0.4	0
chr1:168254	10	1	10	10	1	1	1	-0.4	0
chr1:168254	10	1	10	10	1	1	1	-0.4	0
chr1:173530	10	1	10	10	1	1	1	-0.4	0
chr1:177010	10	1	10	10	1	1	1	-0.4	0
chr1:178756	10	1	10	10	1	1	1	-0.4	0
chr1:178756	10	1	10	10	1	1	1	-0.4	0
chr1:182514	10	1	10	10	1	1	1	-0.4	0
chr1:182514	10	1	10	10	1	1	1	-0.4	0
chr1:183464	10	1	10	10	1	1	1	-0.4	0
chr1:184866	10	1	10	10	1	1	1	-0.4	0
chr1:187050	10	1	10	10	1	1	1	-0.4	0
chr1:187050	10	1	10	10	1	1	1	-0.4	0
chr1:190340	10	1	10	10	1	1	1	-0.4	0
chr1:194380	10	1	10	10	1	1	1	-0.4	0
chr1:195733	10	1	10	10	1	1	1	-0.4	0
chr1:195733	10	1	10	10	1	1	1	-0.4	0
chr1:199525	10	1	10	10	1	1	1	-0.4	0
chr1:199525	10	1	10	10	1	1	1	-0.4	0
chr1:202108	10	1	10	10	1	1	1	-0.4	0
chr1:207558	10	1	10	10	1	1	1	-0.4	0
chr1:207558	10	1	10	10	1	1	1	-0.4	0
chr1:211021	10	1	10	10	1	1	1	-0.4	0
chr1:214866	10	1	10	10	1	1	1	-0.4	0
chr1:214866	10	1	10	10	1	1	1	-0.4	0
chr1:217946	10	1	10	10	1	1	1	-0.4	0
chr1:217946	10	1	10	10	1	1	1	-0.4	0
chr1:220376	10	1	10	10	1	1	1	-0.4	0
chr1:220376	10	1	10	10	1	1	1	-0.4	0
chr1:224858	10	1	10	10	1	1	1	-0.4	0
chr1:225611	10	1	10	10	1	1	1	-0.4	0
chr1:228160	10	1	10	10	1	1	1	-0.4	0
chr1:228160	10	1	10	10	1	1	1	-0.4	0
chr1:228798	10	1	10	10	1	1	1	-0.4	0
chr1:228798	10	1	10	10	1	1	1	-0.4	0
