Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:1469271	10	1	10	10	-1	105.2	1	-0.4	0
chr4:8240636	10	1	10	10	-1	103.73	1	-0.4	0
chr5:24478810	10	1	10	10	-1	103.49	1	-0.4	0
chr1:10365272	10	1	10	10	-1	103.41	1	-0.4	0
chr4:17709264	10	1	10	10	-1	101.83	1	-0.4	0
chr1:15880478	10	1	10	10	-1	101.28	1	-0.4	0
chr1:26118030	10	1	10	10	-1	101.26	1	-0.4	0
chr1:6754308	10	1	10	10	-1	101.24	1	-0.4	0
chr2:1515698	10	1	10	10	-1	100.72	1	-0.4	0
chr2:15207727	10	1	10	10	-1	100.71	1	-0.4	0
chr1:25941575	10	1	10	10	-1	100.33	1	-0.4	0
chr2:19491332	10	1	10	10	-1	99.9	1	-0.4	0
chr2:9696763	10	1	10	10	-1	99.71	1	-0.4	0
chr4:446938	10	1	10	10	-1	99.61	1	-0.4	0
chr5:5955729	10	1	10	10	-1	99.61	1	-0.4	0
chr3:19251088	10	1	10	10	-1	99.6	1	-0.4	0
chr1:2013646	10	1	10	10	-1	99.07	1	-0.4	0
chr1:21732480	10	1	10	10	-1	98.59	1	-0.4	0
chr4:6649710	10	1	10	10	-1	98.5	1	-0.4	0
chr5:24003768	10	1	10	10	-1	98.5	1	-0.4	0
chr5:23999828	10	1	10	10	-1	98.26	1	-0.4	0
chr1:953061	10	1	10	10	-1	98.03	1	-0.4	0
chr3:1644514	10	1	10	10	-1	97.95	1	-0.4	0
chr1:21207255	10	1	10	10	-1	97.64	1	-0.4	0
chr3:1635062	10	1	10	10	-1	97.34	1	-0.4	0
chr2:15100387	10	1	10	10	-1	97.27	1	-0.4	0
chr4:7354419	10	1	10	10	-1	97.24	1	-0.4	0
chr1:2432197	10	1	10	10	-1	97.21	1	-0.4	0
chr2:12495930	10	1	10	10	-1	97.18	1	-0.4	0
chr5:4431259	10	1	10	10	-1	96.66	1	-0.4	0
chr5:4722478	10	1	10	10	-1	96.63	1	-0.4	0
chr3:17551389	10	1	10	10	-1	96.52	1	-0.4	0
chr5:26394594	10	1	10	10	-1	96.5	1	-0.4	0
chr2:14651965	10	1	10	10	-1	96.36	1	-0.4	0
chr5:19711469	10	1	10	10	-1	96.3	1	-0.4	0
chr5:21118006	10	1	10	10	-1	96.16	1	-0.4	0
chr3:22328120	10	1	10	10	-1	95.93	1	-0.4	0
chr3:6805304	10	1	10	10	-1	95.49	1	-0.4	0
chr2:16473989	10	1	10	10	-1	95.47	1	-0.4	0
chr3:877587	10	1	10	10	-1	95.44	1	-0.4	0
chr2:12707947	10	1	10	10	-1	95.37	1	-0.4	0
chr2:14863501	10	1	10	10	-1	95.34	1	-0.4	0
chr3:19287686	10	1	10	10	-1	95.21	1	-0.4	0
chr5:23773990	10	1	10	10	-1	95.21	1	-0.4	0
chr1:575570	10	1	10	10	-1	95.11	1	-0.4	0
chr5:9944972	10	1	10	10	-1	94.85	1	-0.4	0
chr4:18120029	10	1	10	10	-1	94.7	1	-0.4	0
chr1:30260831	10	1	10	10	-1	94.67	1	-0.4	0
chr5:21154964	10	1	10	10	-1	94.67	1	-0.4	0
chr1:25203170	10	1	10	10	-1	94.62	1	-0.4	0
chr2:18786518	10	1	10	10	-1	94.6	1	-0.4	0
chr5:721759	10	1	10	10	-1	94.5	1	-0.4	0
chr3:3692370	10	1	10	10	-1	94.38	1	-0.4	0
chr5:23533528	10	1	10	10	-1	94.38	1	-0.4	0
chr4:17363690	10	1	10	10	-1	94.37	1	-0.4	0
chr3:20872577	10	1	10	10	-1	94.31	1	-0.4	0
chr5:19978070	10	1	10	10	-1	94.29	1	-0.4	0
chr5:2985576	10	1	10	10	-1	94.16	1	-0.4	0
chr1:3242134	10	1	10	10	-1	94.1	1	-0.4	0
chr5:24990668	10	1	10	10	-1	94.06	1	-0.4	0
chr2:9303327	10	1	10	10	-1	94.05	1	-0.4	0
chr5:1375889	10	1	10	10	-1	94.04	1	-0.4	0
chr3:22917458	10	1	10	10	-1	93.96	1	-0.4	0
chr2:19168795	10	1	10	10	-1	93.88	1	-0.4	0
chr1:807238	10	1	10	10	-1	93.79	1	-0.4	0
chr2:14999165	10	1	10	10	-1	93.6	1	-0.4	0
chr3:4660903	10	1	10	10	-1	93.6	1	-0.4	0
chr4:5757954	10	1	10	10	-1	93.6	1	-0.4	0
chr1:23126637	10	1	10	10	-1	93.51	1	-0.4	0
chr3:2113691	10	1	10	10	-1	93.34	1	-0.4	0
chr3:18883255	10	1	10	10	-1	93.33	1	-0.4	0
chr4:6839890	10	1	10	10	-1	93.32	1	-0.4	0
chr4:8334029	10	1	10	10	-1	93.28	1	-0.4	0
chr1:6959521	10	1	10	10	-1	93.25	1	-0.4	0
chr1:302641	10	1	10	10	-1	93.24	1	-0.4	0
chr1:6034200	10	1	10	10	-1	93.22	1	-0.4	0
chr3:8701163	10	1	10	10	-1	93.21	1	-0.4	0
chr2:18790511	10	1	10	10	-1	93.12	1	-0.4	0
chr1:8430172	10	1	10	10	-1	93.11	1	-0.4	0
chr2:15104564	10	1	10	10	-1	93.04	1	-0.4	0
chr3:7063597	10	1	10	10	-1	92.97	1	-0.4	0
chr5:26588338	10	1	10	10	-1	92.97	1	-0.4	0
chr5:642200	10	1	10	10	-1	92.9	1	-0.4	0
chr3:17182850	10	1	10	10	-1	92.59	1	-0.4	0
chr2:13610539	10	1	10	10	-1	92.5	1	-0.4	0
chr3:17420402	10	1	10	10	-1	92.5	1	-0.4	0
chr4:6614965	10	1	10	10	-1	92.5	1	-0.4	0
chr1:30190172	10	1	10	10	-1	92.48	1	-0.4	0
chr4:14397692	10	1	10	10	-1	92.43	1	-0.4	0
chr3:4976046	10	1	10	10	-1	92.39	1	-0.4	0
chr3:3455225	10	1	10	10	-1	92.38	1	-0.4	0
chr3:5445442	10	1	10	10	-1	92.36	1	-0.4	0
chr1:25238229	10	1	10	10	-1	92.34	1	-0.4	0
chr3:201840	10	1	10	10	-1	92.34	1	-0.4	0
chr4:994822	10	1	10	10	-1	92.34	1	-0.4	0
chr4:6903237	10	1	10	10	-1	92.26	1	-0.4	0
chr4:17594416	10	1	10	10	-1	92.21	1	-0.4	0
chr2:8544103	10	1	10	10	-1	92.19	1	-0.4	0
chr5:26822252	10	1	10	10	-1	92.15	1	-0.4	0
chr1:6015252	10	1	10	10	-1	92.09	1	-0.4	0
chr3:6296723	10	1	10	10	-1	92.09	1	-0.4	0
chr5:18484180	10	1	10	10	-1	91.96	1	-0.4	0
chr1:4680213	10	1	10	10	-1	91.95	1	-0.4	0
chr5:5509578	10	1	10	10	-1	91.95	1	-0.4	0
chr1:27627915	10	1	10	10	-1	91.93	1	-0.4	0
chr3:5252591	10	1	10	10	-1	91.84	1	-0.4	0
chr2:11037003	10	1	10	10	-1	91.81	1	-0.4	0
chr5:15307096	10	1	10	10	-1	91.81	1	-0.4	0
chr3:10119948	10	1	10	10	-1	91.79	1	-0.4	0
chr1:26811932	10	1	10	10	-1	91.78	1	-0.4	0
chr1:6231663	10	1	10	10	-1	91.77	1	-0.4	0
chr3:3919231	10	1	10	10	-1	91.67	1	-0.4	0
chr5:19309076	10	1	10	10	-1	91.67	1	-0.4	0
chr5:6170513	10	1	10	10	-1	91.65	1	-0.4	0
chr4:9600184	10	1	10	10	-1	91.39	1	-0.4	0
chr1:1313089	10	1	10	10	-1	91.25	1	-0.4	0
chr5:6274889	10	1	10	10	-1	91.24	1	-0.4	0
chr3:3923374	10	1	10	10	-1	91.12	1	-0.4	0
chr1:99461	10	1	10	10	-1	91.11	1	-0.4	0
chr1:207805	10	1	10	10	-1	91.1	1	-0.4	0
chr3:9676441	10	1	10	10	-1	91.02	1	-0.4	0
chr1:8060808	10	1	10	10	-1	91.01	1	-0.4	0
chr3:20714862	10	1	10	10	-1	90.89	1	-0.4	0
chr1:18690848	10	1	10	10	-1	90.88	1	-0.4	0
chr3:4908125	10	1	10	10	-1	90.79	1	-0.4	0
chr3:18559262	10	1	10	10	-1	90.73	1	-0.4	0
chr1:26887593	10	1	10	10	-1	90.65	1	-0.4	0
chr5:8747327	10	1	10	10	-1	90.64	1	-0.4	0
chr4:16130615	10	1	10	10	-1	90.59	1	-0.4	0
chr1:3356517	10	1	10	10	-1	90.46	1	-0.4	0
chr3:10022597	10	1	10	10	-1	90.44	1	-0.4	0
chr4:484753	10	1	10	10	-1	90.44	1	-0.4	0
chr4:535119	10	1	10	10	-1	90.39	1	-0.4	0
chr1:11693684	10	1	10	10	-1	90.35	1	-0.4	0
chr1:6543649	10	1	10	10	-1	90.35	1	-0.4	0
chr3:9737617	10	1	10	10	-1	90.35	1	-0.4	0
chr2:259168	10	1	10	10	-1	90.28	1	-0.4	0
chr4:15591531	10	1	10	10	-1	90.25	1	-0.4	0
chr4:17263475	10	1	10	10	-1	90.24	1	-0.4	0
chr1:5955148	10	1	10	10	-1	90.21	1	-0.4	0
chr5:3445292	10	1	10	10	-1	90.2	1	-0.4	0
chr4:13022877	10	1	10	10	-1	90.16	1	-0.4	0
chr5:9793599	10	1	10	10	-1	90.07	1	-0.4	0
chr5:7627158	10	1	10	10	-1	89.98	1	-0.4	0
chr4:13866465	10	1	10	10	-1	89.93	1	-0.4	0
chr5:26519469	10	1	10	10	-1	89.88	1	-0.4	0
chr5:25438146	10	1	10	10	-1	89.84	1	-0.4	0
chr2:17396653	10	1	10	10	-1	89.81	1	-0.4	0
chr2:9520772	10	1	10	10	-1	89.81	1	-0.4	0
chr5:22597807	10	1	10	10	-1	89.81	1	-0.4	0
chr1:23516899	10	1	10	10	-1	89.6	1	-0.4	0
chr1:11774358	10	1	10	10	-1	89.59	1	-0.4	0
chr4:14990128	10	1	10	10	-1	89.59	1	-0.4	0
chr5:18507092	10	1	10	10	-1	89.57	1	-0.4	0
chr5:694864	10	1	10	10	-1	89.55	1	-0.4	0
chr3:1735982	10	1	10	10	-1	89.39	1	-0.4	0
chr1:28185408	10	1	10	10	-1	89.36	1	-0.4	0
chr4:2375770	10	1	10	10	-1	89.36	1	-0.4	0
chr1:16137728	10	1	10	10	-1	89.34	1	-0.4	0
chr1:26195789	10	1	10	10	-1	89.32	1	-0.4	0
chr5:26872221	10	1	10	10	-1	89.32	1	-0.4	0
chr3:22804698	10	1	10	10	-1	89.31	1	-0.4	0
chr1:19957853	10	1	10	10	-1	89.28	1	-0.4	0
chr3:21893780	10	1	10	10	-1	89.28	1	-0.4	0
chr5:11025010	10	1	10	10	-1	89.28	1	-0.4	0
chr5:8621734	10	1	10	10	-1	89.28	1	-0.4	0
chr2:17752307	10	1	10	10	-1	89.14	1	-0.4	0
chr4:9847872	10	1	10	10	-1	89.08	1	-0.4	0
chr1:16851319	10	1	10	10	-1	89.07	1	-0.4	0
chr1:29023556	10	1	10	10	-1	88.98	1	-0.4	0
chr2:19481292	10	1	10	10	-1	88.94	1	-0.4	0
chr5:24909757	10	1	10	10	-1	88.92	1	-0.4	0
chr5:23451033	10	1	10	10	-1	88.86	1	-0.4	0
chr5:26663424	10	1	10	10	-1	88.85	1	-0.4	0
chr2:13971789	10	1	10	10	-1	88.79	1	-0.4	0
chr4:7004151	10	1	10	10	-1	88.75	1	-0.4	0
chr3:15092594	10	1	10	10	-1	88.74	1	-0.4	0
chr5:23734072	10	1	10	10	-1	88.74	1	-0.4	0
chr4:1579956	10	1	10	10	-1	88.7	1	-0.4	0
chr5:20943341	10	1	10	10	-1	88.69	1	-0.4	0
chr4:7011466	10	1	10	10	-1	88.65	1	-0.4	0
chr2:19245380	10	1	10	10	-1	88.64	1	-0.4	0
chr2:9014277	10	1	10	10	-1	88.55	1	-0.4	0
chr3:18377325	10	1	10	10	-1	88.55	1	-0.4	0
chr3:790794	10	1	10	10	-1	88.55	1	-0.4	0
chr5:26645353	10	1	10	10	-1	88.55	1	-0.4	0
chr5:1834721	10	1	10	10	-1	88.54	1	-0.4	0
chr5:5033687	10	1	10	10	-1	88.46	1	-0.4	0
chr5:26541316	10	1	10	10	-1	88.43	1	-0.4	0
chr5:5122299	10	1	10	10	-1	88.38	1	-0.4	0
chr1:28095672	10	1	10	10	-1	88.37	1	-0.4	0
chr5:13672260	10	1	10	10	-1	88.36	1	-0.4	0
chr5:3864655	10	1	10	10	-1	88.36	1	-0.4	0
chr4:299268	10	1	10	10	-1	88.34	1	-0.4	0
chr5:23700406	10	1	10	10	-1	88.32	1	-0.4	0
chr1:183379	10	1	10	10	-1	88.27	1	-0.4	0
chr1:12138669	10	1	10	10	-1	88.21	1	-0.4	0
chr5:2975465	10	1	10	10	-1	88.21	1	-0.4	0
chr4:17319199	10	1	10	10	-1	88.18	1	-0.4	0
chr3:295583	10	1	10	10	-1	88.09	1	-0.4	0
chr2:14105474	10	1	10	10	-1	88.08	1	-0.4	0
chr3:23196002	10	1	10	10	-1	88.02	1	-0.4	0
chr1:25559104	10	1	10	10	-1	87.99	1	-0.4	0
chr4:10003464	10	1	10	10	-1	87.99	1	-0.4	0
chr5:25676919	10	1	10	10	-1	87.99	1	-0.4	0
chr4:18576530	10	1	10	10	-1	87.98	1	-0.4	0
chr5:3771595	10	1	10	10	-1	87.95	1	-0.4	0
chr1:29253252	10	1	10	10	-1	87.91	1	-0.4	0
chr2:17099368	10	1	10	10	-1	87.91	1	-0.4	0
chr5:25764272	10	1	10	10	-1	87.9	1	-0.4	0
chr3:961783	10	1	10	10	-1	87.85	1	-0.4	0
chr3:5008107	10	1	10	10	-1	87.84	1	-0.4	0
chr4:7369682	10	1	10	10	-1	87.82	1	-0.4	0
chr2:761904	10	1	10	10	-1	87.76	1	-0.4	0
chr5:5450578	10	1	10	10	-1	87.76	1	-0.4	0
chr2:6777760	10	1	10	10	-1	87.68	1	-0.4	0
chr3:23301622	10	1	10	10	-1	87.67	1	-0.4	0
chr5:2615733	10	1	10	10	-1	87.66	1	-0.4	0
chr3:1567490	10	1	10	10	-1	87.65	1	-0.4	0
chr2:7044740	10	1	10	10	-1	87.62	1	-0.4	0
chr1:18061444	10	1	10	10	-1	87.59	1	-0.4	0
chr2:8164154	10	1	10	10	-1	87.59	1	-0.4	0
chr3:23185727	10	1	10	10	-1	87.58	1	-0.4	0
chr1:177020	10	1	10	10	-1	87.55	1	-0.4	0
chr4:13749505	10	1	10	10	-1	87.55	1	-0.4	0
chr1:9732580	10	1	10	10	-1	87.52	1	-0.4	0
chr3:20734376	10	1	10	10	-1	87.47	1	-0.4	0
chr3:9066336	10	1	10	10	-1	87.45	1	-0.4	0
chr1:6528526	10	1	10	10	-1	87.42	1	-0.4	0
chr2:10267511	10	1	10	10	-1	87.42	1	-0.4	0
chr1:26513086	10	1	10	10	-1	87.39	1	-0.4	0
chr5:24674872	10	1	10	10	-1	87.35	1	-0.4	0
chr4:16295406	10	1	10	10	-1	87.34	1	-0.4	0
chr4:18552405	10	1	10	10	-1	87.33	1	-0.4	0
chr2:2931394	10	1	10	10	-1	87.32	1	-0.4	0
chr1:24831345	10	1	10	10	-1	87.3	1	-0.4	0
chr2:19052117	10	1	10	10	-1	87.3	1	-0.4	0
chr3:19256332	10	1	10	10	-1	87.3	1	-0.4	0
chr3:20896226	10	1	10	10	-1	87.29	1	-0.4	0
chr4:17189554	10	1	10	10	-1	87.24	1	-0.4	0
chr5:26572401	10	1	10	10	-1	87.24	1	-0.4	0
chr1:27982251	10	1	10	10	-1	87.22	1	-0.4	0
chr5:19302225	10	1	10	10	-1	87.22	1	-0.4	0
chr5:14913869	10	1	10	10	-1	87.21	1	-0.4	0
chr3:18471193	10	1	10	10	-1	87.2	1	-0.4	0
chr4:11417365	10	1	10	10	-1	87.12	1	-0.4	0
chr1:6174576	10	1	10	10	-1	87.08	1	-0.4	0
chr3:4049459	10	1	10	10	-1	87.08	1	-0.4	0
chr4:18302542	10	1	10	10	-1	87.06	1	-0.4	0
chr2:9517587	10	1	10	10	-1	87	1	-0.4	0
chr3:3238923	10	1	10	10	-1	87	1	-0.4	0
chr3:7910127	10	1	10	10	-1	87	1	-0.4	0
chr2:17473150	10	1	10	10	-1	86.96	1	-0.4	0
chr5:5665685	10	1	10	10	-1	86.94	1	-0.4	0
chr2:7679006	10	1	10	10	-1	86.9	1	-0.4	0
chr4:14380689	10	1	10	10	-1	86.9	1	-0.4	0
chr2:18998922	10	1	10	10	-1	86.86	1	-0.4	0
chr5:4966057	10	1	10	10	-1	86.85	1	-0.4	0
chr1:29345747	10	1	10	10	-1	86.79	1	-0.4	0
chr1:21911481	10	1	10	10	-1	86.77	1	-0.4	0
chr3:23040755	10	1	10	10	-1	86.74	1	-0.4	0
chr1:26120944	10	1	10	10	-1	86.71	1	-0.4	0
chr1:10586745	10	1	10	10	-1	86.7	1	-0.4	0
chr3:21059834	10	1	10	10	-1	86.69	1	-0.4	0
chr1:25657899	10	1	10	10	-1	86.62	1	-0.4	0
chr3:23422842	10	1	10	10	-1	86.62	1	-0.4	0
chr3:20611343	10	1	10	10	-1	86.59	1	-0.4	0
chr2:12680204	10	1	10	10	-1	86.57	1	-0.4	0
chr1:26561827	10	1	10	10	-1	86.52	1	-0.4	0
chr1:621421	10	1	10	10	-1	86.51	1	-0.4	0
chr2:18866828	10	1	10	10	-1	86.5	1	-0.4	0
chr4:2572523	10	1	10	10	-1	86.49	1	-0.4	0
chr3:20244345	10	1	10	10	-1	86.39	1	-0.4	0
chr2:10836256	10	1	10	10	-1	86.38	1	-0.4	0
chr4:12649856	10	1	10	10	-1	86.38	1	-0.4	0
chr5:339477	10	1	10	10	-1	86.38	1	-0.4	0
chr1:7401370	10	1	10	10	-1	86.35	1	-0.4	0
chr3:4496199	10	1	10	10	-1	86.35	1	-0.4	0
chr4:10049572	10	1	10	10	-1	86.31	1	-0.4	0
chr5:26233892	10	1	10	10	-1	86.28	1	-0.4	0
chr3:19197539	10	1	10	10	-1	86.27	1	-0.4	0
chr3:495346	10	1	10	10	-1	86.24	1	-0.4	0
chr3:5342856	10	1	10	10	-1	86.24	1	-0.4	0
chr1:11801065	10	1	10	10	-1	86.18	1	-0.4	0
chr3:20316941	10	1	10	10	-1	86.18	1	-0.4	0
chr2:15944049	10	1	10	10	-1	86.14	1	-0.4	0
chr2:2901957	10	1	10	10	-1	86.1	1	-0.4	0
chr3:5144813	10	1	10	10	-1	86.03	1	-0.4	0
chr4:16256187	10	1	10	10	-1	86	1	-0.4	0
chr2:19089020	10	1	10	10	-1	85.99	1	-0.4	0
chr3:20721542	10	1	10	10	-1	85.97	1	-0.4	0
chr4:18152042	10	1	10	10	-1	85.97	1	-0.4	0
chr1:22185719	10	1	10	10	-1	85.95	1	-0.4	0
chr4:18259439	10	1	10	10	-1	85.95	1	-0.4	0
chr1:4230111	10	1	10	10	-1	85.88	1	-0.4	0
chr2:10244669	10	1	10	10	-1	85.88	1	-0.4	0
chr2:14217130	10	1	10	10	-1	85.88	1	-0.4	0
chr1:19825534	10	1	10	10	-1	85.86	1	-0.4	0
chr3:5125436	10	1	10	10	-1	85.81	1	-0.4	0
chr3:8979794	10	1	10	10	-1	85.81	1	-0.4	0
chr2:13765560	10	1	10	10	-1	85.8	1	-0.4	0
chr2:13266718	10	1	10	10	-1	85.77	1	-0.4	0
chr1:9393497	10	1	10	10	-1	85.76	1	-0.4	0
chr5:17755872	10	1	10	10	-1	85.76	1	-0.4	0
chr2:9631650	10	1	10	10	-1	85.73	1	-0.4	0
chr3:17987168	10	1	10	10	-1	85.73	1	-0.4	0
chr3:6346213	10	1	10	10	-1	85.72	1	-0.4	0
chr3:1047603	10	1	10	10	-1	85.71	1	-0.4	0
chr4:13461002	10	1	10	10	-1	85.69	1	-0.4	0
chr3:18096855	10	1	10	10	-1	85.67	1	-0.4	0
chr5:19045656	10	1	10	10	-1	85.64	1	-0.4	0
chr1:28117532	10	1	10	10	-1	85.59	1	-0.4	0
chr3:22367603	10	1	10	10	-1	85.57	1	-0.4	0
chr1:17169192	10	1	10	10	-1	85.55	1	-0.4	0
chr4:10291780	10	1	10	10	-1	85.54	1	-0.4	0
chr1:27402437	10	1	10	10	-1	85.47	1	-0.4	0
chr1:364323	10	1	10	10	-1	85.47	1	-0.4	0
chr3:17501466	10	1	10	10	-1	85.47	1	-0.4	0
chr3:17547190	10	1	10	10	-1	85.46	1	-0.4	0
chr4:17774229	10	1	10	10	-1	85.44	1	-0.4	0
chr3:7280293	10	1	10	10	-1	85.43	1	-0.4	0
chr1:5765755	10	1	10	10	-1	85.41	1	-0.4	0
chr5:5078136	10	1	10	10	-1	85.41	1	-0.4	0
chr3:23092979	10	1	10	10	-1	85.37	1	-0.4	0
chr3:17095663	10	1	10	10	-1	85.35	1	-0.4	0
chr4:6017946	10	1	10	10	-1	85.33	1	-0.4	0
chr5:26851797	10	1	10	10	-1	85.32	1	-0.4	0
chr3:22248638	10	1	10	10	-1	85.3	1	-0.4	0
chr4:16746080	10	1	10	10	-1	85.3	1	-0.4	0
chr3:22991150	10	1	10	10	-1	85.27	1	-0.4	0
chr1:9950070	10	1	10	10	-1	85.25	1	-0.4	0
chr5:25876672	10	1	10	10	-1	85.25	1	-0.4	0
chr3:7703411	10	1	10	10	-1	85.24	1	-0.4	0
chr5:20634859	10	1	10	10	-1	85.24	1	-0.4	0
chr1:29914965	10	1	10	10	-1	85.19	1	-0.4	0
chr3:3441657	10	1	10	10	-1	85.14	1	-0.4	0
chr5:20189826	10	1	10	10	-1	85.14	1	-0.4	0
chr4:13016379	10	1	10	10	-1	85.05	1	-0.4	0
chr2:18839397	10	1	10	10	-1	85.01	1	-0.4	0
chr3:8404680	10	1	10	10	-1	84.98	1	-0.4	0
chr1:28449887	10	1	10	10	-1	84.96	1	-0.4	0
chr2:97832	10	1	10	10	-1	84.96	1	-0.4	0
chr5:1767531	10	1	10	10	-1	84.96	1	-0.4	0
chr2:7934593	10	1	10	10	-1	84.95	1	-0.4	0
chr4:16154822	10	1	10	10	-1	84.91	1	-0.4	0
chr1:19590340	10	1	10	10	-1	84.89	1	-0.4	0
chr1:5727524	10	1	10	10	-1	84.86	1	-0.4	0
chr3:6687030	10	1	10	10	-1	84.81	1	-0.4	0
chr4:2617448	10	1	10	10	-1	84.78	1	-0.4	0
chr1:20948078	10	1	10	10	-1	84.77	1	-0.4	0
chr1:30372039	10	1	10	10	-1	84.73	1	-0.4	0
chr3:3589495	10	1	10	10	-1	84.73	1	-0.4	0
chr3:20813147	10	1	10	10	-1	84.68	1	-0.4	0
chr4:17618541	10	1	10	10	-1	84.67	1	-0.4	0
chr1:19619579	10	1	10	10	-1	84.58	1	-0.4	0
chr1:7732361	10	1	10	10	-1	84.55	1	-0.4	0
chr3:673303	10	1	10	10	-1	84.53	1	-0.4	0
chr1:30249353	10	1	10	10	-1	84.52	1	-0.4	0
chr3:9103643	10	1	10	10	-1	84.52	1	-0.4	0
chr1:9499534	10	1	10	10	-1	84.38	1	-0.4	0
chr5:16159002	10	1	10	10	-1	84.38	1	-0.4	0
chr2:8933388	10	1	10	10	-1	84.36	1	-0.4	0
chr4:12079890	10	1	10	10	-1	84.35	1	-0.4	0
chr1:5532115	10	1	10	10	-1	84.34	1	-0.4	0
chr2:221108	10	1	10	10	-1	84.32	1	-0.4	0
chr3:225844	10	1	10	10	-1	84.32	1	-0.4	0
chr5:2028089	10	1	10	10	-1	84.29	1	-0.4	0
chr5:763476	10	1	10	10	-1	84.29	1	-0.4	0
chr3:8086329	10	1	10	10	-1	84.26	1	-0.4	0
chr5:24741935	10	1	10	10	-1	84.24	1	-0.4	0
chr1:10806567	10	1	10	10	-1	84.23	1	-0.4	0
chr4:9780001	10	1	10	10	-1	84.23	1	-0.4	0
chr5:24145415	10	1	10	10	-1	84.2	1	-0.4	0
chr2:8987601	10	1	10	10	-1	84.12	1	-0.4	0
chr4:8344567	10	1	10	10	-1	84.12	1	-0.4	0
chr1:17892662	10	1	10	10	-1	84.08	1	-0.4	0
chr5:26757336	10	1	10	10	-1	84.07	1	-0.4	0
chr2:18000671	10	1	10	10	-1	84.05	1	-0.4	0
chr3:20890155	10	1	10	10	-1	84.05	1	-0.4	0
chr3:7711998	10	1	10	10	-1	84.03	1	-0.4	0
chr1:6688621	10	1	10	10	-1	84.02	1	-0.4	0
chr4:17952880	10	1	10	10	-1	84.02	1	-0.4	0
chr1:2089955	10	1	10	10	-1	84	1	-0.4	0
chr3:20016812	10	1	10	10	-1	84	1	-0.4	0
chr4:17944194	10	1	10	10	-1	84	1	-0.4	0
chr5:1319023	10	1	10	10	-1	84	1	-0.4	0
chr1:25484388	10	1	10	10	-1	83.93	1	-0.4	0
