Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:3234	10	1	10	10	1	1	1	-0.4	0
chr1:3234	10	1	10	10	1	1	1	-0.4	0
chr1:9704	10	1	10	10	1	1	1	-0.4	0
chr1:14137	10	1	10	10	1	1	1	-0.4	0
chr1:14137	10	1	10	10	1	1	1	-0.4	0
chr1:14137	10	1	10	10	1	1	1	-0.4	0
chr1:15040	10	1	10	10	1	1	1	-0.4	0
chr1:15040	10	1	10	10	1	1	1	-0.4	0
chr1:15040	10	1	10	10	1	1	1	-0.4	0
chr1:19391	10	1	10	10	1	1	1	-0.4	0
chr1:20703	10	1	10	10	1	1	1	-0.4	0
chr1:20703	10	1	10	10	1	1	1	-0.4	0
chr1:20703	10	1	10	10	1	1	1	-0.4	0
chr1:22769	10	1	10	10	1	1	1	-0.4	0
chr1:37945	10	1	10	10	1	1	1	-0.4	0
chr1:37945	10	1	10	10	1	1	1	-0.4	0
chr1:40354	10	1	10	10	1	1	1	-0.4	0
chr1:40354	10	1	10	10	1	1	1	-0.4	0
chr1:51828	10	1	10	10	1	1	1	-0.4	0
chr1:51828	10	1	10	10	1	1	1	-0.4	0
chr1:51828	10	1	10	10	1	1	1	-0.4	0
chr1:55622	10	1	10	10	1	1	1	-0.4	0
chr1:55622	10	1	10	10	1	1	1	-0.4	0
chr1:55622	10	1	10	10	1	1	1	-0.4	0
chr1:57180	10	1	10	10	1	1	1	-0.4	0
chr1:57180	10	1	10	10	1	1	1	-0.4	0
chr1:60099	10	1	10	10	1	1	1	-0.4	0
chr1:60099	10	1	10	10	1	1	1	-0.4	0
chr1:60099	10	1	10	10	1	1	1	-0.4	0
chr1:60288	10	1	10	10	1	1	1	-0.4	0
chr1:60288	10	1	10	10	1	1	1	-0.4	0
chr1:60288	10	1	10	10	1	1	1	-0.4	0
chr1:60507	10	1	10	10	1	1	1	-0.4	0
chr1:60507	10	1	10	10	1	1	1	-0.4	0
chr1:60507	10	1	10	10	1	1	1	-0.4	0
chr1:68493	10	1	10	10	1	1	1	-0.4	0
chr1:68493	10	1	10	10	1	1	1	-0.4	0
chr1:68493	10	1	10	10	1	1	1	-0.4	0
chr1:75415	10	1	10	10	1	1	1	-0.4	0
chr1:75415	10	1	10	10	1	1	1	-0.4	0
chr1:75415	10	1	10	10	1	1	1	-0.4	0
chr1:79436	10	1	10	10	1	1	1	-0.4	0
chr1:82305	10	1	10	10	1	1	1	-0.4	0
chr1:86705	10	1	10	10	1	1	1	-0.4	0
chr1:86705	10	1	10	10	1	1	1	-0.4	0
chr1:88597	10	1	10	10	1	1	1	-0.4	0
chr1:88597	10	1	10	10	1	1	1	-0.4	0
chr1:88597	10	1	10	10	1	1	1	-0.4	0
chr1:99706	10	1	10	10	1	1	1	-0.4	0
chr1:99706	10	1	10	10	1	1	1	-0.4	0
chr1:102247	10	1	10	10	1	1	1	-0.4	0
chr1:102247	10	1	10	10	1	1	1	-0.4	0
chr1:102247	10	1	10	10	1	1	1	-0.4	0
chr1:102779	10	1	10	10	1	1	1	-0.4	0
chr1:102779	10	1	10	10	1	1	1	-0.4	0
chr1:102779	10	1	10	10	1	1	1	-0.4	0
chr1:104037	10	1	10	10	1	1	1	-0.4	0
chr1:104037	10	1	10	10	1	1	1	-0.4	0
chr1:106226	10	1	10	10	1	1	1	-0.4	0
chr1:108224	10	1	10	10	1	1	1	-0.4	0
chr1:108224	10	1	10	10	1	1	1	-0.4	0
chr1:108224	10	1	10	10	1	1	1	-0.4	0
chr1:114087	10	1	10	10	1	1	1	-0.4	0
chr1:114087	10	1	10	10	1	1	1	-0.4	0
chr1:114087	10	1	10	10	1	1	1	-0.4	0
chr1:116523	10	1	10	10	1	1	1	-0.4	0
chr1:116523	10	1	10	10	1	1	1	-0.4	0
chr1:116523	10	1	10	10	1	1	1	-0.4	0
chr1:118645	10	1	10	10	1	1	1	-0.4	0
chr1:118645	10	1	10	10	1	1	1	-0.4	0
chr1:118645	10	1	10	10	1	1	1	-0.4	0
chr1:120566	10	1	10	10	1	1	1	-0.4	0
chr1:120566	10	1	10	10	1	1	1	-0.4	0
chr1:129364	10	1	10	10	1	1	1	-0.4	0
chr1:129364	10	1	10	10	1	1	1	-0.4	0
chr1:131094	10	1	10	10	1	1	1	-0.4	0
chr1:131094	10	1	10	10	1	1	1	-0.4	0
chr1:136028	10	1	10	10	1	1	1	-0.4	0
chr1:136028	10	1	10	10	1	1	1	-0.4	0
chr1:146391	10	1	10	10	1	1	1	-0.4	0
chr1:146391	10	1	10	10	1	1	1	-0.4	0
chr1:146391	10	1	10	10	1	1	1	-0.4	0
chr1:147987	10	1	10	10	1	1	1	-0.4	0
chr1:147987	10	1	10	10	1	1	1	-0.4	0
chr1:147987	10	1	10	10	1	1	1	-0.4	0
chr1:149862	10	1	10	10	1	1	1	-0.4	0
chr1:156544	10	1	10	10	1	1	1	-0.4	0
chr1:156544	10	1	10	10	1	1	1	-0.4	0
chr1:156544	10	1	10	10	1	1	1	-0.4	0
chr1:159444	10	1	10	10	1	1	1	-0.4	0
chr1:159444	10	1	10	10	1	1	1	-0.4	0
chr1:159444	10	1	10	10	1	1	1	-0.4	0
chr1:163122	10	1	10	10	1	1	1	-0.4	0
chr1:163122	10	1	10	10	1	1	1	-0.4	0
chr1:173607	10	1	10	10	1	1	1	-0.4	0
chr1:173607	10	1	10	10	1	1	1	-0.4	0
chr1:173607	10	1	10	10	1	1	1	-0.4	0
chr1:176954	10	1	10	10	1	1	1	-0.4	0
chr1:176954	10	1	10	10	1	1	1	-0.4	0
chr1:179229	10	1	10	10	1	1	1	-0.4	0
chr1:179229	10	1	10	10	1	1	1	-0.4	0
chr1:179229	10	1	10	10	1	1	1	-0.4	0
chr1:181245	10	1	10	10	1	1	1	-0.4	0
chr1:183184	10	1	10	10	1	1	1	-0.4	0
chr1:183184	10	1	10	10	1	1	1	-0.4	0
chr1:183184	10	1	10	10	1	1	1	-0.4	0
chr1:183356	10	1	10	10	1	1	1	-0.4	0
chr1:183356	10	1	10	10	1	1	1	-0.4	0
chr1:183356	10	1	10	10	1	1	1	-0.4	0
chr1:184962	10	1	10	10	1	1	1	-0.4	0
chr1:187032	10	1	10	10	1	1	1	-0.4	0
chr1:190302	10	1	10	10	1	1	1	-0.4	0
chr1:194002	10	1	10	10	1	1	1	-0.4	0
chr1:195521	10	1	10	10	1	1	1	-0.4	0
chr1:195521	10	1	10	10	1	1	1	-0.4	0
chr1:195521	10	1	10	10	1	1	1	-0.4	0
