Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:10959920	10	1	10	10	-1	103.08	1	-0.4	0
chr5:25529539	10	1	10	10	-1	101.06	1	-0.4	0
chr5:26394446	10	1	10	10	-1	100.25	1	-0.4	0
chr1:2586177	10	1	10	10	-1	99.05	1	-0.4	0
chr1:173582	10	1	10	10	-1	97.05	1	-0.4	0
chr1:621502	10	1	10	10	-1	97.05	1	-0.4	0
chr5:1374729	10	1	10	10	-1	95.07	1	-0.4	0
chr1:4647714	10	1	10	10	-1	95	1	-0.4	0
chr1:24486934	10	1	10	10	-1	94.41	1	-0.4	0
chr3:18837590	10	1	10	10	-1	94.35	1	-0.4	0
chr1:20199005	10	1	10	10	-1	93.76	1	-0.4	0
chr4:17282996	10	1	10	10	-1	93.75	1	-0.4	0
chr5:15631323	10	1	10	10	-1	93.75	1	-0.4	0
chr1:420158	10	1	10	10	-1	93.1	1	-0.4	0
chr2:14065814	10	1	10	10	-1	92.44	1	-0.4	0
chr1:26694847	10	1	10	10	-1	91.79	1	-0.4	0
chr3:15985728	10	1	10	10	-1	90.64	1	-0.4	0
chr3:23167715	10	1	10	10	-1	90.49	1	-0.4	0
chr5:26249338	10	1	10	10	-1	90.49	1	-0.4	0
chr2:16770536	10	1	10	10	-1	90.4	1	-0.4	0
chr3:19086387	10	1	10	10	-1	90.31	1	-0.4	0
chr1:12550035	10	1	10	10	-1	89.84	1	-0.4	0
chr4:9993709	10	1	10	10	-1	89.19	1	-0.4	0
chr1:10294524	10	1	10	10	-1	88.55	1	-0.4	0
chr5:26901183	10	1	10	10	-1	88.55	1	-0.4	0
chr1:3255859	10	1	10	10	-1	88.45	1	-0.4	0
chr5:26933308	10	1	10	10	-1	88.29	1	-0.4	0
chr5:6556326	10	1	10	10	-1	88.2	1	-0.4	0
chr1:25228021	10	1	10	10	-1	87.86	1	-0.4	0
chr3:9595382	10	1	10	10	-1	86.99	1	-0.4	0
chr5:2132302	10	1	10	10	-1	86.68	1	-0.4	0
chr2:11752388	10	1	10	10	-1	86.62	1	-0.4	0
chr1:22761970	10	1	10	10	-1	86.1	1	-0.4	0
chr3:11386879	10	1	10	10	-1	85.98	1	-0.4	0
chr4:11155447	10	1	10	10	-1	84.71	1	-0.4	0
