Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:1549	10	1	10	10	1	1	1	-0.4	0
chr1:14143	10	1	10	10	1	1	1	-0.4	0
chr1:15448	10	1	10	10	1	1	1	-0.4	0
chr1:15448	10	1	10	10	1	1	1	-0.4	0
chr1:15448	10	1	10	10	1	1	1	-0.4	0
chr1:20983	10	1	10	10	1	1	1	-0.4	0
chr1:20983	10	1	10	10	1	1	1	-0.4	0
chr1:20983	10	1	10	10	1	1	1	-0.4	0
chr1:37968	10	1	10	10	1	1	1	-0.4	0
chr1:37968	10	1	10	10	1	1	1	-0.4	0
chr1:37968	10	1	10	10	1	1	1	-0.4	0
chr1:51817	10	1	10	10	1	1	1	-0.4	0
chr1:51817	10	1	10	10	1	1	1	-0.4	0
chr1:51817	10	1	10	10	1	1	1	-0.4	0
chr1:55623	10	1	10	10	1	1	1	-0.4	0
chr1:55623	10	1	10	10	1	1	1	-0.4	0
chr1:55623	10	1	10	10	1	1	1	-0.4	0
chr1:57137	10	1	10	10	1	1	1	-0.4	0
chr1:57137	10	1	10	10	1	1	1	-0.4	0
chr1:57137	10	1	10	10	1	1	1	-0.4	0
chr1:58399	10	1	10	10	1	1	1	-0.4	0
chr1:58399	10	1	10	10	1	1	1	-0.4	0
chr1:60501	10	1	10	10	1	1	1	-0.4	0
chr1:60501	10	1	10	10	1	1	1	-0.4	0
chr1:60501	10	1	10	10	1	1	1	-0.4	0
chr1:68483	10	1	10	10	1	1	1	-0.4	0
chr1:68483	10	1	10	10	1	1	1	-0.4	0
chr1:68483	10	1	10	10	1	1	1	-0.4	0
chr1:75315	10	1	10	10	1	1	1	-0.4	0
chr1:75315	10	1	10	10	1	1	1	-0.4	0
chr1:75315	10	1	10	10	1	1	1	-0.4	0
chr1:82328	10	1	10	10	1	1	1	-0.4	0
chr1:86761	10	1	10	10	1	1	1	-0.4	0
chr1:86761	10	1	10	10	1	1	1	-0.4	0
chr1:86761	10	1	10	10	1	1	1	-0.4	0
chr1:88657	10	1	10	10	1	1	1	-0.4	0
chr1:88657	10	1	10	10	1	1	1	-0.4	0
chr1:88657	10	1	10	10	1	1	1	-0.4	0
chr1:99559	10	1	10	10	1	1	1	-0.4	0
chr1:99559	10	1	10	10	1	1	1	-0.4	0
chr1:99559	10	1	10	10	1	1	1	-0.4	0
chr1:102574	10	1	10	10	1	1	1	-0.4	0
chr1:102574	10	1	10	10	1	1	1	-0.4	0
chr1:102574	10	1	10	10	1	1	1	-0.4	0
chr1:102822	10	1	10	10	1	1	1	-0.4	0
chr1:102822	10	1	10	10	1	1	1	-0.4	0
chr1:102822	10	1	10	10	1	1	1	-0.4	0
chr1:103644	10	1	10	10	1	1	1	-0.4	0
chr1:103644	10	1	10	10	1	1	1	-0.4	0
chr1:107877	10	1	10	10	1	1	1	-0.4	0
chr1:107877	10	1	10	10	1	1	1	-0.4	0
chr1:107877	10	1	10	10	1	1	1	-0.4	0
chr1:116557	10	1	10	10	1	1	1	-0.4	0
chr1:116557	10	1	10	10	1	1	1	-0.4	0
chr1:116557	10	1	10	10	1	1	1	-0.4	0
chr1:118665	10	1	10	10	1	1	1	-0.4	0
chr1:118665	10	1	10	10	1	1	1	-0.4	0
chr1:118665	10	1	10	10	1	1	1	-0.4	0
chr1:120564	10	1	10	10	1	1	1	-0.4	0
chr1:120564	10	1	10	10	1	1	1	-0.4	0
chr1:129284	10	1	10	10	1	1	1	-0.4	0
chr1:129284	10	1	10	10	1	1	1	-0.4	0
chr1:131075	10	1	10	10	1	1	1	-0.4	0
chr1:131075	10	1	10	10	1	1	1	-0.4	0
chr1:131075	10	1	10	10	1	1	1	-0.4	0
chr1:136203	10	1	10	10	1	1	1	-0.4	0
chr1:145796	10	1	10	10	1	1	1	-0.4	0
chr1:145796	10	1	10	10	1	1	1	-0.4	0
chr1:146356	10	1	10	10	1	1	1	-0.4	0
chr1:147996	10	1	10	10	1	1	1	-0.4	0
chr1:147996	10	1	10	10	1	1	1	-0.4	0
chr1:147996	10	1	10	10	1	1	1	-0.4	0
chr1:156734	10	1	10	10	1	1	1	-0.4	0
chr1:156734	10	1	10	10	1	1	1	-0.4	0
chr1:156734	10	1	10	10	1	1	1	-0.4	0
chr1:159267	10	1	10	10	1	1	1	-0.4	0
chr1:159267	10	1	10	10	1	1	1	-0.4	0
chr1:159267	10	1	10	10	1	1	1	-0.4	0
chr1:159267	10	1	10	10	1	1	1	-0.4	0
chr1:163170	10	1	10	10	1	1	1	-0.4	0
chr1:168309	10	1	10	10	1	1	1	-0.4	0
chr1:173556	10	1	10	10	1	1	1	-0.4	0
chr1:173556	10	1	10	10	1	1	1	-0.4	0
chr1:173556	10	1	10	10	1	1	1	-0.4	0
chr1:174805	10	1	10	10	1	1	1	-0.4	0
chr1:176937	10	1	10	10	1	1	1	-0.4	0
chr1:176937	10	1	10	10	1	1	1	-0.4	0
chr1:176937	10	1	10	10	1	1	1	-0.4	0
chr1:179387	10	1	10	10	1	1	1	-0.4	0
chr1:179387	10	1	10	10	1	1	1	-0.4	0
chr1:179387	10	1	10	10	1	1	1	-0.4	0
chr1:182763	10	1	10	10	1	1	1	-0.4	0
chr1:182763	10	1	10	10	1	1	1	-0.4	0
chr1:182763	10	1	10	10	1	1	1	-0.4	0
chr1:183345	10	1	10	10	1	1	1	-0.4	0
chr1:183345	10	1	10	10	1	1	1	-0.4	0
chr1:183345	10	1	10	10	1	1	1	-0.4	0
chr1:184950	10	1	10	10	1	1	1	-0.4	0
chr1:184950	10	1	10	10	1	1	1	-0.4	0
chr1:186981	10	1	10	10	1	1	1	-0.4	0
chr1:190376	10	1	10	10	1	1	1	-0.4	0
chr1:195656	10	1	10	10	1	1	1	-0.4	0
chr1:195656	10	1	10	10	1	1	1	-0.4	0
chr1:195656	10	1	10	10	1	1	1	-0.4	0
chr1:198762	10	1	10	10	1	1	1	-0.4	0
chr1:198762	10	1	10	10	1	1	1	-0.4	0
chr1:198762	10	1	10	10	1	1	1	-0.4	0
chr1:201917	10	1	10	10	1	1	1	-0.4	0
chr1:207785	10	1	10	10	1	1	1	-0.4	0
chr1:207785	10	1	10	10	1	1	1	-0.4	0
chr1:207785	10	1	10	10	1	1	1	-0.4	0
chr1:220210	10	1	10	10	1	1	1	-0.4	0
chr1:220210	10	1	10	10	1	1	1	-0.4	0
chr1:225308	10	1	10	10	1	1	1	-0.4	0
chr1:225308	10	1	10	10	1	1	1	-0.4	0
chr1:225308	10	1	10	10	1	1	1	-0.4	0
chr1:228741	10	1	10	10	1	1	1	-0.4	0
chr1:228741	10	1	10	10	1	1	1	-0.4	0
chr1:228741	10	1	10	10	1	1	1	-0.4	0
chr1:232640	10	1	10	10	1	1	1	-0.4	0
chr1:232640	10	1	10	10	1	1	1	-0.4	0
chr1:237918	10	1	10	10	1	1	1	-0.4	0
chr1:237918	10	1	10	10	1	1	1	-0.4	0
chr1:237918	10	1	10	10	1	1	1	-0.4	0
chr1:239775	10	1	10	10	1	1	1	-0.4	0
chr1:239775	10	1	10	10	1	1	1	-0.4	0
chr1:239775	10	1	10	10	1	1	1	-0.4	0
chr1:248563	10	1	10	10	1	1	1	-0.4	0
chr1:254692	10	1	10	10	1	1	1	-0.4	0
chr1:258729	10	1	10	10	1	1	1	-0.4	0
chr1:258729	10	1	10	10	1	1	1	-0.4	0
chr1:258729	10	1	10	10	1	1	1	-0.4	0
chr1:262804	10	1	10	10	1	1	1	-0.4	0
chr1:262804	10	1	10	10	1	1	1	-0.4	0
chr1:262804	10	1	10	10	1	1	1	-0.4	0
chr1:268251	10	1	10	10	1	1	1	-0.4	0
chr1:268251	10	1	10	10	1	1	1	-0.4	0
chr1:268251	10	1	10	10	1	1	1	-0.4	0
chr1:275267	10	1	10	10	1	1	1	-0.4	0
