Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:8782	10	1	10	10	1	1	1	-0.4	0
chr1:11278	10	1	10	10	1	1	1	-0.4	0
chr1:11278	10	1	10	10	1	1	1	-0.4	0
chr1:13718	10	1	10	10	1	1	1	-0.4	0
chr1:13718	10	1	10	10	1	1	1	-0.4	0
chr1:14191	10	1	10	10	1	1	1	-0.4	0
chr1:14908	10	1	10	10	1	1	1	-0.4	0
chr1:14908	10	1	10	10	1	1	1	-0.4	0
chr1:16063	10	1	10	10	1	1	1	-0.4	0
chr1:16063	10	1	10	10	1	1	1	-0.4	0
chr1:16711	10	1	10	10	1	1	1	-0.4	0
chr1:16711	10	1	10	10	1	1	1	-0.4	0
chr1:19346	10	1	10	10	1	1	1	-0.4	0
chr1:20660	10	1	10	10	1	1	1	-0.4	0
chr1:20660	10	1	10	10	1	1	1	-0.4	0
chr1:38074	10	1	10	10	1	1	1	-0.4	0
chr1:38074	10	1	10	10	1	1	1	-0.4	0
chr1:46823	10	1	10	10	1	1	1	-0.4	0
chr1:51416	10	1	10	10	1	1	1	-0.4	0
chr1:51416	10	1	10	10	1	1	1	-0.4	0
chr1:51674	10	1	10	10	1	1	1	-0.4	0
chr1:51674	10	1	10	10	1	1	1	-0.4	0
chr1:57066	10	1	10	10	1	1	1	-0.4	0
chr1:60237	10	1	10	10	1	1	1	-0.4	0
chr1:61290	10	1	10	10	1	1	1	-0.4	0
chr1:61290	10	1	10	10	1	1	1	-0.4	0
chr1:68396	10	1	10	10	1	1	1	-0.4	0
chr1:68396	10	1	10	10	1	1	1	-0.4	0
chr1:83396	10	1	10	10	1	1	1	-0.4	0
chr1:83396	10	1	10	10	1	1	1	-0.4	0
chr1:88644	10	1	10	10	1	1	1	-0.4	0
chr1:99667	10	1	10	10	1	1	1	-0.4	0
chr1:99667	10	1	10	10	1	1	1	-0.4	0
chr1:104166	10	1	10	10	1	1	1	-0.4	0
chr1:104166	10	1	10	10	1	1	1	-0.4	0
chr1:106420	10	1	10	10	1	1	1	-0.4	0
