Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr5:26253284	10	1	10	10	-1	111.16	1	-0.4	0
chr4:1280090	10	1	10	10	-1	110.62	1	-0.4	0
chr4:1520591	10	1	10	10	-1	110.59	1	-0.4	0
chr2:9075452	10	1	10	10	-1	106.94	1	-0.4	0
chr1:9725897	10	1	10	10	-1	100.95	1	-0.4	0
chr5:709737	10	1	10	10	-1	96.23	1	-0.4	0
chr4:2718106	10	1	10	10	-1	93.39	1	-0.4	0
chr5:1609117	10	1	10	10	-1	92.55	1	-0.4	0
chr5:25085993	10	1	10	10	-1	92.15	1	-0.4	0
chr2:7997341	10	1	10	10	-1	90.99	1	-0.4	0
chr1:28486022	10	1	10	10	-1	89.83	1	-0.4	0
chr4:1047923	10	1	10	10	-1	89.44	1	-0.4	0
chr3:19991283	10	1	10	10	-1	89.16	1	-0.4	0
chr5:20403944	10	1	10	10	-1	88.79	1	-0.4	0
chr5:19249620	10	1	10	10	-1	88.41	1	-0.4	0
chr4:4074702	10	1	10	10	-1	88.35	1	-0.4	0
chr5:773562	10	1	10	10	-1	87.53	1	-0.4	0
chr1:29345713	10	1	10	10	-1	86.2	1	-0.4	0
chr1:24812698	10	1	10	10	-1	86.14	1	-0.4	0
chr3:18471060	10	1	10	10	-1	85.14	1	-0.4	0
chr5:7856032	10	1	10	10	-1	82.94	1	-0.4	0
chr5:25764272	10	1	10	10	-1	82.67	1	-0.4	0
chr4:17041232	10	1	10	10	-1	82.49	1	-0.4	0
chr1:2848202	10	1	10	10	-1	80.7	1	-0.4	0
chr3:2890497	10	1	10	10	-1	80.66	1	-0.4	0
chr1:11612063	10	1	10	10	-1	80.6	1	-0.4	0
chr3:18940560	10	1	10	10	-1	79.43	1	-0.4	0
chr1:12123687	10	1	10	10	-1	78.62	1	-0.4	0
chr4:6276884	10	1	10	10	-1	77.28	1	-0.4	0
chr1:16646688	10	1	10	10	-1	75.25	1	-0.4	0
chr5:16158871	10	1	10	10	-1	74.38	1	-0.4	0
chr3:1488483	10	1	10	10	-1	73.65	1	-0.4	0
chr4:7368987	10	1	10	10	-1	73.61	1	-0.4	0
chr2:9538999	10	1	10	10	-1	72.29	1	-0.4	0
chr5:973861	10	1	10	10	-1	72.23	1	-0.4	0
chr5:26466177	10	1	10	10	-1	71.04	1	-0.4	0
