Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr2:10702150	10	1	10	10	-1	83.77	1	-0.4	0
chr5:13521783	10	1	10	10	-1	82.82	1	-0.4	0
chr3:8918590	10	1	10	10	-1	81.27	1	-0.4	0
chr1:4855281	10	1	10	10	-1	80.98	1	-0.4	0
chr2:11135570	10	1	10	10	-1	80.79	1	-0.4	0
chr5:26394557	10	1	10	10	-1	80.64	1	-0.4	0
chr5:7014594	10	1	10	10	-1	80.14	1	-0.4	0
chr1:6308097	10	1	10	10	-1	79.2	1	-0.4	0
chr4:5828556	10	1	10	10	-1	79.2	1	-0.4	0
chr5:271632	10	1	10	10	-1	78.72	1	-0.4	0
chr5:2975622	10	1	10	10	-1	78.45	1	-0.4	0
chr1:25238242	10	1	10	10	-1	78.34	1	-0.4	0
chr4:12900073	10	1	10	10	-1	78.01	1	-0.4	0
chr1:22449637	10	1	10	10	-1	77.28	1	-0.4	0
chr1:27940256	10	1	10	10	-1	76.82	1	-0.4	0
chr5:25676937	10	1	10	10	-1	76.4	1	-0.4	0
chr3:8640154	10	1	10	10	-1	73.88	1	-0.4	0
chr1:12152558	10	1	10	10	-1	73.7	1	-0.4	0
chr2:19204918	10	1	10	10	-1	73.51	1	-0.4	0
chr5:8856976	10	1	10	10	-1	73.05	1	-0.4	0
chr4:7341346	10	1	10	10	-1	72.89	1	-0.4	0
chr3:5340078	10	1	10	10	-1	72.87	1	-0.4	0
chr3:6632528	10	1	10	10	-1	72.62	1	-0.4	0
chr4:14863080	10	1	10	10	-1	72.34	1	-0.4	0
chr1:29926522	10	1	10	10	-1	72.33	1	-0.4	0
chr1:30062816	10	1	10	10	-1	72.24	1	-0.4	0
chr3:23389026	10	1	10	10	-1	72.24	1	-0.4	0
chr5:24917385	10	1	10	10	-1	72.2	1	-0.4	0
chr5:23501320	10	1	10	10	-1	72.17	1	-0.4	0
chr2:17752303	10	1	10	10	-1	72.14	1	-0.4	0
chr3:17523095	10	1	10	10	-1	72.08	1	-0.4	0
chr3:3091861	10	1	10	10	-1	71.89	1	-0.4	0
chr1:20731259	10	1	10	10	-1	71.85	1	-0.4	0
chr3:15905457	10	1	10	10	-1	71.63	1	-0.4	0
chr4:12257056	10	1	10	10	-1	71.29	1	-0.4	0
chr3:781523	10	1	10	10	-1	70.97	1	-0.4	0
chr2:8370449	10	1	10	10	-1	70.87	1	-0.4	0
chr1:29404797	10	1	10	10	-1	70.82	1	-0.4	0
chr1:2260143	10	1	10	10	-1	70.54	1	-0.4	0
