Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:3677	10	1	10	10	1	1	1	-0.4	0
chr1:15461	10	1	10	10	1	1	1	-0.4	0
chr1:20861	10	1	10	10	1	1	1	-0.4	0
chr1:33755	10	1	10	10	1	1	1	-0.4	0
chr1:38045	10	1	10	10	1	1	1	-0.4	0
chr1:40287	10	1	10	10	1	1	1	-0.4	0
chr1:46891	10	1	10	10	1	1	1	-0.4	0
chr1:48447	10	1	10	10	1	1	1	-0.4	0
chr1:52657	10	1	10	10	1	1	1	-0.4	0
chr1:55500	10	1	10	10	1	1	1	-0.4	0
chr1:57148	10	1	10	10	1	1	1	-0.4	0
chr1:63980	10	1	10	10	1	1	1	-0.4	0
chr1:67667	10	1	10	10	1	1	1	-0.4	0
chr1:68617	10	1	10	10	1	1	1	-0.4	0
chr1:76167	10	1	10	10	1	1	1	-0.4	0
chr1:78306	10	1	10	10	1	1	1	-0.4	0
chr1:79241	10	1	10	10	1	1	1	-0.4	0
chr1:82147	10	1	10	10	1	1	1	-0.4	0
chr1:85487	10	1	10	10	1	1	1	-0.4	0
chr1:86727	10	1	10	10	1	1	1	-0.4	0
chr1:95967	10	1	10	10	1	1	1	-0.4	0
chr1:97140	10	1	10	10	1	1	1	-0.4	0
chr1:99531	10	1	10	10	1	1	1	-0.4	0
chr1:104920	10	1	10	10	1	1	1	-0.4	0
chr1:107009	10	1	10	10	1	1	1	-0.4	0
chr1:107711	10	1	10	10	1	1	1	-0.4	0
chr1:108851	10	1	10	10	1	1	1	-0.4	0
chr1:113286	10	1	10	10	1	1	1	-0.4	0
chr1:116758	10	1	10	10	1	1	1	-0.4	0
chr1:120506	10	1	10	10	1	1	1	-0.4	0
chr1:128374	10	1	10	10	1	1	1	-0.4	0
chr1:129271	10	1	10	10	1	1	1	-0.4	0
chr1:136099	10	1	10	10	1	1	1	-0.4	0
chr1:140445	10	1	10	10	1	1	1	-0.4	0
chr1:141809	10	1	10	10	1	1	1	-0.4	0
chr1:147450	10	1	10	10	1	1	1	-0.4	0
chr1:155278	10	1	10	10	1	1	1	-0.4	0
chr1:156674	10	1	10	10	1	1	1	-0.4	0
chr1:163379	10	1	10	10	1	1	1	-0.4	0
chr1:167327	10	1	10	10	1	1	1	-0.4	0
chr1:168208	10	1	10	10	1	1	1	-0.4	0
chr1:173611	10	1	10	10	1	1	1	-0.4	0
chr1:177284	10	1	10	10	1	1	1	-0.4	0
chr1:178734	10	1	10	10	1	1	1	-0.4	0
chr1:182536	10	1	10	10	1	1	1	-0.4	0
chr1:183389	10	1	10	10	1	1	1	-0.4	0
chr1:187027	10	1	10	10	1	1	1	-0.4	0
chr1:195742	10	1	10	10	1	1	1	-0.4	0
chr1:198579	10	1	10	10	1	1	1	-0.4	0
chr1:199582	10	1	10	10	1	1	1	-0.4	0
chr1:202225	10	1	10	10	1	1	1	-0.4	0
chr1:207092	10	1	10	10	1	1	1	-0.4	0
chr1:208053	10	1	10	10	1	1	1	-0.4	0
chr1:214850	10	1	10	10	1	1	1	-0.4	0
chr1:220383	10	1	10	10	1	1	1	-0.4	0
chr1:224884	10	1	10	10	1	1	1	-0.4	0
chr1:226194	10	1	10	10	1	1	1	-0.4	0
chr1:227525	10	1	10	10	1	1	1	-0.4	0
chr1:228828	10	1	10	10	1	1	1	-0.4	0
chr1:236000	10	1	10	10	1	1	1	-0.4	0
chr1:237962	10	1	10	10	1	1	1	-0.4	0
chr1:239889	10	1	10	10	1	1	1	-0.4	0
chr1:262915	10	1	10	10	1	1	1	-0.4	0
chr1:268185	10	1	10	10	1	1	1	-0.4	0
chr1:269833	10	1	10	10	1	1	1	-0.4	0
chr1:270780	10	1	10	10	1	1	1	-0.4	0
chr1:284338	10	1	10	10	1	1	1	-0.4	0
chr1:298560	10	1	10	10	1	1	1	-0.4	0
chr1:309582	10	1	10	10	1	1	1	-0.4	0
chr1:310265	10	1	10	10	1	1	1	-0.4	0
chr1:312952	10	1	10	10	1	1	1	-0.4	0
chr1:325239	10	1	10	10	1	1	1	-0.4	0
chr1:344989	10	1	10	10	1	1	1	-0.4	0
chr1:355225	10	1	10	10	1	1	1	-0.4	0
chr1:355938	10	1	10	10	1	1	1	-0.4	0
chr1:364364	10	1	10	10	1	1	1	-0.4	0
chr1:368784	10	1	10	10	1	1	1	-0.4	0
chr1:387126	10	1	10	10	1	1	1	-0.4	0
chr1:392402	10	1	10	10	1	1	1	-0.4	0
chr1:395446	10	1	10	10	1	1	1	-0.4	0
chr1:400116	10	1	10	10	1	1	1	-0.4	0
chr1:418676	10	1	10	10	1	1	1	-0.4	0
chr1:420141	10	1	10	10	1	1	1	-0.4	0
chr1:424546	10	1	10	10	1	1	1	-0.4	0
chr1:426645	10	1	10	10	1	1	1	-0.4	0
chr1:428438	10	1	10	10	1	1	1	-0.4	0
chr1:431047	10	1	10	10	1	1	1	-0.4	0
chr1:434704	10	1	10	10	1	1	1	-0.4	0
chr1:437006	10	1	10	10	1	1	1	-0.4	0
chr1:440102	10	1	10	10	1	1	1	-0.4	0
chr1:447142	10	1	10	10	1	1	1	-0.4	0
chr1:453003	10	1	10	10	1	1	1	-0.4	0
chr1:459025	10	1	10	10	1	1	1	-0.4	0
chr1:460212	10	1	10	10	1	1	1	-0.4	0
chr1:461236	10	1	10	10	1	1	1	-0.4	0
chr1:465020	10	1	10	10	1	1	1	-0.4	0
chr1:468915	10	1	10	10	1	1	1	-0.4	0
chr1:472354	10	1	10	10	1	1	1	-0.4	0
chr1:478989	10	1	10	10	1	1	1	-0.4	0
chr1:480815	10	1	10	10	1	1	1	-0.4	0
chr1:482856	10	1	10	10	1	1	1	-0.4	0
chr1:484466	10	1	10	10	1	1	1	-0.4	0
chr1:485246	10	1	10	10	1	1	1	-0.4	0
chr1:485790	10	1	10	10	1	1	1	-0.4	0
chr1:486434	10	1	10	10	1	1	1	-0.4	0
chr1:488384	10	1	10	10	1	1	1	-0.4	0
chr1:489785	10	1	10	10	1	1	1	-0.4	0
chr1:490966	10	1	10	10	1	1	1	-0.4	0
chr1:496197	10	1	10	10	1	1	1	-0.4	0
chr1:497686	10	1	10	10	1	1	1	-0.4	0
chr1:498896	10	1	10	10	1	1	1	-0.4	0
chr1:509145	10	1	10	10	1	1	1	-0.4	0
chr1:511119	10	1	10	10	1	1	1	-0.4	0
chr1:522171	10	1	10	10	1	1	1	-0.4	0
chr1:528642	10	1	10	10	1	1	1	-0.4	0
chr1:534437	10	1	10	10	1	1	1	-0.4	0
chr1:551459	10	1	10	10	1	1	1	-0.4	0
chr1:552848	10	1	10	10	1	1	1	-0.4	0
chr1:555274	10	1	10	10	1	1	1	-0.4	0
chr1:555865	10	1	10	10	1	1	1	-0.4	0
chr1:559887	10	1	10	10	1	1	1	-0.4	0
chr1:563039	10	1	10	10	1	1	1	-0.4	0
chr1:564782	10	1	10	10	1	1	1	-0.4	0
chr1:565511	10	1	10	10	1	1	1	-0.4	0
chr1:567279	10	1	10	10	1	1	1	-0.4	0
chr1:569303	10	1	10	10	1	1	1	-0.4	0
chr1:575621	10	1	10	10	1	1	1	-0.4	0
chr1:582980	10	1	10	10	1	1	1	-0.4	0
chr1:584218	10	1	10	10	1	1	1	-0.4	0
chr1:588302	10	1	10	10	1	1	1	-0.4	0
chr1:609866	10	1	10	10	1	1	1	-0.4	0
chr1:613000	10	1	10	10	1	1	1	-0.4	0
chr1:614125	10	1	10	10	1	1	1	-0.4	0
