Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:14114	10	1	10	10	1	1	1	-0.4	0
chr1:14688	10	1	10	10	1	1	1	-0.4	0
chr1:51828	10	1	10	10	1	1	1	-0.4	0
chr1:51828	10	1	10	10	1	1	1	-0.4	0
chr1:55626	10	1	10	10	1	1	1	-0.4	0
chr1:59896	10	1	10	10	1	1	1	-0.4	0
chr1:68486	10	1	10	10	1	1	1	-0.4	0
chr1:99367	10	1	10	10	1	1	1	-0.4	0
chr1:108224	10	1	10	10	1	1	1	-0.4	0
chr1:108224	10	1	10	10	1	1	1	-0.4	0
chr1:109069	10	1	10	10	1	1	1	-0.4	0
chr1:116448	10	1	10	10	1	1	1	-0.4	0
chr1:116448	10	1	10	10	1	1	1	-0.4	0
chr1:118640	10	1	10	10	1	1	1	-0.4	0
chr1:118640	10	1	10	10	1	1	1	-0.4	0
chr1:120549	10	1	10	10	1	1	1	-0.4	0
chr1:146308	10	1	10	10	1	1	1	-0.4	0
chr1:149786	10	1	10	10	1	1	1	-0.4	0
chr1:156706	10	1	10	10	1	1	1	-0.4	0
chr1:158777	10	1	10	10	1	1	1	-0.4	0
chr1:159452	10	1	10	10	1	1	1	-0.4	0
chr1:159452	10	1	10	10	1	1	1	-0.4	0
chr1:173541	10	1	10	10	1	1	1	-0.4	0
chr1:182391	10	1	10	10	1	1	1	-0.4	0
chr1:183340	10	1	10	10	1	1	1	-0.4	0
chr1:198637	10	1	10	10	1	1	1	-0.4	0
chr1:199358	10	1	10	10	1	1	1	-0.4	0
chr1:207739	10	1	10	10	1	1	1	-0.4	0
chr1:228748	10	1	10	10	1	1	1	-0.4	0
chr1:232633	10	1	10	10	1	1	1	-0.4	0
chr1:237896	10	1	10	10	1	1	1	-0.4	0
chr1:239791	10	1	10	10	1	1	1	-0.4	0
chr1:239791	10	1	10	10	1	1	1	-0.4	0
chr1:258727	10	1	10	10	1	1	1	-0.4	0
chr1:262803	10	1	10	10	1	1	1	-0.4	0
chr1:268267	10	1	10	10	1	1	1	-0.4	0
chr1:275289	10	1	10	10	1	1	1	-0.4	0
chr1:291756	10	1	10	10	1	1	1	-0.4	0
chr1:293178	10	1	10	10	1	1	1	-0.4	0
chr1:293178	10	1	10	10	1	1	1	-0.4	0
chr1:302932	10	1	10	10	1	1	1	-0.4	0
chr1:302932	10	1	10	10	1	1	1	-0.4	0
chr1:310211	10	1	10	10	1	1	1	-0.4	0
chr1:344989	10	1	10	10	1	1	1	-0.4	0
chr1:364636	10	1	10	10	1	1	1	-0.4	0
chr1:368174	10	1	10	10	1	1	1	-0.4	0
