Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr3:21827651	10	1	10	10	-1	159.26	1	-0.4	0
chr2:6018244	10	1	10	10	-1	158.51	1	-0.4	0
chr1:21030738	10	1	10	10	-1	158.48	1	-0.4	0
chr5:4156523	10	1	10	10	-1	156.58	1	-0.4	0
chr3:11725323	10	1	10	10	-1	156.15	1	-0.4	0
chr5:14755559	10	1	10	10	-1	156.15	1	-0.4	0
chr2:18000686	10	1	10	10	-1	155.86	1	-0.4	0
chr3:21516669	10	1	10	10	-1	154.6	1	-0.4	0
chr5:16135224	10	1	10	10	-1	154.54	1	-0.4	0
chr5:25337057	10	1	10	10	-1	153.83	1	-0.4	0
chr5:22359435	10	1	10	10	-1	153.75	1	-0.4	0
chr3:8685468	10	1	10	10	-1	153.05	1	-0.4	0
chr4:18486477	10	1	10	10	-1	152.28	1	-0.4	0
chr5:17581298	10	1	10	10	-1	152.28	1	-0.4	0
chr5:19563883	10	1	10	10	-1	152.24	1	-0.4	0
chr1:2972351	10	1	10	10	-1	152.16	1	-0.4	0
chr3:3271394	10	1	10	10	-1	152.06	1	-0.4	0
chr4:131299	10	1	10	10	-1	149.98	1	-0.4	0
chr2:1124319	10	1	10	10	-1	149.82	1	-0.4	0
chr2:937296	10	1	10	10	-1	149.82	1	-0.4	0
chr1:29429363	10	1	10	10	-1	149.57	1	-0.4	0
chr5:2985560	10	1	10	10	-1	149.22	1	-0.4	0
chr5:3524372	10	1	10	10	-1	149.22	1	-0.4	0
chr5:7678821	10	1	10	10	-1	149.18	1	-0.4	0
chr1:8430152	10	1	10	10	-1	148.6	1	-0.4	0
chr1:7090074	10	1	10	10	-1	148.45	1	-0.4	0
chr5:309006	10	1	10	10	-1	148.45	1	-0.4	0
chr1:10586756	10	1	10	10	-1	147.99	1	-0.4	0
chr2:14849411	10	1	10	10	-1	147.49	1	-0.4	0
chr4:16295328	10	1	10	10	-1	147.31	1	-0.4	0
chr3:10216839	10	1	10	10	-1	146.92	1	-0.4	0
chr5:24829860	10	1	10	10	-1	146.9	1	-0.4	0
chr1:29363144	10	1	10	10	-1	146.17	1	-0.4	0
chr2:17490126	10	1	10	10	-1	146.17	1	-0.4	0
chr3:6780398	10	1	10	10	-1	146.17	1	-0.4	0
chr5:21306824	10	1	10	10	-1	146.17	1	-0.4	0
chr5:23898733	10	1	10	10	-1	146.17	1	-0.4	0
chr4:10724855	10	1	10	10	-1	146.01	1	-0.4	0
chr1:17169209	10	1	10	10	-1	145.98	1	-0.4	0
chr3:16912194	10	1	10	10	-1	145.85	1	-0.4	0
chr1:364323	10	1	10	10	-1	145.82	1	-0.4	0
chr5:5664200	10	1	10	10	-1	145.63	1	-0.4	0
chr1:228331	10	1	10	10	-1	145.41	1	-0.4	0
chr1:23072907	10	1	10	10	-1	145.41	1	-0.4	0
chr3:5812890	10	1	10	10	-1	145.41	1	-0.4	0
chr1:18061409	10	1	10	10	-1	145.31	1	-0.4	0
chr5:6170337	10	1	10	10	-1	144.92	1	-0.4	0
chr2:19491315	10	1	10	10	-1	144.65	1	-0.4	0
chr3:2113674	10	1	10	10	-1	144.65	1	-0.4	0
chr5:2167253	10	1	10	10	-1	144.65	1	-0.4	0
chr2:17057329	10	1	10	10	-1	144.56	1	-0.4	0
chr1:2976895	10	1	10	10	-1	144.39	1	-0.4	0
chr5:721768	10	1	10	10	-1	144.22	1	-0.4	0
chr1:26469557	10	1	10	10	-1	143.89	1	-0.4	0
chr1:30249344	10	1	10	10	-1	143.89	1	-0.4	0
chr1:3484444	10	1	10	10	-1	143.89	1	-0.4	0
chr4:11417397	10	1	10	10	-1	143.89	1	-0.4	0
chr4:17502583	10	1	10	10	-1	143.89	1	-0.4	0
chr5:19099686	10	1	10	10	-1	143.89	1	-0.4	0
chr5:8359979	10	1	10	10	-1	143.77	1	-0.4	0
chr3:17778275	10	1	10	10	-1	143.64	1	-0.4	0
chr3:23301593	10	1	10	10	-1	143.54	1	-0.4	0
chr2:19232454	10	1	10	10	-1	143.41	1	-0.4	0
chr5:19232777	10	1	10	10	-1	143.24	1	-0.4	0
chr5:10543468	10	1	10	10	-1	143.16	1	-0.4	0
chr2:7910322	10	1	10	10	-1	143.14	1	-0.4	0
chr3:19995873	10	1	10	10	-1	143.14	1	-0.4	0
chr5:19309117	10	1	10	10	-1	143.14	1	-0.4	0
chr5:23717748	10	1	10	10	-1	142.91	1	-0.4	0
chr3:17248811	10	1	10	10	-1	142.75	1	-0.4	0
chr1:19699357	10	1	10	10	-1	142.45	1	-0.4	0
chr4:6100603	10	1	10	10	-1	142.41	1	-0.4	0
chr1:28588589	10	1	10	10	-1	142.38	1	-0.4	0
chr3:18509176	10	1	10	10	-1	142.38	1	-0.4	0
chr3:22917449	10	1	10	10	-1	142.38	1	-0.4	0
chr3:2717467	10	1	10	10	-1	142.38	1	-0.4	0
chr2:13632049	10	1	10	10	-1	142.31	1	-0.4	0
chr3:1567499	10	1	10	10	-1	142.18	1	-0.4	0
chr1:6174711	10	1	10	10	-1	141.92	1	-0.4	0
chr3:3957650	10	1	10	10	-1	141.84	1	-0.4	0
chr5:23077144	10	1	10	10	-1	141.67	1	-0.4	0
chr2:18965089	10	1	10	10	-1	141.63	1	-0.4	0
chr2:19148625	10	1	10	10	-1	141.53	1	-0.4	0
chr5:1547254	10	1	10	10	-1	141.34	1	-0.4	0
chr1:2931957	10	1	10	10	-1	141.18	1	-0.4	0
chr1:171511	10	1	10	10	-1	140.88	1	-0.4	0
chr2:18866796	10	1	10	10	-1	140.88	1	-0.4	0
chr2:15207746	10	1	10	10	-1	140.85	1	-0.4	0
chr1:28804997	10	1	10	10	-1	140.72	1	-0.4	0
chr1:1358464	10	1	10	10	-1	140.62	1	-0.4	0
