Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:15880585	10	1	10	10	-1	141.89	1	-0.4	0
chr1:16851332	10	1	10	10	-1	141.89	1	-0.4	0
chr1:17846818	10	1	10	10	-1	141.89	1	-0.4	0
chr1:20210041	10	1	10	10	-1	141.89	1	-0.4	0
chr1:220214	10	1	10	10	-1	141.89	1	-0.4	0
chr1:23126627	10	1	10	10	-1	141.89	1	-0.4	0
chr1:2374950	10	1	10	10	-1	141.89	1	-0.4	0
chr1:25677486	10	1	10	10	-1	141.89	1	-0.4	0
chr1:28284734	10	1	10	10	-1	141.89	1	-0.4	0
chr1:28439862	10	1	10	10	-1	141.89	1	-0.4	0
chr1:28878292	10	1	10	10	-1	141.89	1	-0.4	0
chr1:29758444	10	1	10	10	-1	141.89	1	-0.4	0
chr1:4082648	10	1	10	10	-1	141.89	1	-0.4	0
chr1:4229779	10	1	10	10	-1	141.89	1	-0.4	0
chr1:4585503	10	1	10	10	-1	141.89	1	-0.4	0
chr1:575571	10	1	10	10	-1	141.89	1	-0.4	0
chr2:10119691	10	1	10	10	-1	141.89	1	-0.4	0
chr2:11298069	10	1	10	10	-1	141.89	1	-0.4	0
chr2:16706118	10	1	10	10	-1	141.89	1	-0.4	0
chr2:17473121	10	1	10	10	-1	141.89	1	-0.4	0
chr2:17752347	10	1	10	10	-1	141.89	1	-0.4	0
chr2:19468129	10	1	10	10	-1	141.89	1	-0.4	0
chr2:7765323	10	1	10	10	-1	141.89	1	-0.4	0
chr2:8107844	10	1	10	10	-1	141.89	1	-0.4	0
chr2:9120087	10	1	10	10	-1	141.89	1	-0.4	0
chr3:21303462	10	1	10	10	-1	141.89	1	-0.4	0
chr3:7910206	10	1	10	10	-1	141.89	1	-0.4	0
chr4:13675109	10	1	10	10	-1	141.89	1	-0.4	0
chr4:16285139	10	1	10	10	-1	141.89	1	-0.4	0
chr4:16773339	10	1	10	10	-1	141.89	1	-0.4	0
chr4:189355	10	1	10	10	-1	141.89	1	-0.4	0
chr4:2673346	10	1	10	10	-1	141.89	1	-0.4	0
chr4:484971	10	1	10	10	-1	141.89	1	-0.4	0
chr5:10799340	10	1	10	10	-1	141.89	1	-0.4	0
chr5:14753160	10	1	10	10	-1	141.89	1	-0.4	0
chr5:18484104	10	1	10	10	-1	141.89	1	-0.4	0
chr5:19163808	10	1	10	10	-1	141.89	1	-0.4	0
chr5:25337067	10	1	10	10	-1	141.89	1	-0.4	0
chr5:26354363	10	1	10	10	-1	141.89	1	-0.4	0
chr5:26851794	10	1	10	10	-1	141.89	1	-0.4	0
chr1:8384954	10	1	10	10	-1	141.72	1	-0.4	0
chr4:2464182	10	1	10	10	-1	141.62	1	-0.4	0
chr1:10354073	10	1	10	10	-1	141.53	1	-0.4	0
chr5:20943378	10	1	10	10	-1	141.44	1	-0.4	0
chr1:10810929	10	1	10	10	-1	141.19	1	-0.4	0
chr1:26324787	10	1	10	10	-1	141.19	1	-0.4	0
chr1:26332016	10	1	10	10	-1	141.19	1	-0.4	0
chr1:26439495	10	1	10	10	-1	141.19	1	-0.4	0
chr1:26513122	10	1	10	10	-1	141.19	1	-0.4	0
chr1:27303266	10	1	10	10	-1	141.19	1	-0.4	0
chr1:7732371	10	1	10	10	-1	141.19	1	-0.4	0
chr1:7989307	10	1	10	10	-1	141.19	1	-0.4	0
chr3:20872378	10	1	10	10	-1	141.19	1	-0.4	0
chr3:4976079	10	1	10	10	-1	141.19	1	-0.4	0
chr3:6805349	10	1	10	10	-1	141.19	1	-0.4	0
chr3:8151946	10	1	10	10	-1	141.19	1	-0.4	0
chr3:907403	10	1	10	10	-1	141.19	1	-0.4	0
chr4:10291794	10	1	10	10	-1	141.19	1	-0.4	0
chr4:11417380	10	1	10	10	-1	141.19	1	-0.4	0
chr4:17813053	10	1	10	10	-1	141.19	1	-0.4	0
chr4:7600504	10	1	10	10	-1	141.19	1	-0.4	0
chr5:1375922	10	1	10	10	-1	141.19	1	-0.4	0
chr5:16771467	10	1	10	10	-1	141.19	1	-0.4	0
chr5:18022310	10	1	10	10	-1	141.19	1	-0.4	0
chr5:19181012	10	1	10	10	-1	141.19	1	-0.4	0
chr5:21274886	10	1	10	10	-1	141.19	1	-0.4	0
chr5:23355419	10	1	10	10	-1	141.19	1	-0.4	0
chr5:24003792	10	1	10	10	-1	141.19	1	-0.4	0
chr5:25703763	10	1	10	10	-1	141.19	1	-0.4	0
chr5:26228884	10	1	10	10	-1	141.19	1	-0.4	0
chr5:6747995	10	1	10	10	-1	141.19	1	-0.4	0
chr5:8358858	10	1	10	10	-1	141.19	1	-0.4	0
chr5:16364621	10	1	10	10	-1	140.87	1	-0.4	0
chr4:17579546	10	1	10	10	-1	140.78	1	-0.4	0
chr1:23633085	10	1	10	10	-1	140.69	1	-0.4	0
chr5:22359529	10	1	10	10	-1	140.65	1	-0.4	0
chr5:26572413	10	1	10	10	-1	140.65	1	-0.4	0
chr3:22677016	10	1	10	10	-1	140.6	1	-0.4	0
chr5:579311	10	1	10	10	-1	140.6	1	-0.4	0
chr3:17507816	10	1	10	10	-1	140.56	1	-0.4	0
chr3:19807327	10	1	10	10	-1	140.56	1	-0.4	0
chr1:104894	10	1	10	10	-1	140.5	1	-0.4	0
chr1:10954495	10	1	10	10	-1	140.5	1	-0.4	0
chr1:16709786	10	1	10	10	-1	140.5	1	-0.4	0
chr1:21207087	10	1	10	10	-1	140.5	1	-0.4	0
chr1:2283072	10	1	10	10	-1	140.5	1	-0.4	0
chr1:27088317	10	1	10	10	-1	140.5	1	-0.4	0
chr1:28387139	10	1	10	10	-1	140.5	1	-0.4	0
chr1:29217947	10	1	10	10	-1	140.5	1	-0.4	0
chr1:5447951	10	1	10	10	-1	140.5	1	-0.4	0
chr1:7090175	10	1	10	10	-1	140.5	1	-0.4	0
chr1:7267484	10	1	10	10	-1	140.5	1	-0.4	0
chr1:9408806	10	1	10	10	-1	140.5	1	-0.4	0
chr2:12152383	10	1	10	10	-1	140.5	1	-0.4	0
chr2:15616398	10	1	10	10	-1	140.5	1	-0.4	0
chr2:18563922	10	1	10	10	-1	140.5	1	-0.4	0
chr2:6950019	10	1	10	10	-1	140.5	1	-0.4	0
chr2:9454286	10	1	10	10	-1	140.5	1	-0.4	0
chr2:9530543	10	1	10	10	-1	140.5	1	-0.4	0
chr3:11384172	10	1	10	10	-1	140.5	1	-0.4	0
chr3:17551329	10	1	10	10	-1	140.5	1	-0.4	0
chr3:19251072	10	1	10	10	-1	140.5	1	-0.4	0
chr3:19287680	10	1	10	10	-1	140.5	1	-0.4	0
chr3:23185708	10	1	10	10	-1	140.5	1	-0.4	0
chr3:5234462	10	1	10	10	-1	140.5	1	-0.4	0
chr3:9718017	10	1	10	10	-1	140.5	1	-0.4	0
chr4:16704268	10	1	10	10	-1	140.5	1	-0.4	0
chr4:16983293	10	1	10	10	-1	140.5	1	-0.4	0
chr4:17363725	10	1	10	10	-1	140.5	1	-0.4	0
chr4:17997826	10	1	10	10	-1	140.5	1	-0.4	0
chr4:9368318	10	1	10	10	-1	140.5	1	-0.4	0
chr5:159318	10	1	10	10	-1	140.5	1	-0.4	0
chr5:19099676	10	1	10	10	-1	140.5	1	-0.4	0
chr5:1998340	10	1	10	10	-1	140.5	1	-0.4	0
chr5:21611315	10	1	10	10	-1	140.5	1	-0.4	0
chr5:22151218	10	1	10	10	-1	140.5	1	-0.4	0
chr5:23898734	10	1	10	10	-1	140.5	1	-0.4	0
chr5:24940586	10	1	10	10	-1	140.5	1	-0.4	0
chr5:26605002	10	1	10	10	-1	140.5	1	-0.4	0
chr5:26672929	10	1	10	10	-1	140.5	1	-0.4	0
chr5:26795500	10	1	10	10	-1	140.5	1	-0.4	0
chr5:4156347	10	1	10	10	-1	140.5	1	-0.4	0
chr2:13632050	10	1	10	10	-1	140.43	1	-0.4	0
chr2:18423295	10	1	10	10	-1	140.43	1	-0.4	0
chr3:23301691	10	1	10	10	-1	140.41	1	-0.4	0
chr5:2938237	10	1	10	10	-1	140.37	1	-0.4	0
chr1:29716202	10	1	10	10	-1	140.33	1	-0.4	0
chr1:3240530	10	1	10	10	-1	140.32	1	-0.4	0
chr1:99405	10	1	10	10	-1	140.32	1	-0.4	0
chr5:22054585	10	1	10	10	-1	140.28	1	-0.4	0
chr5:7678818	10	1	10	10	-1	140.22	1	-0.4	0
chr3:4311974	10	1	10	10	-1	140.09	1	-0.4	0
chr3:20896170	10	1	10	10	-1	140.05	1	-0.4	0
chr3:22886609	10	1	10	10	-1	140.05	1	-0.4	0
chr1:27982255	10	1	10	10	-1	139.81	1	-0.4	0
chr1:28701626	10	1	10	10	-1	139.81	1	-0.4	0
chr1:7832743	10	1	10	10	-1	139.81	1	-0.4	0
chr1:8153756	10	1	10	10	-1	139.81	1	-0.4	0
chr1:898707	10	1	10	10	-1	139.81	1	-0.4	0
chr2:10561539	10	1	10	10	-1	139.81	1	-0.4	0
chr2:383477	10	1	10	10	-1	139.81	1	-0.4	0
chr3:10383983	10	1	10	10	-1	139.81	1	-0.4	0
chr3:20714865	10	1	10	10	-1	139.81	1	-0.4	0
chr3:2113707	10	1	10	10	-1	139.81	1	-0.4	0
chr3:22917426	10	1	10	10	-1	139.81	1	-0.4	0
chr3:2353000	10	1	10	10	-1	139.81	1	-0.4	0
chr3:4723884	10	1	10	10	-1	139.81	1	-0.4	0
chr3:6490292	10	1	10	10	-1	139.81	1	-0.4	0
chr4:13016356	10	1	10	10	-1	139.81	1	-0.4	0
chr4:16944829	10	1	10	10	-1	139.81	1	-0.4	0
chr4:17312281	10	1	10	10	-1	139.81	1	-0.4	0
chr4:17346661	10	1	10	10	-1	139.81	1	-0.4	0
chr4:17594435	10	1	10	10	-1	139.81	1	-0.4	0
chr4:18321574	10	1	10	10	-1	139.81	1	-0.4	0
chr4:2620568	10	1	10	10	-1	139.81	1	-0.4	0
chr4:9295733	10	1	10	10	-1	139.81	1	-0.4	0
chr4:9302094	10	1	10	10	-1	139.81	1	-0.4	0
chr5:15878630	10	1	10	10	-1	139.81	1	-0.4	0
chr5:21619579	10	1	10	10	-1	139.81	1	-0.4	0
chr5:2167228	10	1	10	10	-1	139.81	1	-0.4	0
chr5:21769891	10	1	10	10	-1	139.81	1	-0.4	0
chr5:23166112	10	1	10	10	-1	139.81	1	-0.4	0
chr5:26036043	10	1	10	10	-1	139.81	1	-0.4	0
chr5:26414700	10	1	10	10	-1	139.81	1	-0.4	0
chr5:26568566	10	1	10	10	-1	139.81	1	-0.4	0
chr5:4184546	10	1	10	10	-1	139.81	1	-0.4	0
chr5:7251260	10	1	10	10	-1	139.81	1	-0.4	0
chr5:767064	10	1	10	10	-1	139.81	1	-0.4	0
chr5:829097	10	1	10	10	-1	139.81	1	-0.4	0
chr4:18551297	10	1	10	10	-1	139.76	1	-0.4	0
chr3:22634611	10	1	10	10	-1	139.72	1	-0.4	0
chr1:7470350	10	1	10	10	-1	139.68	1	-0.4	0
chr1:3764849	10	1	10	10	-1	139.63	1	-0.4	0
chr2:13800401	10	1	10	10	-1	139.63	1	-0.4	0
chr2:19386744	10	1	10	10	-1	139.63	1	-0.4	0
chr5:25086897	10	1	10	10	-1	139.63	1	-0.4	0
chr3:536382	10	1	10	10	-1	139.59	1	-0.4	0
chr4:15876591	10	1	10	10	-1	139.59	1	-0.4	0
chr1:4680227	10	1	10	10	-1	139.44	1	-0.4	0
chr1:4973846	10	1	10	10	-1	139.44	1	-0.4	0
chr2:19408684	10	1	10	10	-1	139.36	1	-0.4	0
chr5:23109086	10	1	10	10	-1	139.31	1	-0.4	0
chr1:29919617	10	1	10	10	-1	139.3	1	-0.4	0
chr1:5224185	10	1	10	10	-1	139.27	1	-0.4	0
chr1:6463641	10	1	10	10	-1	139.21	1	-0.4	0
chr1:6802850	10	1	10	10	-1	139.21	1	-0.4	0
chr4:14204053	10	1	10	10	-1	139.13	1	-0.4	0
chr1:183392	10	1	10	10	-1	139.12	1	-0.4	0
chr1:20235606	10	1	10	10	-1	139.12	1	-0.4	0
chr1:25657117	10	1	10	10	-1	139.12	1	-0.4	0
chr1:28213762	10	1	10	10	-1	139.12	1	-0.4	0
chr1:28460373	10	1	10	10	-1	139.12	1	-0.4	0
chr1:29444334	10	1	10	10	-1	139.12	1	-0.4	0
chr1:3484419	10	1	10	10	-1	139.12	1	-0.4	0
chr1:4935969	10	1	10	10	-1	139.12	1	-0.4	0
chr1:5126462	10	1	10	10	-1	139.12	1	-0.4	0
chr1:6231668	10	1	10	10	-1	139.12	1	-0.4	0
chr2:13660613	10	1	10	10	-1	139.12	1	-0.4	0
chr2:15445305	10	1	10	10	-1	139.12	1	-0.4	0
chr2:16949071	10	1	10	10	-1	139.12	1	-0.4	0
chr2:17886339	10	1	10	10	-1	139.12	1	-0.4	0
chr2:261992	10	1	10	10	-1	139.12	1	-0.4	0
chr2:8913669	10	1	10	10	-1	139.12	1	-0.4	0
chr3:17975634	10	1	10	10	-1	139.12	1	-0.4	0
chr3:19995877	10	1	10	10	-1	139.12	1	-0.4	0
chr3:22367635	10	1	10	10	-1	139.12	1	-0.4	0
chr3:22806267	10	1	10	10	-1	139.12	1	-0.4	0
chr3:23040714	10	1	10	10	-1	139.12	1	-0.4	0
chr3:23175649	10	1	10	10	-1	139.12	1	-0.4	0
chr3:2348999	10	1	10	10	-1	139.12	1	-0.4	0
chr3:2717452	10	1	10	10	-1	139.12	1	-0.4	0
chr3:387008	10	1	10	10	-1	139.12	1	-0.4	0
chr3:4124654	10	1	10	10	-1	139.12	1	-0.4	0
