Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:1657	10	1	10	10	1	1	1	-0.4	0
chr1:3030	10	1	10	10	1	1	1	-0.4	0
chr1:3623	10	1	10	10	1	1	1	-0.4	0
chr1:3623	10	1	10	10	1	1	1	-0.4	0
chr1:14266	10	1	10	10	1	1	1	-0.4	0
chr1:15466	10	1	10	10	1	1	1	-0.4	0
chr1:15466	10	1	10	10	1	1	1	-0.4	0
chr1:20876	10	1	10	10	1	1	1	-0.4	0
chr1:20876	10	1	10	10	1	1	1	-0.4	0
chr1:33676	10	1	10	10	1	1	1	-0.4	0
chr1:33676	10	1	10	10	1	1	1	-0.4	0
chr1:38059	10	1	10	10	1	1	1	-0.4	0
chr1:38059	10	1	10	10	1	1	1	-0.4	0
chr1:40285	10	1	10	10	1	1	1	-0.4	0
chr1:40285	10	1	10	10	1	1	1	-0.4	0
chr1:46910	10	1	10	10	1	1	1	-0.4	0
chr1:46910	10	1	10	10	1	1	1	-0.4	0
chr1:48434	10	1	10	10	1	1	1	-0.4	0
chr1:49929	10	1	10	10	1	1	1	-0.4	0
chr1:51451	10	1	10	10	1	1	1	-0.4	0
chr1:52675	10	1	10	10	1	1	1	-0.4	0
chr1:52675	10	1	10	10	1	1	1	-0.4	0
chr1:55477	10	1	10	10	1	1	1	-0.4	0
chr1:55477	10	1	10	10	1	1	1	-0.4	0
chr1:57176	10	1	10	10	1	1	1	-0.4	0
chr1:57176	10	1	10	10	1	1	1	-0.4	0
chr1:58424	10	1	10	10	1	1	1	-0.4	0
chr1:60686	10	1	10	10	1	1	1	-0.4	0
chr1:61605	10	1	10	10	1	1	1	-0.4	0
chr1:63982	10	1	10	10	1	1	1	-0.4	0
chr1:63982	10	1	10	10	1	1	1	-0.4	0
chr1:67676	10	1	10	10	1	1	1	-0.4	0
chr1:67676	10	1	10	10	1	1	1	-0.4	0
chr1:68634	10	1	10	10	1	1	1	-0.4	0
chr1:68634	10	1	10	10	1	1	1	-0.4	0
chr1:70251	10	1	10	10	1	1	1	-0.4	0
chr1:75488	10	1	10	10	1	1	1	-0.4	0
chr1:75488	10	1	10	10	1	1	1	-0.4	0
chr1:76222	10	1	10	10	1	1	1	-0.4	0
chr1:77754	10	1	10	10	1	1	1	-0.4	0
chr1:78340	10	1	10	10	1	1	1	-0.4	0
chr1:79216	10	1	10	10	1	1	1	-0.4	0
chr1:79216	10	1	10	10	1	1	1	-0.4	0
chr1:81014	10	1	10	10	1	1	1	-0.4	0
chr1:81014	10	1	10	10	1	1	1	-0.4	0
chr1:82152	10	1	10	10	1	1	1	-0.4	0
chr1:82152	10	1	10	10	1	1	1	-0.4	0
chr1:85378	10	1	10	10	1	1	1	-0.4	0
chr1:85378	10	1	10	10	1	1	1	-0.4	0
chr1:86798	10	1	10	10	1	1	1	-0.4	0
