Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:57187	10	1	10	10	1	1	1	-0.4	0
chr1:57723	10	1	10	10	1	1	1	-0.4	0
chr1:58397	10	1	10	10	1	1	1	-0.4	0
chr1:156541	10	1	10	10	1	1	1	-0.4	0
chr1:173554	10	1	10	10	1	1	1	-0.4	0
chr1:179370	10	1	10	10	1	1	1	-0.4	0
chr1:194916	10	1	10	10	1	1	1	-0.4	0
chr1:199562	10	1	10	10	1	1	1	-0.4	0
chr1:201070	10	1	10	10	1	1	1	-0.4	0
chr1:201920	10	1	10	10	1	1	1	-0.4	0
chr1:237913	10	1	10	10	1	1	1	-0.4	0
chr1:268347	10	1	10	10	1	1	1	-0.4	0
chr1:269740	10	1	10	10	1	1	1	-0.4	0
chr1:364189	10	1	10	10	1	1	1	-0.4	0
chr1:410752	10	1	10	10	1	1	1	-0.4	0
chr1:426792	10	1	10	10	1	1	1	-0.4	0
chr1:434607	10	1	10	10	1	1	1	-0.4	0
chr1:473776	10	1	10	10	1	1	1	-0.4	0
chr1:476505	10	1	10	10	1	1	1	-0.4	0
chr1:488518	10	1	10	10	1	1	1	-0.4	0
chr1:498925	10	1	10	10	1	1	1	-0.4	0
chr1:522128	10	1	10	10	1	1	1	-0.4	0
chr1:621349	10	1	10	10	1	1	1	-0.4	0
chr1:658566	10	1	10	10	1	1	1	-0.4	0
chr1:865327	10	1	10	10	1	1	1	-0.4	0
chr1:868199	10	1	10	10	1	1	1	-0.4	0
chr1:877686	10	1	10	10	1	1	1	-0.4	0
chr1:909742	10	1	10	10	1	1	1	-0.4	0
chr1:931813	10	1	10	10	1	1	1	-0.4	0
chr1:933604	10	1	10	10	1	1	1	-0.4	0
chr1:978985	10	1	10	10	1	1	1	-0.4	0
chr1:1028432	10	1	10	10	1	1	1	-0.4	0
chr1:1028862	10	1	10	10	1	1	1	-0.4	0
chr1:1036323	10	1	10	10	1	1	1	-0.4	0
chr1:1172976	10	1	10	10	1	1	1	-0.4	0
chr1:1274247	10	1	10	10	1	1	1	-0.4	0
chr1:1337891	10	1	10	10	1	1	1	-0.4	0
chr1:1356158	10	1	10	10	1	1	1	-0.4	0
chr1:1426612	10	1	10	10	1	1	1	-0.4	0
chr1:1926529	10	1	10	10	1	1	1	-0.4	0
chr1:1978202	10	1	10	10	1	1	1	-0.4	0
chr1:2152501	10	1	10	10	1	1	1	-0.4	0
chr1:2172723	10	1	10	10	1	1	1	-0.4	0
chr1:2196717	10	1	10	10	1	1	1	-0.4	0
chr1:2199928	10	1	10	10	1	1	1	-0.4	0
chr1:2312254	10	1	10	10	1	1	1	-0.4	0
chr1:2312888	10	1	10	10	1	1	1	-0.4	0
chr1:2316468	10	1	10	10	1	1	1	-0.4	0
chr1:2333711	10	1	10	10	1	1	1	-0.4	0
chr1:2335736	10	1	10	10	1	1	1	-0.4	0
chr1:2338662	10	1	10	10	1	1	1	-0.4	0
chr1:2339599	10	1	10	10	1	1	1	-0.4	0
chr1:2348815	10	1	10	10	1	1	1	-0.4	0
chr1:2351664	10	1	10	10	1	1	1	-0.4	0
chr1:2391874	10	1	10	10	1	1	1	-0.4	0
chr1:2432183	10	1	10	10	1	1	1	-0.4	0
chr1:2433462	10	1	10	10	1	1	1	-0.4	0
chr1:2437071	10	1	10	10	1	1	1	-0.4	0
chr1:2438264	10	1	10	10	1	1	1	-0.4	0
chr1:2439690	10	1	10	10	1	1	1	-0.4	0
chr1:2521510	10	1	10	10	1	1	1	-0.4	0
chr1:2522735	10	1	10	10	1	1	1	-0.4	0
chr1:2530351	10	1	10	10	1	1	1	-0.4	0
chr1:2547886	10	1	10	10	1	1	1	-0.4	0
chr1:2573642	10	1	10	10	1	1	1	-0.4	0
chr1:2590758	10	1	10	10	1	1	1	-0.4	0
chr1:2688589	10	1	10	10	1	1	1	-0.4	0
chr1:2755733	10	1	10	10	1	1	1	-0.4	0
chr1:2842397	10	1	10	10	1	1	1	-0.4	0
chr1:2870787	10	1	10	10	1	1	1	-0.4	0
chr1:2873400	10	1	10	10	1	1	1	-0.4	0
chr1:2939345	10	1	10	10	1	1	1	-0.4	0
chr1:2972610	10	1	10	10	1	1	1	-0.4	0
chr1:3009445	10	1	10	10	1	1	1	-0.4	0
chr1:3009988	10	1	10	10	1	1	1	-0.4	0
chr1:3031756	10	1	10	10	1	1	1	-0.4	0
chr1:3075585	10	1	10	10	1	1	1	-0.4	0
chr1:3093287	10	1	10	10	1	1	1	-0.4	0
chr1:3252163	10	1	10	10	1	1	1	-0.4	0
chr1:3272652	10	1	10	10	1	1	1	-0.4	0
chr1:3287385	10	1	10	10	1	1	1	-0.4	0
chr1:3356476	10	1	10	10	1	1	1	-0.4	0
chr1:3740535	10	1	10	10	1	1	1	-0.4	0
chr1:3778751	10	1	10	10	1	1	1	-0.4	0
chr1:3804209	10	1	10	10	1	1	1	-0.4	0
