Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:18927712	10	1	10	10	-1	53.31	1	-0.4	0
chr2:17269202	10	1	10	10	-1	51.18	1	-0.4	0
chr1:18946262	10	1	10	10	-1	44.63	1	-0.4	0
chr1:18886399	10	1	10	10	-1	44.28	1	-0.4	0
chr5:3051939	10	1	10	10	-1	39.19	1	-0.4	0
chr4:525359	10	1	10	10	-1	38.94	1	-0.4	0
chr1:18908952	10	1	10	10	-1	29.6	1	-0.4	0
chr1:21364744	10	1	10	10	-1	29.5	1	-0.4	0
chr3:2113609	10	1	10	10	-1	29.42	1	-0.4	0
chr3:3826100	10	1	10	10	-1	29.35	1	-0.4	0
chr1:10959907	10	1	10	10	-1	28.82	1	-0.4	0
chr5:8747339	10	1	10	10	-1	28.14	1	-0.4	0
chr1:1028431	10	1	10	10	-1	27.77	1	-0.4	0
chr1:18902433	10	1	10	10	-1	27.23	1	-0.4	0
chr3:6565319	10	1	10	10	-1	26.59	1	-0.4	0
chr3:22328153	10	1	10	10	-1	26.14	1	-0.4	0
chr3:3923545	10	1	10	10	-1	25.92	1	-0.4	0
chr2:16485745	10	1	10	10	-1	25.83	1	-0.4	0
chr5:24066238	10	1	10	10	-1	25.31	1	-0.4	0
chr5:24908340	10	1	10	10	-1	24.7	1	-0.4	0
chr3:538445	10	1	10	10	-1	24.45	1	-0.4	0
chr1:11612030	10	1	10	10	-1	24.4	1	-0.4	0
chr5:22603292	10	1	10	10	-1	23.32	1	-0.4	0
chr3:17739824	10	1	10	10	-1	23.28	1	-0.4	0
chr5:19308996	10	1	10	10	-1	23.23	1	-0.4	0
chr3:3698704	10	1	10	10	-1	23.04	1	-0.4	0
chr5:23451058	10	1	10	10	-1	22.69	1	-0.4	0
chr2:12107392	10	1	10	10	-1	22.68	1	-0.4	0
chr1:3272586	10	1	10	10	-1	22.66	1	-0.4	0
chr5:25437035	10	1	10	10	-1	22.34	1	-0.4	0
chr4:15120684	10	1	10	10	-1	22.26	1	-0.4	0
chr1:99525	10	1	10	10	-1	22.16	1	-0.4	0
chr1:6528517	10	1	10	10	-1	22.15	1	-0.4	0
chr1:1469327	10	1	10	10	-1	22.11	1	-0.4	0
chr4:744158	10	1	10	10	-1	22.1	1	-0.4	0
chr2:14065813	10	1	10	10	-1	21.88	1	-0.4	0
chr5:23118954	10	1	10	10	-1	21.74	1	-0.4	0
chr5:19045680	10	1	10	10	-1	21.73	1	-0.4	0
chr4:6649715	10	1	10	10	-1	21.72	1	-0.4	0
chr4:17119696	10	1	10	10	-1	21.65	1	-0.4	0
chr4:16587852	10	1	10	10	-1	21.52	1	-0.4	0
chr1:9499527	10	1	10	10	-1	21.4	1	-0.4	0
chr5:22312989	10	1	10	10	-1	21.39	1	-0.4	0
chr1:19600576	10	1	10	10	-1	21.34	1	-0.4	0
chr2:18867151	10	1	10	10	-1	21.32	1	-0.4	0
chr1:6244168	10	1	10	10	-1	21.08	1	-0.4	0
chr5:23943405	10	1	10	10	-1	21.07	1	-0.4	0
chr1:3995307	10	1	10	10	-1	20.98	1	-0.4	0
chr1:21256120	10	1	10	10	-1	20.95	1	-0.4	0
chr5:23894316	10	1	10	10	-1	20.92	1	-0.4	0
chr5:6684699	10	1	10	10	-1	20.92	1	-0.4	0
chr2:18950079	10	1	10	10	-1	20.89	1	-0.4	0
chr5:20706876	10	1	10	10	-1	20.87	1	-0.4	0
chr1:26587696	10	1	10	10	-1	20.76	1	-0.4	0
chr4:8705504	10	1	10	10	-1	20.71	1	-0.4	0
chr5:941611	10	1	10	10	-1	20.58	1	-0.4	0
chr5:2985542	10	1	10	10	-1	20.57	1	-0.4	0
chr3:22991187	10	1	10	10	-1	20.54	1	-0.4	0
chr1:8061097	10	1	10	10	-1	20.43	1	-0.4	0
chr1:3072601	10	1	10	10	-1	20.37	1	-0.4	0
chr3:22881792	10	1	10	10	-1	20.35	1	-0.4	0
chr1:3201704	10	1	10	10	-1	20.31	1	-0.4	0
chr4:526664	10	1	10	10	-1	20.21	1	-0.4	0
chr5:442350	10	1	10	10	-1	20.13	1	-0.4	0
chr2:10427620	10	1	10	10	-1	20.1	1	-0.4	0
chr3:17362366	10	1	10	10	-1	20.1	1	-0.4	0
chr4:17986381	10	1	10	10	-1	20.04	1	-0.4	0
chr1:6463625	10	1	10	10	-1	19.91	1	-0.4	0
chr1:28117556	10	1	10	10	-1	19.88	1	-0.4	0
chr5:7513046	10	1	10	10	-1	19.84	1	-0.4	0
chr4:7355253	10	1	10	10	-1	19.65	1	-0.4	0
chr1:12138664	10	1	10	10	-1	19.63	1	-0.4	0
chr3:22917435	10	1	10	10	-1	19.5	1	-0.4	0
chr5:24887055	10	1	10	10	-1	19.5	1	-0.4	0
chr1:22200311	10	1	10	10	-1	19.45	1	-0.4	0
chr3:8213954	10	1	10	10	-1	19.4	1	-0.4	0
