Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:2537	10	1	10	10	1	1	1	-0.4	0
chr1:2537	10	1	10	10	1	1	1	-0.4	0
chr1:2896	10	1	10	10	1	1	1	-0.4	0
chr1:2896	10	1	10	10	1	1	1	-0.4	0
chr1:9696	10	1	10	10	1	1	1	-0.4	0
chr1:9696	10	1	10	10	1	1	1	-0.4	0
chr1:11229	10	1	10	10	1	1	1	-0.4	0
chr1:11229	10	1	10	10	1	1	1	-0.4	0
chr1:13713	10	1	10	10	1	1	1	-0.4	0
chr1:15902	10	1	10	10	1	1	1	-0.4	0
chr1:20822	10	1	10	10	1	1	1	-0.4	0
chr1:21650	10	1	10	10	1	1	1	-0.4	0
chr1:21650	10	1	10	10	1	1	1	-0.4	0
chr1:22432	10	1	10	10	1	1	1	-0.4	0
chr1:22432	10	1	10	10	1	1	1	-0.4	0
chr1:31079	10	1	10	10	1	1	1	-0.4	0
chr1:33628	10	1	10	10	1	1	1	-0.4	0
chr1:33628	10	1	10	10	1	1	1	-0.4	0
chr1:38026	10	1	10	10	1	1	1	-0.4	0
chr1:38026	10	1	10	10	1	1	1	-0.4	0
chr1:40178	10	1	10	10	1	1	1	-0.4	0
chr1:40178	10	1	10	10	1	1	1	-0.4	0
chr1:42143	10	1	10	10	1	1	1	-0.4	0
chr1:43146	10	1	10	10	1	1	1	-0.4	0
chr1:43922	10	1	10	10	1	1	1	-0.4	0
chr1:49888	10	1	10	10	1	1	1	-0.4	0
chr1:49888	10	1	10	10	1	1	1	-0.4	0
chr1:52060	10	1	10	10	1	1	1	-0.4	0
chr1:52547	10	1	10	10	1	1	1	-0.4	0
chr1:54920	10	1	10	10	1	1	1	-0.4	0
chr1:54920	10	1	10	10	1	1	1	-0.4	0
chr1:57180	10	1	10	10	1	1	1	-0.4	0
chr1:63345	10	1	10	10	1	1	1	-0.4	0
chr1:63932	10	1	10	10	1	1	1	-0.4	0
chr1:63932	10	1	10	10	1	1	1	-0.4	0
chr1:68494	10	1	10	10	1	1	1	-0.4	0
chr1:72272	10	1	10	10	1	1	1	-0.4	0
chr1:86200	10	1	10	10	1	1	1	-0.4	0
chr1:88640	10	1	10	10	1	1	1	-0.4	0
chr1:91425	10	1	10	10	1	1	1	-0.4	0
chr1:95957	10	1	10	10	1	1	1	-0.4	0
chr1:99458	10	1	10	10	1	1	1	-0.4	0
chr1:99458	10	1	10	10	1	1	1	-0.4	0
chr1:106205	10	1	10	10	1	1	1	-0.4	0
chr1:107867	10	1	10	10	1	1	1	-0.4	0
chr1:109039	10	1	10	10	1	1	1	-0.4	0
chr1:115830	10	1	10	10	1	1	1	-0.4	0
chr1:115830	10	1	10	10	1	1	1	-0.4	0
chr1:116832	10	1	10	10	1	1	1	-0.4	0
chr1:116832	10	1	10	10	1	1	1	-0.4	0
chr1:118642	10	1	10	10	1	1	1	-0.4	0
chr1:118642	10	1	10	10	1	1	1	-0.4	0
chr1:128712	10	1	10	10	1	1	1	-0.4	0
chr1:128712	10	1	10	10	1	1	1	-0.4	0
chr1:130751	10	1	10	10	1	1	1	-0.4	0
chr1:130751	10	1	10	10	1	1	1	-0.4	0
chr1:131316	10	1	10	10	1	1	1	-0.4	0
chr1:135910	10	1	10	10	1	1	1	-0.4	0
chr1:138315	10	1	10	10	1	1	1	-0.4	0
chr1:140445	10	1	10	10	1	1	1	-0.4	0
chr1:140445	10	1	10	10	1	1	1	-0.4	0
chr1:141915	10	1	10	10	1	1	1	-0.4	0
chr1:141915	10	1	10	10	1	1	1	-0.4	0
chr1:146423	10	1	10	10	1	1	1	-0.4	0
chr1:146423	10	1	10	10	1	1	1	-0.4	0
chr1:156406	10	1	10	10	1	1	1	-0.4	0
chr1:158843	10	1	10	10	1	1	1	-0.4	0
chr1:163132	10	1	10	10	1	1	1	-0.4	0
chr1:175740	10	1	10	10	1	1	1	-0.4	0
chr1:179563	10	1	10	10	1	1	1	-0.4	0
chr1:181234	10	1	10	10	1	1	1	-0.4	0
chr1:182458	10	1	10	10	1	1	1	-0.4	0
chr1:182458	10	1	10	10	1	1	1	-0.4	0
chr1:183434	10	1	10	10	1	1	1	-0.4	0
