Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr5:1205532	10	1	10	10	-1	101.74	1	-0.4	0
chr2:19349340	10	1	10	10	-1	97.39	1	-0.4	0
chr4:9753849	10	1	10	10	-1	96.89	1	-0.4	0
chr4:17290207	10	1	10	10	-1	88.25	1	-0.4	0
chr3:6565314	10	1	10	10	-1	88.2	1	-0.4	0
chr1:18886435	10	1	10	10	-1	87.11	1	-0.4	0
chr1:24848084	10	1	10	10	-1	86.95	1	-0.4	0
chr1:26484938	10	1	10	10	-1	85.9	1	-0.4	0
chr5:4432130	10	1	10	10	-1	84.92	1	-0.4	0
chr4:10073577	10	1	10	10	-1	83.16	1	-0.4	0
chr1:10581372	10	1	10	10	-1	82.94	1	-0.4	0
chr3:3555844	10	1	10	10	-1	82.85	1	-0.4	0
chr1:5525395	10	1	10	10	-1	82.83	1	-0.4	0
chr1:27638347	10	1	10	10	-1	82.82	1	-0.4	0
chr1:26587596	10	1	10	10	-1	82.7	1	-0.4	0
chr4:9448949	10	1	10	10	-1	82.49	1	-0.4	0
chr1:6308652	10	1	10	10	-1	82.2	1	-0.4	0
chr4:8907840	10	1	10	10	-1	81.78	1	-0.4	0
chr3:7214054	10	1	10	10	-1	80.88	1	-0.4	0
chr2:11374547	10	1	10	10	-1	80.28	1	-0.4	0
chr1:25877672	10	1	10	10	-1	80.24	1	-0.4	0
chr1:5202613	10	1	10	10	-1	79.69	1	-0.4	0
chr5:18213874	10	1	10	10	-1	79.62	1	-0.4	0
chr3:4462135	10	1	10	10	-1	79.6	1	-0.4	0
chr1:2335734	10	1	10	10	-1	78.88	1	-0.4	0
chr3:16758990	10	1	10	10	-1	78.55	1	-0.4	0
chr4:12571725	10	1	10	10	-1	78.15	1	-0.4	0
chr3:9595381	10	1	10	10	-1	78.07	1	-0.4	0
chr5:26249314	10	1	10	10	-1	77.7	1	-0.4	0
chr1:498993	10	1	10	10	-1	77.39	1	-0.4	0
chr5:18677170	10	1	10	10	-1	77.32	1	-0.4	0
chr3:17384062	10	1	10	10	-1	77.18	1	-0.4	0
chr1:3287415	10	1	10	10	-1	77.02	1	-0.4	0
chr1:18324247	10	1	10	10	-1	76.93	1	-0.4	0
chr3:22328156	10	1	10	10	-1	76.7	1	-0.4	0
chr1:10365254	10	1	10	10	-1	76.64	1	-0.4	0
chr4:10071500	10	1	10	10	-1	76.19	1	-0.4	0
chr3:19453264	10	1	10	10	-1	76.03	1	-0.4	0
chr1:23898912	10	1	10	10	-1	75.57	1	-0.4	0
chr4:12573068	10	1	10	10	-1	75.47	1	-0.4	0
chr3:17690872	10	1	10	10	-1	75.43	1	-0.4	0
chr3:19281543	10	1	10	10	-1	75.13	1	-0.4	0
chr1:364315	10	1	10	10	-1	75.08	1	-0.4	0
chr4:5640589	10	1	10	10	-1	74.9	1	-0.4	0
chr1:23895858	10	1	10	10	-1	74.87	1	-0.4	0
chr1:21008058	10	1	10	10	-1	74.72	1	-0.4	0
chr3:17204088	10	1	10	10	-1	74.52	1	-0.4	0
chr2:17219094	10	1	10	10	-1	74.15	1	-0.4	0
chr4:9031199	10	1	10	10	-1	73.98	1	-0.4	0
chr5:26822215	10	1	10	10	-1	73.97	1	-0.4	0
chr5:8747382	10	1	10	10	-1	73.35	1	-0.4	0
chr2:12107375	10	1	10	10	-1	73.33	1	-0.4	0
chr1:10959927	10	1	10	10	-1	73.24	1	-0.4	0
chr5:26901655	10	1	10	10	-1	72.98	1	-0.4	0
chr4:6444909	10	1	10	10	-1	72.77	1	-0.4	0
chr4:18461868	10	1	10	10	-1	72.76	1	-0.4	0
chr2:15518481	10	1	10	10	-1	72.59	1	-0.4	0
chr2:7864195	10	1	10	10	-1	72.44	1	-0.4	0
chr1:21443563	10	1	10	10	-1	72.37	1	-0.4	0
chr4:14077493	10	1	10	10	-1	72.31	1	-0.4	0
chr2:15291940	10	1	10	10	-1	72.29	1	-0.4	0
chr3:17976804	10	1	10	10	-1	72.01	1	-0.4	0
chr1:6431203	10	1	10	10	-1	71.99	1	-0.4	0
chr1:5421543	10	1	10	10	-1	71.96	1	-0.4	0
chr5:24908367	10	1	10	10	-1	71.69	1	-0.4	0
chr5:24766563	10	1	10	10	-1	71.66	1	-0.4	0
chr4:1514746	10	1	10	10	-1	71.59	1	-0.4	0
chr3:7280344	10	1	10	10	-1	71.58	1	-0.4	0
chr2:7245955	10	1	10	10	-1	71.22	1	-0.4	0
