Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:3105	10	1	10	10	1	1	1	-0.4	0
chr1:21221	10	1	10	10	1	1	1	-0.4	0
chr1:37952	10	1	10	10	1	1	1	-0.4	0
chr1:39996	10	1	10	10	1	1	1	-0.4	0
chr1:41808	10	1	10	10	1	1	1	-0.4	0
chr1:41808	10	1	10	10	1	1	1	-0.4	0
chr1:57183	10	1	10	10	1	1	1	-0.4	0
chr1:67648	10	1	10	10	1	1	1	-0.4	0
chr1:68634	10	1	10	10	1	1	1	-0.4	0
chr1:68634	10	1	10	10	1	1	1	-0.4	0
chr1:68634	10	1	10	10	1	1	1	-0.4	0
chr1:75366	10	1	10	10	1	1	1	-0.4	0
chr1:76407	10	1	10	10	1	1	1	-0.4	0
chr1:77658	10	1	10	10	1	1	1	-0.4	0
chr1:82261	10	1	10	10	1	1	1	-0.4	0
chr1:82261	10	1	10	10	1	1	1	-0.4	0
chr1:82261	10	1	10	10	1	1	1	-0.4	0
chr1:87102	10	1	10	10	1	1	1	-0.4	0
chr1:95708	10	1	10	10	1	1	1	-0.4	0
chr1:99778	10	1	10	10	1	1	1	-0.4	0
chr1:108977	10	1	10	10	1	1	1	-0.4	0
chr1:116734	10	1	10	10	1	1	1	-0.4	0
chr1:118614	10	1	10	10	1	1	1	-0.4	0
chr1:120660	10	1	10	10	1	1	1	-0.4	0
chr1:135945	10	1	10	10	1	1	1	-0.4	0
chr1:141463	10	1	10	10	1	1	1	-0.4	0
chr1:141963	10	1	10	10	1	1	1	-0.4	0
chr1:146210	10	1	10	10	1	1	1	-0.4	0
chr1:156786	10	1	10	10	1	1	1	-0.4	0
chr1:156786	10	1	10	10	1	1	1	-0.4	0
chr1:156786	10	1	10	10	1	1	1	-0.4	0
chr1:159577	10	1	10	10	1	1	1	-0.4	0
chr1:162697	10	1	10	10	1	1	1	-0.4	0
chr1:167968	10	1	10	10	1	1	1	-0.4	0
chr1:172827	10	1	10	10	1	1	1	-0.4	0
chr1:173529	10	1	10	10	1	1	1	-0.4	0
chr1:173529	10	1	10	10	1	1	1	-0.4	0
chr1:173529	10	1	10	10	1	1	1	-0.4	0
chr1:176954	10	1	10	10	1	1	1	-0.4	0
chr1:178823	10	1	10	10	1	1	1	-0.4	0
chr1:182434	10	1	10	10	1	1	1	-0.4	0
chr1:182434	10	1	10	10	1	1	1	-0.4	0
chr1:182434	10	1	10	10	1	1	1	-0.4	0
chr1:183408	10	1	10	10	1	1	1	-0.4	0
chr1:183408	10	1	10	10	1	1	1	-0.4	0
chr1:183408	10	1	10	10	1	1	1	-0.4	0
chr1:187085	10	1	10	10	1	1	1	-0.4	0
chr1:194749	10	1	10	10	1	1	1	-0.4	0
chr1:195404	10	1	10	10	1	1	1	-0.4	0
chr1:199612	10	1	10	10	1	1	1	-0.4	0
chr1:199612	10	1	10	10	1	1	1	-0.4	0
chr1:202110	10	1	10	10	1	1	1	-0.4	0
chr1:202110	10	1	10	10	1	1	1	-0.4	0
chr1:207161	10	1	10	10	1	1	1	-0.4	0
chr1:207847	10	1	10	10	1	1	1	-0.4	0
chr1:211017	10	1	10	10	1	1	1	-0.4	0
chr1:220146	10	1	10	10	1	1	1	-0.4	0
chr1:224818	10	1	10	10	1	1	1	-0.4	0
chr1:225633	10	1	10	10	1	1	1	-0.4	0
chr1:227514	10	1	10	10	1	1	1	-0.4	0
chr1:228802	10	1	10	10	1	1	1	-0.4	0
chr1:237995	10	1	10	10	1	1	1	-0.4	0
chr1:237995	10	1	10	10	1	1	1	-0.4	0
chr1:237995	10	1	10	10	1	1	1	-0.4	0
chr1:268252	10	1	10	10	1	1	1	-0.4	0
chr1:269961	10	1	10	10	1	1	1	-0.4	0
chr1:278617	10	1	10	10	1	1	1	-0.4	0
chr1:298421	10	1	10	10	1	1	1	-0.4	0
chr1:300960	10	1	10	10	1	1	1	-0.4	0
chr1:306360	10	1	10	10	1	1	1	-0.4	0
chr1:315934	10	1	10	10	1	1	1	-0.4	0
chr1:338054	10	1	10	10	1	1	1	-0.4	0
chr1:345123	10	1	10	10	1	1	1	-0.4	0
chr1:364306	10	1	10	10	1	1	1	-0.4	0
chr1:364306	10	1	10	10	1	1	1	-0.4	0
chr1:389836	10	1	10	10	1	1	1	-0.4	0
chr1:395559	10	1	10	10	1	1	1	-0.4	0
chr1:411770	10	1	10	10	1	1	1	-0.4	0
chr1:420172	10	1	10	10	1	1	1	-0.4	0
chr1:420172	10	1	10	10	1	1	1	-0.4	0
