Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:2531	10	1	10	10	1	1	1	-0.4	0
chr1:11217	10	1	10	10	1	1	1	-0.4	0
chr1:38002	10	1	10	10	1	1	1	-0.4	0
chr1:55048	10	1	10	10	1	1	1	-0.4	0
chr1:55048	10	1	10	10	1	1	1	-0.4	0
chr1:115781	10	1	10	10	1	1	1	-0.4	0
chr1:116898	10	1	10	10	1	1	1	-0.4	0
chr1:118617	10	1	10	10	1	1	1	-0.4	0
chr1:128853	10	1	10	10	1	1	1	-0.4	0
chr1:140417	10	1	10	10	1	1	1	-0.4	0
chr1:146389	10	1	10	10	1	1	1	-0.4	0
chr1:181896	10	1	10	10	1	1	1	-0.4	0
chr1:182480	10	1	10	10	1	1	1	-0.4	0
chr1:207787	10	1	10	10	1	1	1	-0.4	0
chr1:227280	10	1	10	10	1	1	1	-0.4	0
chr1:227712	10	1	10	10	1	1	1	-0.4	0
chr1:228337	10	1	10	10	1	1	1	-0.4	0
chr1:237842	10	1	10	10	1	1	1	-0.4	0
chr1:282462	10	1	10	10	1	1	1	-0.4	0
chr1:282462	10	1	10	10	1	1	1	-0.4	0
chr1:348771	10	1	10	10	1	1	1	-0.4	0
chr1:355003	10	1	10	10	1	1	1	-0.4	0
chr1:355003	10	1	10	10	1	1	1	-0.4	0
chr1:363499	10	1	10	10	1	1	1	-0.4	0
chr1:364314	10	1	10	10	1	1	1	-0.4	0
chr1:365264	10	1	10	10	1	1	1	-0.4	0
chr1:371152	10	1	10	10	1	1	1	-0.4	0
chr1:411763	10	1	10	10	1	1	1	-0.4	0
chr1:420188	10	1	10	10	1	1	1	-0.4	0
chr1:440458	10	1	10	10	1	1	1	-0.4	0
chr1:468859	10	1	10	10	1	1	1	-0.4	0
chr1:469420	10	1	10	10	1	1	1	-0.4	0
chr1:476990	10	1	10	10	1	1	1	-0.4	0
chr1:502132	10	1	10	10	1	1	1	-0.4	0
chr1:502132	10	1	10	10	1	1	1	-0.4	0
chr1:553881	10	1	10	10	1	1	1	-0.4	0
chr1:555907	10	1	10	10	1	1	1	-0.4	0
chr1:556674	10	1	10	10	1	1	1	-0.4	0
chr1:559843	10	1	10	10	1	1	1	-0.4	0
chr1:560760	10	1	10	10	1	1	1	-0.4	0
chr1:565304	10	1	10	10	1	1	1	-0.4	0
chr1:572017	10	1	10	10	1	1	1	-0.4	0
chr1:584056	10	1	10	10	1	1	1	-0.4	0
chr1:591025	10	1	10	10	1	1	1	-0.4	0
chr1:593354	10	1	10	10	1	1	1	-0.4	0
chr1:616672	10	1	10	10	1	1	1	-0.4	0
chr1:633715	10	1	10	10	1	1	1	-0.4	0
chr1:644790	10	1	10	10	1	1	1	-0.4	0
chr1:706650	10	1	10	10	1	1	1	-0.4	0
chr1:711967	10	1	10	10	1	1	1	-0.4	0
chr1:738632	10	1	10	10	1	1	1	-0.4	0
chr1:767038	10	1	10	10	1	1	1	-0.4	0
chr1:771602	10	1	10	10	1	1	1	-0.4	0
chr1:786577	10	1	10	10	1	1	1	-0.4	0
chr1:813291	10	1	10	10	1	1	1	-0.4	0
chr1:868260	10	1	10	10	1	1	1	-0.4	0
chr1:897132	10	1	10	10	1	1	1	-0.4	0
chr1:897875	10	1	10	10	1	1	1	-0.4	0
chr1:932206	10	1	10	10	1	1	1	-0.4	0
chr1:958059	10	1	10	10	1	1	1	-0.4	0
chr1:973848	10	1	10	10	1	1	1	-0.4	0
chr1:1028450	10	1	10	10	1	1	1	-0.4	0
chr1:1028901	10	1	10	10	1	1	1	-0.4	0
chr1:1036217	10	1	10	10	1	1	1	-0.4	0
chr1:1040271	10	1	10	10	1	1	1	-0.4	0
chr1:1049985	10	1	10	10	1	1	1	-0.4	0
chr1:1071030	10	1	10	10	1	1	1	-0.4	0
chr1:1072446	10	1	10	10	1	1	1	-0.4	0
chr1:1073033	10	1	10	10	1	1	1	-0.4	0
chr1:1084742	10	1	10	10	1	1	1	-0.4	0
chr1:1084742	10	1	10	10	1	1	1	-0.4	0
chr1:1129568	10	1	10	10	1	1	1	-0.4	0
chr1:1159272	10	1	10	10	1	1	1	-0.4	0
chr1:1162594	10	1	10	10	1	1	1	-0.4	0
chr1:1188808	10	1	10	10	1	1	1	-0.4	0
chr1:1198185	10	1	10	10	1	1	1	-0.4	0
chr1:1215767	10	1	10	10	1	1	1	-0.4	0
chr1:1236440	10	1	10	10	1	1	1	-0.4	0
chr1:1240350	10	1	10	10	1	1	1	-0.4	0
chr1:1313217	10	1	10	10	1	1	1	-0.4	0
chr1:1418451	10	1	10	10	1	1	1	-0.4	0
chr1:1422345	10	1	10	10	1	1	1	-0.4	0
chr1:1425338	10	1	10	10	1	1	1	-0.4	0
chr1:1426618	10	1	10	10	1	1	1	-0.4	0
chr1:1430211	10	1	10	10	1	1	1	-0.4	0
chr1:1432925	10	1	10	10	1	1	1	-0.4	0
chr1:1487023	10	1	10	10	1	1	1	-0.4	0
chr1:1567930	10	1	10	10	1	1	1	-0.4	0
chr1:1571599	10	1	10	10	1	1	1	-0.4	0
chr1:1607188	10	1	10	10	1	1	1	-0.4	0
chr1:1607188	10	1	10	10	1	1	1	-0.4	0
chr1:1607895	10	1	10	10	1	1	1	-0.4	0
chr1:1611724	10	1	10	10	1	1	1	-0.4	0
chr1:1613113	10	1	10	10	1	1	1	-0.4	0
chr1:1617358	10	1	10	10	1	1	1	-0.4	0
chr1:1639163	10	1	10	10	1	1	1	-0.4	0
chr1:1659511	10	1	10	10	1	1	1	-0.4	0
chr1:1690072	10	1	10	10	1	1	1	-0.4	0
chr1:1713664	10	1	10	10	1	1	1	-0.4	0
chr1:1713664	10	1	10	10	1	1	1	-0.4	0
chr1:1714068	10	1	10	10	1	1	1	-0.4	0
chr1:1730892	10	1	10	10	1	1	1	-0.4	0
chr1:1744748	10	1	10	10	1	1	1	-0.4	0
chr1:1746993	10	1	10	10	1	1	1	-0.4	0
chr1:1748295	10	1	10	10	1	1	1	-0.4	0
chr1:1749598	10	1	10	10	1	1	1	-0.4	0
chr1:1762106	10	1	10	10	1	1	1	-0.4	0
chr1:1779516	10	1	10	10	1	1	1	-0.4	0
chr1:1873746	10	1	10	10	1	1	1	-0.4	0
chr1:1934170	10	1	10	10	1	1	1	-0.4	0
chr1:1941269	10	1	10	10	1	1	1	-0.4	0
chr1:1952792	10	1	10	10	1	1	1	-0.4	0
chr1:1954687	10	1	10	10	1	1	1	-0.4	0
chr1:1974447	10	1	10	10	1	1	1	-0.4	0
chr1:1974447	10	1	10	10	1	1	1	-0.4	0
chr1:2001500	10	1	10	10	1	1	1	-0.4	0
chr1:2103726	10	1	10	10	1	1	1	-0.4	0
chr1:2104953	10	1	10	10	1	1	1	-0.4	0
chr1:2164349	10	1	10	10	1	1	1	-0.4	0
chr1:2175104	10	1	10	10	1	1	1	-0.4	0
chr1:2188507	10	1	10	10	1	1	1	-0.4	0
chr1:2212577	10	1	10	10	1	1	1	-0.4	0
chr1:2213404	10	1	10	10	1	1	1	-0.4	0
chr1:2213404	10	1	10	10	1	1	1	-0.4	0
chr1:2214223	10	1	10	10	1	1	1	-0.4	0
chr1:2214738	10	1	10	10	1	1	1	-0.4	0
chr1:2219418	10	1	10	10	1	1	1	-0.4	0
chr1:2229496	10	1	10	10	1	1	1	-0.4	0
chr1:2229496	10	1	10	10	1	1	1	-0.4	0
chr1:2266545	10	1	10	10	1	1	1	-0.4	0
chr1:2269184	10	1	10	10	1	1	1	-0.4	0
chr1:2280596	10	1	10	10	1	1	1	-0.4	0
chr1:2283167	10	1	10	10	1	1	1	-0.4	0
chr1:2284283	10	1	10	10	1	1	1	-0.4	0
chr1:2301947	10	1	10	10	1	1	1	-0.4	0
chr1:2303238	10	1	10	10	1	1	1	-0.4	0
chr1:2303472	10	1	10	10	1	1	1	-0.4	0
