Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr5:25029091	10	1	10	10	-1	112.18	1	-0.4	0
chr1:23126661	10	1	10	10	-1	111.56	1	-0.4	0
chr5:24201497	10	1	10	10	-1	111.56	1	-0.4	0
chr1:27473634	10	1	10	10	-1	110.94	1	-0.4	0
chr5:2112740	10	1	10	10	-1	110.94	1	-0.4	0
chr1:5532104	10	1	10	10	-1	110.59	1	-0.4	0
chr4:11334284	10	1	10	10	-1	110.32	1	-0.4	0
chr4:780472	10	1	10	10	-1	109.7	1	-0.4	0
chr3:19287688	10	1	10	10	-1	109.09	1	-0.4	0
chr3:2803435	10	1	10	10	-1	109.09	1	-0.4	0
chr3:4693286	10	1	10	10	-1	109.09	1	-0.4	0
chr4:6614962	10	1	10	10	-1	109.09	1	-0.4	0
chr5:24674878	10	1	10	10	-1	108.54	1	-0.4	0
chr2:1704074	10	1	10	10	-1	108.47	1	-0.4	0
chr3:19251076	10	1	10	10	-1	108.25	1	-0.4	0
chr5:6072408	10	1	10	10	-1	108.13	1	-0.4	0
chr1:7470352	10	1	10	10	-1	108.04	1	-0.4	0
chr5:24003777	10	1	10	10	-1	107.86	1	-0.4	0
chr5:5033725	10	1	10	10	-1	107.27	1	-0.4	0
chr1:12685113	10	1	10	10	-1	107.25	1	-0.4	0
chr1:5727496	10	1	10	10	-1	107.24	1	-0.4	0
chr2:19491279	10	1	10	10	-1	107.13	1	-0.4	0
chr5:642163	10	1	10	10	-1	107.08	1	-0.4	0
chr3:961778	10	1	10	10	-1	106.96	1	-0.4	0
chr4:17363718	10	1	10	10	-1	106.96	1	-0.4	0
chr1:15880530	10	1	10	10	-1	106.87	1	-0.4	0
chr2:9859517	10	1	10	10	-1	106.63	1	-0.4	0
chr3:21893791	10	1	10	10	-1	106.63	1	-0.4	0
chr1:302632	10	1	10	10	-1	106.52	1	-0.4	0
chr5:18484137	10	1	10	10	-1	106.26	1	-0.4	0
chr1:575581	10	1	10	10	-1	106.08	1	-0.4	0
chr3:17319575	10	1	10	10	-1	106.02	1	-0.4	0
chr1:9544380	10	1	10	10	-1	105.41	1	-0.4	0
chr4:10469534	10	1	10	10	-1	105.41	1	-0.4	0
chr1:6754181	10	1	10	10	-1	105.37	1	-0.4	0
chr1:4680250	10	1	10	10	-1	105.22	1	-0.4	0
chr1:25559161	10	1	10	10	-1	105.06	1	-0.4	0
chr1:2047730	10	1	10	10	-1	105	1	-0.4	0
