Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:16677	10	1	10	10	1	1	1	-0.4	0
chr1:20710	10	1	10	10	1	1	1	-0.4	0
chr1:38055	10	1	10	10	1	1	1	-0.4	0
chr1:51469	10	1	10	10	1	1	1	-0.4	0
chr1:100881	10	1	10	10	1	1	1	-0.4	0
chr1:107806	10	1	10	10	1	1	1	-0.4	0
chr1:131225	10	1	10	10	1	1	1	-0.4	0
chr1:136194	10	1	10	10	1	1	1	-0.4	0
chr1:146364	10	1	10	10	1	1	1	-0.4	0
chr1:206872	10	1	10	10	1	1	1	-0.4	0
chr1:325097	10	1	10	10	1	1	1	-0.4	0
chr1:364181	10	1	10	10	1	1	1	-0.4	0
chr1:414789	10	1	10	10	1	1	1	-0.4	0
chr1:418362	10	1	10	10	1	1	1	-0.4	0
chr1:420376	10	1	10	10	1	1	1	-0.4	0
chr1:468914	10	1	10	10	1	1	1	-0.4	0
chr1:767038	10	1	10	10	1	1	1	-0.4	0
chr1:799100	10	1	10	10	1	1	1	-0.4	0
chr1:1103923	10	1	10	10	1	1	1	-0.4	0
chr1:1109019	10	1	10	10	1	1	1	-0.4	0
chr1:1131819	10	1	10	10	1	1	1	-0.4	0
chr1:1224626	10	1	10	10	1	1	1	-0.4	0
chr1:1432940	10	1	10	10	1	1	1	-0.4	0
chr1:1588320	10	1	10	10	1	1	1	-0.4	0
chr1:1954010	10	1	10	10	1	1	1	-0.4	0
chr1:2034115	10	1	10	10	1	1	1	-0.4	0
chr1:2089678	10	1	10	10	1	1	1	-0.4	0
chr1:2124147	10	1	10	10	1	1	1	-0.4	0
chr1:2196787	10	1	10	10	1	1	1	-0.4	0
chr1:2214265	10	1	10	10	1	1	1	-0.4	0
chr1:2266524	10	1	10	10	1	1	1	-0.4	0
chr1:2283090	10	1	10	10	1	1	1	-0.4	0
chr1:2313179	10	1	10	10	1	1	1	-0.4	0
chr1:2381488	10	1	10	10	1	1	1	-0.4	0
chr1:2481188	10	1	10	10	1	1	1	-0.4	0
chr1:2586183	10	1	10	10	1	1	1	-0.4	0
chr1:2590371	10	1	10	10	1	1	1	-0.4	0
chr1:2820119	10	1	10	10	1	1	1	-0.4	0
chr1:2926806	10	1	10	10	1	1	1	-0.4	0
chr1:2990826	10	1	10	10	1	1	1	-0.4	0
chr1:3047568	10	1	10	10	1	1	1	-0.4	0
chr1:3076576	10	1	10	10	1	1	1	-0.4	0
chr1:3100332	10	1	10	10	1	1	1	-0.4	0
chr1:3309923	10	1	10	10	1	1	1	-0.4	0
chr1:3347836	10	1	10	10	1	1	1	-0.4	0
chr1:3517150	10	1	10	10	1	1	1	-0.4	0
chr1:3751615	10	1	10	10	1	1	1	-0.4	0
chr1:3770494	10	1	10	10	1	1	1	-0.4	0
chr1:4055982	10	1	10	10	1	1	1	-0.4	0
chr1:4060663	10	1	10	10	1	1	1	-0.4	0
chr1:4062381	10	1	10	10	1	1	1	-0.4	0
chr1:4348448	10	1	10	10	1	1	1	-0.4	0
chr1:4373454	10	1	10	10	1	1	1	-0.4	0
chr1:4384003	10	1	10	10	1	1	1	-0.4	0
chr1:4578895	10	1	10	10	1	1	1	-0.4	0
chr1:4582003	10	1	10	10	1	1	1	-0.4	0
chr1:4768952	10	1	10	10	1	1	1	-0.4	0
chr1:4911745	10	1	10	10	1	1	1	-0.4	0
chr1:4912502	10	1	10	10	1	1	1	-0.4	0
chr1:4942625	10	1	10	10	1	1	1	-0.4	0
chr1:4944604	10	1	10	10	1	1	1	-0.4	0
chr1:4994621	10	1	10	10	1	1	1	-0.4	0
chr1:5018110	10	1	10	10	1	1	1	-0.4	0
chr1:5066326	10	1	10	10	1	1	1	-0.4	0
chr1:5070735	10	1	10	10	1	1	1	-0.4	0
