Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:11249	10	1	10	10	1	1	1	-0.4	0
chr1:16751	10	1	10	10	1	1	1	-0.4	0
chr1:20696	10	1	10	10	1	1	1	-0.4	0
chr1:20696	10	1	10	10	1	1	1	-0.4	0
chr1:51968	10	1	10	10	1	1	1	-0.4	0
chr1:68536	10	1	10	10	1	1	1	-0.4	0
chr1:111856	10	1	10	10	1	1	1	-0.4	0
chr1:116235	10	1	10	10	1	1	1	-0.4	0
chr1:116741	10	1	10	10	1	1	1	-0.4	0
chr1:118583	10	1	10	10	1	1	1	-0.4	0
chr1:120935	10	1	10	10	1	1	1	-0.4	0
chr1:146312	10	1	10	10	1	1	1	-0.4	0
chr1:149922	10	1	10	10	1	1	1	-0.4	0
chr1:156677	10	1	10	10	1	1	1	-0.4	0
chr1:163030	10	1	10	10	1	1	1	-0.4	0
chr1:182406	10	1	10	10	1	1	1	-0.4	0
chr1:182406	10	1	10	10	1	1	1	-0.4	0
chr1:183464	10	1	10	10	1	1	1	-0.4	0
chr1:195019	10	1	10	10	1	1	1	-0.4	0
chr1:198746	10	1	10	10	1	1	1	-0.4	0
chr1:207857	10	1	10	10	1	1	1	-0.4	0
chr1:210633	10	1	10	10	1	1	1	-0.4	0
chr1:227540	10	1	10	10	1	1	1	-0.4	0
chr1:268202	10	1	10	10	1	1	1	-0.4	0
chr1:298522	10	1	10	10	1	1	1	-0.4	0
chr1:298522	10	1	10	10	1	1	1	-0.4	0
chr1:363510	10	1	10	10	1	1	1	-0.4	0
chr1:364338	10	1	10	10	1	1	1	-0.4	0
chr1:364338	10	1	10	10	1	1	1	-0.4	0
chr1:414832	10	1	10	10	1	1	1	-0.4	0
chr1:418480	10	1	10	10	1	1	1	-0.4	0
chr1:418480	10	1	10	10	1	1	1	-0.4	0
chr1:420220	10	1	10	10	1	1	1	-0.4	0
chr1:426616	10	1	10	10	1	1	1	-0.4	0
chr1:426616	10	1	10	10	1	1	1	-0.4	0
chr1:431230	10	1	10	10	1	1	1	-0.4	0
chr1:467896	10	1	10	10	1	1	1	-0.4	0
chr1:467896	10	1	10	10	1	1	1	-0.4	0
chr1:469146	10	1	10	10	1	1	1	-0.4	0
chr1:469146	10	1	10	10	1	1	1	-0.4	0
chr1:469417	10	1	10	10	1	1	1	-0.4	0
chr1:469417	10	1	10	10	1	1	1	-0.4	0
chr1:471614	10	1	10	10	1	1	1	-0.4	0
chr1:471614	10	1	10	10	1	1	1	-0.4	0
chr1:485199	10	1	10	10	1	1	1	-0.4	0
chr1:487896	10	1	10	10	1	1	1	-0.4	0
chr1:488507	10	1	10	10	1	1	1	-0.4	0
chr1:488904	10	1	10	10	1	1	1	-0.4	0
chr1:499040	10	1	10	10	1	1	1	-0.4	0
chr1:499354	10	1	10	10	1	1	1	-0.4	0
chr1:522065	10	1	10	10	1	1	1	-0.4	0
chr1:556587	10	1	10	10	1	1	1	-0.4	0
chr1:559877	10	1	10	10	1	1	1	-0.4	0
chr1:559877	10	1	10	10	1	1	1	-0.4	0
chr1:560386	10	1	10	10	1	1	1	-0.4	0
chr1:563029	10	1	10	10	1	1	1	-0.4	0
chr1:563656	10	1	10	10	1	1	1	-0.4	0
chr1:616776	10	1	10	10	1	1	1	-0.4	0
chr1:635184	10	1	10	10	1	1	1	-0.4	0
chr1:644738	10	1	10	10	1	1	1	-0.4	0
chr1:786675	10	1	10	10	1	1	1	-0.4	0
chr1:884452	10	1	10	10	1	1	1	-0.4	0
chr1:897472	10	1	10	10	1	1	1	-0.4	0
chr1:897894	10	1	10	10	1	1	1	-0.4	0
chr1:898279	10	1	10	10	1	1	1	-0.4	0
chr1:930856	10	1	10	10	1	1	1	-0.4	0
chr1:954232	10	1	10	10	1	1	1	-0.4	0
chr1:956647	10	1	10	10	1	1	1	-0.4	0
chr1:957043	10	1	10	10	1	1	1	-0.4	0
chr1:958147	10	1	10	10	1	1	1	-0.4	0
chr1:979079	10	1	10	10	1	1	1	-0.4	0
chr1:983507	10	1	10	10	1	1	1	-0.4	0
chr1:1024475	10	1	10	10	1	1	1	-0.4	0
chr1:1028553	10	1	10	10	1	1	1	-0.4	0
chr1:1084700	10	1	10	10	1	1	1	-0.4	0
chr1:1100923	10	1	10	10	1	1	1	-0.4	0
chr1:1121468	10	1	10	10	1	1	1	-0.4	0
chr1:1129549	10	1	10	10	1	1	1	-0.4	0
chr1:1141520	10	1	10	10	1	1	1	-0.4	0
chr1:1145324	10	1	10	10	1	1	1	-0.4	0
chr1:1145902	10	1	10	10	1	1	1	-0.4	0
chr1:1157876	10	1	10	10	1	1	1	-0.4	0
chr1:1169815	10	1	10	10	1	1	1	-0.4	0
chr1:1188417	10	1	10	10	1	1	1	-0.4	0
chr1:1221194	10	1	10	10	1	1	1	-0.4	0
chr1:1231011	10	1	10	10	1	1	1	-0.4	0
chr1:1274134	10	1	10	10	1	1	1	-0.4	0
chr1:1275538	10	1	10	10	1	1	1	-0.4	0
chr1:1281758	10	1	10	10	1	1	1	-0.4	0
chr1:1424013	10	1	10	10	1	1	1	-0.4	0
chr1:1426566	10	1	10	10	1	1	1	-0.4	0
