Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr5:7014613	10	1	10	10	-1	33.49	1	-0.4	0
chr5:17665532	10	1	10	10	-1	30.09	1	-0.4	0
chr5:556560	10	1	10	10	-1	29.8	1	-0.4	0
chr2:19245358	10	1	10	10	-1	28.11	1	-0.4	0
chr1:6308125	10	1	10	10	-1	27.2	1	-0.4	0
chr3:4389124	10	1	10	10	-1	26.91	1	-0.4	0
chr1:25238244	10	1	10	10	-1	26.29	1	-0.4	0
chr5:24917379	10	1	10	10	-1	26.05	1	-0.4	0
chr5:25676926	10	1	10	10	-1	25.83	1	-0.4	0
chr1:20731265	10	1	10	10	-1	25.71	1	-0.4	0
chr3:8918575	10	1	10	10	-1	23.1	1	-0.4	0
chr4:525327	10	1	10	10	-1	22.9	1	-0.4	0
chr1:9286276	10	1	10	10	-1	22.89	1	-0.4	0
chr3:3993850	10	1	10	10	-1	22.17	1	-0.4	0
chr4:7042479	10	1	10	10	-1	21.78	1	-0.4	0
chr5:17617074	10	1	10	10	-1	21.59	1	-0.4	0
chr3:18764907	10	1	10	10	-1	20.44	1	-0.4	0
chr3:8703194	10	1	10	10	-1	20.16	1	-0.4	0
chr1:4855231	10	1	10	10	-1	19.46	1	-0.4	0
chr3:19449061	10	1	10	10	-1	19.09	1	-0.4	0
chr4:12589916	10	1	10	10	-1	19.07	1	-0.4	0
chr1:22449628	10	1	10	10	-1	18.94	1	-0.4	0
chr2:11135577	10	1	10	10	-1	18.52	1	-0.4	0
chr2:10702107	10	1	10	10	-1	18.29	1	-0.4	0
chr4:14863097	10	1	10	10	-1	18.08	1	-0.4	0
chr5:2975601	10	1	10	10	-1	17.93	1	-0.4	0
chr1:2260083	10	1	10	10	-1	17.67	1	-0.4	0
chr5:793481	10	1	10	10	-1	17.58	1	-0.4	0
chr1:21024599	10	1	10	10	-1	16.85	1	-0.4	0
chr1:30242087	10	1	10	10	-1	16.81	1	-0.4	0
chr1:29573311	10	1	10	10	-1	16.39	1	-0.4	0
chr1:12152532	10	1	10	10	-1	16.09	1	-0.4	0
