Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr5:1609093	10	1	10	10	-1	46.11	1	-0.4	0
chr4:1520586	10	1	10	10	-1	29.58	1	-0.4	0
chr5:26253286	10	1	10	10	-1	28.01	1	-0.4	0
chr1:24812704	10	1	10	10	-1	26.94	1	-0.4	0
chr2:7997339	10	1	10	10	-1	26.2	1	-0.4	0
chr4:2718111	10	1	10	10	-1	25.22	1	-0.4	0
chr2:9075444	10	1	10	10	-1	23.97	1	-0.4	0
chr4:1280059	10	1	10	10	-1	23.39	1	-0.4	0
chr5:773548	10	1	10	10	-1	22.04	1	-0.4	0
chr3:1488471	10	1	10	10	-1	21.54	1	-0.4	0
chr3:19991288	10	1	10	10	-1	20.56	1	-0.4	0
chr5:1602451	10	1	10	10	-1	20.31	1	-0.4	0
chr5:20403948	10	1	10	10	-1	18	1	-0.4	0
chr3:2890502	10	1	10	10	-1	16.55	1	-0.4	0
chr4:433909	10	1	10	10	-1	16.05	1	-0.4	0
