Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:2349147	10	1	10	10	1	1	1	-0.4	0
chr1:2848329	10	1	10	10	1	1	1	-0.4	0
chr1:3610799	10	1	10	10	1	1	1	-0.4	0
chr1:3804061	10	1	10	10	1	1	1	-0.4	0
chr1:4976210	10	1	10	10	1	1	1	-0.4	0
chr1:5082510	10	1	10	10	1	1	1	-0.4	0
chr1:5390873	10	1	10	10	1	1	1	-0.4	0
chr1:5765506	10	1	10	10	1	1	1	-0.4	0
chr1:7144112	10	1	10	10	1	1	1	-0.4	0
chr1:7144729	10	1	10	10	1	1	1	-0.4	0
chr1:7216965	10	1	10	10	1	1	1	-0.4	0
chr1:7836481	10	1	10	10	1	1	1	-0.4	0
chr1:8558235	10	1	10	10	1	1	1	-0.4	0
chr1:8855740	10	1	10	10	1	1	1	-0.4	0
chr1:9024259	10	1	10	10	1	1	1	-0.4	0
chr1:9591986	10	1	10	10	1	1	1	-0.4	0
chr1:9604517	10	1	10	10	1	1	1	-0.4	0
chr1:9611972	10	1	10	10	1	1	1	-0.4	0
chr1:9638795	10	1	10	10	1	1	1	-0.4	0
chr1:9641638	10	1	10	10	1	1	1	-0.4	0
chr1:9649180	10	1	10	10	1	1	1	-0.4	0
chr1:9649180	10	1	10	10	1	1	1	-0.4	0
chr1:9655341	10	1	10	10	1	1	1	-0.4	0
chr1:9655974	10	1	10	10	1	1	1	-0.4	0
chr1:9658145	10	1	10	10	1	1	1	-0.4	0
chr1:9660560	10	1	10	10	1	1	1	-0.4	0
chr1:9660560	10	1	10	10	1	1	1	-0.4	0
chr1:9661402	10	1	10	10	1	1	1	-0.4	0
chr1:9662296	10	1	10	10	1	1	1	-0.4	0
chr1:9662296	10	1	10	10	1	1	1	-0.4	0
chr1:9887737	10	1	10	10	1	1	1	-0.4	0
chr1:15082153	10	1	10	10	1	1	1	-0.4	0
chr1:15082736	10	1	10	10	1	1	1	-0.4	0
chr1:15082736	10	1	10	10	1	1	1	-0.4	0
chr1:15083711	10	1	10	10	1	1	1	-0.4	0
chr1:15083711	10	1	10	10	1	1	1	-0.4	0
chr1:15084436	10	1	10	10	1	1	1	-0.4	0
chr1:15084436	10	1	10	10	1	1	1	-0.4	0
chr1:15085676	10	1	10	10	1	1	1	-0.4	0
chr1:15085676	10	1	10	10	1	1	1	-0.4	0
chr1:17975762	10	1	10	10	1	1	1	-0.4	0
chr1:19144095	10	1	10	10	1	1	1	-0.4	0
chr1:19257345	10	1	10	10	1	1	1	-0.4	0
chr1:20199029	10	1	10	10	1	1	1	-0.4	0
chr1:20889459	10	1	10	10	1	1	1	-0.4	0
chr1:21471894	10	1	10	10	1	1	1	-0.4	0
chr1:22166814	10	1	10	10	1	1	1	-0.4	0
chr1:22899342	10	1	10	10	1	1	1	-0.4	0
chr1:23166673	10	1	10	10	1	1	1	-0.4	0
chr1:23618255	10	1	10	10	1	1	1	-0.4	0
chr1:24656008	10	1	10	10	1	1	1	-0.4	0
chr1:25784749	10	1	10	10	1	1	1	-0.4	0
chr1:26400832	10	1	10	10	1	1	1	-0.4	0
chr1:26433832	10	1	10	10	1	1	1	-0.4	0
chr1:26587564	10	1	10	10	1	1	1	-0.4	0
chr1:26588574	10	1	10	10	1	1	1	-0.4	0
chr1:26782012	10	1	10	10	1	1	1	-0.4	0
chr1:26789857	10	1	10	10	1	1	1	-0.4	0
chr1:26816046	10	1	10	10	1	1	1	-0.4	0
chr1:27402349	10	1	10	10	1	1	1	-0.4	0
chr1:29333163	10	1	10	10	1	1	1	-0.4	0
chr1:29364919	10	1	10	10	1	1	1	-0.4	0
chr1:29365387	10	1	10	10	1	1	1	-0.4	0
chr2:1374	10	1	10	10	1	1	1	-0.4	0
chr2:1374	10	1	10	10	1	1	1	-0.4	0
chr2:1919	10	1	10	10	1	1	1	-0.4	0
chr2:2656	10	1	10	10	1	1	1	-0.4	0
chr2:2656	10	1	10	10	1	1	1	-0.4	0
chr2:3443	10	1	10	10	1	1	1	-0.4	0
chr2:3443	10	1	10	10	1	1	1	-0.4	0
chr2:5767	10	1	10	10	1	1	1	-0.4	0
chr2:10031	10	1	10	10	1	1	1	-0.4	0
chr2:10031	10	1	10	10	1	1	1	-0.4	0
chr2:319594	10	1	10	10	1	1	1	-0.4	0
chr2:3264195	10	1	10	10	1	1	1	-0.4	0
chr2:3265386	10	1	10	10	1	1	1	-0.4	0
chr2:3266065	10	1	10	10	1	1	1	-0.4	0
chr2:3267963	10	1	10	10	1	1	1	-0.4	0
chr2:3269358	10	1	10	10	1	1	1	-0.4	0
chr2:3272146	10	1	10	10	1	1	1	-0.4	0
chr2:3272720	10	1	10	10	1	1	1	-0.4	0
chr2:3275848	10	1	10	10	1	1	1	-0.4	0
chr2:3276174	10	1	10	10	1	1	1	-0.4	0
chr2:3278877	10	1	10	10	1	1	1	-0.4	0
chr2:3279558	10	1	10	10	1	1	1	-0.4	0
chr2:3280582	10	1	10	10	1	1	1	-0.4	0
chr2:3281730	10	1	10	10	1	1	1	-0.4	0
chr2:3283483	10	1	10	10	1	1	1	-0.4	0
chr2:3292000	10	1	10	10	1	1	1	-0.4	0
chr2:3295500	10	1	10	10	1	1	1	-0.4	0
chr2:3297121	10	1	10	10	1	1	1	-0.4	0
chr2:3303871	10	1	10	10	1	1	1	-0.4	0
chr2:3306656	10	1	10	10	1	1	1	-0.4	0
chr2:3313240	10	1	10	10	1	1	1	-0.4	0
chr2:3314521	10	1	10	10	1	1	1	-0.4	0
chr2:3320031	10	1	10	10	1	1	1	-0.4	0
chr2:3322002	10	1	10	10	1	1	1	-0.4	0
chr2:3324615	10	1	10	10	1	1	1	-0.4	0
chr2:3325132	10	1	10	10	1	1	1	-0.4	0
chr2:3327300	10	1	10	10	1	1	1	-0.4	0
chr2:3329613	10	1	10	10	1	1	1	-0.4	0
chr2:3331377	10	1	10	10	1	1	1	-0.4	0
chr2:3332361	10	1	10	10	1	1	1	-0.4	0
chr2:3332840	10	1	10	10	1	1	1	-0.4	0
chr2:3334539	10	1	10	10	1	1	1	-0.4	0
chr2:3335078	10	1	10	10	1	1	1	-0.4	0
chr2:3335595	10	1	10	10	1	1	1	-0.4	0
chr2:3337170	10	1	10	10	1	1	1	-0.4	0
chr2:3337620	10	1	10	10	1	1	1	-0.4	0
chr2:3338088	10	1	10	10	1	1	1	-0.4	0
chr2:3338088	10	1	10	10	1	1	1	-0.4	0
chr2:3342244	10	1	10	10	1	1	1	-0.4	0
chr2:3344652	10	1	10	10	1	1	1	-0.4	0
chr2:3345695	10	1	10	10	1	1	1	-0.4	0
chr2:3349085	10	1	10	10	1	1	1	-0.4	0
chr2:3354597	10	1	10	10	1	1	1	-0.4	0
chr2:3356847	10	1	10	10	1	1	1	-0.4	0
chr2:3359110	10	1	10	10	1	1	1	-0.4	0
chr2:3360988	10	1	10	10	1	1	1	-0.4	0
chr2:3363017	10	1	10	10	1	1	1	-0.4	0
chr2:3364762	10	1	10	10	1	1	1	-0.4	0
chr2:3365569	10	1	10	10	1	1	1	-0.4	0
chr2:3367384	10	1	10	10	1	1	1	-0.4	0
chr2:3375210	10	1	10	10	1	1	1	-0.4	0
chr2:3377281	10	1	10	10	1	1	1	-0.4	0
chr2:3377709	10	1	10	10	1	1	1	-0.4	0
chr2:3378070	10	1	10	10	1	1	1	-0.4	0
chr2:3378653	10	1	10	10	1	1	1	-0.4	0
chr2:3394015	10	1	10	10	1	1	1	-0.4	0
chr2:3395156	10	1	10	10	1	1	1	-0.4	0
chr2:3396367	10	1	10	10	1	1	1	-0.4	0
chr2:3397039	10	1	10	10	1	1	1	-0.4	0
chr2:3398911	10	1	10	10	1	1	1	-0.4	0
chr2:3400234	10	1	10	10	1	1	1	-0.4	0
chr2:3404942	10	1	10	10	1	1	1	-0.4	0
chr2:3405557	10	1	10	10	1	1	1	-0.4	0
chr2:3406448	10	1	10	10	1	1	1	-0.4	0
chr2:3408879	10	1	10	10	1	1	1	-0.4	0
chr2:3412781	10	1	10	10	1	1	1	-0.4	0
chr2:3418761	10	1	10	10	1	1	1	-0.4	0
chr2:3429070	10	1	10	10	1	1	1	-0.4	0
chr2:3431567	10	1	10	10	1	1	1	-0.4	0
chr2:3434009	10	1	10	10	1	1	1	-0.4	0
chr2:3434368	10	1	10	10	1	1	1	-0.4	0
chr2:3438341	10	1	10	10	1	1	1	-0.4	0
chr2:3438341	10	1	10	10	1	1	1	-0.4	0
chr2:3438677	10	1	10	10	1	1	1	-0.4	0
chr2:3440392	10	1	10	10	1	1	1	-0.4	0
chr2:3442773	10	1	10	10	1	1	1	-0.4	0
chr2:3447454	10	1	10	10	1	1	1	-0.4	0
chr2:3459062	10	1	10	10	1	1	1	-0.4	0
chr2:3460430	10	1	10	10	1	1	1	-0.4	0
chr2:3461094	10	1	10	10	1	1	1	-0.4	0
chr2:3463833	10	1	10	10	1	1	1	-0.4	0
chr2:3464495	10	1	10	10	1	1	1	-0.4	0
chr2:3467012	10	1	10	10	1	1	1	-0.4	0
chr2:3469364	10	1	10	10	1	1	1	-0.4	0
chr2:3471584	10	1	10	10	1	1	1	-0.4	0
chr2:3475893	10	1	10	10	1	1	1	-0.4	0
chr2:3476298	10	1	10	10	1	1	1	-0.4	0
chr2:3478308	10	1	10	10	1	1	1	-0.4	0
chr2:3482452	10	1	10	10	1	1	1	-0.4	0
chr2:3483954	10	1	10	10	1	1	1	-0.4	0
chr2:3485148	10	1	10	10	1	1	1	-0.4	0
chr2:3486088	10	1	10	10	1	1	1	-0.4	0
chr2:3486612	10	1	10	10	1	1	1	-0.4	0
chr2:3487576	10	1	10	10	1	1	1	-0.4	0
chr2:3488560	10	1	10	10	1	1	1	-0.4	0
chr2:3491038	10	1	10	10	1	1	1	-0.4	0
chr2:3492504	10	1	10	10	1	1	1	-0.4	0
chr2:3493389	10	1	10	10	1	1	1	-0.4	0
chr2:3495374	10	1	10	10	1	1	1	-0.4	0
chr2:3496131	10	1	10	10	1	1	1	-0.4	0
chr2:3497483	10	1	10	10	1	1	1	-0.4	0
chr2:3499502	10	1	10	10	1	1	1	-0.4	0
chr2:3500854	10	1	10	10	1	1	1	-0.4	0
chr2:3501468	10	1	10	10	1	1	1	-0.4	0
chr2:3607154	10	1	10	10	1	1	1	-0.4	0
chr2:3607154	10	1	10	10	1	1	1	-0.4	0
chr2:3607770	10	1	10	10	1	1	1	-0.4	0
chr2:3615050	10	1	10	10	1	1	1	-0.4	0
chr2:3615050	10	1	10	10	1	1	1	-0.4	0
chr2:3616074	10	1	10	10	1	1	1	-0.4	0
chr2:3616618	10	1	10	10	1	1	1	-0.4	0
chr2:3618120	10	1	10	10	1	1	1	-0.4	0
chr2:3618120	10	1	10	10	1	1	1	-0.4	0
chr2:3618440	10	1	10	10	1	1	1	-0.4	0
chr2:3618440	10	1	10	10	1	1	1	-0.4	0
chr2:3619028	10	1	10	10	1	1	1	-0.4	0
chr2:3619028	10	1	10	10	1	1	1	-0.4	0
chr2:3619515	10	1	10	10	1	1	1	-0.4	0
chr2:3619515	10	1	10	10	1	1	1	-0.4	0
chr2:3620013	10	1	10	10	1	1	1	-0.4	0
chr2:3620013	10	1	10	10	1	1	1	-0.4	0
chr2:3621202	10	1	10	10	1	1	1	-0.4	0
chr2:3621202	10	1	10	10	1	1	1	-0.4	0
chr2:3621700	10	1	10	10	1	1	1	-0.4	0
chr2:3621700	10	1	10	10	1	1	1	-0.4	0
chr2:3622608	10	1	10	10	1	1	1	-0.4	0
chr2:3622608	10	1	10	10	1	1	1	-0.4	0
chr2:3623455	10	1	10	10	1	1	1	-0.4	0
chr2:3623455	10	1	10	10	1	1	1	-0.4	0
chr2:3624635	10	1	10	10	1	1	1	-0.4	0
chr2:3624635	10	1	10	10	1	1	1	-0.4	0
chr2:3625285	10	1	10	10	1	1	1	-0.4	0
chr2:3625285	10	1	10	10	1	1	1	-0.4	0
chr2:3626016	10	1	10	10	1	1	1	-0.4	0
chr2:3626016	10	1	10	10	1	1	1	-0.4	0
chr2:3626262	10	1	10	10	1	1	1	-0.4	0
chr2:3626262	10	1	10	10	1	1	1	-0.4	0
chr2:3626982	10	1	10	10	1	1	1	-0.4	0
chr2:3626982	10	1	10	10	1	1	1	-0.4	0
chr2:3627330	10	1	10	10	1	1	1	-0.4	0
chr2:3627330	10	1	10	10	1	1	1	-0.4	0
chr2:7190976	10	1	10	10	1	1	1	-0.4	0
chr2:7190976	10	1	10	10	1	1	1	-0.4	0
chr2:8157843	10	1	10	10	1	1	1	-0.4	0
chr2:8971625	10	1	10	10	1	1	1	-0.4	0
chr2:9926508	10	1	10	10	1	1	1	-0.4	0
chr2:12419939	10	1	10	10	1	1	1	-0.4	0
chr2:12563120	10	1	10	10	1	1	1	-0.4	0
chr2:12997521	10	1	10	10	1	1	1	-0.4	0
chr2:13488747	10	1	10	10	1	1	1	-0.4	0
chr2:14261691	10	1	10	10	1	1	1	-0.4	0
chr2:15216818	10	1	10	10	1	1	1	-0.4	0
chr2:15277696	10	1	10	10	1	1	1	-0.4	0
chr2:16449266	10	1	10	10	1	1	1	-0.4	0
chr2:16845225	10	1	10	10	1	1	1	-0.4	0
chr2:17269720	10	1	10	10	1	1	1	-0.4	0
chr2:17458019	10	1	10	10	1	1	1	-0.4	0
chr2:17527101	10	1	10	10	1	1	1	-0.4	0
chr2:18548863	10	1	10	10	1	1	1	-0.4	0
chr2:18644756	10	1	10	10	1	1	1	-0.4	0
chr2:19177294	10	1	10	10	1	1	1	-0.4	0
chr3:508819	10	1	10	10	1	1	1	-0.4	0
chr3:1879619	10	1	10	10	1	1	1	-0.4	0
chr3:1934397	10	1	10	10	1	1	1	-0.4	0
chr3:2188745	10	1	10	10	1	1	1	-0.4	0
chr3:2704214	10	1	10	10	1	1	1	-0.4	0
chr3:2842504	10	1	10	10	1	1	1	-0.4	0
chr3:3365633	10	1	10	10	1	1	1	-0.4	0
chr3:3588586	10	1	10	10	1	1	1	-0.4	0
chr3:4145479	10	1	10	10	1	1	1	-0.4	0
chr3:4857600	10	1	10	10	1	1	1	-0.4	0
chr3:4988137	10	1	10	10	1	1	1	-0.4	0
chr3:5297810	10	1	10	10	1	1	1	-0.4	0
chr3:5999977	10	1	10	10	1	1	1	-0.4	0
chr3:6430202	10	1	10	10	1	1	1	-0.4	0
chr3:6435639	10	1	10	10	1	1	1	-0.4	0
chr3:6934833	10	1	10	10	1	1	1	-0.4	0
chr3:7104418	10	1	10	10	1	1	1	-0.4	0
chr3:7104418	10	1	10	10	1	1	1	-0.4	0
chr3:7305822	10	1	10	10	1	1	1	-0.4	0
chr3:7945994	10	1	10	10	1	1	1	-0.4	0
chr3:8268860	10	1	10	10	1	1	1	-0.4	0
chr3:8558199	10	1	10	10	1	1	1	-0.4	0
chr3:9381683	10	1	10	10	1	1	1	-0.4	0
chr3:9897342	10	1	10	10	1	1	1	-0.4	0
chr3:10911353	10	1	10	10	1	1	1	-0.4	0
chr3:13587698	10	1	10	10	1	1	1	-0.4	0
chr3:13587698	10	1	10	10	1	1	1	-0.4	0
chr3:13588898	10	1	10	10	1	1	1	-0.4	0
chr3:13588898	10	1	10	10	1	1	1	-0.4	0
chr3:13589328	10	1	10	10	1	1	1	-0.4	0
chr3:13589328	10	1	10	10	1	1	1	-0.4	0
chr3:13591698	10	1	10	10	1	1	1	-0.4	0
chr3:13591698	10	1	10	10	1	1	1	-0.4	0
chr3:14194352	10	1	10	10	1	1	1	-0.4	0
chr3:14194352	10	1	10	10	1	1	1	-0.4	0
chr3:14196052	10	1	10	10	1	1	1	-0.4	0
chr3:14196052	10	1	10	10	1	1	1	-0.4	0
chr3:14196558	10	1	10	10	1	1	1	-0.4	0
chr3:14196558	10	1	10	10	1	1	1	-0.4	0
chr3:14196976	10	1	10	10	1	1	1	-0.4	0
chr3:14196976	10	1	10	10	1	1	1	-0.4	0
chr3:14198165	10	1	10	10	1	1	1	-0.4	0
chr3:14199003	10	1	10	10	1	1	1	-0.4	0
chr3:14199653	10	1	10	10	1	1	1	-0.4	0
chr3:14199653	10	1	10	10	1	1	1	-0.4	0
chr3:14200080	10	1	10	10	1	1	1	-0.4	0
chr3:14201060	10	1	10	10	1	1	1	-0.4	0
chr3:14201702	10	1	10	10	1	1	1	-0.4	0
chr3:14201702	10	1	10	10	1	1	1	-0.4	0
chr3:14202126	10	1	10	10	1	1	1	-0.4	0
chr3:14202126	10	1	10	10	1	1	1	-0.4	0
chr3:14202813	10	1	10	10	1	1	1	-0.4	0
chr3:14203312	10	1	10	10	1	1	1	-0.4	0
chr3:14203312	10	1	10	10	1	1	1	-0.4	0
chr3:15078715	10	1	10	10	1	1	1	-0.4	0
chr3:16656288	10	1	10	10	1	1	1	-0.4	0
chr3:16699763	10	1	10	10	1	1	1	-0.4	0
chr3:17008355	10	1	10	10	1	1	1	-0.4	0
chr3:17199387	10	1	10	10	1	1	1	-0.4	0
chr3:18363243	10	1	10	10	1	1	1	-0.4	0
chr3:18364812	10	1	10	10	1	1	1	-0.4	0
chr3:18510107	10	1	10	10	1	1	1	-0.4	0
chr3:18510446	10	1	10	10	1	1	1	-0.4	0
chr3:19357084	10	1	10	10	1	1	1	-0.4	0
chr3:19426135	10	1	10	10	1	1	1	-0.4	0
chr3:19922444	10	1	10	10	1	1	1	-0.4	0
chr3:20564092	10	1	10	10	1	1	1	-0.4	0
chr3:20776150	10	1	10	10	1	1	1	-0.4	0
chr3:20776622	10	1	10	10	1	1	1	-0.4	0
chr3:20801683	10	1	10	10	1	1	1	-0.4	0
chr3:22361687	10	1	10	10	1	1	1	-0.4	0
chr3:23265246	10	1	10	10	1	1	1	-0.4	0
chr4:18216	10	1	10	10	1	1	1	-0.4	0
chr4:463018	10	1	10	10	1	1	1	-0.4	0
chr4:525351	10	1	10	10	1	1	1	-0.4	0
chr4:756619	10	1	10	10	1	1	1	-0.4	0
chr4:2346191	10	1	10	10	1	1	1	-0.4	0
chr4:2531868	10	1	10	10	1	1	1	-0.4	0
