Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:20572	10	1	10	10	1	1	1	-0.4	0
chr1:60758	10	1	10	10	1	1	1	-0.4	0
chr1:118488	10	1	10	10	1	1	1	-0.4	0
chr1:146262	10	1	10	10	1	1	1	-0.4	0
chr1:146262	10	1	10	10	1	1	1	-0.4	0
chr1:182330	10	1	10	10	1	1	1	-0.4	0
chr1:182330	10	1	10	10	1	1	1	-0.4	0
chr1:183512	10	1	10	10	1	1	1	-0.4	0
chr1:207755	10	1	10	10	1	1	1	-0.4	0
chr1:237763	10	1	10	10	1	1	1	-0.4	0
chr1:282462	10	1	10	10	1	1	1	-0.4	0
chr1:368525	10	1	10	10	1	1	1	-0.4	0
chr1:420219	10	1	10	10	1	1	1	-0.4	0
chr1:468986	10	1	10	10	1	1	1	-0.4	0
chr1:485196	10	1	10	10	1	1	1	-0.4	0
chr1:485196	10	1	10	10	1	1	1	-0.4	0
chr1:485686	10	1	10	10	1	1	1	-0.4	0
chr1:488418	10	1	10	10	1	1	1	-0.4	0
chr1:559631	10	1	10	10	1	1	1	-0.4	0
chr1:559631	10	1	10	10	1	1	1	-0.4	0
chr1:617391	10	1	10	10	1	1	1	-0.4	0
chr1:930811	10	1	10	10	1	1	1	-0.4	0
chr1:933527	10	1	10	10	1	1	1	-0.4	0
chr1:953131	10	1	10	10	1	1	1	-0.4	0
chr1:956691	10	1	10	10	1	1	1	-0.4	0
chr1:1101992	10	1	10	10	1	1	1	-0.4	0
chr1:1123102	10	1	10	10	1	1	1	-0.4	0
chr1:1123747	10	1	10	10	1	1	1	-0.4	0
chr1:1157863	10	1	10	10	1	1	1	-0.4	0
chr1:1157863	10	1	10	10	1	1	1	-0.4	0
chr1:1173139	10	1	10	10	1	1	1	-0.4	0
chr1:1188710	10	1	10	10	1	1	1	-0.4	0
chr1:1434812	10	1	10	10	1	1	1	-0.4	0
chr1:1481110	10	1	10	10	1	1	1	-0.4	0
chr1:1481110	10	1	10	10	1	1	1	-0.4	0
chr1:1647208	10	1	10	10	1	1	1	-0.4	0
chr1:1761932	10	1	10	10	1	1	1	-0.4	0
chr1:1838226	10	1	10	10	1	1	1	-0.4	0
chr1:1841060	10	1	10	10	1	1	1	-0.4	0
chr1:1841060	10	1	10	10	1	1	1	-0.4	0
chr1:1841602	10	1	10	10	1	1	1	-0.4	0
chr1:1843331	10	1	10	10	1	1	1	-0.4	0
chr1:1878809	10	1	10	10	1	1	1	-0.4	0
chr1:1879546	10	1	10	10	1	1	1	-0.4	0
chr1:1882708	10	1	10	10	1	1	1	-0.4	0
chr1:2103480	10	1	10	10	1	1	1	-0.4	0
chr1:2196639	10	1	10	10	1	1	1	-0.4	0
chr1:2285297	10	1	10	10	1	1	1	-0.4	0
chr1:2286091	10	1	10	10	1	1	1	-0.4	0
chr1:2351680	10	1	10	10	1	1	1	-0.4	0
chr1:2530402	10	1	10	10	1	1	1	-0.4	0
chr1:2614503	10	1	10	10	1	1	1	-0.4	0
chr1:2690256	10	1	10	10	1	1	1	-0.4	0
chr1:2690256	10	1	10	10	1	1	1	-0.4	0
chr1:2690814	10	1	10	10	1	1	1	-0.4	0
chr1:2695236	10	1	10	10	1	1	1	-0.4	0
chr1:2695236	10	1	10	10	1	1	1	-0.4	0
chr1:2862922	10	1	10	10	1	1	1	-0.4	0
chr1:2862922	10	1	10	10	1	1	1	-0.4	0
chr1:2870783	10	1	10	10	1	1	1	-0.4	0
chr1:2873323	10	1	10	10	1	1	1	-0.4	0
chr1:2991373	10	1	10	10	1	1	1	-0.4	0
chr1:3008637	10	1	10	10	1	1	1	-0.4	0
chr1:3072608	10	1	10	10	1	1	1	-0.4	0
chr1:3072608	10	1	10	10	1	1	1	-0.4	0
chr1:3075664	10	1	10	10	1	1	1	-0.4	0
chr1:3076668	10	1	10	10	1	1	1	-0.4	0
chr1:3076668	10	1	10	10	1	1	1	-0.4	0
chr1:3081298	10	1	10	10	1	1	1	-0.4	0
chr1:3100855	10	1	10	10	1	1	1	-0.4	0
chr1:3100855	10	1	10	10	1	1	1	-0.4	0
chr1:3249176	10	1	10	10	1	1	1	-0.4	0
chr1:3283782	10	1	10	10	1	1	1	-0.4	0
chr1:3283782	10	1	10	10	1	1	1	-0.4	0
chr1:3306329	10	1	10	10	1	1	1	-0.4	0
chr1:3307478	10	1	10	10	1	1	1	-0.4	0
chr1:3307478	10	1	10	10	1	1	1	-0.4	0
chr1:3324604	10	1	10	10	1	1	1	-0.4	0
chr1:3324604	10	1	10	10	1	1	1	-0.4	0
chr1:3421386	10	1	10	10	1	1	1	-0.4	0
chr1:3441040	10	1	10	10	1	1	1	-0.4	0
chr1:3441040	10	1	10	10	1	1	1	-0.4	0
chr1:3449544	10	1	10	10	1	1	1	-0.4	0
chr1:3480002	10	1	10	10	1	1	1	-0.4	0
chr1:3526347	10	1	10	10	1	1	1	-0.4	0
chr1:3571002	10	1	10	10	1	1	1	-0.4	0
chr1:3571002	10	1	10	10	1	1	1	-0.4	0
chr1:3749028	10	1	10	10	1	1	1	-0.4	0
chr1:3770499	10	1	10	10	1	1	1	-0.4	0
chr1:3770499	10	1	10	10	1	1	1	-0.4	0
chr1:3776631	10	1	10	10	1	1	1	-0.4	0
chr1:3810162	10	1	10	10	1	1	1	-0.4	0
chr1:4066993	10	1	10	10	1	1	1	-0.4	0
chr1:4086521	10	1	10	10	1	1	1	-0.4	0
chr1:4086521	10	1	10	10	1	1	1	-0.4	0
chr1:4107131	10	1	10	10	1	1	1	-0.4	0
chr1:4247098	10	1	10	10	1	1	1	-0.4	0
chr1:4282251	10	1	10	10	1	1	1	-0.4	0
chr1:4316428	10	1	10	10	1	1	1	-0.4	0
chr1:4316428	10	1	10	10	1	1	1	-0.4	0
chr1:4340849	10	1	10	10	1	1	1	-0.4	0
chr1:4458986	10	1	10	10	1	1	1	-0.4	0
chr1:4463765	10	1	10	10	1	1	1	-0.4	0
chr1:4523420	10	1	10	10	1	1	1	-0.4	0
chr1:4527600	10	1	10	10	1	1	1	-0.4	0
chr1:4531272	10	1	10	10	1	1	1	-0.4	0
chr1:4533001	10	1	10	10	1	1	1	-0.4	0
chr1:4538836	10	1	10	10	1	1	1	-0.4	0
chr1:4541790	10	1	10	10	1	1	1	-0.4	0
chr1:4541790	10	1	10	10	1	1	1	-0.4	0
chr1:4580049	10	1	10	10	1	1	1	-0.4	0
chr1:4591140	10	1	10	10	1	1	1	-0.4	0
chr1:4647796	10	1	10	10	1	1	1	-0.4	0
chr1:4760325	10	1	10	10	1	1	1	-0.4	0
chr1:4775390	10	1	10	10	1	1	1	-0.4	0
chr1:4811161	10	1	10	10	1	1	1	-0.4	0
chr1:4877416	10	1	10	10	1	1	1	-0.4	0
chr1:4944591	10	1	10	10	1	1	1	-0.4	0
chr1:4977200	10	1	10	10	1	1	1	-0.4	0
chr1:5006492	10	1	10	10	1	1	1	-0.4	0
chr1:5006492	10	1	10	10	1	1	1	-0.4	0
chr1:5066339	10	1	10	10	1	1	1	-0.4	0
chr1:5091772	10	1	10	10	1	1	1	-0.4	0
chr1:5124132	10	1	10	10	1	1	1	-0.4	0
chr1:5126470	10	1	10	10	1	1	1	-0.4	0
chr1:5131451	10	1	10	10	1	1	1	-0.4	0
chr1:5136935	10	1	10	10	1	1	1	-0.4	0
chr1:5138043	10	1	10	10	1	1	1	-0.4	0
chr1:5138043	10	1	10	10	1	1	1	-0.4	0
chr1:5145748	10	1	10	10	1	1	1	-0.4	0
chr1:5145748	10	1	10	10	1	1	1	-0.4	0
chr1:5151467	10	1	10	10	1	1	1	-0.4	0
chr1:5386468	10	1	10	10	1	1	1	-0.4	0
chr1:5423658	10	1	10	10	1	1	1	-0.4	0
chr1:5596266	10	1	10	10	1	1	1	-0.4	0
chr1:5596266	10	1	10	10	1	1	1	-0.4	0
chr1:5890968	10	1	10	10	1	1	1	-0.4	0
chr1:5895273	10	1	10	10	1	1	1	-0.4	0
chr1:5928809	10	1	10	10	1	1	1	-0.4	0
chr1:5928809	10	1	10	10	1	1	1	-0.4	0
chr1:5939604	10	1	10	10	1	1	1	-0.4	0
chr1:5940214	10	1	10	10	1	1	1	-0.4	0
chr1:6230312	10	1	10	10	1	1	1	-0.4	0
chr1:6230312	10	1	10	10	1	1	1	-0.4	0
chr1:6295714	10	1	10	10	1	1	1	-0.4	0
chr1:6296993	10	1	10	10	1	1	1	-0.4	0
chr1:6298432	10	1	10	10	1	1	1	-0.4	0
chr1:6298432	10	1	10	10	1	1	1	-0.4	0
chr1:6333546	10	1	10	10	1	1	1	-0.4	0
chr1:6335158	10	1	10	10	1	1	1	-0.4	0
chr1:6335912	10	1	10	10	1	1	1	-0.4	0
chr1:6388332	10	1	10	10	1	1	1	-0.4	0
chr1:6456522	10	1	10	10	1	1	1	-0.4	0
chr1:6456522	10	1	10	10	1	1	1	-0.4	0
chr1:6457253	10	1	10	10	1	1	1	-0.4	0
chr1:6463620	10	1	10	10	1	1	1	-0.4	0
chr1:6621057	10	1	10	10	1	1	1	-0.4	0
chr1:6621984	10	1	10	10	1	1	1	-0.4	0
chr1:6621984	10	1	10	10	1	1	1	-0.4	0
chr1:6687264	10	1	10	10	1	1	1	-0.4	0
chr1:6687264	10	1	10	10	1	1	1	-0.4	0
chr1:6731596	10	1	10	10	1	1	1	-0.4	0
chr1:6731596	10	1	10	10	1	1	1	-0.4	0
chr1:6832336	10	1	10	10	1	1	1	-0.4	0
chr1:6832336	10	1	10	10	1	1	1	-0.4	0
chr1:6911072	10	1	10	10	1	1	1	-0.4	0
chr1:7108070	10	1	10	10	1	1	1	-0.4	0
chr1:7154420	10	1	10	10	1	1	1	-0.4	0
chr1:7221144	10	1	10	10	1	1	1	-0.4	0
chr1:7270629	10	1	10	10	1	1	1	-0.4	0
chr1:7270629	10	1	10	10	1	1	1	-0.4	0
chr1:7320792	10	1	10	10	1	1	1	-0.4	0
chr1:7321365	10	1	10	10	1	1	1	-0.4	0
chr1:7321365	10	1	10	10	1	1	1	-0.4	0
chr1:7322226	10	1	10	10	1	1	1	-0.4	0
chr1:7322943	10	1	10	10	1	1	1	-0.4	0
chr1:7340800	10	1	10	10	1	1	1	-0.4	0
chr1:7368917	10	1	10	10	1	1	1	-0.4	0
chr1:7368917	10	1	10	10	1	1	1	-0.4	0
chr1:7468697	10	1	10	10	1	1	1	-0.4	0
chr1:7468697	10	1	10	10	1	1	1	-0.4	0
chr1:7481748	10	1	10	10	1	1	1	-0.4	0
chr1:7535704	10	1	10	10	1	1	1	-0.4	0
