Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:6725205	10	1	10	10	1	1	1	-0.4	0
chr1:6726308	10	1	10	10	1	1	1	-0.4	0
chr1:6726886	10	1	10	10	1	1	1	-0.4	0
chr1:6729516	10	1	10	10	1	1	1	-0.4	0
chr1:6730000	10	1	10	10	1	1	1	-0.4	0
chr1:6730929	10	1	10	10	1	1	1	-0.4	0
chr1:6731878	10	1	10	10	1	1	1	-0.4	0
chr1:6732206	10	1	10	10	1	1	1	-0.4	0
chr1:6734097	10	1	10	10	1	1	1	-0.4	0
chr1:6737822	10	1	10	10	1	1	1	-0.4	0
chr1:6739537	10	1	10	10	1	1	1	-0.4	0
chr1:6740948	10	1	10	10	1	1	1	-0.4	0
chr1:14029707	10	1	10	10	1	1	1	-0.4	0
chr1:15082267	10	1	10	10	1	1	1	-0.4	0
chr1:15082853	10	1	10	10	1	1	1	-0.4	0
chr1:15083712	10	1	10	10	1	1	1	-0.4	0
chr1:15084449	10	1	10	10	1	1	1	-0.4	0
chr1:15084858	10	1	10	10	1	1	1	-0.4	0
chr1:15085690	10	1	10	10	1	1	1	-0.4	0
chr1:15094260	10	1	10	10	1	1	1	-0.4	0
chr2:1375	10	1	10	10	1	1	1	-0.4	0
chr2:3430	10	1	10	10	1	1	1	-0.4	0
chr2:10016	10	1	10	10	1	1	1	-0.4	0
chr2:3264197	10	1	10	10	1	1	1	-0.4	0
chr2:3272137	10	1	10	10	1	1	1	-0.4	0
chr2:3275822	10	1	10	10	1	1	1	-0.4	0
chr2:3281737	10	1	10	10	1	1	1	-0.4	0
chr2:3283620	10	1	10	10	1	1	1	-0.4	0
chr2:3314075	10	1	10	10	1	1	1	-0.4	0
chr2:3324539	10	1	10	10	1	1	1	-0.4	0
chr2:3330999	10	1	10	10	1	1	1	-0.4	0
chr2:3332386	10	1	10	10	1	1	1	-0.4	0
chr2:3334496	10	1	10	10	1	1	1	-0.4	0
chr2:3335046	10	1	10	10	1	1	1	-0.4	0
chr2:3335622	10	1	10	10	1	1	1	-0.4	0
chr2:3356844	10	1	10	10	1	1	1	-0.4	0
chr2:3364706	10	1	10	10	1	1	1	-0.4	0
chr2:3376836	10	1	10	10	1	1	1	-0.4	0
chr2:3377698	10	1	10	10	1	1	1	-0.4	0
chr2:3378121	10	1	10	10	1	1	1	-0.4	0
chr2:3394032	10	1	10	10	1	1	1	-0.4	0
chr2:3400244	10	1	10	10	1	1	1	-0.4	0
chr2:3406516	10	1	10	10	1	1	1	-0.4	0
chr2:3429060	10	1	10	10	1	1	1	-0.4	0
chr2:3438342	10	1	10	10	1	1	1	-0.4	0
chr2:3438680	10	1	10	10	1	1	1	-0.4	0
chr2:3459052	10	1	10	10	1	1	1	-0.4	0
chr2:3460418	10	1	10	10	1	1	1	-0.4	0
