Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:2564	10	1	10	10	1	1	1	-0.4	0
chr1:2564	10	1	10	10	1	1	1	-0.4	0
chr1:9656	10	1	10	10	1	1	1	-0.4	0
chr1:11226	10	1	10	10	1	1	1	-0.4	0
chr1:11226	10	1	10	10	1	1	1	-0.4	0
chr1:13138	10	1	10	10	1	1	1	-0.4	0
chr1:38036	10	1	10	10	1	1	1	-0.4	0
chr1:49971	10	1	10	10	1	1	1	-0.4	0
chr1:54901	10	1	10	10	1	1	1	-0.4	0
chr1:54901	10	1	10	10	1	1	1	-0.4	0
chr1:115806	10	1	10	10	1	1	1	-0.4	0
chr1:115806	10	1	10	10	1	1	1	-0.4	0
chr1:116848	10	1	10	10	1	1	1	-0.4	0
chr1:116848	10	1	10	10	1	1	1	-0.4	0
chr1:128737	10	1	10	10	1	1	1	-0.4	0
chr1:128737	10	1	10	10	1	1	1	-0.4	0
chr1:140434	10	1	10	10	1	1	1	-0.4	0
chr1:146379	10	1	10	10	1	1	1	-0.4	0
chr1:182531	10	1	10	10	1	1	1	-0.4	0
chr1:182531	10	1	10	10	1	1	1	-0.4	0
chr1:194946	10	1	10	10	1	1	1	-0.4	0
chr1:207719	10	1	10	10	1	1	1	-0.4	0
chr1:227716	10	1	10	10	1	1	1	-0.4	0
chr1:227716	10	1	10	10	1	1	1	-0.4	0
chr1:237800	10	1	10	10	1	1	1	-0.4	0
chr1:237800	10	1	10	10	1	1	1	-0.4	0
chr1:261734	10	1	10	10	1	1	1	-0.4	0
chr1:282518	10	1	10	10	1	1	1	-0.4	0
chr1:282518	10	1	10	10	1	1	1	-0.4	0
chr1:325213	10	1	10	10	1	1	1	-0.4	0
chr1:348920	10	1	10	10	1	1	1	-0.4	0
chr1:364293	10	1	10	10	1	1	1	-0.4	0
chr1:411742	10	1	10	10	1	1	1	-0.4	0
chr1:426733	10	1	10	10	1	1	1	-0.4	0
chr1:440446	10	1	10	10	1	1	1	-0.4	0
chr1:440446	10	1	10	10	1	1	1	-0.4	0
chr1:442854	10	1	10	10	1	1	1	-0.4	0
chr1:455701	10	1	10	10	1	1	1	-0.4	0
chr1:469328	10	1	10	10	1	1	1	-0.4	0
chr1:477054	10	1	10	10	1	1	1	-0.4	0
chr1:485714	10	1	10	10	1	1	1	-0.4	0
chr1:502081	10	1	10	10	1	1	1	-0.4	0
chr1:502081	10	1	10	10	1	1	1	-0.4	0
chr1:553826	10	1	10	10	1	1	1	-0.4	0
chr1:556660	10	1	10	10	1	1	1	-0.4	0
chr1:556660	10	1	10	10	1	1	1	-0.4	0
chr1:559816	10	1	10	10	1	1	1	-0.4	0
chr1:559816	10	1	10	10	1	1	1	-0.4	0
chr1:560773	10	1	10	10	1	1	1	-0.4	0
chr1:571983	10	1	10	10	1	1	1	-0.4	0
chr1:591193	10	1	10	10	1	1	1	-0.4	0
chr1:593405	10	1	10	10	1	1	1	-0.4	0
chr1:616677	10	1	10	10	1	1	1	-0.4	0
chr1:630210	10	1	10	10	1	1	1	-0.4	0
chr1:644784	10	1	10	10	1	1	1	-0.4	0
chr1:706644	10	1	10	10	1	1	1	-0.4	0
chr1:706644	10	1	10	10	1	1	1	-0.4	0
chr1:712103	10	1	10	10	1	1	1	-0.4	0
chr1:738574	10	1	10	10	1	1	1	-0.4	0
chr1:780289	10	1	10	10	1	1	1	-0.4	0
chr1:786585	10	1	10	10	1	1	1	-0.4	0
chr1:793072	10	1	10	10	1	1	1	-0.4	0
chr1:864501	10	1	10	10	1	1	1	-0.4	0
chr1:868218	10	1	10	10	1	1	1	-0.4	0
chr1:892886	10	1	10	10	1	1	1	-0.4	0
chr1:897120	10	1	10	10	1	1	1	-0.4	0
chr1:897120	10	1	10	10	1	1	1	-0.4	0
chr1:897344	10	1	10	10	1	1	1	-0.4	0
chr1:897344	10	1	10	10	1	1	1	-0.4	0
chr1:898408	10	1	10	10	1	1	1	-0.4	0
chr1:931821	10	1	10	10	1	1	1	-0.4	0
chr1:932231	10	1	10	10	1	1	1	-0.4	0
chr1:944638	10	1	10	10	1	1	1	-0.4	0
chr1:954273	10	1	10	10	1	1	1	-0.4	0
chr1:956654	10	1	10	10	1	1	1	-0.4	0
chr1:958134	10	1	10	10	1	1	1	-0.4	0
chr1:970506	10	1	10	10	1	1	1	-0.4	0
chr1:971128	10	1	10	10	1	1	1	-0.4	0
chr1:971128	10	1	10	10	1	1	1	-0.4	0
chr1:973866	10	1	10	10	1	1	1	-0.4	0
chr1:973866	10	1	10	10	1	1	1	-0.4	0
chr1:1000738	10	1	10	10	1	1	1	-0.4	0
chr1:1028296	10	1	10	10	1	1	1	-0.4	0
chr1:1036225	10	1	10	10	1	1	1	-0.4	0
chr1:1049952	10	1	10	10	1	1	1	-0.4	0
chr1:1064579	10	1	10	10	1	1	1	-0.4	0
chr1:1070990	10	1	10	10	1	1	1	-0.4	0
chr1:1070990	10	1	10	10	1	1	1	-0.4	0
chr1:1072511	10	1	10	10	1	1	1	-0.4	0
chr1:1072511	10	1	10	10	1	1	1	-0.4	0
chr1:1084687	10	1	10	10	1	1	1	-0.4	0
chr1:1129571	10	1	10	10	1	1	1	-0.4	0
chr1:1148407	10	1	10	10	1	1	1	-0.4	0
chr1:1154675	10	1	10	10	1	1	1	-0.4	0
chr1:1157846	10	1	10	10	1	1	1	-0.4	0
chr1:1159297	10	1	10	10	1	1	1	-0.4	0
chr1:1159297	10	1	10	10	1	1	1	-0.4	0
chr1:1162596	10	1	10	10	1	1	1	-0.4	0
chr1:1162596	10	1	10	10	1	1	1	-0.4	0
chr1:1188774	10	1	10	10	1	1	1	-0.4	0
chr1:1188774	10	1	10	10	1	1	1	-0.4	0
