Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:3148	10	1	10	10	1	1	1	-0.4	0
chr1:3148	10	1	10	10	1	1	1	-0.4	0
chr1:3601	10	1	10	10	1	1	1	-0.4	0
chr1:8746	10	1	10	10	1	1	1	-0.4	0
chr1:11239	10	1	10	10	1	1	1	-0.4	0
chr1:16749	10	1	10	10	1	1	1	-0.4	0
chr1:20966	10	1	10	10	1	1	1	-0.4	0
chr1:20966	10	1	10	10	1	1	1	-0.4	0
chr1:33617	10	1	10	10	1	1	1	-0.4	0
chr1:38078	10	1	10	10	1	1	1	-0.4	0
chr1:38078	10	1	10	10	1	1	1	-0.4	0
chr1:40226	10	1	10	10	1	1	1	-0.4	0
chr1:40226	10	1	10	10	1	1	1	-0.4	0
chr1:41774	10	1	10	10	1	1	1	-0.4	0
chr1:41774	10	1	10	10	1	1	1	-0.4	0
chr1:46855	10	1	10	10	1	1	1	-0.4	0
chr1:49967	10	1	10	10	1	1	1	-0.4	0
chr1:57178	10	1	10	10	1	1	1	-0.4	0
chr1:57178	10	1	10	10	1	1	1	-0.4	0
chr1:57919	10	1	10	10	1	1	1	-0.4	0
chr1:63964	10	1	10	10	1	1	1	-0.4	0
chr1:63964	10	1	10	10	1	1	1	-0.4	0
chr1:67850	10	1	10	10	1	1	1	-0.4	0
chr1:67850	10	1	10	10	1	1	1	-0.4	0
chr1:68487	10	1	10	10	1	1	1	-0.4	0
chr1:68487	10	1	10	10	1	1	1	-0.4	0
chr1:75446	10	1	10	10	1	1	1	-0.4	0
chr1:75446	10	1	10	10	1	1	1	-0.4	0
chr1:76195	10	1	10	10	1	1	1	-0.4	0
chr1:76427	10	1	10	10	1	1	1	-0.4	0
chr1:77828	10	1	10	10	1	1	1	-0.4	0
chr1:77828	10	1	10	10	1	1	1	-0.4	0
chr1:79305	10	1	10	10	1	1	1	-0.4	0
chr1:82252	10	1	10	10	1	1	1	-0.4	0
chr1:82252	10	1	10	10	1	1	1	-0.4	0
chr1:87246	10	1	10	10	1	1	1	-0.4	0
chr1:87246	10	1	10	10	1	1	1	-0.4	0
chr1:95710	10	1	10	10	1	1	1	-0.4	0
chr1:95710	10	1	10	10	1	1	1	-0.4	0
chr1:99808	10	1	10	10	1	1	1	-0.4	0
chr1:99808	10	1	10	10	1	1	1	-0.4	0
chr1:116888	10	1	10	10	1	1	1	-0.4	0
chr1:116888	10	1	10	10	1	1	1	-0.4	0
chr1:118525	10	1	10	10	1	1	1	-0.4	0
chr1:118525	10	1	10	10	1	1	1	-0.4	0
chr1:120857	10	1	10	10	1	1	1	-0.4	0
chr1:120857	10	1	10	10	1	1	1	-0.4	0
chr1:128648	10	1	10	10	1	1	1	-0.4	0
chr1:128648	10	1	10	10	1	1	1	-0.4	0
chr1:128896	10	1	10	10	1	1	1	-0.4	0
chr1:128896	10	1	10	10	1	1	1	-0.4	0
chr1:131235	10	1	10	10	1	1	1	-0.4	0
chr1:136062	10	1	10	10	1	1	1	-0.4	0
chr1:136062	10	1	10	10	1	1	1	-0.4	0
chr1:140509	10	1	10	10	1	1	1	-0.4	0
chr1:141444	10	1	10	10	1	1	1	-0.4	0
chr1:141444	10	1	10	10	1	1	1	-0.4	0
chr1:146288	10	1	10	10	1	1	1	-0.4	0
chr1:146288	10	1	10	10	1	1	1	-0.4	0
chr1:156720	10	1	10	10	1	1	1	-0.4	0
chr1:156720	10	1	10	10	1	1	1	-0.4	0
chr1:162749	10	1	10	10	1	1	1	-0.4	0
chr1:162749	10	1	10	10	1	1	1	-0.4	0
chr1:167420	10	1	10	10	1	1	1	-0.4	0
chr1:168026	10	1	10	10	1	1	1	-0.4	0
chr1:168026	10	1	10	10	1	1	1	-0.4	0
chr1:173230	10	1	10	10	1	1	1	-0.4	0
chr1:173230	10	1	10	10	1	1	1	-0.4	0
chr1:173569	10	1	10	10	1	1	1	-0.4	0
chr1:173569	10	1	10	10	1	1	1	-0.4	0
chr1:177040	10	1	10	10	1	1	1	-0.4	0
chr1:177040	10	1	10	10	1	1	1	-0.4	0
chr1:178994	10	1	10	10	1	1	1	-0.4	0
chr1:178994	10	1	10	10	1	1	1	-0.4	0
chr1:182424	10	1	10	10	1	1	1	-0.4	0
chr1:182424	10	1	10	10	1	1	1	-0.4	0
chr1:183451	10	1	10	10	1	1	1	-0.4	0
chr1:183451	10	1	10	10	1	1	1	-0.4	0
chr1:184931	10	1	10	10	1	1	1	-0.4	0
chr1:187012	10	1	10	10	1	1	1	-0.4	0
chr1:187012	10	1	10	10	1	1	1	-0.4	0
chr1:195750	10	1	10	10	1	1	1	-0.4	0
chr1:199610	10	1	10	10	1	1	1	-0.4	0
chr1:199610	10	1	10	10	1	1	1	-0.4	0
chr1:202138	10	1	10	10	1	1	1	-0.4	0
chr1:202138	10	1	10	10	1	1	1	-0.4	0
chr1:207096	10	1	10	10	1	1	1	-0.4	0
