Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr3:1799938	10	1	10	10	-1	109.24	1	-0.4	0
chr3:22303836	10	1	10	10	-1	109.06	1	-0.4	0
chr2:2082022	10	1	10	10	-1	108.56	1	-0.4	0
chr2:7398919	10	1	10	10	-1	108.56	1	-0.4	0
chr1:18693113	10	1	10	10	-1	107.94	1	-0.4	0
chr5:4722343	10	1	10	10	-1	107.84	1	-0.4	0
chr5:24476917	10	1	10	10	-1	107.18	1	-0.4	0
chr4:8344458	10	1	10	10	-1	106.18	1	-0.4	0
chr1:8130503	10	1	10	10	-1	106	1	-0.4	0
chr4:7646612	10	1	10	10	-1	105.48	1	-0.4	0
chr5:19835122	10	1	10	10	-1	105.26	1	-0.4	0
chr1:21732406	10	1	10	10	-1	104.41	1	-0.4	0
chr2:19491289	10	1	10	10	-1	104.37	1	-0.4	0
chr2:2272415	10	1	10	10	-1	104.27	1	-0.4	0
chr2:12004539	10	1	10	10	-1	104.15	1	-0.4	0
chr1:15936059	10	1	10	10	-1	104.04	1	-0.4	0
chr4:506658	10	1	10	10	-1	103.98	1	-0.4	0
chr1:27478838	10	1	10	10	-1	103.88	1	-0.4	0
chr2:7935007	10	1	10	10	-1	103.67	1	-0.4	0
chr1:30249361	10	1	10	10	-1	103.66	1	-0.4	0
chr5:2184030	10	1	10	10	-1	103.66	1	-0.4	0
chr4:16330326	10	1	10	10	-1	103.61	1	-0.4	0
chr3:19930758	10	1	10	10	-1	103.44	1	-0.4	0
chr2:15599957	10	1	10	10	-1	103.34	1	-0.4	0
chr5:5185703	10	1	10	10	-1	103.2	1	-0.4	0
chr5:8655061	10	1	10	10	-1	103.15	1	-0.4	0
chr3:7950955	10	1	10	10	-1	103.13	1	-0.4	0
chr5:25438164	10	1	10	10	-1	103.1	1	-0.4	0
chr3:9841814	10	1	10	10	-1	103.01	1	-0.4	0
chr2:14085582	10	1	10	10	-1	102.93	1	-0.4	0
chr3:18883499	10	1	10	10	-1	102.89	1	-0.4	0
chr4:13036582	10	1	10	10	-1	102.7	1	-0.4	0
chr4:13571649	10	1	10	10	-1	102.46	1	-0.4	0
chr1:20534778	10	1	10	10	-1	102.45	1	-0.4	0
chr2:16950525	10	1	10	10	-1	102.24	1	-0.4	0
chr3:6220550	10	1	10	10	-1	102.02	1	-0.4	0
chr2:15104605	10	1	10	10	-1	101.84	1	-0.4	0
chr4:880933	10	1	10	10	-1	100.53	1	-0.4	0
chr3:2901082	10	1	10	10	-1	100.52	1	-0.4	0
chr1:9408726	10	1	10	10	-1	100.34	1	-0.4	0
chr5:26872284	10	1	10	10	-1	100.34	1	-0.4	0
chr1:5532104	10	1	10	10	-1	100.33	1	-0.4	0
chr3:22150785	10	1	10	10	-1	100.24	1	-0.4	0
chr5:25910160	10	1	10	10	-1	100.16	1	-0.4	0
chr1:22598445	10	1	10	10	-1	100.15	1	-0.4	0
chr1:29496072	10	1	10	10	-1	100.13	1	-0.4	0
chr1:10840889	10	1	10	10	-1	100	1	-0.4	0
chr3:19121284	10	1	10	10	-1	100	1	-0.4	0
chr5:1792654	10	1	10	10	-1	99.82	1	-0.4	0
chr2:15644579	10	1	10	10	-1	99.75	1	-0.4	0
chr3:23089288	10	1	10	10	-1	99.66	1	-0.4	0
chr4:841007	10	1	10	10	-1	99.66	1	-0.4	0
chr1:10078159	10	1	10	10	-1	99.51	1	-0.4	0
chr1:27670443	10	1	10	10	-1	99.45	1	-0.4	0
chr3:19995927	10	1	10	10	-1	99.44	1	-0.4	0
chr1:24711739	10	1	10	10	-1	99.43	1	-0.4	0
chr5:5955835	10	1	10	10	-1	99.43	1	-0.4	0
chr3:9940942	10	1	10	10	-1	99.19	1	-0.4	0
chr3:15405862	10	1	10	10	-1	99.13	1	-0.4	0
chr4:18127113	10	1	10	10	-1	98.94	1	-0.4	0
chr3:18469741	10	1	10	10	-1	98.91	1	-0.4	0
chr4:9816306	10	1	10	10	-1	98.91	1	-0.4	0
chr3:16377271	10	1	10	10	-1	98.84	1	-0.4	0
chr2:7260409	10	1	10	10	-1	98.62	1	-0.4	0
chr1:4328802	10	1	10	10	-1	98.61	1	-0.4	0
chr5:571433	10	1	10	10	-1	98.6	1	-0.4	0
chr1:9352102	10	1	10	10	-1	98.58	1	-0.4	0
chr4:16574562	10	1	10	10	-1	98.58	1	-0.4	0
chr3:3555736	10	1	10	10	-1	98.42	1	-0.4	0
