Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:6620	10	1	10	10	1	1	1	-0.4	0
chr1:11263	10	1	10	10	1	1	1	-0.4	0
chr1:11263	10	1	10	10	1	1	1	-0.4	0
chr1:13686	10	1	10	10	1	1	1	-0.4	0
chr1:13686	10	1	10	10	1	1	1	-0.4	0
chr1:14936	10	1	10	10	1	1	1	-0.4	0
chr1:14936	10	1	10	10	1	1	1	-0.4	0
chr1:16714	10	1	10	10	1	1	1	-0.4	0
chr1:16714	10	1	10	10	1	1	1	-0.4	0
chr1:19420	10	1	10	10	1	1	1	-0.4	0
chr1:19420	10	1	10	10	1	1	1	-0.4	0
chr1:20635	10	1	10	10	1	1	1	-0.4	0
chr1:20635	10	1	10	10	1	1	1	-0.4	0
chr1:38034	10	1	10	10	1	1	1	-0.4	0
chr1:38034	10	1	10	10	1	1	1	-0.4	0
chr1:44933	10	1	10	10	1	1	1	-0.4	0
chr1:46789	10	1	10	10	1	1	1	-0.4	0
chr1:49951	10	1	10	10	1	1	1	-0.4	0
chr1:51420	10	1	10	10	1	1	1	-0.4	0
chr1:51420	10	1	10	10	1	1	1	-0.4	0
chr1:57174	10	1	10	10	1	1	1	-0.4	0
chr1:57174	10	1	10	10	1	1	1	-0.4	0
chr1:60076	10	1	10	10	1	1	1	-0.4	0
chr1:60076	10	1	10	10	1	1	1	-0.4	0
chr1:61330	10	1	10	10	1	1	1	-0.4	0
chr1:61330	10	1	10	10	1	1	1	-0.4	0
chr1:64074	10	1	10	10	1	1	1	-0.4	0
chr1:68372	10	1	10	10	1	1	1	-0.4	0
chr1:68372	10	1	10	10	1	1	1	-0.4	0
chr1:74163	10	1	10	10	1	1	1	-0.4	0
chr1:83424	10	1	10	10	1	1	1	-0.4	0
chr1:83424	10	1	10	10	1	1	1	-0.4	0
chr1:88651	10	1	10	10	1	1	1	-0.4	0
chr1:88651	10	1	10	10	1	1	1	-0.4	0
chr1:99696	10	1	10	10	1	1	1	-0.4	0
chr1:99696	10	1	10	10	1	1	1	-0.4	0
chr1:104230	10	1	10	10	1	1	1	-0.4	0
chr1:104230	10	1	10	10	1	1	1	-0.4	0
chr1:106412	10	1	10	10	1	1	1	-0.4	0
chr1:106412	10	1	10	10	1	1	1	-0.4	0
chr1:107879	10	1	10	10	1	1	1	-0.4	0
chr1:107879	10	1	10	10	1	1	1	-0.4	0
chr1:116242	10	1	10	10	1	1	1	-0.4	0
chr1:116242	10	1	10	10	1	1	1	-0.4	0
chr1:118571	10	1	10	10	1	1	1	-0.4	0
chr1:120850	10	1	10	10	1	1	1	-0.4	0
chr1:120850	10	1	10	10	1	1	1	-0.4	0
chr1:124710	10	1	10	10	1	1	1	-0.4	0
chr1:129051	10	1	10	10	1	1	1	-0.4	0
chr1:131246	10	1	10	10	1	1	1	-0.4	0
chr1:131246	10	1	10	10	1	1	1	-0.4	0
chr1:135853	10	1	10	10	1	1	1	-0.4	0
chr1:146270	10	1	10	10	1	1	1	-0.4	0
chr1:146270	10	1	10	10	1	1	1	-0.4	0
chr1:149960	10	1	10	10	1	1	1	-0.4	0
chr1:149960	10	1	10	10	1	1	1	-0.4	0
chr1:156600	10	1	10	10	1	1	1	-0.4	0
chr1:156600	10	1	10	10	1	1	1	-0.4	0
chr1:159088	10	1	10	10	1	1	1	-0.4	0
chr1:159510	10	1	10	10	1	1	1	-0.4	0
chr1:159510	10	1	10	10	1	1	1	-0.4	0
chr1:167974	10	1	10	10	1	1	1	-0.4	0
chr1:167974	10	1	10	10	1	1	1	-0.4	0
chr1:175803	10	1	10	10	1	1	1	-0.4	0
chr1:182534	10	1	10	10	1	1	1	-0.4	0
chr1:182534	10	1	10	10	1	1	1	-0.4	0
chr1:183494	10	1	10	10	1	1	1	-0.4	0
chr1:183494	10	1	10	10	1	1	1	-0.4	0
chr1:194932	10	1	10	10	1	1	1	-0.4	0
chr1:196940	10	1	10	10	1	1	1	-0.4	0
chr1:196940	10	1	10	10	1	1	1	-0.4	0
chr1:198664	10	1	10	10	1	1	1	-0.4	0
chr1:198664	10	1	10	10	1	1	1	-0.4	0
chr1:201366	10	1	10	10	1	1	1	-0.4	0
chr1:206826	10	1	10	10	1	1	1	-0.4	0
chr1:206826	10	1	10	10	1	1	1	-0.4	0
chr1:210672	10	1	10	10	1	1	1	-0.4	0
chr1:212740	10	1	10	10	1	1	1	-0.4	0
chr1:212740	10	1	10	10	1	1	1	-0.4	0
chr1:218804	10	1	10	10	1	1	1	-0.4	0
chr1:218804	10	1	10	10	1	1	1	-0.4	0
chr1:226172	10	1	10	10	1	1	1	-0.4	0
chr1:226172	10	1	10	10	1	1	1	-0.4	0
chr1:228395	10	1	10	10	1	1	1	-0.4	0
chr1:228395	10	1	10	10	1	1	1	-0.4	0
chr1:268138	10	1	10	10	1	1	1	-0.4	0
chr1:268138	10	1	10	10	1	1	1	-0.4	0
chr1:269094	10	1	10	10	1	1	1	-0.4	0
chr1:269876	10	1	10	10	1	1	1	-0.4	0
chr1:282524	10	1	10	10	1	1	1	-0.4	0
chr1:282524	10	1	10	10	1	1	1	-0.4	0
chr1:291650	10	1	10	10	1	1	1	-0.4	0
chr1:291650	10	1	10	10	1	1	1	-0.4	0
chr1:302782	10	1	10	10	1	1	1	-0.4	0
chr1:302782	10	1	10	10	1	1	1	-0.4	0
chr1:309965	10	1	10	10	1	1	1	-0.4	0
chr1:309965	10	1	10	10	1	1	1	-0.4	0
chr1:325162	10	1	10	10	1	1	1	-0.4	0
chr1:325162	10	1	10	10	1	1	1	-0.4	0
chr1:363528	10	1	10	10	1	1	1	-0.4	0
chr1:363528	10	1	10	10	1	1	1	-0.4	0
chr1:364284	10	1	10	10	1	1	1	-0.4	0
chr1:364284	10	1	10	10	1	1	1	-0.4	0
chr1:367943	10	1	10	10	1	1	1	-0.4	0
chr1:367943	10	1	10	10	1	1	1	-0.4	0
chr1:368302	10	1	10	10	1	1	1	-0.4	0
chr1:368302	10	1	10	10	1	1	1	-0.4	0
chr1:369929	10	1	10	10	1	1	1	-0.4	0
chr1:369929	10	1	10	10	1	1	1	-0.4	0
chr1:395584	10	1	10	10	1	1	1	-0.4	0
chr1:414651	10	1	10	10	1	1	1	-0.4	0
chr1:414651	10	1	10	10	1	1	1	-0.4	0
chr1:418164	10	1	10	10	1	1	1	-0.4	0
chr1:418164	10	1	10	10	1	1	1	-0.4	0
chr1:420194	10	1	10	10	1	1	1	-0.4	0
chr1:420194	10	1	10	10	1	1	1	-0.4	0
chr1:422111	10	1	10	10	1	1	1	-0.4	0
chr1:426630	10	1	10	10	1	1	1	-0.4	0
chr1:426630	10	1	10	10	1	1	1	-0.4	0
chr1:431112	10	1	10	10	1	1	1	-0.4	0
chr1:431112	10	1	10	10	1	1	1	-0.4	0
chr1:437078	10	1	10	10	1	1	1	-0.4	0
chr1:465579	10	1	10	10	1	1	1	-0.4	0
chr1:465579	10	1	10	10	1	1	1	-0.4	0
chr1:467723	10	1	10	10	1	1	1	-0.4	0
chr1:467723	10	1	10	10	1	1	1	-0.4	0
chr1:468980	10	1	10	10	1	1	1	-0.4	0
chr1:468980	10	1	10	10	1	1	1	-0.4	0
chr1:471556	10	1	10	10	1	1	1	-0.4	0
chr1:471556	10	1	10	10	1	1	1	-0.4	0
chr1:476650	10	1	10	10	1	1	1	-0.4	0
chr1:476650	10	1	10	10	1	1	1	-0.4	0
chr1:482441	10	1	10	10	1	1	1	-0.4	0
chr1:483482	10	1	10	10	1	1	1	-0.4	0
chr1:485234	10	1	10	10	1	1	1	-0.4	0
chr1:485722	10	1	10	10	1	1	1	-0.4	0
chr1:486717	10	1	10	10	1	1	1	-0.4	0
chr1:488586	10	1	10	10	1	1	1	-0.4	0
chr1:498544	10	1	10	10	1	1	1	-0.4	0
chr1:506509	10	1	10	10	1	1	1	-0.4	0
chr1:518052	10	1	10	10	1	1	1	-0.4	0
chr1:518052	10	1	10	10	1	1	1	-0.4	0
chr1:522034	10	1	10	10	1	1	1	-0.4	0
chr1:541097	10	1	10	10	1	1	1	-0.4	0
chr1:559808	10	1	10	10	1	1	1	-0.4	0
chr1:559808	10	1	10	10	1	1	1	-0.4	0
chr1:564731	10	1	10	10	1	1	1	-0.4	0
chr1:564731	10	1	10	10	1	1	1	-0.4	0
chr1:566184	10	1	10	10	1	1	1	-0.4	0
chr1:567020	10	1	10	10	1	1	1	-0.4	0
chr1:567020	10	1	10	10	1	1	1	-0.4	0
chr1:575557	10	1	10	10	1	1	1	-0.4	0
chr1:575557	10	1	10	10	1	1	1	-0.4	0
chr1:582360	10	1	10	10	1	1	1	-0.4	0
chr1:607720	10	1	10	10	1	1	1	-0.4	0
chr1:607720	10	1	10	10	1	1	1	-0.4	0
chr1:614746	10	1	10	10	1	1	1	-0.4	0
chr1:620563	10	1	10	10	1	1	1	-0.4	0
chr1:620563	10	1	10	10	1	1	1	-0.4	0
chr1:630328	10	1	10	10	1	1	1	-0.4	0
chr1:630328	10	1	10	10	1	1	1	-0.4	0
chr1:641462	10	1	10	10	1	1	1	-0.4	0
chr1:641462	10	1	10	10	1	1	1	-0.4	0
chr1:644708	10	1	10	10	1	1	1	-0.4	0
chr1:692890	10	1	10	10	1	1	1	-0.4	0
chr1:692890	10	1	10	10	1	1	1	-0.4	0
chr1:704922	10	1	10	10	1	1	1	-0.4	0
chr1:754214	10	1	10	10	1	1	1	-0.4	0
chr1:767076	10	1	10	10	1	1	1	-0.4	0
chr1:767076	10	1	10	10	1	1	1	-0.4	0
chr1:768006	10	1	10	10	1	1	1	-0.4	0
chr1:786642	10	1	10	10	1	1	1	-0.4	0
chr1:786642	10	1	10	10	1	1	1	-0.4	0
chr1:799087	10	1	10	10	1	1	1	-0.4	0
chr1:799087	10	1	10	10	1	1	1	-0.4	0
chr1:807197	10	1	10	10	1	1	1	-0.4	0
chr1:807197	10	1	10	10	1	1	1	-0.4	0
chr1:817535	10	1	10	10	1	1	1	-0.4	0
chr1:817535	10	1	10	10	1	1	1	-0.4	0
chr1:847776	10	1	10	10	1	1	1	-0.4	0
chr1:850734	10	1	10	10	1	1	1	-0.4	0
chr1:850734	10	1	10	10	1	1	1	-0.4	0
chr1:853801	10	1	10	10	1	1	1	-0.4	0
chr1:853801	10	1	10	10	1	1	1	-0.4	0
chr1:868224	10	1	10	10	1	1	1	-0.4	0
chr1:868224	10	1	10	10	1	1	1	-0.4	0
chr1:877765	10	1	10	10	1	1	1	-0.4	0
chr1:877765	10	1	10	10	1	1	1	-0.4	0
chr1:892524	10	1	10	10	1	1	1	-0.4	0
chr1:892524	10	1	10	10	1	1	1	-0.4	0
chr1:897814	10	1	10	10	1	1	1	-0.4	0
chr1:897814	10	1	10	10	1	1	1	-0.4	0
chr1:899964	10	1	10	10	1	1	1	-0.4	0
chr1:899964	10	1	10	10	1	1	1	-0.4	0
chr1:902548	10	1	10	10	1	1	1	-0.4	0
chr1:909992	10	1	10	10	1	1	1	-0.4	0
chr1:936760	10	1	10	10	1	1	1	-0.4	0
chr1:968937	10	1	10	10	1	1	1	-0.4	0
chr1:979085	10	1	10	10	1	1	1	-0.4	0
chr1:979085	10	1	10	10	1	1	1	-0.4	0
chr1:993376	10	1	10	10	1	1	1	-0.4	0
chr1:1028474	10	1	10	10	1	1	1	-0.4	0
chr1:1028474	10	1	10	10	1	1	1	-0.4	0
chr1:1030704	10	1	10	10	1	1	1	-0.4	0
chr1:1030704	10	1	10	10	1	1	1	-0.4	0
chr1:1036214	10	1	10	10	1	1	1	-0.4	0
chr1:1036214	10	1	10	10	1	1	1	-0.4	0
chr1:1050105	10	1	10	10	1	1	1	-0.4	0
chr1:1073038	10	1	10	10	1	1	1	-0.4	0
chr1:1073038	10	1	10	10	1	1	1	-0.4	0
chr1:1080957	10	1	10	10	1	1	1	-0.4	0
chr1:1080957	10	1	10	10	1	1	1	-0.4	0
chr1:1084737	10	1	10	10	1	1	1	-0.4	0
chr1:1084737	10	1	10	10	1	1	1	-0.4	0
chr1:1103318	10	1	10	10	1	1	1	-0.4	0
chr1:1103318	10	1	10	10	1	1	1	-0.4	0
chr1:1104048	10	1	10	10	1	1	1	-0.4	0
chr1:1104048	10	1	10	10	1	1	1	-0.4	0
chr1:1121399	10	1	10	10	1	1	1	-0.4	0
chr1:1123322	10	1	10	10	1	1	1	-0.4	0
chr1:1123322	10	1	10	10	1	1	1	-0.4	0
chr1:1129603	10	1	10	10	1	1	1	-0.4	0
chr1:1129603	10	1	10	10	1	1	1	-0.4	0
chr1:1130750	10	1	10	10	1	1	1	-0.4	0
chr1:1131878	10	1	10	10	1	1	1	-0.4	0
chr1:1131878	10	1	10	10	1	1	1	-0.4	0
chr1:1134036	10	1	10	10	1	1	1	-0.4	0
chr1:1134036	10	1	10	10	1	1	1	-0.4	0
chr1:1143998	10	1	10	10	1	1	1	-0.4	0
chr1:1143998	10	1	10	10	1	1	1	-0.4	0
chr1:1145219	10	1	10	10	1	1	1	-0.4	0
chr1:1145898	10	1	10	10	1	1	1	-0.4	0
chr1:1169628	10	1	10	10	1	1	1	-0.4	0
chr1:1171674	10	1	10	10	1	1	1	-0.4	0
chr1:1171674	10	1	10	10	1	1	1	-0.4	0
chr1:1174351	10	1	10	10	1	1	1	-0.4	0
chr1:1174351	10	1	10	10	1	1	1	-0.4	0
chr1:1176603	10	1	10	10	1	1	1	-0.4	0
chr1:1188576	10	1	10	10	1	1	1	-0.4	0
chr1:1188576	10	1	10	10	1	1	1	-0.4	0
chr1:1215726	10	1	10	10	1	1	1	-0.4	0
chr1:1224626	10	1	10	10	1	1	1	-0.4	0
chr1:1224626	10	1	10	10	1	1	1	-0.4	0
chr1:1225644	10	1	10	10	1	1	1	-0.4	0
chr1:1225644	10	1	10	10	1	1	1	-0.4	0
chr1:1236456	10	1	10	10	1	1	1	-0.4	0
chr1:1236456	10	1	10	10	1	1	1	-0.4	0
chr1:1249005	10	1	10	10	1	1	1	-0.4	0
chr1:1274197	10	1	10	10	1	1	1	-0.4	0
chr1:1310484	10	1	10	10	1	1	1	-0.4	0
chr1:1313883	10	1	10	10	1	1	1	-0.4	0
