Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr2:16051738	10	1	10	10	-1	72.76	1	-0.4	0
chr5:1608465	10	1	10	10	-1	68.46	1	-0.4	0
chr2:17269208	10	1	10	10	-1	63.08	1	-0.4	0
chr1:18927768	10	1	10	10	-1	62.74	1	-0.4	0
chr3:3923493	10	1	10	10	-1	57.69	1	-0.4	0
chr5:6684651	10	1	10	10	-1	55.71	1	-0.4	0
chr4:9930484	10	1	10	10	-1	53.24	1	-0.4	0
chr2:254066	10	1	10	10	-1	52.13	1	-0.4	0
chr5:18982496	10	1	10	10	-1	52.13	1	-0.4	0
chr4:7355247	10	1	10	10	-1	50.71	1	-0.4	0
chr1:18946226	10	1	10	10	-1	49.34	1	-0.4	0
chr2:8164124	10	1	10	10	-1	49.07	1	-0.4	0
chr1:18886390	10	1	10	10	-1	47.18	1	-0.4	0
chr5:817628	10	1	10	10	-1	46.09	1	-0.4	0
chr4:15877380	10	1	10	10	-1	45.29	1	-0.4	0
chr1:21030763	10	1	10	10	-1	44.79	1	-0.4	0
chr1:21364736	10	1	10	10	-1	44.02	1	-0.4	0
chr3:17182775	10	1	10	10	-1	43.42	1	-0.4	0
chr3:6565281	10	1	10	10	-1	43.36	1	-0.4	0
chr4:11604800	10	1	10	10	-1	43.04	1	-0.4	0
chr2:16843603	10	1	10	10	-1	42.95	1	-0.4	0
chr5:24066244	10	1	10	10	-1	42.95	1	-0.4	0
chr4:525351	10	1	10	10	-1	42.71	1	-0.4	0
chr3:21009009	10	1	10	10	-1	42.64	1	-0.4	0
chr2:17934517	10	1	10	10	-1	42.63	1	-0.4	0
chr3:387504	10	1	10	10	-1	41.6	1	-0.4	0
chr5:24908368	10	1	10	10	-1	41.52	1	-0.4	0
chr5:2167388	10	1	10	10	-1	40.37	1	-0.4	0
chr2:18981461	10	1	10	10	-1	39.92	1	-0.4	0
chr4:2717722	10	1	10	10	-1	39.9	1	-0.4	0
chr1:20670629	10	1	10	10	-1	39.82	1	-0.4	0
chr5:3051939	10	1	10	10	-1	39.24	1	-0.4	0
chr4:11405217	10	1	10	10	-1	39.07	1	-0.4	0
chr2:10043924	10	1	10	10	-1	38.06	1	-0.4	0
chr3:8623283	10	1	10	10	-1	38.04	1	-0.4	0
chr2:17163690	10	1	10	10	-1	37.89	1	-0.4	0
chr1:27647135	10	1	10	10	-1	37.72	1	-0.4	0
chr5:19173824	10	1	10	10	-1	37.27	1	-0.4	0
chr1:25752499	10	1	10	10	-1	37.07	1	-0.4	0
chr3:9866095	10	1	10	10	-1	37.01	1	-0.4	0
chr3:19265933	10	1	10	10	-1	36.88	1	-0.4	0
chr1:25879095	10	1	10	10	-1	36.49	1	-0.4	0
chr3:3725788	10	1	10	10	-1	36.28	1	-0.4	0
chr3:9143792	10	1	10	10	-1	36.28	1	-0.4	0
chr5:5509564	10	1	10	10	-1	36.21	1	-0.4	0
chr1:1028435	10	1	10	10	-1	35.89	1	-0.4	0
