Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:6633	10	1	10	10	1	1	1	-0.4	0
chr1:11276	10	1	10	10	1	1	1	-0.4	0
chr1:11276	10	1	10	10	1	1	1	-0.4	0
chr1:11276	10	1	10	10	1	1	1	-0.4	0
chr1:13730	10	1	10	10	1	1	1	-0.4	0
chr1:13730	10	1	10	10	1	1	1	-0.4	0
chr1:13730	10	1	10	10	1	1	1	-0.4	0
chr1:14951	10	1	10	10	1	1	1	-0.4	0
chr1:14951	10	1	10	10	1	1	1	-0.4	0
chr1:14951	10	1	10	10	1	1	1	-0.4	0
chr1:16720	10	1	10	10	1	1	1	-0.4	0
chr1:16720	10	1	10	10	1	1	1	-0.4	0
chr1:16720	10	1	10	10	1	1	1	-0.4	0
chr1:19351	10	1	10	10	1	1	1	-0.4	0
chr1:19351	10	1	10	10	1	1	1	-0.4	0
chr1:20668	10	1	10	10	1	1	1	-0.4	0
chr1:20668	10	1	10	10	1	1	1	-0.4	0
chr1:20668	10	1	10	10	1	1	1	-0.4	0
chr1:38029	10	1	10	10	1	1	1	-0.4	0
chr1:38029	10	1	10	10	1	1	1	-0.4	0
chr1:38029	10	1	10	10	1	1	1	-0.4	0
chr1:46747	10	1	10	10	1	1	1	-0.4	0
chr1:49900	10	1	10	10	1	1	1	-0.4	0
chr1:51411	10	1	10	10	1	1	1	-0.4	0
chr1:51411	10	1	10	10	1	1	1	-0.4	0
chr1:51411	10	1	10	10	1	1	1	-0.4	0
chr1:57090	10	1	10	10	1	1	1	-0.4	0
chr1:60837	10	1	10	10	1	1	1	-0.4	0
chr1:61338	10	1	10	10	1	1	1	-0.4	0
chr1:61338	10	1	10	10	1	1	1	-0.4	0
chr1:68410	10	1	10	10	1	1	1	-0.4	0
chr1:68410	10	1	10	10	1	1	1	-0.4	0
chr1:68410	10	1	10	10	1	1	1	-0.4	0
chr1:83446	10	1	10	10	1	1	1	-0.4	0
chr1:83446	10	1	10	10	1	1	1	-0.4	0
chr1:83446	10	1	10	10	1	1	1	-0.4	0
chr1:99671	10	1	10	10	1	1	1	-0.4	0
chr1:99671	10	1	10	10	1	1	1	-0.4	0
chr1:99671	10	1	10	10	1	1	1	-0.4	0
chr1:104161	10	1	10	10	1	1	1	-0.4	0
chr1:104161	10	1	10	10	1	1	1	-0.4	0
chr1:104161	10	1	10	10	1	1	1	-0.4	0
chr1:106402	10	1	10	10	1	1	1	-0.4	0
chr1:106402	10	1	10	10	1	1	1	-0.4	0
chr1:106402	10	1	10	10	1	1	1	-0.4	0
chr1:107868	10	1	10	10	1	1	1	-0.4	0
chr1:107868	10	1	10	10	1	1	1	-0.4	0
chr1:107868	10	1	10	10	1	1	1	-0.4	0
chr1:116257	10	1	10	10	1	1	1	-0.4	0
chr1:116257	10	1	10	10	1	1	1	-0.4	0
chr1:116257	10	1	10	10	1	1	1	-0.4	0
chr1:118569	10	1	10	10	1	1	1	-0.4	0
chr1:120859	10	1	10	10	1	1	1	-0.4	0
chr1:120859	10	1	10	10	1	1	1	-0.4	0
chr1:120859	10	1	10	10	1	1	1	-0.4	0
chr1:124812	10	1	10	10	1	1	1	-0.4	0
chr1:128861	10	1	10	10	1	1	1	-0.4	0
chr1:131260	10	1	10	10	1	1	1	-0.4	0
chr1:131260	10	1	10	10	1	1	1	-0.4	0
chr1:131260	10	1	10	10	1	1	1	-0.4	0
chr1:135821	10	1	10	10	1	1	1	-0.4	0
chr1:135821	10	1	10	10	1	1	1	-0.4	0
chr1:146278	10	1	10	10	1	1	1	-0.4	0
chr1:146278	10	1	10	10	1	1	1	-0.4	0
chr1:146278	10	1	10	10	1	1	1	-0.4	0
chr1:147893	10	1	10	10	1	1	1	-0.4	0
chr1:149958	10	1	10	10	1	1	1	-0.4	0
chr1:149958	10	1	10	10	1	1	1	-0.4	0
chr1:149958	10	1	10	10	1	1	1	-0.4	0
chr1:156600	10	1	10	10	1	1	1	-0.4	0
chr1:156600	10	1	10	10	1	1	1	-0.4	0
chr1:156600	10	1	10	10	1	1	1	-0.4	0
chr1:159516	10	1	10	10	1	1	1	-0.4	0
chr1:159516	10	1	10	10	1	1	1	-0.4	0
chr1:167232	10	1	10	10	1	1	1	-0.4	0
chr1:167947	10	1	10	10	1	1	1	-0.4	0
chr1:182505	10	1	10	10	1	1	1	-0.4	0
chr1:182505	10	1	10	10	1	1	1	-0.4	0
chr1:182505	10	1	10	10	1	1	1	-0.4	0
chr1:183484	10	1	10	10	1	1	1	-0.4	0
chr1:183484	10	1	10	10	1	1	1	-0.4	0
chr1:183484	10	1	10	10	1	1	1	-0.4	0
chr1:194966	10	1	10	10	1	1	1	-0.4	0
chr1:196918	10	1	10	10	1	1	1	-0.4	0
chr1:196918	10	1	10	10	1	1	1	-0.4	0
chr1:196918	10	1	10	10	1	1	1	-0.4	0
chr1:198657	10	1	10	10	1	1	1	-0.4	0
chr1:198657	10	1	10	10	1	1	1	-0.4	0
chr1:198657	10	1	10	10	1	1	1	-0.4	0
chr1:199656	10	1	10	10	1	1	1	-0.4	0
chr1:201087	10	1	10	10	1	1	1	-0.4	0
chr1:206826	10	1	10	10	1	1	1	-0.4	0
chr1:206826	10	1	10	10	1	1	1	-0.4	0
chr1:206826	10	1	10	10	1	1	1	-0.4	0
chr1:207066	10	1	10	10	1	1	1	-0.4	0
chr1:207066	10	1	10	10	1	1	1	-0.4	0
chr1:207066	10	1	10	10	1	1	1	-0.4	0
chr1:207066	10	1	10	10	1	1	1	-0.4	0
chr1:210654	10	1	10	10	1	1	1	-0.4	0
chr1:212768	10	1	10	10	1	1	1	-0.4	0
chr1:212768	10	1	10	10	1	1	1	-0.4	0
chr1:212768	10	1	10	10	1	1	1	-0.4	0
chr1:218853	10	1	10	10	1	1	1	-0.4	0
chr1:218853	10	1	10	10	1	1	1	-0.4	0
chr1:218853	10	1	10	10	1	1	1	-0.4	0
chr1:226174	10	1	10	10	1	1	1	-0.4	0
chr1:226174	10	1	10	10	1	1	1	-0.4	0
chr1:226174	10	1	10	10	1	1	1	-0.4	0
chr1:228383	10	1	10	10	1	1	1	-0.4	0
chr1:228383	10	1	10	10	1	1	1	-0.4	0
chr1:228383	10	1	10	10	1	1	1	-0.4	0
chr1:228820	10	1	10	10	1	1	1	-0.4	0
chr1:228820	10	1	10	10	1	1	1	-0.4	0
chr1:228820	10	1	10	10	1	1	1	-0.4	0
chr1:268124	10	1	10	10	1	1	1	-0.4	0
chr1:268124	10	1	10	10	1	1	1	-0.4	0
chr1:268124	10	1	10	10	1	1	1	-0.4	0
chr1:269185	10	1	10	10	1	1	1	-0.4	0
chr1:269185	10	1	10	10	1	1	1	-0.4	0
chr1:269850	10	1	10	10	1	1	1	-0.4	0
chr1:269850	10	1	10	10	1	1	1	-0.4	0
chr1:282522	10	1	10	10	1	1	1	-0.4	0
chr1:282522	10	1	10	10	1	1	1	-0.4	0
chr1:282522	10	1	10	10	1	1	1	-0.4	0
chr1:291647	10	1	10	10	1	1	1	-0.4	0
chr1:291647	10	1	10	10	1	1	1	-0.4	0
chr1:291647	10	1	10	10	1	1	1	-0.4	0
chr1:309955	10	1	10	10	1	1	1	-0.4	0
chr1:309955	10	1	10	10	1	1	1	-0.4	0
chr1:309955	10	1	10	10	1	1	1	-0.4	0
chr1:325180	10	1	10	10	1	1	1	-0.4	0
chr1:325180	10	1	10	10	1	1	1	-0.4	0
chr1:325180	10	1	10	10	1	1	1	-0.4	0
chr1:348509	10	1	10	10	1	1	1	-0.4	0
chr1:363582	10	1	10	10	1	1	1	-0.4	0
chr1:363582	10	1	10	10	1	1	1	-0.4	0
chr1:363582	10	1	10	10	1	1	1	-0.4	0
chr1:364244	10	1	10	10	1	1	1	-0.4	0
chr1:364244	10	1	10	10	1	1	1	-0.4	0
chr1:364244	10	1	10	10	1	1	1	-0.4	0
chr1:368288	10	1	10	10	1	1	1	-0.4	0
chr1:368288	10	1	10	10	1	1	1	-0.4	0
chr1:368288	10	1	10	10	1	1	1	-0.4	0
chr1:369941	10	1	10	10	1	1	1	-0.4	0
chr1:369941	10	1	10	10	1	1	1	-0.4	0
chr1:369941	10	1	10	10	1	1	1	-0.4	0
chr1:395622	10	1	10	10	1	1	1	-0.4	0
chr1:414697	10	1	10	10	1	1	1	-0.4	0
chr1:414697	10	1	10	10	1	1	1	-0.4	0
chr1:414697	10	1	10	10	1	1	1	-0.4	0
chr1:418195	10	1	10	10	1	1	1	-0.4	0
chr1:418195	10	1	10	10	1	1	1	-0.4	0
chr1:418195	10	1	10	10	1	1	1	-0.4	0
chr1:420212	10	1	10	10	1	1	1	-0.4	0
chr1:420212	10	1	10	10	1	1	1	-0.4	0
chr1:420212	10	1	10	10	1	1	1	-0.4	0
chr1:426638	10	1	10	10	1	1	1	-0.4	0
chr1:426638	10	1	10	10	1	1	1	-0.4	0
chr1:426638	10	1	10	10	1	1	1	-0.4	0
chr1:431103	10	1	10	10	1	1	1	-0.4	0
chr1:431103	10	1	10	10	1	1	1	-0.4	0
chr1:437076	10	1	10	10	1	1	1	-0.4	0
chr1:437076	10	1	10	10	1	1	1	-0.4	0
chr1:437076	10	1	10	10	1	1	1	-0.4	0
chr1:465575	10	1	10	10	1	1	1	-0.4	0
chr1:465575	10	1	10	10	1	1	1	-0.4	0
chr1:465575	10	1	10	10	1	1	1	-0.4	0
chr1:467786	10	1	10	10	1	1	1	-0.4	0
chr1:467786	10	1	10	10	1	1	1	-0.4	0
chr1:468967	10	1	10	10	1	1	1	-0.4	0
chr1:468967	10	1	10	10	1	1	1	-0.4	0
chr1:468967	10	1	10	10	1	1	1	-0.4	0
chr1:471573	10	1	10	10	1	1	1	-0.4	0
chr1:471573	10	1	10	10	1	1	1	-0.4	0
chr1:471573	10	1	10	10	1	1	1	-0.4	0
chr1:472623	10	1	10	10	1	1	1	-0.4	0
chr1:476632	10	1	10	10	1	1	1	-0.4	0
chr1:476632	10	1	10	10	1	1	1	-0.4	0
chr1:476632	10	1	10	10	1	1	1	-0.4	0
chr1:485191	10	1	10	10	1	1	1	-0.4	0
chr1:486715	10	1	10	10	1	1	1	-0.4	0
chr1:498619	10	1	10	10	1	1	1	-0.4	0
chr1:505548	10	1	10	10	1	1	1	-0.4	0
chr1:506488	10	1	10	10	1	1	1	-0.4	0
chr1:506488	10	1	10	10	1	1	1	-0.4	0
chr1:518060	10	1	10	10	1	1	1	-0.4	0
chr1:518060	10	1	10	10	1	1	1	-0.4	0
chr1:518060	10	1	10	10	1	1	1	-0.4	0
chr1:522011	10	1	10	10	1	1	1	-0.4	0
chr1:522011	10	1	10	10	1	1	1	-0.4	0
chr1:559790	10	1	10	10	1	1	1	-0.4	0
chr1:559790	10	1	10	10	1	1	1	-0.4	0
chr1:559790	10	1	10	10	1	1	1	-0.4	0
chr1:563023	10	1	10	10	1	1	1	-0.4	0
chr1:564706	10	1	10	10	1	1	1	-0.4	0
chr1:564706	10	1	10	10	1	1	1	-0.4	0
chr1:566993	10	1	10	10	1	1	1	-0.4	0
chr1:575576	10	1	10	10	1	1	1	-0.4	0
chr1:575576	10	1	10	10	1	1	1	-0.4	0
chr1:593568	10	1	10	10	1	1	1	-0.4	0
chr1:607714	10	1	10	10	1	1	1	-0.4	0
chr1:607714	10	1	10	10	1	1	1	-0.4	0
chr1:607714	10	1	10	10	1	1	1	-0.4	0
chr1:616676	10	1	10	10	1	1	1	-0.4	0
chr1:620540	10	1	10	10	1	1	1	-0.4	0
chr1:620540	10	1	10	10	1	1	1	-0.4	0
chr1:620540	10	1	10	10	1	1	1	-0.4	0
chr1:630347	10	1	10	10	1	1	1	-0.4	0
chr1:644731	10	1	10	10	1	1	1	-0.4	0
chr1:644731	10	1	10	10	1	1	1	-0.4	0
chr1:692910	10	1	10	10	1	1	1	-0.4	0
chr1:692910	10	1	10	10	1	1	1	-0.4	0
chr1:692910	10	1	10	10	1	1	1	-0.4	0
chr1:704779	10	1	10	10	1	1	1	-0.4	0
chr1:754194	10	1	10	10	1	1	1	-0.4	0
chr1:767054	10	1	10	10	1	1	1	-0.4	0
chr1:767054	10	1	10	10	1	1	1	-0.4	0
chr1:767054	10	1	10	10	1	1	1	-0.4	0
chr1:786608	10	1	10	10	1	1	1	-0.4	0
chr1:786608	10	1	10	10	1	1	1	-0.4	0
chr1:799078	10	1	10	10	1	1	1	-0.4	0
chr1:799078	10	1	10	10	1	1	1	-0.4	0
chr1:799078	10	1	10	10	1	1	1	-0.4	0
chr1:807253	10	1	10	10	1	1	1	-0.4	0
chr1:817555	10	1	10	10	1	1	1	-0.4	0
chr1:817555	10	1	10	10	1	1	1	-0.4	0
