Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:1755	10	1	10	10	1	1	1	-0.4	0
chr1:1755	10	1	10	10	1	1	1	-0.4	0
chr1:1755	10	1	10	10	1	1	1	-0.4	0
chr1:8676	10	1	10	10	1	1	1	-0.4	0
chr1:11240	10	1	10	10	1	1	1	-0.4	0
chr1:11240	10	1	10	10	1	1	1	-0.4	0
chr1:13758	10	1	10	10	1	1	1	-0.4	0
chr1:14203	10	1	10	10	1	1	1	-0.4	0
chr1:15396	10	1	10	10	1	1	1	-0.4	0
chr1:16902	10	1	10	10	1	1	1	-0.4	0
chr1:16902	10	1	10	10	1	1	1	-0.4	0
chr1:16902	10	1	10	10	1	1	1	-0.4	0
chr1:20620	10	1	10	10	1	1	1	-0.4	0
chr1:20620	10	1	10	10	1	1	1	-0.4	0
chr1:52069	10	1	10	10	1	1	1	-0.4	0
chr1:57138	10	1	10	10	1	1	1	-0.4	0
chr1:59843	10	1	10	10	1	1	1	-0.4	0
chr1:60680	10	1	10	10	1	1	1	-0.4	0
chr1:60680	10	1	10	10	1	1	1	-0.4	0
chr1:67764	10	1	10	10	1	1	1	-0.4	0
chr1:68553	10	1	10	10	1	1	1	-0.4	0
chr1:75363	10	1	10	10	1	1	1	-0.4	0
chr1:103991	10	1	10	10	1	1	1	-0.4	0
chr1:104595	10	1	10	10	1	1	1	-0.4	0
chr1:108283	10	1	10	10	1	1	1	-0.4	0
chr1:109087	10	1	10	10	1	1	1	-0.4	0
chr1:116310	10	1	10	10	1	1	1	-0.4	0
chr1:116310	10	1	10	10	1	1	1	-0.4	0
chr1:118580	10	1	10	10	1	1	1	-0.4	0
chr1:131312	10	1	10	10	1	1	1	-0.4	0
chr1:140484	10	1	10	10	1	1	1	-0.4	0
chr1:146238	10	1	10	10	1	1	1	-0.4	0
chr1:146238	10	1	10	10	1	1	1	-0.4	0
chr1:146238	10	1	10	10	1	1	1	-0.4	0
chr1:149924	10	1	10	10	1	1	1	-0.4	0
chr1:156264	10	1	10	10	1	1	1	-0.4	0
chr1:159611	10	1	10	10	1	1	1	-0.4	0
chr1:162987	10	1	10	10	1	1	1	-0.4	0
chr1:178726	10	1	10	10	1	1	1	-0.4	0
chr1:179488	10	1	10	10	1	1	1	-0.4	0
chr1:182341	10	1	10	10	1	1	1	-0.4	0
chr1:182341	10	1	10	10	1	1	1	-0.4	0
chr1:182341	10	1	10	10	1	1	1	-0.4	0
chr1:183501	10	1	10	10	1	1	1	-0.4	0
chr1:183501	10	1	10	10	1	1	1	-0.4	0
chr1:183501	10	1	10	10	1	1	1	-0.4	0
chr1:195632	10	1	10	10	1	1	1	-0.4	0
chr1:199294	10	1	10	10	1	1	1	-0.4	0
chr1:199294	10	1	10	10	1	1	1	-0.4	0
chr1:207150	10	1	10	10	1	1	1	-0.4	0
chr1:207745	10	1	10	10	1	1	1	-0.4	0
chr1:207745	10	1	10	10	1	1	1	-0.4	0
chr1:207745	10	1	10	10	1	1	1	-0.4	0
chr1:218806	10	1	10	10	1	1	1	-0.4	0
chr1:218806	10	1	10	10	1	1	1	-0.4	0
chr1:227411	10	1	10	10	1	1	1	-0.4	0
chr1:237763	10	1	10	10	1	1	1	-0.4	0
chr1:237763	10	1	10	10	1	1	1	-0.4	0
chr1:237763	10	1	10	10	1	1	1	-0.4	0
chr1:239773	10	1	10	10	1	1	1	-0.4	0
chr1:268029	10	1	10	10	1	1	1	-0.4	0
chr1:268029	10	1	10	10	1	1	1	-0.4	0
chr1:269867	10	1	10	10	1	1	1	-0.4	0
chr1:282516	10	1	10	10	1	1	1	-0.4	0
chr1:291720	10	1	10	10	1	1	1	-0.4	0
chr1:293408	10	1	10	10	1	1	1	-0.4	0
chr1:303012	10	1	10	10	1	1	1	-0.4	0
chr1:309556	10	1	10	10	1	1	1	-0.4	0
chr1:325239	10	1	10	10	1	1	1	-0.4	0
chr1:337929	10	1	10	10	1	1	1	-0.4	0
chr1:348534	10	1	10	10	1	1	1	-0.4	0
chr1:348534	10	1	10	10	1	1	1	-0.4	0
chr1:348534	10	1	10	10	1	1	1	-0.4	0
chr1:364330	10	1	10	10	1	1	1	-0.4	0
chr1:364330	10	1	10	10	1	1	1	-0.4	0
chr1:368525	10	1	10	10	1	1	1	-0.4	0
chr1:368525	10	1	10	10	1	1	1	-0.4	0
chr1:368525	10	1	10	10	1	1	1	-0.4	0
chr1:418512	10	1	10	10	1	1	1	-0.4	0
chr1:420241	10	1	10	10	1	1	1	-0.4	0
chr1:420241	10	1	10	10	1	1	1	-0.4	0
chr1:420241	10	1	10	10	1	1	1	-0.4	0
chr1:426664	10	1	10	10	1	1	1	-0.4	0
chr1:431240	10	1	10	10	1	1	1	-0.4	0
chr1:434357	10	1	10	10	1	1	1	-0.4	0
chr1:453321	10	1	10	10	1	1	1	-0.4	0
chr1:465596	10	1	10	10	1	1	1	-0.4	0
chr1:467843	10	1	10	10	1	1	1	-0.4	0
chr1:468939	10	1	10	10	1	1	1	-0.4	0
chr1:468939	10	1	10	10	1	1	1	-0.4	0
chr1:468939	10	1	10	10	1	1	1	-0.4	0
chr1:473681	10	1	10	10	1	1	1	-0.4	0
chr1:476918	10	1	10	10	1	1	1	-0.4	0
chr1:485200	10	1	10	10	1	1	1	-0.4	0
chr1:485200	10	1	10	10	1	1	1	-0.4	0
chr1:485200	10	1	10	10	1	1	1	-0.4	0
chr1:486605	10	1	10	10	1	1	1	-0.4	0
chr1:488406	10	1	10	10	1	1	1	-0.4	0
chr1:488406	10	1	10	10	1	1	1	-0.4	0
chr1:488406	10	1	10	10	1	1	1	-0.4	0
chr1:498942	10	1	10	10	1	1	1	-0.4	0
chr1:550709	10	1	10	10	1	1	1	-0.4	0
chr1:553982	10	1	10	10	1	1	1	-0.4	0
chr1:553982	10	1	10	10	1	1	1	-0.4	0
chr1:554440	10	1	10	10	1	1	1	-0.4	0
chr1:554440	10	1	10	10	1	1	1	-0.4	0
chr1:555188	10	1	10	10	1	1	1	-0.4	0
chr1:556401	10	1	10	10	1	1	1	-0.4	0
chr1:559643	10	1	10	10	1	1	1	-0.4	0
chr1:559643	10	1	10	10	1	1	1	-0.4	0
chr1:559643	10	1	10	10	1	1	1	-0.4	0
chr1:565349	10	1	10	10	1	1	1	-0.4	0
chr1:565844	10	1	10	10	1	1	1	-0.4	0
chr1:571375	10	1	10	10	1	1	1	-0.4	0
chr1:572033	10	1	10	10	1	1	1	-0.4	0
chr1:572033	10	1	10	10	1	1	1	-0.4	0
chr1:572033	10	1	10	10	1	1	1	-0.4	0
chr1:575430	10	1	10	10	1	1	1	-0.4	0
chr1:587837	10	1	10	10	1	1	1	-0.4	0
chr1:602443	10	1	10	10	1	1	1	-0.4	0
chr1:616662	10	1	10	10	1	1	1	-0.4	0
chr1:617412	10	1	10	10	1	1	1	-0.4	0
chr1:617412	10	1	10	10	1	1	1	-0.4	0
chr1:617412	10	1	10	10	1	1	1	-0.4	0
chr1:620111	10	1	10	10	1	1	1	-0.4	0
chr1:634909	10	1	10	10	1	1	1	-0.4	0
chr1:634909	10	1	10	10	1	1	1	-0.4	0
chr1:634909	10	1	10	10	1	1	1	-0.4	0
chr1:643044	10	1	10	10	1	1	1	-0.4	0
chr1:644583	10	1	10	10	1	1	1	-0.4	0
chr1:654924	10	1	10	10	1	1	1	-0.4	0
chr1:654924	10	1	10	10	1	1	1	-0.4	0
chr1:654924	10	1	10	10	1	1	1	-0.4	0
chr1:693813	10	1	10	10	1	1	1	-0.4	0
chr1:693813	10	1	10	10	1	1	1	-0.4	0
chr1:693813	10	1	10	10	1	1	1	-0.4	0
chr1:738464	10	1	10	10	1	1	1	-0.4	0
chr1:783012	10	1	10	10	1	1	1	-0.4	0
chr1:783012	10	1	10	10	1	1	1	-0.4	0
