Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:2460	10	1	10	10	1	1	1	-0.4	0
chr1:9728	10	1	10	10	1	1	1	-0.4	0
chr1:38071	10	1	10	10	1	1	1	-0.4	0
chr1:51181	10	1	10	10	1	1	1	-0.4	0
chr1:54928	10	1	10	10	1	1	1	-0.4	0
chr1:115808	10	1	10	10	1	1	1	-0.4	0
chr1:116981	10	1	10	10	1	1	1	-0.4	0
chr1:181882	10	1	10	10	1	1	1	-0.4	0
chr1:182429	10	1	10	10	1	1	1	-0.4	0
chr1:194895	10	1	10	10	1	1	1	-0.4	0
chr1:227698	10	1	10	10	1	1	1	-0.4	0
chr1:237847	10	1	10	10	1	1	1	-0.4	0
chr1:282495	10	1	10	10	1	1	1	-0.4	0
chr1:325237	10	1	10	10	1	1	1	-0.4	0
chr1:364284	10	1	10	10	1	1	1	-0.4	0
chr1:404391	10	1	10	10	1	1	1	-0.4	0
chr1:411686	10	1	10	10	1	1	1	-0.4	0
chr1:426823	10	1	10	10	1	1	1	-0.4	0
chr1:440417	10	1	10	10	1	1	1	-0.4	0
chr1:442889	10	1	10	10	1	1	1	-0.4	0
chr1:455727	10	1	10	10	1	1	1	-0.4	0
chr1:469354	10	1	10	10	1	1	1	-0.4	0
chr1:502057	10	1	10	10	1	1	1	-0.4	0
chr1:554018	10	1	10	10	1	1	1	-0.4	0
chr1:556649	10	1	10	10	1	1	1	-0.4	0
chr1:559874	10	1	10	10	1	1	1	-0.4	0
chr1:584096	10	1	10	10	1	1	1	-0.4	0
chr1:593404	10	1	10	10	1	1	1	-0.4	0
chr1:644704	10	1	10	10	1	1	1	-0.4	0
chr1:706664	10	1	10	10	1	1	1	-0.4	0
chr1:727325	10	1	10	10	1	1	1	-0.4	0
chr1:780370	10	1	10	10	1	1	1	-0.4	0
chr1:786645	10	1	10	10	1	1	1	-0.4	0
chr1:868302	10	1	10	10	1	1	1	-0.4	0
chr1:896552	10	1	10	10	1	1	1	-0.4	0
chr1:897186	10	1	10	10	1	1	1	-0.4	0
chr1:932280	10	1	10	10	1	1	1	-0.4	0
chr1:958109	10	1	10	10	1	1	1	-0.4	0
chr1:973841	10	1	10	10	1	1	1	-0.4	0
chr1:1028391	10	1	10	10	1	1	1	-0.4	0
chr1:1036245	10	1	10	10	1	1	1	-0.4	0
chr1:1040338	10	1	10	10	1	1	1	-0.4	0
chr1:1049884	10	1	10	10	1	1	1	-0.4	0
chr1:1071067	10	1	10	10	1	1	1	-0.4	0
chr1:1072472	10	1	10	10	1	1	1	-0.4	0
chr1:1075764	10	1	10	10	1	1	1	-0.4	0
chr1:1084701	10	1	10	10	1	1	1	-0.4	0
chr1:1129528	10	1	10	10	1	1	1	-0.4	0
chr1:1159195	10	1	10	10	1	1	1	-0.4	0
chr1:1162453	10	1	10	10	1	1	1	-0.4	0
chr1:1188787	10	1	10	10	1	1	1	-0.4	0
chr1:1189214	10	1	10	10	1	1	1	-0.4	0
chr1:1198245	10	1	10	10	1	1	1	-0.4	0
chr1:1303169	10	1	10	10	1	1	1	-0.4	0
chr1:1312887	10	1	10	10	1	1	1	-0.4	0
chr1:1416317	10	1	10	10	1	1	1	-0.4	0
chr1:1422461	10	1	10	10	1	1	1	-0.4	0
chr1:1425404	10	1	10	10	1	1	1	-0.4	0
chr1:1426640	10	1	10	10	1	1	1	-0.4	0
chr1:1430237	10	1	10	10	1	1	1	-0.4	0
chr1:1432954	10	1	10	10	1	1	1	-0.4	0
chr1:1433364	10	1	10	10	1	1	1	-0.4	0
chr1:1486959	10	1	10	10	1	1	1	-0.4	0
chr1:1570580	10	1	10	10	1	1	1	-0.4	0
chr1:1607289	10	1	10	10	1	1	1	-0.4	0
chr1:1607847	10	1	10	10	1	1	1	-0.4	0
chr1:1611728	10	1	10	10	1	1	1	-0.4	0
