Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr3:9737575	10	1	10	10	-1	93.95	1	-0.4	0
chr1:6308632	10	1	10	10	-1	92.44	1	-0.4	0
chr2:6922106	10	1	10	10	-1	89.51	1	-0.4	0
chr3:5255367	10	1	10	10	-1	87.47	1	-0.4	0
chr1:3075619	10	1	10	10	-1	87.18	1	-0.4	0
chr4:14859925	10	1	10	10	-1	86.54	1	-0.4	0
chr5:21095817	10	1	10	10	-1	86.53	1	-0.4	0
chr3:6565331	10	1	10	10	-1	86.18	1	-0.4	0
chr4:2352002	10	1	10	10	-1	86.03	1	-0.4	0
chr5:24478920	10	1	10	10	-1	85.71	1	-0.4	0
chr1:15880382	10	1	10	10	-1	85.45	1	-0.4	0
chr2:7074028	10	1	10	10	-1	85.45	1	-0.4	0
chr1:4855383	10	1	10	10	-1	85.25	1	-0.4	0
chr5:24003859	10	1	10	10	-1	84.88	1	-0.4	0
chr3:8623289	10	1	10	10	-1	84.72	1	-0.4	0
chr5:23359605	10	1	10	10	-1	84.48	1	-0.4	0
chr1:13148133	10	1	10	10	-1	84.47	1	-0.4	0
chr4:6649618	10	1	10	10	-1	84.3	1	-0.4	0
chr1:29638700	10	1	10	10	-1	84.11	1	-0.4	0
chr4:17998789	10	1	10	10	-1	83.7	1	-0.4	0
chr1:2861963	10	1	10	10	-1	83.67	1	-0.4	0
chr4:17185750	10	1	10	10	-1	83.47	1	-0.4	0
chr1:9481378	10	1	10	10	-1	83.33	1	-0.4	0
chr5:24908398	10	1	10	10	-1	83.32	1	-0.4	0
chr5:26500352	10	1	10	10	-1	83.16	1	-0.4	0
chr5:426231	10	1	10	10	-1	83.09	1	-0.4	0
chr1:25559119	10	1	10	10	-1	82.88	1	-0.4	0
chr1:9286364	10	1	10	10	-1	82.78	1	-0.4	0
chr1:22829796	10	1	10	10	-1	82.76	1	-0.4	0
chr3:16789793	10	1	10	10	-1	82.51	1	-0.4	0
chr1:8311400	10	1	10	10	-1	82.43	1	-0.4	0
chr5:4432095	10	1	10	10	-1	82.32	1	-0.4	0
chr4:12876907	10	1	10	10	-1	82.29	1	-0.4	0
chr5:1608433	10	1	10	10	-1	82.26	1	-0.4	0
chr2:15444783	10	1	10	10	-1	82.21	1	-0.4	0
chr4:11745474	10	1	10	10	-1	82.18	1	-0.4	0
chr5:24873310	10	1	10	10	-1	82.14	1	-0.4	0
chr2:5541450	10	1	10	10	-1	82.03	1	-0.4	0
chr5:8725819	10	1	10	10	-1	82.03	1	-0.4	0
chr1:559854	10	1	10	10	-1	82.01	1	-0.4	0
chr4:7787422	10	1	10	10	-1	81.93	1	-0.4	0
chr1:20763939	10	1	10	10	-1	81.61	1	-0.4	0
chr3:5547447	10	1	10	10	-1	81.57	1	-0.4	0
chr3:21830663	10	1	10	10	-1	81.32	1	-0.4	0
chr4:7354358	10	1	10	10	-1	81.32	1	-0.4	0
chr1:28739289	10	1	10	10	-1	80.81	1	-0.4	0
chr2:19641116	10	1	10	10	-1	80.76	1	-0.4	0
chr1:28218813	10	1	10	10	-1	80.75	1	-0.4	0
chr1:12138666	10	1	10	10	-1	80.6	1	-0.4	0
chr1:22185807	10	1	10	10	-1	80.59	1	-0.4	0
chr2:15139799	10	1	10	10	-1	80.59	1	-0.4	0
chr3:20865811	10	1	10	10	-1	80.59	1	-0.4	0
chr1:27786734	10	1	10	10	-1	80.58	1	-0.4	0
chr2:11752378	10	1	10	10	-1	80.5	1	-0.4	0
chr2:12224432	10	1	10	10	-1	80.44	1	-0.4	0
chr5:21038250	10	1	10	10	-1	80.4	1	-0.4	0
chr2:17577746	10	1	10	10	-1	80.35	1	-0.4	0
chr3:5339946	10	1	10	10	-1	80.22	1	-0.4	0
chr3:2156238	10	1	10	10	-1	80.02	1	-0.4	0
chr5:20943056	10	1	10	10	-1	80.01	1	-0.4	0
chr5:25484625	10	1	10	10	-1	79.98	1	-0.4	0
chr3:4506407	10	1	10	10	-1	79.93	1	-0.4	0
chr4:10474041	10	1	10	10	-1	79.82	1	-0.4	0
chr1:2013727	10	1	10	10	-1	79.66	1	-0.4	0
chr4:549903	10	1	10	10	-1	79.55	1	-0.4	0
chr1:25878953	10	1	10	10	-1	79.49	1	-0.4	0
chr5:7664385	10	1	10	10	-1	79.28	1	-0.4	0
chr1:20948429	10	1	10	10	-1	79.21	1	-0.4	0
chr1:22645417	10	1	10	10	-1	79.19	1	-0.4	0
chr2:761828	10	1	10	10	-1	79.13	1	-0.4	0
chr3:17199398	10	1	10	10	-1	79.07	1	-0.4	0
chr5:6202434	10	1	10	10	-1	79.05	1	-0.4	0
chr5:6287798	10	1	10	10	-1	78.96	1	-0.4	0
chr1:26592878	10	1	10	10	-1	78.92	1	-0.4	0
chr3:16815214	10	1	10	10	-1	78.65	1	-0.4	0
chr2:14310864	10	1	10	10	-1	78.36	1	-0.4	0
chr4:15974846	10	1	10	10	-1	78.3	1	-0.4	0
chr4:17774604	10	1	10	10	-1	78.29	1	-0.4	0
