Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:9381309	10	1	10	10	-1	105.22	1	-0.4	0
chr3:22328212	10	1	10	10	-1	97.26	1	-0.4	0
chr4:297477	10	1	10	10	-1	91.49	1	-0.4	0
chr1:8911420	10	1	10	10	-1	90.55	1	-0.4	0
chr3:18469767	10	1	10	10	-1	90.19	1	-0.4	0
chr4:12757881	10	1	10	10	-1	89.75	1	-0.4	0
chr2:19140855	10	1	10	10	-1	87.16	1	-0.4	0
chr1:10046528	10	1	10	10	-1	86.74	1	-0.4	0
chr3:4082731	10	1	10	10	-1	85.55	1	-0.4	0
chr4:6245658	10	1	10	10	-1	85.55	1	-0.4	0
chr4:5775134	10	1	10	10	-1	85.4	1	-0.4	0
chr2:15100442	10	1	10	10	-1	85.22	1	-0.4	0
chr1:20470778	10	1	10	10	-1	84.71	1	-0.4	0
chr3:7503452	10	1	10	10	-1	84.31	1	-0.4	0
chr4:14654196	10	1	10	10	-1	82	1	-0.4	0
chr1:9286338	10	1	10	10	-1	80.14	1	-0.4	0
chr5:26822208	10	1	10	10	-1	80.03	1	-0.4	0
chr3:4660889	10	1	10	10	-1	79.87	1	-0.4	0
chr4:17119783	10	1	10	10	-1	79.48	1	-0.4	0
chr5:24939532	10	1	10	10	-1	79.31	1	-0.4	0
chr4:16951425	10	1	10	10	-1	79.27	1	-0.4	0
chr1:28145978	10	1	10	10	-1	79.14	1	-0.4	0
chr1:11418522	10	1	10	10	-1	78.68	1	-0.4	0
chr1:8843128	10	1	10	10	-1	78.68	1	-0.4	0
chr2:11125654	10	1	10	10	-1	77.98	1	-0.4	0
chr5:21735030	10	1	10	10	-1	77.9	1	-0.4	0
chr3:2138306	10	1	10	10	-1	77.6	1	-0.4	0
chr3:16187010	10	1	10	10	-1	77.51	1	-0.4	0
chr1:3201683	10	1	10	10	-1	77.28	1	-0.4	0
chr5:14566481	10	1	10	10	-1	77.2	1	-0.4	0
chr2:18523561	10	1	10	10	-1	77.05	1	-0.4	0
chr1:26213006	10	1	10	10	-1	76.78	1	-0.4	0
chr3:5747490	10	1	10	10	-1	76.72	1	-0.4	0
chr3:8531205	10	1	10	10	-1	76.63	1	-0.4	0
chr1:29842689	10	1	10	10	-1	76.36	1	-0.4	0
chr4:15527804	10	1	10	10	-1	75.83	1	-0.4	0
chr5:21820727	10	1	10	10	-1	75.72	1	-0.4	0
chr2:16485779	10	1	10	10	-1	75.61	1	-0.4	0
chr2:19101035	10	1	10	10	-1	74.79	1	-0.4	0
chr3:20501956	10	1	10	10	-1	74.54	1	-0.4	0
chr1:5058105	10	1	10	10	-1	74.48	1	-0.4	0
chr2:17616656	10	1	10	10	-1	74.29	1	-0.4	0
chr3:19013462	10	1	10	10	-1	74.27	1	-0.4	0
chr3:649381	10	1	10	10	-1	73.55	1	-0.4	0
chr1:27137200	10	1	10	10	-1	73.38	1	-0.4	0
chr3:22634172	10	1	10	10	-1	72.79	1	-0.4	0
chr5:3464118	10	1	10	10	-1	72.74	1	-0.4	0
chr3:7079018	10	1	10	10	-1	72.73	1	-0.4	0
chr1:10044236	10	1	10	10	-1	72.43	1	-0.4	0
chr2:15066218	10	1	10	10	-1	72.39	1	-0.4	0
chr2:13436480	10	1	10	10	-1	72.22	1	-0.4	0
chr5:4746036	10	1	10	10	-1	71.98	1	-0.4	0
chr3:7834027	10	1	10	10	-1	71.88	1	-0.4	0
chr5:941574	10	1	10	10	-1	71.74	1	-0.4	0
chr1:18927763	10	1	10	10	-1	71.35	1	-0.4	0
chr3:15566976	10	1	10	10	-1	71.31	1	-0.4	0
chr2:12677453	10	1	10	10	-1	71.03	1	-0.4	0
chr1:1145293	10	1	10	10	-1	70.98	1	-0.4	0
chr1:18322402	10	1	10	10	-1	70.98	1	-0.4	0
chr1:18198003	10	1	10	10	-1	70.7	1	-0.4	0
chr1:28876084	10	1	10	10	-1	70.48	1	-0.4	0
chr1:9481347	10	1	10	10	-1	70.33	1	-0.4	0
chr1:68606	10	1	10	10	-1	70.23	1	-0.4	0
chr1:26592879	10	1	10	10	-1	70.08	1	-0.4	0
chr3:6565339	10	1	10	10	-1	69.95	1	-0.4	0
chr3:9595439	10	1	10	10	-1	69.84	1	-0.4	0
chr1:10073502	10	1	10	10	-1	69.8	1	-0.4	0
chr1:3545588	10	1	10	10	-1	69.53	1	-0.4	0
chr1:23898908	10	1	10	10	-1	69.49	1	-0.4	0
chr5:17790777	10	1	10	10	-1	68.91	1	-0.4	0
chr3:8424429	10	1	10	10	-1	68.71	1	-0.4	0
chr5:24063948	10	1	10	10	-1	68.46	1	-0.4	0
chr3:7280362	10	1	10	10	-1	68.1	1	-0.4	0
chr1:5236995	10	1	10	10	-1	68.06	1	-0.4	0
chr2:13523876	10	1	10	10	-1	68.04	1	-0.4	0
chr4:16631372	10	1	10	10	-1	68.03	1	-0.4	0
chr2:17886205	10	1	10	10	-1	67.73	1	-0.4	0
chr2:8913679	10	1	10	10	-1	67.64	1	-0.4	0
chr1:10294598	10	1	10	10	-1	67.58	1	-0.4	0
chr3:17362357	10	1	10	10	-1	67.51	1	-0.4	0
chr5:24057307	10	1	10	10	-1	67.24	1	-0.4	0
chr1:5296935	10	1	10	10	-1	67.21	1	-0.4	0
chr3:8473789	10	1	10	10	-1	67.21	1	-0.4	0
chr5:19164030	10	1	10	10	-1	67.13	1	-0.4	0
chr1:28362028	10	1	10	10	-1	67.1	1	-0.4	0
chr2:17646217	10	1	10	10	-1	66.88	1	-0.4	0
chr2:19167076	10	1	10	10	-1	66.88	1	-0.4	0
chr5:24145275	10	1	10	10	-1	66.68	1	-0.4	0
chr3:22873911	10	1	10	10	-1	66.62	1	-0.4	0
chr4:577863	10	1	10	10	-1	66.59	1	-0.4	0
chr5:20020536	10	1	10	10	-1	66.51	1	-0.4	0
chr4:1047730	10	1	10	10	-1	66.07	1	-0.4	0
chr2:10430559	10	1	10	10	-1	66.03	1	-0.4	0
chr5:1994051	10	1	10	10	-1	65.81	1	-0.4	0
chr5:7842937	10	1	10	10	-1	65.62	1	-0.4	0
chr5:19624154	10	1	10	10	-1	65.52	1	-0.4	0
chr3:10023831	10	1	10	10	-1	65.38	1	-0.4	0
chr4:9449124	10	1	10	10	-1	65.3	1	-0.4	0
chr2:14754092	10	1	10	10	-1	65.27	1	-0.4	0
chr1:22829946	10	1	10	10	-1	65.26	1	-0.4	0
chr2:18425033	10	1	10	10	-1	65.25	1	-0.4	0
chr4:459693	10	1	10	10	-1	65.08	1	-0.4	0
chr5:3106152	10	1	10	10	-1	65.06	1	-0.4	0
chr4:8285298	10	1	10	10	-1	65	1	-0.4	0
chr5:17969871	10	1	10	10	-1	64.88	1	-0.4	0
chr5:1918961	10	1	10	10	-1	64.85	1	-0.4	0
chr3:18837419	10	1	10	10	-1	64.84	1	-0.4	0
chr4:227681	10	1	10	10	-1	64.75	1	-0.4	0
chr1:29203471	10	1	10	10	-1	64.73	1	-0.4	0
chr3:9740708	10	1	10	10	-1	64.69	1	-0.4	0
chr3:20801358	10	1	10	10	-1	64.19	1	-0.4	0
chr3:20379019	10	1	10	10	-1	64.17	1	-0.4	0
chr3:18821996	10	1	10	10	-1	63.76	1	-0.4	0
chr5:3150537	10	1	10	10	-1	63.61	1	-0.4	0
chr5:6748719	10	1	10	10	-1	63.58	1	-0.4	0
chr3:9580143	10	1	10	10	-1	63.29	1	-0.4	0
chr1:5061441	10	1	10	10	-1	63.04	1	-0.4	0
chr3:18374271	10	1	10	10	-1	63.04	1	-0.4	0
chr3:21409642	10	1	10	10	-1	63.03	1	-0.4	0
chr1:30082153	10	1	10	10	-1	62.68	1	-0.4	0
chr2:6922144	10	1	10	10	-1	62.66	1	-0.4	0
chr4:15003129	10	1	10	10	-1	62.46	1	-0.4	0
chr5:21226207	10	1	10	10	-1	62.43	1	-0.4	0
chr1:3948080	10	1	10	10	-1	62.42	1	-0.4	0
chr4:8334017	10	1	10	10	-1	62.4	1	-0.4	0
chr4:7664527	10	1	10	10	-1	62.28	1	-0.4	0
chr2:18908484	10	1	10	10	-1	62.19	1	-0.4	0
chr1:28728142	10	1	10	10	-1	62.06	1	-0.4	0
chr5:26115415	10	1	10	10	-1	62.03	1	-0.4	0
chr5:13748348	10	1	10	10	-1	61.98	1	-0.4	0
chr1:10143773	10	1	10	10	-1	61.92	1	-0.4	0
chr5:17966865	10	1	10	10	-1	61.88	1	-0.4	0
chr4:12836890	10	1	10	10	-1	61.87	1	-0.4	0
chr3:19446155	10	1	10	10	-1	61.86	1	-0.4	0
chr2:397146	10	1	10	10	-1	61.83	1	-0.4	0
chr1:29590986	10	1	10	10	-1	61.79	1	-0.4	0
chr2:19237271	10	1	10	10	-1	61.51	1	-0.4	0
chr1:17945359	10	1	10	10	-1	61.5	1	-0.4	0
chr4:7553418	10	1	10	10	-1	61.4	1	-0.4	0
chr3:4506574	10	1	10	10	-1	61.34	1	-0.4	0
chr1:23521013	10	1	10	10	-1	61.31	1	-0.4	0
chr2:9627284	10	1	10	10	-1	61.31	1	-0.4	0
chr5:448829	10	1	10	10	-1	61.04	1	-0.4	0
chr1:8181488	10	1	10	10	-1	60.96	1	-0.4	0
chr5:5760056	10	1	10	10	-1	60.96	1	-0.4	0
chr3:1726851	10	1	10	10	-1	60.9	1	-0.4	0
chr4:12334955	10	1	10	10	-1	60.84	1	-0.4	0
chr3:6170241	10	1	10	10	-1	60.7	1	-0.4	0
chr4:15939725	10	1	10	10	-1	60.59	1	-0.4	0
chr5:4193664	10	1	10	10	-1	60.53	1	-0.4	0
chr4:17539979	10	1	10	10	-1	60.47	1	-0.4	0
chr2:15423521	10	1	10	10	-1	60.31	1	-0.4	0
chr4:1062308	10	1	10	10	-1	60.31	1	-0.4	0
chr3:15986668	10	1	10	10	-1	60.29	1	-0.4	0
chr5:1830092	10	1	10	10	-1	60.24	1	-0.4	0
chr1:7368796	10	1	10	10	-1	60.23	1	-0.4	0
chr1:4140090	10	1	10	10	-1	60.2	1	-0.4	0
chr3:6704349	10	1	10	10	-1	60.1	1	-0.4	0
chr1:19935788	10	1	10	10	-1	60.04	1	-0.4	0
chr4:8387941	10	1	10	10	-1	60	1	-0.4	0
chr3:4175289	10	1	10	10	-1	59.98	1	-0.4	0
chr5:3336106	10	1	10	10	-1	59.92	1	-0.4	0
chr1:1647592	10	1	10	10	-1	59.91	1	-0.4	0
chr1:19336096	10	1	10	10	-1	59.73	1	-0.4	0
chr1:5518263	10	1	10	10	-1	59.73	1	-0.4	0
chr2:19175828	10	1	10	10	-1	59.58	1	-0.4	0
chr5:7845297	10	1	10	10	-1	59.56	1	-0.4	0
chr3:17441550	10	1	10	10	-1	59.41	1	-0.4	0
chr5:4625684	10	1	10	10	-1	59.33	1	-0.4	0
chr1:10288019	10	1	10	10	-1	59.25	1	-0.4	0
chr2:16820868	10	1	10	10	-1	59.16	1	-0.4	0
chr5:19219369	10	1	10	10	-1	59.14	1	-0.4	0
chr5:9001361	10	1	10	10	-1	59.12	1	-0.4	0
chr3:18359516	10	1	10	10	-1	59.1	1	-0.4	0
chr1:26403380	10	1	10	10	-1	59.09	1	-0.4	0
chr5:5235973	10	1	10	10	-1	58.97	1	-0.4	0
chr1:3072521	10	1	10	10	-1	58.79	1	-0.4	0
chr3:23429274	10	1	10	10	-1	58.79	1	-0.4	0
chr1:29449769	10	1	10	10	-1	58.69	1	-0.4	0
chr1:6103311	10	1	10	10	-1	58.55	1	-0.4	0
chr1:8728541	10	1	10	10	-1	58.54	1	-0.4	0
chr2:19662754	10	1	10	10	-1	58.54	1	-0.4	0
chr4:17874934	10	1	10	10	-1	58.53	1	-0.4	0
chr5:16390798	10	1	10	10	-1	58.53	1	-0.4	0
chr4:10780461	10	1	10	10	-1	58.47	1	-0.4	0
chr1:11816433	10	1	10	10	-1	58.34	1	-0.4	0
chr5:26950034	10	1	10	10	-1	58.25	1	-0.4	0
chr2:19282099	10	1	10	10	-1	58.15	1	-0.4	0
chr5:16862557	10	1	10	10	-1	58.03	1	-0.4	0
chr4:300458	10	1	10	10	-1	58.01	1	-0.4	0
chr3:17561860	10	1	10	10	-1	58	1	-0.4	0
chr5:4825463	10	1	10	10	-1	57.97	1	-0.4	0
chr5:16385270	10	1	10	10	-1	57.96	1	-0.4	0
chr4:1151509	10	1	10	10	-1	57.86	1	-0.4	0
chr1:469525	10	1	10	10	-1	57.81	1	-0.4	0
chr3:10137556	10	1	10	10	-1	57.51	1	-0.4	0
chr2:9978022	10	1	10	10	-1	57.5	1	-0.4	0
chr2:11350134	10	1	10	10	-1	57.44	1	-0.4	0
chr4:6217293	10	1	10	10	-1	57.42	1	-0.4	0
chr4:2717757	10	1	10	10	-1	57.33	1	-0.4	0
chr3:8156740	10	1	10	10	-1	57.29	1	-0.4	0
chr5:20883750	10	1	10	10	-1	57.29	1	-0.4	0
chr4:9415370	10	1	10	10	-1	57.23	1	-0.4	0
chr3:20296931	10	1	10	10	-1	57.14	1	-0.4	0
chr3:22941550	10	1	10	10	-1	57.12	1	-0.4	0
chr1:19993377	10	1	10	10	-1	57.08	1	-0.4	0
chr1:3324687	10	1	10	10	-1	56.95	1	-0.4	0
chr1:1081028	10	1	10	10	-1	56.92	1	-0.4	0
chr3:18468116	10	1	10	10	-1	56.89	1	-0.4	0
chr3:15517663	10	1	10	10	-1	56.86	1	-0.4	0
chr3:19265987	10	1	10	10	-1	56.77	1	-0.4	0
chr5:8864117	10	1	10	10	-1	56.72	1	-0.4	0
chr3:17248845	10	1	10	10	-1	56.54	1	-0.4	0
chr1:7975416	10	1	10	10	-1	56.41	1	-0.4	0
chr2:10104575	10	1	10	10	-1	56.37	1	-0.4	0
chr3:18898820	10	1	10	10	-1	56.37	1	-0.4	0
chr3:22878667	10	1	10	10	-1	56.36	1	-0.4	0
chr3:995074	10	1	10	10	-1	56.02	1	-0.4	0
chr2:8473351	10	1	10	10	-1	55.88	1	-0.4	0
chr2:8581287	10	1	10	10	-1	55.86	1	-0.4	0
chr5:2985755	10	1	10	10	-1	55.86	1	-0.4	0
chr1:23072109	10	1	10	10	-1	55.83	1	-0.4	0
chr4:10474246	10	1	10	10	-1	55.83	1	-0.4	0
chr1:4458908	10	1	10	10	-1	55.72	1	-0.4	0
chr1:19162497	10	1	10	10	-1	55.59	1	-0.4	0
chr3:16458787	10	1	10	10	-1	55.58	1	-0.4	0
chr2:17796135	10	1	10	10	-1	55.51	1	-0.4	0
chr4:17397798	10	1	10	10	-1	55.5	1	-0.4	0
chr2:12898533	10	1	10	10	-1	55.46	1	-0.4	0
chr2:15264042	10	1	10	10	-1	55.44	1	-0.4	0
chr2:18423498	10	1	10	10	-1	55.26	1	-0.4	0
chr1:29593642	10	1	10	10	-1	55.23	1	-0.4	0
chr2:436329	10	1	10	10	-1	55.23	1	-0.4	0
chr1:30194951	10	1	10	10	-1	55.2	1	-0.4	0
chr4:15579919	10	1	10	10	-1	55.17	1	-0.4	0
