Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:3229	10	1	10	10	1	1	1	-0.4	0
chr1:3229	10	1	10	10	1	1	1	-0.4	0
chr1:3229	10	1	10	10	1	1	1	-0.4	0
chr1:8717	10	1	10	10	1	1	1	-0.4	0
chr1:8717	10	1	10	10	1	1	1	-0.4	0
chr1:8717	10	1	10	10	1	1	1	-0.4	0
chr1:11211	10	1	10	10	1	1	1	-0.4	0
chr1:16744	10	1	10	10	1	1	1	-0.4	0
chr1:16744	10	1	10	10	1	1	1	-0.4	0
chr1:20876	10	1	10	10	1	1	1	-0.4	0
chr1:20876	10	1	10	10	1	1	1	-0.4	0
chr1:20876	10	1	10	10	1	1	1	-0.4	0
chr1:23118	10	1	10	10	1	1	1	-0.4	0
chr1:33596	10	1	10	10	1	1	1	-0.4	0
chr1:38018	10	1	10	10	1	1	1	-0.4	0
chr1:38018	10	1	10	10	1	1	1	-0.4	0
chr1:38018	10	1	10	10	1	1	1	-0.4	0
chr1:40108	10	1	10	10	1	1	1	-0.4	0
chr1:40108	10	1	10	10	1	1	1	-0.4	0
chr1:40108	10	1	10	10	1	1	1	-0.4	0
chr1:41820	10	1	10	10	1	1	1	-0.4	0
chr1:41820	10	1	10	10	1	1	1	-0.4	0
chr1:41820	10	1	10	10	1	1	1	-0.4	0
chr1:46882	10	1	10	10	1	1	1	-0.4	0
chr1:46882	10	1	10	10	1	1	1	-0.4	0
chr1:49078	10	1	10	10	1	1	1	-0.4	0
chr1:50067	10	1	10	10	1	1	1	-0.4	0
chr1:55393	10	1	10	10	1	1	1	-0.4	0
chr1:55393	10	1	10	10	1	1	1	-0.4	0
chr1:57177	10	1	10	10	1	1	1	-0.4	0
chr1:57177	10	1	10	10	1	1	1	-0.4	0
chr1:57177	10	1	10	10	1	1	1	-0.4	0
chr1:58639	10	1	10	10	1	1	1	-0.4	0
chr1:63979	10	1	10	10	1	1	1	-0.4	0
chr1:63979	10	1	10	10	1	1	1	-0.4	0
chr1:68273	10	1	10	10	1	1	1	-0.4	0
chr1:68273	10	1	10	10	1	1	1	-0.4	0
chr1:68273	10	1	10	10	1	1	1	-0.4	0
chr1:68615	10	1	10	10	1	1	1	-0.4	0
chr1:68615	10	1	10	10	1	1	1	-0.4	0
chr1:68615	10	1	10	10	1	1	1	-0.4	0
chr1:72284	10	1	10	10	1	1	1	-0.4	0
chr1:72284	10	1	10	10	1	1	1	-0.4	0
chr1:75441	10	1	10	10	1	1	1	-0.4	0
chr1:75441	10	1	10	10	1	1	1	-0.4	0
chr1:75441	10	1	10	10	1	1	1	-0.4	0
chr1:76069	10	1	10	10	1	1	1	-0.4	0
chr1:76069	10	1	10	10	1	1	1	-0.4	0
chr1:76069	10	1	10	10	1	1	1	-0.4	0
chr1:77965	10	1	10	10	1	1	1	-0.4	0
chr1:77965	10	1	10	10	1	1	1	-0.4	0
chr1:77965	10	1	10	10	1	1	1	-0.4	0
chr1:79411	10	1	10	10	1	1	1	-0.4	0
chr1:79411	10	1	10	10	1	1	1	-0.4	0
chr1:79411	10	1	10	10	1	1	1	-0.4	0
chr1:79494	10	1	10	10	1	1	1	-0.4	0
chr1:79494	10	1	10	10	1	1	1	-0.4	0
chr1:79494	10	1	10	10	1	1	1	-0.4	0
chr1:82223	10	1	10	10	1	1	1	-0.4	0
chr1:82223	10	1	10	10	1	1	1	-0.4	0
chr1:82223	10	1	10	10	1	1	1	-0.4	0
chr1:85402	10	1	10	10	1	1	1	-0.4	0
chr1:85402	10	1	10	10	1	1	1	-0.4	0
chr1:87060	10	1	10	10	1	1	1	-0.4	0
chr1:87060	10	1	10	10	1	1	1	-0.4	0
chr1:87060	10	1	10	10	1	1	1	-0.4	0
chr1:95727	10	1	10	10	1	1	1	-0.4	0
chr1:95727	10	1	10	10	1	1	1	-0.4	0
chr1:95727	10	1	10	10	1	1	1	-0.4	0
chr1:99802	10	1	10	10	1	1	1	-0.4	0
chr1:99802	10	1	10	10	1	1	1	-0.4	0
chr1:99802	10	1	10	10	1	1	1	-0.4	0
chr1:106965	10	1	10	10	1	1	1	-0.4	0
chr1:107948	10	1	10	10	1	1	1	-0.4	0
chr1:107948	10	1	10	10	1	1	1	-0.4	0
chr1:108505	10	1	10	10	1	1	1	-0.4	0
chr1:114126	10	1	10	10	1	1	1	-0.4	0
chr1:116833	10	1	10	10	1	1	1	-0.4	0
chr1:116833	10	1	10	10	1	1	1	-0.4	0
chr1:116833	10	1	10	10	1	1	1	-0.4	0
chr1:118547	10	1	10	10	1	1	1	-0.4	0
chr1:118547	10	1	10	10	1	1	1	-0.4	0
chr1:118547	10	1	10	10	1	1	1	-0.4	0
chr1:120806	10	1	10	10	1	1	1	-0.4	0
chr1:120806	10	1	10	10	1	1	1	-0.4	0
chr1:120806	10	1	10	10	1	1	1	-0.4	0
chr1:128934	10	1	10	10	1	1	1	-0.4	0
chr1:128934	10	1	10	10	1	1	1	-0.4	0
chr1:128934	10	1	10	10	1	1	1	-0.4	0
chr1:131312	10	1	10	10	1	1	1	-0.4	0
chr1:131312	10	1	10	10	1	1	1	-0.4	0
chr1:131312	10	1	10	10	1	1	1	-0.4	0
chr1:135984	10	1	10	10	1	1	1	-0.4	0
chr1:135984	10	1	10	10	1	1	1	-0.4	0
chr1:135984	10	1	10	10	1	1	1	-0.4	0
chr1:140526	10	1	10	10	1	1	1	-0.4	0
chr1:141438	10	1	10	10	1	1	1	-0.4	0
chr1:141438	10	1	10	10	1	1	1	-0.4	0
chr1:141438	10	1	10	10	1	1	1	-0.4	0
chr1:146341	10	1	10	10	1	1	1	-0.4	0
chr1:146341	10	1	10	10	1	1	1	-0.4	0
chr1:146341	10	1	10	10	1	1	1	-0.4	0
chr1:149430	10	1	10	10	1	1	1	-0.4	0
chr1:149819	10	1	10	10	1	1	1	-0.4	0
chr1:156758	10	1	10	10	1	1	1	-0.4	0
chr1:156758	10	1	10	10	1	1	1	-0.4	0
chr1:156758	10	1	10	10	1	1	1	-0.4	0
chr1:159533	10	1	10	10	1	1	1	-0.4	0
chr1:162721	10	1	10	10	1	1	1	-0.4	0
chr1:162721	10	1	10	10	1	1	1	-0.4	0
chr1:162721	10	1	10	10	1	1	1	-0.4	0
chr1:167947	10	1	10	10	1	1	1	-0.4	0
chr1:167947	10	1	10	10	1	1	1	-0.4	0
chr1:167947	10	1	10	10	1	1	1	-0.4	0
chr1:173558	10	1	10	10	1	1	1	-0.4	0
chr1:173558	10	1	10	10	1	1	1	-0.4	0
chr1:173558	10	1	10	10	1	1	1	-0.4	0
chr1:176998	10	1	10	10	1	1	1	-0.4	0
chr1:176998	10	1	10	10	1	1	1	-0.4	0
chr1:176998	10	1	10	10	1	1	1	-0.4	0
chr1:178931	10	1	10	10	1	1	1	-0.4	0
chr1:178931	10	1	10	10	1	1	1	-0.4	0
chr1:178931	10	1	10	10	1	1	1	-0.4	0
chr1:181614	10	1	10	10	1	1	1	-0.4	0
chr1:181614	10	1	10	10	1	1	1	-0.4	0
chr1:181614	10	1	10	10	1	1	1	-0.4	0
chr1:181614	10	1	10	10	1	1	1	-0.4	0
chr1:181614	10	1	10	10	1	1	1	-0.4	0
chr1:183072	10	1	10	10	1	1	1	-0.4	0
chr1:183072	10	1	10	10	1	1	1	-0.4	0
chr1:183072	10	1	10	10	1	1	1	-0.4	0
chr1:183417	10	1	10	10	1	1	1	-0.4	0
chr1:183417	10	1	10	10	1	1	1	-0.4	0
chr1:183417	10	1	10	10	1	1	1	-0.4	0
chr1:184976	10	1	10	10	1	1	1	-0.4	0
chr1:184976	10	1	10	10	1	1	1	-0.4	0
chr1:187000	10	1	10	10	1	1	1	-0.4	0
chr1:187000	10	1	10	10	1	1	1	-0.4	0
chr1:187000	10	1	10	10	1	1	1	-0.4	0
chr1:195715	10	1	10	10	1	1	1	-0.4	0
chr1:195715	10	1	10	10	1	1	1	-0.4	0
chr1:195715	10	1	10	10	1	1	1	-0.4	0
chr1:199556	10	1	10	10	1	1	1	-0.4	0
chr1:199556	10	1	10	10	1	1	1	-0.4	0
