Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:21009	10	1	10	10	1	1	1	-0.4	0
chr1:38126	10	1	10	10	1	1	1	-0.4	0
chr1:120556	10	1	10	10	1	1	1	-0.4	0
chr1:128511	10	1	10	10	1	1	1	-0.4	0
chr1:136025	10	1	10	10	1	1	1	-0.4	0
chr1:182405	10	1	10	10	1	1	1	-0.4	0
chr1:183494	10	1	10	10	1	1	1	-0.4	0
chr1:199462	10	1	10	10	1	1	1	-0.4	0
chr1:269752	10	1	10	10	1	1	1	-0.4	0
chr1:324960	10	1	10	10	1	1	1	-0.4	0
chr1:364337	10	1	10	10	1	1	1	-0.4	0
chr1:426730	10	1	10	10	1	1	1	-0.4	0
chr1:428434	10	1	10	10	1	1	1	-0.4	0
chr1:437012	10	1	10	10	1	1	1	-0.4	0
chr1:473768	10	1	10	10	1	1	1	-0.4	0
chr1:483835	10	1	10	10	1	1	1	-0.4	0
chr1:485715	10	1	10	10	1	1	1	-0.4	0
chr1:786508	10	1	10	10	1	1	1	-0.4	0
chr1:787020	10	1	10	10	1	1	1	-0.4	0
chr1:819480	10	1	10	10	1	1	1	-0.4	0
chr1:830523	10	1	10	10	1	1	1	-0.4	0
chr1:853800	10	1	10	10	1	1	1	-0.4	0
chr1:933521	10	1	10	10	1	1	1	-0.4	0
chr1:958077	10	1	10	10	1	1	1	-0.4	0
chr1:979071	10	1	10	10	1	1	1	-0.4	0
chr1:1131898	10	1	10	10	1	1	1	-0.4	0
chr1:1333528	10	1	10	10	1	1	1	-0.4	0
chr1:1337968	10	1	10	10	1	1	1	-0.4	0
chr1:1659493	10	1	10	10	1	1	1	-0.4	0
chr1:1709596	10	1	10	10	1	1	1	-0.4	0
chr1:1815571	10	1	10	10	1	1	1	-0.4	0
chr1:1882718	10	1	10	10	1	1	1	-0.4	0
chr1:1977633	10	1	10	10	1	1	1	-0.4	0
chr1:2013557	10	1	10	10	1	1	1	-0.4	0
chr1:2152452	10	1	10	10	1	1	1	-0.4	0
chr1:2168433	10	1	10	10	1	1	1	-0.4	0
chr1:2188471	10	1	10	10	1	1	1	-0.4	0
chr1:2191143	10	1	10	10	1	1	1	-0.4	0
chr1:2197370	10	1	10	10	1	1	1	-0.4	0
chr1:2199896	10	1	10	10	1	1	1	-0.4	0
chr1:2224555	10	1	10	10	1	1	1	-0.4	0
chr1:2312801	10	1	10	10	1	1	1	-0.4	0
chr1:2339723	10	1	10	10	1	1	1	-0.4	0
chr1:2348940	10	1	10	10	1	1	1	-0.4	0
chr1:2352065	10	1	10	10	1	1	1	-0.4	0
chr1:2368685	10	1	10	10	1	1	1	-0.4	0
chr1:2518721	10	1	10	10	1	1	1	-0.4	0
chr1:2522849	10	1	10	10	1	1	1	-0.4	0
chr1:2530323	10	1	10	10	1	1	1	-0.4	0
chr1:2590300	10	1	10	10	1	1	1	-0.4	0
chr1:2621638	10	1	10	10	1	1	1	-0.4	0
chr1:2755737	10	1	10	10	1	1	1	-0.4	0
chr1:2818160	10	1	10	10	1	1	1	-0.4	0
chr1:2848259	10	1	10	10	1	1	1	-0.4	0
chr1:2872697	10	1	10	10	1	1	1	-0.4	0
chr1:3122468	10	1	10	10	1	1	1	-0.4	0
chr1:3184491	10	1	10	10	1	1	1	-0.4	0
chr1:3240248	10	1	10	10	1	1	1	-0.4	0
chr1:3255818	10	1	10	10	1	1	1	-0.4	0
chr1:3269999	10	1	10	10	1	1	1	-0.4	0
chr1:3272628	10	1	10	10	1	1	1	-0.4	0
chr1:3442488	10	1	10	10	1	1	1	-0.4	0
chr1:3554100	10	1	10	10	1	1	1	-0.4	0
chr1:3671243	10	1	10	10	1	1	1	-0.4	0
chr1:3681685	10	1	10	10	1	1	1	-0.4	0
chr1:3709673	10	1	10	10	1	1	1	-0.4	0
chr1:3760386	10	1	10	10	1	1	1	-0.4	0
chr1:3774614	10	1	10	10	1	1	1	-0.4	0
chr1:3993912	10	1	10	10	1	1	1	-0.4	0
chr1:4102731	10	1	10	10	1	1	1	-0.4	0
chr1:4242811	10	1	10	10	1	1	1	-0.4	0
chr1:4243276	10	1	10	10	1	1	1	-0.4	0
chr1:4268881	10	1	10	10	1	1	1	-0.4	0
chr1:4276232	10	1	10	10	1	1	1	-0.4	0
chr1:4321027	10	1	10	10	1	1	1	-0.4	0
chr1:4413032	10	1	10	10	1	1	1	-0.4	0
chr1:4458569	10	1	10	10	1	1	1	-0.4	0
chr1:4534113	10	1	10	10	1	1	1	-0.4	0
chr1:4536256	10	1	10	10	1	1	1	-0.4	0
chr1:4540782	10	1	10	10	1	1	1	-0.4	0
chr1:4555729	10	1	10	10	1	1	1	-0.4	0
chr1:4590956	10	1	10	10	1	1	1	-0.4	0
chr1:4647785	10	1	10	10	1	1	1	-0.4	0
chr1:4872761	10	1	10	10	1	1	1	-0.4	0
chr1:4893562	10	1	10	10	1	1	1	-0.4	0
chr1:4964533	10	1	10	10	1	1	1	-0.4	0
chr1:4976219	10	1	10	10	1	1	1	-0.4	0
chr1:4998023	10	1	10	10	1	1	1	-0.4	0
chr1:5091526	10	1	10	10	1	1	1	-0.4	0
chr1:5129606	10	1	10	10	1	1	1	-0.4	0
chr1:5130585	10	1	10	10	1	1	1	-0.4	0
chr1:5145683	10	1	10	10	1	1	1	-0.4	0
chr1:5151513	10	1	10	10	1	1	1	-0.4	0
chr1:5177333	10	1	10	10	1	1	1	-0.4	0
chr1:5202634	10	1	10	10	1	1	1	-0.4	0
chr1:5315057	10	1	10	10	1	1	1	-0.4	0
chr1:5386643	10	1	10	10	1	1	1	-0.4	0
chr1:5525345	10	1	10	10	1	1	1	-0.4	0
chr1:5532221	10	1	10	10	1	1	1	-0.4	0
chr1:5539819	10	1	10	10	1	1	1	-0.4	0
chr1:5617820	10	1	10	10	1	1	1	-0.4	0
chr1:5685229	10	1	10	10	1	1	1	-0.4	0
chr1:5842996	10	1	10	10	1	1	1	-0.4	0
chr1:6027529	10	1	10	10	1	1	1	-0.4	0
