Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:15880456	10	1	10	10	-1	94.08	1	-0.4	0
chr4:17709262	10	1	10	10	-1	93.52	1	-0.4	0
chr1:30260835	10	1	10	10	-1	92.97	1	-0.4	0
chr1:26118018	10	1	10	10	-1	92.54	1	-0.4	0
chr2:9696785	10	1	10	10	-1	91.51	1	-0.4	0
chr5:5955798	10	1	10	10	-1	91.31	1	-0.4	0
chr4:8240635	10	1	10	10	-1	91.14	1	-0.4	0
chr5:24003790	10	1	10	10	-1	90.76	1	-0.4	0
chr1:12685111	10	1	10	10	-1	90.21	1	-0.4	0
chr1:25941592	10	1	10	10	-1	89.8	1	-0.4	0
chr5:19711483	10	1	10	10	-1	89.66	1	-0.4	0
chr1:6754332	10	1	10	10	-1	89.43	1	-0.4	0
chr5:24478865	10	1	10	10	-1	89.24	1	-0.4	0
chr3:19251050	10	1	10	10	-1	89.23	1	-0.4	0
chr2:12707971	10	1	10	10	-1	88.34	1	-0.4	0
chr2:16473994	10	1	10	10	-1	87.92	1	-0.4	0
chr2:15207728	10	1	10	10	-1	87.9	1	-0.4	0
chr1:21732465	10	1	10	10	-1	87.77	1	-0.4	0
chr2:19491315	10	1	10	10	-1	87.72	1	-0.4	0
chr1:2432213	10	1	10	10	-1	87.7	1	-0.4	0
chr3:1635054	10	1	10	10	-1	87.59	1	-0.4	0
chr1:21207245	10	1	10	10	-1	87.01	1	-0.4	0
chr3:3919167	10	1	10	10	-1	86.9	1	-0.4	0
chr2:1515737	10	1	10	10	-1	86.73	1	-0.4	0
chr5:5122296	10	1	10	10	-1	86.68	1	-0.4	0
chr1:807253	10	1	10	10	-1	86.6	1	-0.4	0
chr3:17420397	10	1	10	10	-1	86.39	1	-0.4	0
chr5:23999852	10	1	10	10	-1	86.11	1	-0.4	0
chr5:9944969	10	1	10	10	-1	86.08	1	-0.4	0
chr1:10365275	10	1	10	10	-1	85.86	1	-0.4	0
chr5:721779	10	1	10	10	-1	85.66	1	-0.4	0
chr5:24990659	10	1	10	10	-1	85.64	1	-0.4	0
chr4:17363717	10	1	10	10	-1	85.42	1	-0.4	0
chr3:201838	10	1	10	10	-1	85.36	1	-0.4	0
chr5:21118011	10	1	10	10	-1	85.19	1	-0.4	0
chr2:15104551	10	1	10	10	-1	84.77	1	-0.4	0
chr5:11025022	10	1	10	10	-1	84.77	1	-0.4	0
chr4:535120	10	1	10	10	-1	84.54	1	-0.4	0
chr3:6805313	10	1	10	10	-1	84.49	1	-0.4	0
chr5:26394628	10	1	10	10	-1	84.48	1	-0.4	0
chr5:2985553	10	1	10	10	-1	84.46	1	-0.4	0
chr3:10119930	10	1	10	10	-1	84.45	1	-0.4	0
chr5:20943349	10	1	10	10	-1	84.11	1	-0.4	0
chr3:2113716	10	1	10	10	-1	84.08	1	-0.4	0
chr4:16130604	10	1	10	10	-1	84.02	1	-0.4	0
chr3:3923465	10	1	10	10	-1	83.9	1	-0.4	0
chr3:11252672	10	1	10	10	-1	83.83	1	-0.4	0
chr2:14651961	10	1	10	10	-1	83.79	1	-0.4	0
chr3:20714873	10	1	10	10	-1	83.71	1	-0.4	0
chr1:11693715	10	1	10	10	-1	83.69	1	-0.4	0
chr3:877556	10	1	10	10	-1	83.58	1	-0.4	0
chr2:18786539	10	1	10	10	-1	83.56	1	-0.4	0
chr5:4722366	10	1	10	10	-1	83.42	1	-0.4	0
chr4:13022899	10	1	10	10	-1	83.31	1	-0.4	0
