Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:3217	10	1	10	10	1	1	1	-0.4	0
chr1:21082	10	1	10	10	1	1	1	-0.4	0
chr1:21082	10	1	10	10	1	1	1	-0.4	0
chr1:21082	10	1	10	10	1	1	1	-0.4	0
chr1:38135	10	1	10	10	1	1	1	-0.4	0
chr1:38135	10	1	10	10	1	1	1	-0.4	0
chr1:38135	10	1	10	10	1	1	1	-0.4	0
chr1:46871	10	1	10	10	1	1	1	-0.4	0
chr1:49899	10	1	10	10	1	1	1	-0.4	0
chr1:57285	10	1	10	10	1	1	1	-0.4	0
chr1:57285	10	1	10	10	1	1	1	-0.4	0
chr1:57285	10	1	10	10	1	1	1	-0.4	0
chr1:58134	10	1	10	10	1	1	1	-0.4	0
chr1:67646	10	1	10	10	1	1	1	-0.4	0
chr1:67646	10	1	10	10	1	1	1	-0.4	0
chr1:68611	10	1	10	10	1	1	1	-0.4	0
chr1:68611	10	1	10	10	1	1	1	-0.4	0
chr1:68611	10	1	10	10	1	1	1	-0.4	0
chr1:75440	10	1	10	10	1	1	1	-0.4	0
chr1:75914	10	1	10	10	1	1	1	-0.4	0
chr1:76420	10	1	10	10	1	1	1	-0.4	0
chr1:76420	10	1	10	10	1	1	1	-0.4	0
chr1:82258	10	1	10	10	1	1	1	-0.4	0
chr1:82258	10	1	10	10	1	1	1	-0.4	0
chr1:87216	10	1	10	10	1	1	1	-0.4	0
chr1:97467	10	1	10	10	1	1	1	-0.4	0
chr1:99589	10	1	10	10	1	1	1	-0.4	0
chr1:107814	10	1	10	10	1	1	1	-0.4	0
chr1:118606	10	1	10	10	1	1	1	-0.4	0
chr1:118606	10	1	10	10	1	1	1	-0.4	0
chr1:120670	10	1	10	10	1	1	1	-0.4	0
chr1:120670	10	1	10	10	1	1	1	-0.4	0
chr1:120670	10	1	10	10	1	1	1	-0.4	0
chr1:128475	10	1	10	10	1	1	1	-0.4	0
chr1:128475	10	1	10	10	1	1	1	-0.4	0
chr1:128475	10	1	10	10	1	1	1	-0.4	0
chr1:128888	10	1	10	10	1	1	1	-0.4	0
chr1:136030	10	1	10	10	1	1	1	-0.4	0
chr1:136030	10	1	10	10	1	1	1	-0.4	0
chr1:136030	10	1	10	10	1	1	1	-0.4	0
chr1:140688	10	1	10	10	1	1	1	-0.4	0
chr1:146304	10	1	10	10	1	1	1	-0.4	0
chr1:156610	10	1	10	10	1	1	1	-0.4	0
chr1:156610	10	1	10	10	1	1	1	-0.4	0
chr1:156610	10	1	10	10	1	1	1	-0.4	0
chr1:156874	10	1	10	10	1	1	1	-0.4	0
chr1:163110	10	1	10	10	1	1	1	-0.4	0
chr1:173581	10	1	10	10	1	1	1	-0.4	0
chr1:173581	10	1	10	10	1	1	1	-0.4	0
chr1:173581	10	1	10	10	1	1	1	-0.4	0
chr1:178885	10	1	10	10	1	1	1	-0.4	0
chr1:178885	10	1	10	10	1	1	1	-0.4	0
chr1:178885	10	1	10	10	1	1	1	-0.4	0
chr1:182429	10	1	10	10	1	1	1	-0.4	0
chr1:182429	10	1	10	10	1	1	1	-0.4	0
chr1:182429	10	1	10	10	1	1	1	-0.4	0
chr1:183538	10	1	10	10	1	1	1	-0.4	0
chr1:183538	10	1	10	10	1	1	1	-0.4	0
chr1:183538	10	1	10	10	1	1	1	-0.4	0
chr1:187061	10	1	10	10	1	1	1	-0.4	0
