Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:57149	10	1	10	10	1	1	1	-0.4	0
chr1:63966	10	1	10	10	1	1	1	-0.4	0
chr1:68513	10	1	10	10	1	1	1	-0.4	0
chr1:118606	10	1	10	10	1	1	1	-0.4	0
chr1:156618	10	1	10	10	1	1	1	-0.4	0
chr1:199532	10	1	10	10	1	1	1	-0.4	0
chr1:201242	10	1	10	10	1	1	1	-0.4	0
chr1:201811	10	1	10	10	1	1	1	-0.4	0
chr1:225366	10	1	10	10	1	1	1	-0.4	0
chr1:225946	10	1	10	10	1	1	1	-0.4	0
chr1:227494	10	1	10	10	1	1	1	-0.4	0
chr1:269860	10	1	10	10	1	1	1	-0.4	0
chr1:325256	10	1	10	10	1	1	1	-0.4	0
chr1:364239	10	1	10	10	1	1	1	-0.4	0
chr1:426573	10	1	10	10	1	1	1	-0.4	0
chr1:431153	10	1	10	10	1	1	1	-0.4	0
chr1:468938	10	1	10	10	1	1	1	-0.4	0
chr1:469569	10	1	10	10	1	1	1	-0.4	0
chr1:471656	10	1	10	10	1	1	1	-0.4	0
chr1:572020	10	1	10	10	1	1	1	-0.4	0
chr1:574404	10	1	10	10	1	1	1	-0.4	0
chr1:575805	10	1	10	10	1	1	1	-0.4	0
chr1:634131	10	1	10	10	1	1	1	-0.4	0
chr1:787476	10	1	10	10	1	1	1	-0.4	0
chr1:880295	10	1	10	10	1	1	1	-0.4	0
chr1:899986	10	1	10	10	1	1	1	-0.4	0
chr1:900692	10	1	10	10	1	1	1	-0.4	0
chr1:957001	10	1	10	10	1	1	1	-0.4	0
chr1:982445	10	1	10	10	1	1	1	-0.4	0
chr1:983406	10	1	10	10	1	1	1	-0.4	0
chr1:984098	10	1	10	10	1	1	1	-0.4	0
chr1:1028399	10	1	10	10	1	1	1	-0.4	0
chr1:1128479	10	1	10	10	1	1	1	-0.4	0
chr1:1130716	10	1	10	10	1	1	1	-0.4	0
chr1:1138178	10	1	10	10	1	1	1	-0.4	0
chr1:1139130	10	1	10	10	1	1	1	-0.4	0
chr1:1145853	10	1	10	10	1	1	1	-0.4	0
chr1:1189069	10	1	10	10	1	1	1	-0.4	0
chr1:1236525	10	1	10	10	1	1	1	-0.4	0
chr1:1275295	10	1	10	10	1	1	1	-0.4	0
chr1:1713538	10	1	10	10	1	1	1	-0.4	0
chr1:1762201	10	1	10	10	1	1	1	-0.4	0
chr1:1766560	10	1	10	10	1	1	1	-0.4	0
chr1:1773827	10	1	10	10	1	1	1	-0.4	0
chr1:1953945	10	1	10	10	1	1	1	-0.4	0
chr1:2142137	10	1	10	10	1	1	1	-0.4	0
chr1:2172483	10	1	10	10	1	1	1	-0.4	0
chr1:2175133	10	1	10	10	1	1	1	-0.4	0
chr1:2277835	10	1	10	10	1	1	1	-0.4	0
chr1:2348951	10	1	10	10	1	1	1	-0.4	0
