Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr5:14755534	10	1	10	10	-1	156.2	1	-0.4	0
chr1:21030756	10	1	10	10	-1	153.05	1	-0.4	0
chr2:6018382	10	1	10	10	-1	151.87	1	-0.4	0
chr5:16135219	10	1	10	10	-1	150.83	1	-0.4	0
chr3:21827667	10	1	10	10	-1	149.93	1	-0.4	0
chr2:18000695	10	1	10	10	-1	149.46	1	-0.4	0
chr5:3524413	10	1	10	10	-1	149.15	1	-0.4	0
chr5:19563887	10	1	10	10	-1	148.65	1	-0.4	0
chr3:11725325	10	1	10	10	-1	147.59	1	-0.4	0
chr1:2972358	10	1	10	10	-1	145.36	1	-0.4	0
chr3:8685444	10	1	10	10	-1	145.27	1	-0.4	0
chr5:22359426	10	1	10	10	-1	143.73	1	-0.4	0
chr3:3271391	10	1	10	10	-1	142.93	1	-0.4	0
chr5:4156541	10	1	10	10	-1	141.96	1	-0.4	0
chr3:2113716	10	1	10	10	-1	141.43	1	-0.4	0
chr1:29363117	10	1	10	10	-1	140.66	1	-0.4	0
chr2:17490094	10	1	10	10	-1	140.66	1	-0.4	0
chr3:10216862	10	1	10	10	-1	140.1	1	-0.4	0
chr3:21516655	10	1	10	10	-1	139.9	1	-0.4	0
chr3:5812881	10	1	10	10	-1	139.13	1	-0.4	0
chr3:16912177	10	1	10	10	-1	139	1	-0.4	0
chr3:6780409	10	1	10	10	-1	138.37	1	-0.4	0
chr5:2985575	10	1	10	10	-1	138.37	1	-0.4	0
chr1:7090120	10	1	10	10	-1	137.61	1	-0.4	0
chr4:18486507	10	1	10	10	-1	137.61	1	-0.4	0
chr1:2976900	10	1	10	10	-1	137.15	1	-0.4	0
chr2:11978107	10	1	10	10	-1	136.85	1	-0.4	0
chr4:131285	10	1	10	10	-1	136.85	1	-0.4	0
chr5:309012	10	1	10	10	-1	136.85	1	-0.4	0
chr5:442348	10	1	10	10	-1	136.1	1	-0.4	0
chr2:937298	10	1	10	10	-1	135.95	1	-0.4	0
chr5:24829876	10	1	10	10	-1	135.82	1	-0.4	0
chr1:18061408	10	1	10	10	-1	135.69	1	-0.4	0
chr1:10586767	10	1	10	10	-1	135.6	1	-0.4	0
chr1:28805010	10	1	10	10	-1	135.37	1	-0.4	0
chr1:3995271	10	1	10	10	-1	134.8	1	-0.4	0
chr2:18965090	10	1	10	10	-1	134.59	1	-0.4	0
chr4:6100605	10	1	10	10	-1	134.59	1	-0.4	0
chr5:17581316	10	1	10	10	-1	134.59	1	-0.4	0
chr5:23077125	10	1	10	10	-1	134.02	1	-0.4	0
chr5:25337049	10	1	10	10	-1	133.83	1	-0.4	0
chr1:2931962	10	1	10	10	-1	133.54	1	-0.4	0
chr3:19889200	10	1	10	10	-1	133.3	1	-0.4	0
chr4:16295175	10	1	10	10	-1	133.25	1	-0.4	0
chr1:11612050	10	1	10	10	-1	133.05	1	-0.4	0
chr5:19309095	10	1	10	10	-1	132.86	1	-0.4	0
chr1:364302	10	1	10	10	-1	132.73	1	-0.4	0
chr1:16137663	10	1	10	10	-1	132.68	1	-0.4	0
chr1:4365399	10	1	10	10	-1	132.67	1	-0.4	0
chr3:17248813	10	1	10	10	-1	132.67	1	-0.4	0
chr3:17778263	10	1	10	10	-1	132.58	1	-0.4	0
chr5:721741	10	1	10	10	-1	132.49	1	-0.4	0
chr1:17846908	10	1	10	10	-1	132.33	1	-0.4	0
chr1:228333	10	1	10	10	-1	132.33	1	-0.4	0
chr1:26469559	10	1	10	10	-1	132.33	1	-0.4	0
chr4:2352068	10	1	10	10	-1	132.33	1	-0.4	0
