Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:1157868	10	1	10	10	1	1	1	-0.4	0
chr1:1157868	10	1	10	10	1	1	1	-0.4	0
chr1:1481098	10	1	10	10	1	1	1	-0.4	0
chr1:1481098	10	1	10	10	1	1	1	-0.4	0
chr1:1841131	10	1	10	10	1	1	1	-0.4	0
chr1:1841131	10	1	10	10	1	1	1	-0.4	0
chr1:2670141	10	1	10	10	1	1	1	-0.4	0
chr1:2690206	10	1	10	10	1	1	1	-0.4	0
chr1:2690736	10	1	10	10	1	1	1	-0.4	0
chr1:2862832	10	1	10	10	1	1	1	-0.4	0
chr1:3072592	10	1	10	10	1	1	1	-0.4	0
chr1:3072592	10	1	10	10	1	1	1	-0.4	0
chr1:3076703	10	1	10	10	1	1	1	-0.4	0
chr1:3076703	10	1	10	10	1	1	1	-0.4	0
chr1:3100872	10	1	10	10	1	1	1	-0.4	0
chr1:3283780	10	1	10	10	1	1	1	-0.4	0
chr1:3324622	10	1	10	10	1	1	1	-0.4	0
chr1:3324622	10	1	10	10	1	1	1	-0.4	0
chr1:3441060	10	1	10	10	1	1	1	-0.4	0
chr1:3770471	10	1	10	10	1	1	1	-0.4	0
chr1:4541793	10	1	10	10	1	1	1	-0.4	0
chr1:4541793	10	1	10	10	1	1	1	-0.4	0
chr1:5006412	10	1	10	10	1	1	1	-0.4	0
chr1:5138059	10	1	10	10	1	1	1	-0.4	0
chr1:5145676	10	1	10	10	1	1	1	-0.4	0
chr1:5145676	10	1	10	10	1	1	1	-0.4	0
chr1:5596273	10	1	10	10	1	1	1	-0.4	0
chr1:5596273	10	1	10	10	1	1	1	-0.4	0
chr1:5895162	10	1	10	10	1	1	1	-0.4	0
chr1:6298415	10	1	10	10	1	1	1	-0.4	0
chr1:6298415	10	1	10	10	1	1	1	-0.4	0
chr1:6456530	10	1	10	10	1	1	1	-0.4	0
chr1:6456530	10	1	10	10	1	1	1	-0.4	0
chr1:6687304	10	1	10	10	1	1	1	-0.4	0
chr1:6687304	10	1	10	10	1	1	1	-0.4	0
chr1:6731598	10	1	10	10	1	1	1	-0.4	0
chr1:6731598	10	1	10	10	1	1	1	-0.4	0
chr1:6832440	10	1	10	10	1	1	1	-0.4	0
chr1:6911516	10	1	10	10	1	1	1	-0.4	0
chr1:7270628	10	1	10	10	1	1	1	-0.4	0
chr1:7321397	10	1	10	10	1	1	1	-0.4	0
chr1:7368903	10	1	10	10	1	1	1	-0.4	0
chr1:7833041	10	1	10	10	1	1	1	-0.4	0
chr1:7833041	10	1	10	10	1	1	1	-0.4	0
chr1:8843175	10	1	10	10	1	1	1	-0.4	0
chr1:8983707	10	1	10	10	1	1	1	-0.4	0
chr1:8985000	10	1	10	10	1	1	1	-0.4	0
chr1:8985000	10	1	10	10	1	1	1	-0.4	0
chr1:9094368	10	1	10	10	1	1	1	-0.4	0
chr1:9094368	10	1	10	10	1	1	1	-0.4	0
chr1:9095450	10	1	10	10	1	1	1	-0.4	0
chr1:9095450	10	1	10	10	1	1	1	-0.4	0
chr1:9461096	10	1	10	10	1	1	1	-0.4	0
chr1:9959522	10	1	10	10	1	1	1	-0.4	0
chr1:10123292	10	1	10	10	1	1	1	-0.4	0
chr1:11227954	10	1	10	10	1	1	1	-0.4	0
chr1:11827349	10	1	10	10	1	1	1	-0.4	0
chr1:11827349	10	1	10	10	1	1	1	-0.4	0
chr1:11861053	10	1	10	10	1	1	1	-0.4	0
chr1:12041387	10	1	10	10	1	1	1	-0.4	0
chr1:13453364	10	1	10	10	1	1	1	-0.4	0
chr1:13453364	10	1	10	10	1	1	1	-0.4	0
chr1:13462846	10	1	10	10	1	1	1	-0.4	0
chr1:13462846	10	1	10	10	1	1	1	-0.4	0
chr1:15082165	10	1	10	10	1	1	1	-0.4	0
chr1:15082849	10	1	10	10	1	1	1	-0.4	0
chr1:15083718	10	1	10	10	1	1	1	-0.4	0
chr1:15083718	10	1	10	10	1	1	1	-0.4	0
chr1:15084447	10	1	10	10	1	1	1	-0.4	0
chr1:15084447	10	1	10	10	1	1	1	-0.4	0
chr1:15084864	10	1	10	10	1	1	1	-0.4	0
chr1:15084864	10	1	10	10	1	1	1	-0.4	0
chr1:15085668	10	1	10	10	1	1	1	-0.4	0
chr1:15085950	10	1	10	10	1	1	1	-0.4	0
chr1:18104936	10	1	10	10	1	1	1	-0.4	0
chr1:18323489	10	1	10	10	1	1	1	-0.4	0
chr1:18380054	10	1	10	10	1	1	1	-0.4	0
chr1:18380054	10	1	10	10	1	1	1	-0.4	0
chr1:18560495	10	1	10	10	1	1	1	-0.4	0
chr1:18560495	10	1	10	10	1	1	1	-0.4	0
chr1:18680690	10	1	10	10	1	1	1	-0.4	0
chr1:18680690	10	1	10	10	1	1	1	-0.4	0
chr1:19250950	10	1	10	10	1	1	1	-0.4	0
chr1:19250950	10	1	10	10	1	1	1	-0.4	0
