Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:21359	10	1	10	10	1	1	1	-0.4	0
chr1:38099	10	1	10	10	1	1	1	-0.4	0
chr1:49919	10	1	10	10	1	1	1	-0.4	0
chr1:51298	10	1	10	10	1	1	1	-0.4	0
chr1:57259	10	1	10	10	1	1	1	-0.4	0
chr1:97481	10	1	10	10	1	1	1	-0.4	0
chr1:99654	10	1	10	10	1	1	1	-0.4	0
chr1:108586	10	1	10	10	1	1	1	-0.4	0
chr1:118630	10	1	10	10	1	1	1	-0.4	0
chr1:120694	10	1	10	10	1	1	1	-0.4	0
chr1:128489	10	1	10	10	1	1	1	-0.4	0
chr1:136053	10	1	10	10	1	1	1	-0.4	0
chr1:146355	10	1	10	10	1	1	1	-0.4	0
chr1:156667	10	1	10	10	1	1	1	-0.4	0
chr1:173539	10	1	10	10	1	1	1	-0.4	0
chr1:177005	10	1	10	10	1	1	1	-0.4	0
chr1:178754	10	1	10	10	1	1	1	-0.4	0
chr1:179157	10	1	10	10	1	1	1	-0.4	0
chr1:180131	10	1	10	10	1	1	1	-0.4	0
chr1:181045	10	1	10	10	1	1	1	-0.4	0
chr1:182461	10	1	10	10	1	1	1	-0.4	0
chr1:183570	10	1	10	10	1	1	1	-0.4	0
chr1:187120	10	1	10	10	1	1	1	-0.4	0
chr1:198552	10	1	10	10	1	1	1	-0.4	0
chr1:199478	10	1	10	10	1	1	1	-0.4	0
chr1:201712	10	1	10	10	1	1	1	-0.4	0
chr1:207100	10	1	10	10	1	1	1	-0.4	0
chr1:207635	10	1	10	10	1	1	1	-0.4	0
chr1:228853	10	1	10	10	1	1	1	-0.4	0
chr1:237887	10	1	10	10	1	1	1	-0.4	0
chr1:269711	10	1	10	10	1	1	1	-0.4	0
chr1:282726	10	1	10	10	1	1	1	-0.4	0
chr1:315911	10	1	10	10	1	1	1	-0.4	0
chr1:325274	10	1	10	10	1	1	1	-0.4	0
chr1:342293	10	1	10	10	1	1	1	-0.4	0
chr1:364366	10	1	10	10	1	1	1	-0.4	0
chr1:393034	10	1	10	10	1	1	1	-0.4	0
chr1:395709	10	1	10	10	1	1	1	-0.4	0
chr1:414804	10	1	10	10	1	1	1	-0.4	0
chr1:426715	10	1	10	10	1	1	1	-0.4	0
chr1:428341	10	1	10	10	1	1	1	-0.4	0
chr1:431177	10	1	10	10	1	1	1	-0.4	0
chr1:437043	10	1	10	10	1	1	1	-0.4	0
chr1:468460	10	1	10	10	1	1	1	-0.4	0
chr1:473834	10	1	10	10	1	1	1	-0.4	0
chr1:483963	10	1	10	10	1	1	1	-0.4	0
chr1:485762	10	1	10	10	1	1	1	-0.4	0
chr1:486767	10	1	10	10	1	1	1	-0.4	0
chr1:488352	10	1	10	10	1	1	1	-0.4	0
chr1:493355	10	1	10	10	1	1	1	-0.4	0
chr1:498914	10	1	10	10	1	1	1	-0.4	0
chr1:509130	10	1	10	10	1	1	1	-0.4	0
chr1:521925	10	1	10	10	1	1	1	-0.4	0
chr1:552610	10	1	10	10	1	1	1	-0.4	0
chr1:556201	10	1	10	10	1	1	1	-0.4	0
chr1:617294	10	1	10	10	1	1	1	-0.4	0
chr1:659963	10	1	10	10	1	1	1	-0.4	0
chr1:706709	10	1	10	10	1	1	1	-0.4	0
chr1:738153	10	1	10	10	1	1	1	-0.4	0
chr1:773215	10	1	10	10	1	1	1	-0.4	0
chr1:780256	10	1	10	10	1	1	1	-0.4	0
chr1:786606	10	1	10	10	1	1	1	-0.4	0
chr1:787013	10	1	10	10	1	1	1	-0.4	0
chr1:788445	10	1	10	10	1	1	1	-0.4	0
chr1:830548	10	1	10	10	1	1	1	-0.4	0
chr1:835733	10	1	10	10	1	1	1	-0.4	0
chr1:853918	10	1	10	10	1	1	1	-0.4	0
chr1:865306	10	1	10	10	1	1	1	-0.4	0
chr1:868261	10	1	10	10	1	1	1	-0.4	0
chr1:871472	10	1	10	10	1	1	1	-0.4	0
chr1:877710	10	1	10	10	1	1	1	-0.4	0
chr1:918036	10	1	10	10	1	1	1	-0.4	0
chr1:931843	10	1	10	10	1	1	1	-0.4	0
chr1:933520	10	1	10	10	1	1	1	-0.4	0
chr1:958141	10	1	10	10	1	1	1	-0.4	0
chr1:978917	10	1	10	10	1	1	1	-0.4	0
