Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:298488	10	1	10	10	1	1	1	-0.4	0
chr1:471633	10	1	10	10	1	1	1	-0.4	0
chr1:559815	10	1	10	10	1	1	1	-0.4	0
chr1:1704991	10	1	10	10	1	1	1	-0.4	0
chr1:2283150	10	1	10	10	1	1	1	-0.4	0
chr1:3101323	10	1	10	10	1	1	1	-0.4	0
chr1:3283998	10	1	10	10	1	1	1	-0.4	0
chr1:3522906	10	1	10	10	1	1	1	-0.4	0
chr1:4461852	10	1	10	10	1	1	1	-0.4	0
chr1:4542259	10	1	10	10	1	1	1	-0.4	0
chr1:4991183	10	1	10	10	1	1	1	-0.4	0
chr1:6904738	10	1	10	10	1	1	1	-0.4	0
chr1:7038288	10	1	10	10	1	1	1	-0.4	0
chr1:7656272	10	1	10	10	1	1	1	-0.4	0
chr1:7656272	10	1	10	10	1	1	1	-0.4	0
chr1:7798072	10	1	10	10	1	1	1	-0.4	0
chr1:8487541	10	1	10	10	1	1	1	-0.4	0
chr1:8598718	10	1	10	10	1	1	1	-0.4	0
chr1:8728600	10	1	10	10	1	1	1	-0.4	0
chr1:8983133	10	1	10	10	1	1	1	-0.4	0
chr1:8985122	10	1	10	10	1	1	1	-0.4	0
chr1:9425300	10	1	10	10	1	1	1	-0.4	0
chr1:9456604	10	1	10	10	1	1	1	-0.4	0
chr1:9860923	10	1	10	10	1	1	1	-0.4	0
chr1:10362425	10	1	10	10	1	1	1	-0.4	0
chr1:12251936	10	1	10	10	1	1	1	-0.4	0
chr1:12251936	10	1	10	10	1	1	1	-0.4	0
chr1:14721341	10	1	10	10	1	1	1	-0.4	0
chr1:14721341	10	1	10	10	1	1	1	-0.4	0
chr1:14721960	10	1	10	10	1	1	1	-0.4	0
chr1:15082217	10	1	10	10	1	1	1	-0.4	0
chr1:15082217	10	1	10	10	1	1	1	-0.4	0
chr1:15082832	10	1	10	10	1	1	1	-0.4	0
chr1:15082832	10	1	10	10	1	1	1	-0.4	0
chr1:15083720	10	1	10	10	1	1	1	-0.4	0
chr1:15083720	10	1	10	10	1	1	1	-0.4	0
chr1:15084444	10	1	10	10	1	1	1	-0.4	0
chr1:15084444	10	1	10	10	1	1	1	-0.4	0
chr1:15084649	10	1	10	10	1	1	1	-0.4	0
chr1:15084649	10	1	10	10	1	1	1	-0.4	0
chr1:15085670	10	1	10	10	1	1	1	-0.4	0
chr1:15085670	10	1	10	10	1	1	1	-0.4	0
chr1:15099906	10	1	10	10	1	1	1	-0.4	0
chr1:16509889	10	1	10	10	1	1	1	-0.4	0
chr1:16900894	10	1	10	10	1	1	1	-0.4	0
chr1:17875178	10	1	10	10	1	1	1	-0.4	0
chr1:18680162	10	1	10	10	1	1	1	-0.4	0
chr1:18681155	10	1	10	10	1	1	1	-0.4	0
chr1:18942656	10	1	10	10	1	1	1	-0.4	0
chr1:18945766	10	1	10	10	1	1	1	-0.4	0
chr1:19496340	10	1	10	10	1	1	1	-0.4	0
chr1:19574820	10	1	10	10	1	1	1	-0.4	0
chr1:19574820	10	1	10	10	1	1	1	-0.4	0
chr1:20511115	10	1	10	10	1	1	1	-0.4	0
chr1:21228163	10	1	10	10	1	1	1	-0.4	0
chr1:22318484	10	1	10	10	1	1	1	-0.4	0
chr1:22318484	10	1	10	10	1	1	1	-0.4	0
chr1:22829795	10	1	10	10	1	1	1	-0.4	0
chr1:24096222	10	1	10	10	1	1	1	-0.4	0
chr1:24136071	10	1	10	10	1	1	1	-0.4	0
chr1:24263455	10	1	10	10	1	1	1	-0.4	0
chr1:24621086	10	1	10	10	1	1	1	-0.4	0
chr1:25456202	10	1	10	10	1	1	1	-0.4	0
chr1:25833573	10	1	10	10	1	1	1	-0.4	0
chr1:25834342	10	1	10	10	1	1	1	-0.4	0
chr1:25834342	10	1	10	10	1	1	1	-0.4	0
chr1:25837838	10	1	10	10	1	1	1	-0.4	0
chr1:25838354	10	1	10	10	1	1	1	-0.4	0
chr1:25838495	10	1	10	10	1	1	1	-0.4	0
chr1:25844735	10	1	10	10	1	1	1	-0.4	0
chr1:25846920	10	1	10	10	1	1	1	-0.4	0
chr1:25847690	10	1	10	10	1	1	1	-0.4	0
