Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr5:19309085	10	1	10	10	-1	219.6	1	-0.4	0
chr4:6100634	10	1	10	10	-1	219.01	1	-0.4	0
chr5:19099683	10	1	10	10	-1	219.01	1	-0.4	0
chr5:21306826	10	1	10	10	-1	219.01	1	-0.4	0
chr5:25379452	10	1	10	10	-1	219.01	1	-0.4	0
chr2:15099880	10	1	10	10	-1	218.05	1	-0.4	0
chr1:29363137	10	1	10	10	-1	217.1	1	-0.4	0
chr2:19154112	10	1	10	10	-1	217.1	1	-0.4	0
chr3:17362280	10	1	10	10	-1	217.1	1	-0.4	0
chr5:2167243	10	1	10	10	-1	217.1	1	-0.4	0
chr5:721786	10	1	10	10	-1	216.7	1	-0.4	0
chr1:1313102	10	1	10	10	-1	216.24	1	-0.4	0
chr5:25920487	10	1	10	10	-1	216.24	1	-0.4	0
chr1:4585502	10	1	10	10	-1	216.14	1	-0.4	0
chr2:18790450	10	1	10	10	-1	216.14	1	-0.4	0
chr1:29429371	10	1	10	10	-1	215.82	1	-0.4	0
chr1:4528940	10	1	10	10	-1	215.28	1	-0.4	0
chr2:18965092	10	1	10	10	-1	215.18	1	-0.4	0
chr4:17502465	10	1	10	10	-1	215.18	1	-0.4	0
chr5:23773884	10	1	10	10	-1	215.18	1	-0.4	0
chr5:23898718	10	1	10	10	-1	215.18	1	-0.4	0
chr5:26253541	10	1	10	10	-1	215.18	1	-0.4	0
chr1:898825	10	1	10	10	-1	214.23	1	-0.4	0
chr2:7910314	10	1	10	10	-1	214.23	1	-0.4	0
chr3:7911368	10	1	10	10	-1	214.23	1	-0.4	0
chr5:17256561	10	1	10	10	-1	214.23	1	-0.4	0
chr5:25086953	10	1	10	10	-1	214.12	1	-0.4	0
chr2:1124297	10	1	10	10	-1	213.96	1	-0.4	0
chr5:4156549	10	1	10	10	-1	213.86	1	-0.4	0
chr2:16710738	10	1	10	10	-1	213.84	1	-0.4	0
chr1:21207297	10	1	10	10	-1	213.28	1	-0.4	0
chr3:11387045	10	1	10	10	-1	213.28	1	-0.4	0
chr3:23276527	10	1	10	10	-1	213.28	1	-0.4	0
chr5:4441654	10	1	10	10	-1	213.28	1	-0.4	0
chr1:18061401	10	1	10	10	-1	213.25	1	-0.4	0
chr3:5796975	10	1	10	10	-1	213.16	1	-0.4	0
chr1:2972343	10	1	10	10	-1	213.07	1	-0.4	0
chr5:16135277	10	1	10	10	-1	212.98	1	-0.4	0
chr3:201837	10	1	10	10	-1	212.88	1	-0.4	0
chr5:24146772	10	1	10	10	-1	212.78	1	-0.4	0
chr4:8523753	10	1	10	10	-1	212.75	1	-0.4	0
chr1:4229840	10	1	10	10	-1	212.33	1	-0.4	0
chr1:4934684	10	1	10	10	-1	212.33	1	-0.4	0
chr3:7933915	10	1	10	10	-1	212.33	1	-0.4	0
chr4:13016412	10	1	10	10	-1	212.33	1	-0.4	0
chr4:16614276	10	1	10	10	-1	212.33	1	-0.4	0
chr5:22779561	10	1	10	10	-1	212.33	1	-0.4	0
chr2:11221295	10	1	10	10	-1	211.57	1	-0.4	0
chr2:15132779	10	1	10	10	-1	211.37	1	-0.4	0
chr2:6018380	10	1	10	10	-1	211.37	1	-0.4	0
chr5:6189621	10	1	10	10	-1	211.37	1	-0.4	0
chr4:12501795	10	1	10	10	-1	211.29	1	-0.4	0
chr1:8430153	10	1	10	10	-1	211.27	1	-0.4	0
chr2:19245492	10	1	10	10	-1	210.89	1	-0.4	0
chr1:4021233	10	1	10	10	-1	210.81	1	-0.4	0
chr3:16914222	10	1	10	10	-1	210.71	1	-0.4	0
chr5:25721762	10	1	10	10	-1	210.71	1	-0.4	0
chr5:26645314	10	1	10	10	-1	210.61	1	-0.4	0
chr1:228348	10	1	10	10	-1	210.43	1	-0.4	0
chr1:23072948	10	1	10	10	-1	210.43	1	-0.4	0
chr1:25657136	10	1	10	10	-1	210.43	1	-0.4	0
chr2:18714632	10	1	10	10	-1	210.43	1	-0.4	0
chr3:5252557	10	1	10	10	-1	210.43	1	-0.4	0
chr4:18569579	10	1	10	10	-1	210.43	1	-0.4	0
chr5:2615757	10	1	10	10	-1	210.43	1	-0.4	0
chr2:10244653	10	1	10	10	-1	210.35	1	-0.4	0
