Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr5:14566448	10	1	10	10	-1	112.57	1	-0.4	0
chr1:7968730	10	1	10	10	-1	109.44	1	-0.4	0
chr5:3216919	10	1	10	10	-1	108.82	1	-0.4	0
chr4:297477	10	1	10	10	-1	107.04	1	-0.4	0
chr2:18324548	10	1	10	10	-1	106.96	1	-0.4	0
chr1:1647592	10	1	10	10	-1	106.56	1	-0.4	0
chr2:15100426	10	1	10	10	-1	106.41	1	-0.4	0
chr3:6565332	10	1	10	10	-1	106.09	1	-0.4	0
chr3:22328247	10	1	10	10	-1	105.89	1	-0.4	0
chr1:28876109	10	1	10	10	-1	105.8	1	-0.4	0
chr5:3405859	10	1	10	10	-1	105.73	1	-0.4	0
chr2:15615138	10	1	10	10	-1	105.43	1	-0.4	0
chr5:26394547	10	1	10	10	-1	105.25	1	-0.4	0
chr1:5296906	10	1	10	10	-1	104.88	1	-0.4	0
chr2:9065169	10	1	10	10	-1	104.84	1	-0.4	0
chr2:6922151	10	1	10	10	-1	104.5	1	-0.4	0
chr5:704505	10	1	10	10	-1	104.33	1	-0.4	0
chr1:6103309	10	1	10	10	-1	104.21	1	-0.4	0
chr5:7085128	10	1	10	10	-1	104.05	1	-0.4	0
chr1:29549037	10	1	10	10	-1	103.99	1	-0.4	0
chr1:19993353	10	1	10	10	-1	103.89	1	-0.4	0
chr1:5497978	10	1	10	10	-1	103.88	1	-0.4	0
chr4:17687763	10	1	10	10	-1	103.88	1	-0.4	0
chr3:4462132	10	1	10	10	-1	103.36	1	-0.4	0
chr4:16635581	10	1	10	10	-1	102.7	1	-0.4	0
chr1:17816505	10	1	10	10	-1	102.67	1	-0.4	0
chr1:24711767	10	1	10	10	-1	102.67	1	-0.4	0
chr4:8285304	10	1	10	10	-1	102.6	1	-0.4	0
chr1:8911420	10	1	10	10	-1	102.39	1	-0.4	0
chr2:19641155	10	1	10	10	-1	102.34	1	-0.4	0
chr3:9740698	10	1	10	10	-1	102.22	1	-0.4	0
chr4:7553404	10	1	10	10	-1	102.16	1	-0.4	0
chr4:1062297	10	1	10	10	-1	102.06	1	-0.4	0
chr4:13293774	10	1	10	10	-1	101.79	1	-0.4	0
chr2:19662738	10	1	10	10	-1	101.69	1	-0.4	0
chr3:21057038	10	1	10	10	-1	101.58	1	-0.4	0
chr1:18927749	10	1	10	10	-1	101.39	1	-0.4	0
chr5:2935757	10	1	10	10	-1	101.37	1	-0.4	0
chr5:3106184	10	1	10	10	-1	101.35	1	-0.4	0
chr5:2985760	10	1	10	10	-1	101.05	1	-0.4	0
chr1:12478514	10	1	10	10	-1	101.01	1	-0.4	0
chr2:13436480	10	1	10	10	-1	100.69	1	-0.4	0
chr3:7280355	10	1	10	10	-1	100.69	1	-0.4	0
chr1:25877617	10	1	10	10	-1	100.55	1	-0.4	0
chr2:18823099	10	1	10	10	-1	100.55	1	-0.4	0
chr5:5181564	10	1	10	10	-1	100.48	1	-0.4	0
chr3:22873928	10	1	10	10	-1	100.47	1	-0.4	0
chr3:20801357	10	1	10	10	-1	100.45	1	-0.4	0
chr3:3692470	10	1	10	10	-1	100.43	1	-0.4	0
chr1:12376289	10	1	10	10	-1	100.24	1	-0.4	0
chr1:9381320	10	1	10	10	-1	100.24	1	-0.4	0
chr1:11354007	10	1	10	10	-1	100.23	1	-0.4	0
chr3:4751667	10	1	10	10	-1	100.23	1	-0.4	0
chr2:13137408	10	1	10	10	-1	100.11	1	-0.4	0
chr5:5497465	10	1	10	10	-1	100.08	1	-0.4	0
chr4:8387965	10	1	10	10	-1	99.86	1	-0.4	0
chr3:19013476	10	1	10	10	-1	99.8	1	-0.4	0
chr4:17952866	10	1	10	10	-1	99.76	1	-0.4	0
chr4:8333993	10	1	10	10	-1	99.71	1	-0.4	0
chr5:8768056	10	1	10	10	-1	99.64	1	-0.4	0
chr5:25609322	10	1	10	10	-1	99.57	1	-0.4	0
