Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr4:1062304	10	1	10	10	-1	108.78	1	-0.4	0
chr3:1726845	10	1	10	10	-1	107.53	1	-0.4	0
chr3:6565377	10	1	10	10	-1	106.75	1	-0.4	0
chr5:12565968	10	1	10	10	-1	105.04	1	-0.4	0
chr3:22328179	10	1	10	10	-1	104.94	1	-0.4	0
chr1:10127342	10	1	10	10	-1	104.93	1	-0.4	0
chr1:18927783	10	1	10	10	-1	104.52	1	-0.4	0
chr4:9446019	10	1	10	10	-1	104.42	1	-0.4	0
chr1:5296909	10	1	10	10	-1	104.4	1	-0.4	0
chr4:8387984	10	1	10	10	-1	104.29	1	-0.4	0
chr2:13798883	10	1	10	10	-1	103.91	1	-0.4	0
chr2:19282084	10	1	10	10	-1	103.59	1	-0.4	0
chr1:26212988	10	1	10	10	-1	103.26	1	-0.4	0
chr1:8911432	10	1	10	10	-1	103.08	1	-0.4	0
chr4:9449077	10	1	10	10	-1	102.89	1	-0.4	0
chr1:8843166	10	1	10	10	-1	102.86	1	-0.4	0
chr5:2075750	10	1	10	10	-1	102.66	1	-0.4	0
chr2:18730480	10	1	10	10	-1	102.29	1	-0.4	0
chr1:21256117	10	1	10	10	-1	102.07	1	-0.4	0
chr3:4425012	10	1	10	10	-1	101.82	1	-0.4	0
chr5:16290554	10	1	10	10	-1	101.55	1	-0.4	0
chr5:22609023	10	1	10	10	-1	101.37	1	-0.4	0
chr5:26822205	10	1	10	10	-1	101.2	1	-0.4	0
chr1:21440806	10	1	10	10	-1	101.19	1	-0.4	0
chr3:10023807	10	1	10	10	-1	101.15	1	-0.4	0
chr1:8533282	10	1	10	10	-1	101.06	1	-0.4	0
chr2:9162517	10	1	10	10	-1	100.99	1	-0.4	0
chr3:16458776	10	1	10	10	-1	100.77	1	-0.4	0
chr1:11354008	10	1	10	10	-1	100.73	1	-0.4	0
chr3:21829981	10	1	10	10	-1	100.53	1	-0.4	0
chr1:21911609	10	1	10	10	-1	100.24	1	-0.4	0
chr3:20890118	10	1	10	10	-1	100.24	1	-0.4	0
chr2:1120460	10	1	10	10	-1	99.78	1	-0.4	0
chr3:8531207	10	1	10	10	-1	99.64	1	-0.4	0
chr1:21008040	10	1	10	10	-1	99.6	1	-0.4	0
chr4:9333546	10	1	10	10	-1	99.52	1	-0.4	0
chr2:13137407	10	1	10	10	-1	99.46	1	-0.4	0
chr3:9740709	10	1	10	10	-1	99.09	1	-0.4	0
chr2:12677462	10	1	10	10	-1	98.93	1	-0.4	0
chr4:297478	10	1	10	10	-1	98.64	1	-0.4	0
chr2:6922143	10	1	10	10	-1	98.62	1	-0.4	0
chr3:10309612	10	1	10	10	-1	98.58	1	-0.4	0
chr1:6687374	10	1	10	10	-1	98.47	1	-0.4	0
chr1:12167819	10	1	10	10	-1	98.34	1	-0.4	0
chr5:21898734	10	1	10	10	-1	98.29	1	-0.4	0
chr5:24057308	10	1	10	10	-1	98.22	1	-0.4	0
chr1:17945366	10	1	10	10	-1	98.18	1	-0.4	0
chr3:6704350	10	1	10	10	-1	98.09	1	-0.4	0
chr1:28876097	10	1	10	10	-1	97.99	1	-0.4	0
chr4:10437841	10	1	10	10	-1	97.98	1	-0.4	0
chr5:22662525	10	1	10	10	-1	97.79	1	-0.4	0
chr5:5235995	10	1	10	10	-1	97.7	1	-0.4	0
chr5:7174698	10	1	10	10	-1	97.63	1	-0.4	0
chr1:29385289	10	1	10	10	-1	97.5	1	-0.4	0
chr1:9286338	10	1	10	10	-1	97.5	1	-0.4	0
chr5:9645254	10	1	10	10	-1	97.45	1	-0.4	0
chr1:30387879	10	1	10	10	-1	97.42	1	-0.4	0
chr5:8229635	10	1	10	10	-1	97.37	1	-0.4	0
chr4:6217269	10	1	10	10	-1	97.3	1	-0.4	0
chr2:1669477	10	1	10	10	-1	97.09	1	-0.4	0
chr1:17816484	10	1	10	10	-1	97.08	1	-0.4	0
chr3:8217947	10	1	10	10	-1	97.04	1	-0.4	0
chr1:7962665	10	1	10	10	-1	97	1	-0.4	0
chr5:2074510	10	1	10	10	-1	96.74	1	-0.4	0
chr4:8506759	10	1	10	10	-1	96.71	1	-0.4	0
chr4:8285301	10	1	10	10	-1	96.62	1	-0.4	0
chr1:10044243	10	1	10	10	-1	96.51	1	-0.4	0
chr2:17570353	10	1	10	10	-1	96.41	1	-0.4	0
chr2:13523888	10	1	10	10	-1	96.26	1	-0.4	0
chr1:20044420	10	1	10	10	-1	96.25	1	-0.4	0
chr2:9214352	10	1	10	10	-1	96.25	1	-0.4	0
chr3:4751680	10	1	10	10	-1	96.25	1	-0.4	0
chr5:8747371	10	1	10	10	-1	96.25	1	-0.4	0
chr5:6275078	10	1	10	10	-1	96.24	1	-0.4	0
chr4:57085	10	1	10	10	-1	96.21	1	-0.4	0
chr1:10078188	10	1	10	10	-1	96.12	1	-0.4	0
chr5:5963697	10	1	10	10	-1	96.11	1	-0.4	0
chr2:11754685	10	1	10	10	-1	95.89	1	-0.4	0
chr5:4825460	10	1	10	10	-1	95.84	1	-0.4	0
