Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:898819	10	1	10	10	-1	260.04	1	-0.4	0
chr4:6100625	10	1	10	10	-1	260.04	1	-0.4	0
chr5:19309028	10	1	10	10	-1	260.04	1	-0.4	0
chr2:1124295	10	1	10	10	-1	259.67	1	-0.4	0
chr1:1131489	10	1	10	10	-1	258.95	1	-0.4	0
chr5:19099686	10	1	10	10	-1	258.95	1	-0.4	0
chr1:1313105	10	1	10	10	-1	257.98	1	-0.4	0
chr2:18965094	10	1	10	10	-1	257.86	1	-0.4	0
chr2:15099872	10	1	10	10	-1	256.77	1	-0.4	0
chr5:21306824	10	1	10	10	-1	256.77	1	-0.4	0
chr1:4528915	10	1	10	10	-1	255.68	1	-0.4	0
chr2:7910306	10	1	10	10	-1	255.68	1	-0.4	0
chr4:13016453	10	1	10	10	-1	255.68	1	-0.4	0
chr1:29429390	10	1	10	10	-1	254.94	1	-0.4	0
chr1:29363138	10	1	10	10	-1	254.6	1	-0.4	0
chr1:4585487	10	1	10	10	-1	254.6	1	-0.4	0
chr5:2167236	10	1	10	10	-1	254.6	1	-0.4	0
chr5:4441656	10	1	10	10	-1	254.6	1	-0.4	0
chr3:23301620	10	1	10	10	-1	253.84	1	-0.4	0
chr5:16135274	10	1	10	10	-1	253.76	1	-0.4	0
chr5:17256574	10	1	10	10	-1	253.51	1	-0.4	0
chr5:23773887	10	1	10	10	-1	253.51	1	-0.4	0
chr5:5664230	10	1	10	10	-1	253.06	1	-0.4	0
chr3:23040738	10	1	10	10	-1	252.87	1	-0.4	0
chr5:25087170	10	1	10	10	-1	252.77	1	-0.4	0
chr1:228333	10	1	10	10	-1	252.43	1	-0.4	0
chr4:17502468	10	1	10	10	-1	252.43	1	-0.4	0
chr5:721787	10	1	10	10	-1	252.26	1	-0.4	0
chr1:18061423	10	1	10	10	-1	252.17	1	-0.4	0
chr5:23898732	10	1	10	10	-1	252.13	1	-0.4	0
chr1:8430172	10	1	10	10	-1	251.74	1	-0.4	0
chr2:15207751	10	1	10	10	-1	251.67	1	-0.4	0
chr3:11387053	10	1	10	10	-1	251.34	1	-0.4	0
chr3:23276530	10	1	10	10	-1	251.34	1	-0.4	0
chr3:8077010	10	1	10	10	-1	251.34	1	-0.4	0
chr4:7926339	10	1	10	10	-1	251.34	1	-0.4	0
chr5:25379467	10	1	10	10	-1	251.34	1	-0.4	0
chr5:6189500	10	1	10	10	-1	251.34	1	-0.4	0
chr1:10353973	10	1	10	10	-1	251.17	1	-0.4	0
chr2:18908579	10	1	10	10	-1	251.07	1	-0.4	0
chr1:4680181	10	1	10	10	-1	250.71	1	-0.4	0
chr2:19245504	10	1	10	10	-1	250.54	1	-0.4	0
chr1:16137702	10	1	10	10	-1	250.31	1	-0.4	0
chr1:6754179	10	1	10	10	-1	250.29	1	-0.4	0
chr1:16851352	10	1	10	10	-1	250.26	1	-0.4	0
chr1:25657137	10	1	10	10	-1	250.26	1	-0.4	0
chr1:2972353	10	1	10	10	-1	250.26	1	-0.4	0
chr3:17362281	10	1	10	10	-1	250.26	1	-0.4	0
chr3:16914228	10	1	10	10	-1	250.12	1	-0.4	0
chr1:2432204	10	1	10	10	-1	249.94	1	-0.4	0
chr1:268260	10	1	10	10	-1	249.91	1	-0.4	0
chr2:11221303	10	1	10	10	-1	249.52	1	-0.4	0
chr4:18302510	10	1	10	10	-1	249.52	1	-0.4	0
chr1:17169202	10	1	10	10	-1	249.44	1	-0.4	0
chr1:21732488	10	1	10	10	-1	249.41	1	-0.4	0
chr1:21207277	10	1	10	10	-1	249.18	1	-0.4	0
chr1:2283060	10	1	10	10	-1	249.18	1	-0.4	0
chr1:4229799	10	1	10	10	-1	249.18	1	-0.4	0
chr2:18790467	10	1	10	10	-1	249.18	1	-0.4	0
chr3:18546582	10	1	10	10	-1	249.18	1	-0.4	0
chr3:22917483	10	1	10	10	-1	249.18	1	-0.4	0
chr3:3589434	10	1	10	10	-1	249.18	1	-0.4	0
chr4:17709101	10	1	10	10	-1	249.18	1	-0.4	0
chr4:9295778	10	1	10	10	-1	249.18	1	-0.4	0
chr5:24482569	10	1	10	10	-1	249.18	1	-0.4	0
chr1:8061087	10	1	10	10	-1	248.96	1	-0.4	0
chr5:26645344	10	1	10	10	-1	248.78	1	-0.4	0
chr4:16295322	10	1	10	10	-1	248.4	1	-0.4	0
chr5:24146793	10	1	10	10	-1	248.3	1	-0.4	0
chr1:953017	10	1	10	10	-1	248.1	1	-0.4	0
chr2:7458963	10	1	10	10	-1	248.1	1	-0.4	0
chr3:2113720	10	1	10	10	-1	248.1	1	-0.4	0
chr3:5252557	10	1	10	10	-1	248.1	1	-0.4	0
chr5:1375873	10	1	10	10	-1	248.1	1	-0.4	0
chr5:24478907	10	1	10	10	-1	248.1	1	-0.4	0
chr5:2615767	10	1	10	10	-1	248.1	1	-0.4	0
chr1:8384971	10	1	10	10	-1	248.02	1	-0.4	0
chr4:12501753	10	1	10	10	-1	247.94	1	-0.4	0
chr1:1773855	10	1	10	10	-1	247.88	1	-0.4	0
chr5:4156541	10	1	10	10	-1	247.83	1	-0.4	0
chr1:28151212	10	1	10	10	-1	247.39	1	-0.4	0
chr2:6018222	10	1	10	10	-1	247.3	1	-0.4	0
chr1:4021248	10	1	10	10	-1	247.15	1	-0.4	0
chr3:7911373	10	1	10	10	-1	247.02	1	-0.4	0
chr4:16614273	10	1	10	10	-1	247.02	1	-0.4	0
chr2:16710730	10	1	10	10	-1	246.89	1	-0.4	0
chr3:1735993	10	1	10	10	-1	246.67	1	-0.4	0
