Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr4:285388	10	1	10	10	-1	86.98	1	-0.4	0
chr1:1469322	10	1	10	10	-1	84.81	1	-0.4	0
chr1:27132153	10	1	10	10	-1	83.92	1	-0.4	0
chr5:2985512	10	1	10	10	-1	83.2	1	-0.4	0
chr5:20189945	10	1	10	10	-1	81.7	1	-0.4	0
chr5:26394455	10	1	10	10	-1	81.24	1	-0.4	0
chr1:2013643	10	1	10	10	-1	81.19	1	-0.4	0
chr3:1635020	10	1	10	10	-1	80.38	1	-0.4	0
chr1:953048	10	1	10	10	-1	79.51	1	-0.4	0
chr5:19620204	10	1	10	10	-1	79.47	1	-0.4	0
chr1:182411	10	1	10	10	-1	79.07	1	-0.4	0
chr1:17983531	10	1	10	10	-1	78.95	1	-0.4	0
chr5:19978112	10	1	10	10	-1	78.9	1	-0.4	0
chr1:12167790	10	1	10	10	-1	78.81	1	-0.4	0
chr3:7998769	10	1	10	10	-1	78.81	1	-0.4	0
chr3:18837591	10	1	10	10	-1	78.74	1	-0.4	0
chr3:7928015	10	1	10	10	-1	78.74	1	-0.4	0
chr2:15099511	10	1	10	10	-1	78.13	1	-0.4	0
chr5:21945802	10	1	10	10	-1	78.03	1	-0.4	0
chr4:85176	10	1	10	10	-1	77.9	1	-0.4	0
chr2:14180363	10	1	10	10	-1	77.83	1	-0.4	0
chr4:994969	10	1	10	10	-1	77.74	1	-0.4	0
chr1:8911456	10	1	10	10	-1	77.64	1	-0.4	0
chr1:1308767	10	1	10	10	-1	77.53	1	-0.4	0
chr3:9595413	10	1	10	10	-1	77.37	1	-0.4	0
chr1:20948366	10	1	10	10	-1	76.85	1	-0.4	0
chr3:17739857	10	1	10	10	-1	76.85	1	-0.4	0
chr4:57066	10	1	10	10	-1	76.85	1	-0.4	0
chr4:59333	10	1	10	10	-1	76.85	1	-0.4	0
chr1:30150943	10	1	10	10	-1	76.8	1	-0.4	0
chr3:17199407	10	1	10	10	-1	76.74	1	-0.4	0
chr5:19542535	10	1	10	10	-1	76.73	1	-0.4	0
chr1:9331775	10	1	10	10	-1	76.52	1	-0.4	0
chr5:6202473	10	1	10	10	-1	76.41	1	-0.4	0
chr5:4722491	10	1	10	10	-1	76.3	1	-0.4	0
