Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:2574	10	1	10	10	1	1	1	-0.4	0
chr1:11244	10	1	10	10	1	1	1	-0.4	0
chr1:11244	10	1	10	10	1	1	1	-0.4	0
chr1:13731	10	1	10	10	1	1	1	-0.4	0
chr1:13731	10	1	10	10	1	1	1	-0.4	0
chr1:13731	10	1	10	10	1	1	1	-0.4	0
chr1:15087	10	1	10	10	1	1	1	-0.4	0
chr1:15087	10	1	10	10	1	1	1	-0.4	0
chr1:16768	10	1	10	10	1	1	1	-0.4	0
chr1:16768	10	1	10	10	1	1	1	-0.4	0
chr1:19319	10	1	10	10	1	1	1	-0.4	0
chr1:19319	10	1	10	10	1	1	1	-0.4	0
chr1:20768	10	1	10	10	1	1	1	-0.4	0
chr1:20768	10	1	10	10	1	1	1	-0.4	0
chr1:20768	10	1	10	10	1	1	1	-0.4	0
chr1:33525	10	1	10	10	1	1	1	-0.4	0
chr1:37990	10	1	10	10	1	1	1	-0.4	0
chr1:37990	10	1	10	10	1	1	1	-0.4	0
chr1:37990	10	1	10	10	1	1	1	-0.4	0
chr1:40180	10	1	10	10	1	1	1	-0.4	0
chr1:50011	10	1	10	10	1	1	1	-0.4	0
chr1:50011	10	1	10	10	1	1	1	-0.4	0
chr1:51443	10	1	10	10	1	1	1	-0.4	0
chr1:52677	10	1	10	10	1	1	1	-0.4	0
chr1:57079	10	1	10	10	1	1	1	-0.4	0
chr1:57079	10	1	10	10	1	1	1	-0.4	0
chr1:59702	10	1	10	10	1	1	1	-0.4	0
chr1:60864	10	1	10	10	1	1	1	-0.4	0
chr1:60864	10	1	10	10	1	1	1	-0.4	0
chr1:61096	10	1	10	10	1	1	1	-0.4	0
chr1:61096	10	1	10	10	1	1	1	-0.4	0
chr1:63929	10	1	10	10	1	1	1	-0.4	0
chr1:63929	10	1	10	10	1	1	1	-0.4	0
chr1:67757	10	1	10	10	1	1	1	-0.4	0
chr1:67757	10	1	10	10	1	1	1	-0.4	0
chr1:67757	10	1	10	10	1	1	1	-0.4	0
chr1:68388	10	1	10	10	1	1	1	-0.4	0
chr1:68388	10	1	10	10	1	1	1	-0.4	0
chr1:68388	10	1	10	10	1	1	1	-0.4	0
chr1:72385	10	1	10	10	1	1	1	-0.4	0
chr1:72385	10	1	10	10	1	1	1	-0.4	0
chr1:78505	10	1	10	10	1	1	1	-0.4	0
chr1:79192	10	1	10	10	1	1	1	-0.4	0
chr1:79192	10	1	10	10	1	1	1	-0.4	0
chr1:88802	10	1	10	10	1	1	1	-0.4	0
chr1:88802	10	1	10	10	1	1	1	-0.4	0
chr1:91262	10	1	10	10	1	1	1	-0.4	0
chr1:97447	10	1	10	10	1	1	1	-0.4	0
chr1:98814	10	1	10	10	1	1	1	-0.4	0
chr1:99483	10	1	10	10	1	1	1	-0.4	0
chr1:99483	10	1	10	10	1	1	1	-0.4	0
chr1:99483	10	1	10	10	1	1	1	-0.4	0
chr1:104136	10	1	10	10	1	1	1	-0.4	0
chr1:104136	10	1	10	10	1	1	1	-0.4	0
chr1:104136	10	1	10	10	1	1	1	-0.4	0
chr1:108191	10	1	10	10	1	1	1	-0.4	0
chr1:108191	10	1	10	10	1	1	1	-0.4	0
chr1:108191	10	1	10	10	1	1	1	-0.4	0
chr1:116463	10	1	10	10	1	1	1	-0.4	0
chr1:116463	10	1	10	10	1	1	1	-0.4	0
chr1:116463	10	1	10	10	1	1	1	-0.4	0
chr1:118487	10	1	10	10	1	1	1	-0.4	0
chr1:118487	10	1	10	10	1	1	1	-0.4	0
chr1:118487	10	1	10	10	1	1	1	-0.4	0
chr1:120746	10	1	10	10	1	1	1	-0.4	0
chr1:120746	10	1	10	10	1	1	1	-0.4	0
chr1:128924	10	1	10	10	1	1	1	-0.4	0
chr1:131179	10	1	10	10	1	1	1	-0.4	0
chr1:131179	10	1	10	10	1	1	1	-0.4	0
chr1:131179	10	1	10	10	1	1	1	-0.4	0
chr1:135935	10	1	10	10	1	1	1	-0.4	0
chr1:140437	10	1	10	10	1	1	1	-0.4	0
chr1:140437	10	1	10	10	1	1	1	-0.4	0
chr1:140437	10	1	10	10	1	1	1	-0.4	0
chr1:143422	10	1	10	10	1	1	1	-0.4	0
chr1:143422	10	1	10	10	1	1	1	-0.4	0
chr1:143422	10	1	10	10	1	1	1	-0.4	0
chr1:146246	10	1	10	10	1	1	1	-0.4	0
chr1:146246	10	1	10	10	1	1	1	-0.4	0
chr1:146246	10	1	10	10	1	1	1	-0.4	0
chr1:148182	10	1	10	10	1	1	1	-0.4	0
chr1:148182	10	1	10	10	1	1	1	-0.4	0
chr1:149932	10	1	10	10	1	1	1	-0.4	0
chr1:149932	10	1	10	10	1	1	1	-0.4	0
chr1:149932	10	1	10	10	1	1	1	-0.4	0
chr1:150479	10	1	10	10	1	1	1	-0.4	0
chr1:156624	10	1	10	10	1	1	1	-0.4	0
chr1:156624	10	1	10	10	1	1	1	-0.4	0
chr1:156624	10	1	10	10	1	1	1	-0.4	0
chr1:159546	10	1	10	10	1	1	1	-0.4	0
chr1:159546	10	1	10	10	1	1	1	-0.4	0
chr1:159546	10	1	10	10	1	1	1	-0.4	0
chr1:162780	10	1	10	10	1	1	1	-0.4	0
chr1:162780	10	1	10	10	1	1	1	-0.4	0
chr1:173514	10	1	10	10	1	1	1	-0.4	0
chr1:180290	10	1	10	10	1	1	1	-0.4	0
chr1:180290	10	1	10	10	1	1	1	-0.4	0
chr1:180290	10	1	10	10	1	1	1	-0.4	0
chr1:181116	10	1	10	10	1	1	1	-0.4	0
chr1:182391	10	1	10	10	1	1	1	-0.4	0
chr1:182391	10	1	10	10	1	1	1	-0.4	0
chr1:182391	10	1	10	10	1	1	1	-0.4	0
chr1:183389	10	1	10	10	1	1	1	-0.4	0
chr1:183389	10	1	10	10	1	1	1	-0.4	0
chr1:183389	10	1	10	10	1	1	1	-0.4	0
chr1:185019	10	1	10	10	1	1	1	-0.4	0
chr1:185019	10	1	10	10	1	1	1	-0.4	0
chr1:185019	10	1	10	10	1	1	1	-0.4	0
chr1:190326	10	1	10	10	1	1	1	-0.4	0
chr1:194392	10	1	10	10	1	1	1	-0.4	0
chr1:194928	10	1	10	10	1	1	1	-0.4	0
chr1:194928	10	1	10	10	1	1	1	-0.4	0
chr1:199130	10	1	10	10	1	1	1	-0.4	0
chr1:199130	10	1	10	10	1	1	1	-0.4	0
chr1:199130	10	1	10	10	1	1	1	-0.4	0
chr1:199130	10	1	10	10	1	1	1	-0.4	0
chr1:201852	10	1	10	10	1	1	1	-0.4	0
chr1:204531	10	1	10	10	1	1	1	-0.4	0
chr1:207028	10	1	10	10	1	1	1	-0.4	0
chr1:207028	10	1	10	10	1	1	1	-0.4	0
chr1:207733	10	1	10	10	1	1	1	-0.4	0
chr1:207733	10	1	10	10	1	1	1	-0.4	0
chr1:207733	10	1	10	10	1	1	1	-0.4	0
chr1:210671	10	1	10	10	1	1	1	-0.4	0
chr1:210671	10	1	10	10	1	1	1	-0.4	0
chr1:218815	10	1	10	10	1	1	1	-0.4	0
chr1:218815	10	1	10	10	1	1	1	-0.4	0
